UCL_CODE_2021,Aus_Both_prnts_born_os,Aus_Father_only_born_os,Aus_Mother_only_born_os,Aus_Both_prnts_born_Aus,Aus_bp_ns,Aus_Tot_R,Aus_Abor_Both_pare_brn_os,Aus_Abor_Father_only_brn_os,Aus_Abor_Mother_only_brn_os,Aus_Abor_Both_pare_brn_Aus,Aus_Abor_bp_ns,Aus_Aborigin_Tot_R,Chin_Both_prnts_born_os,Chin_Father_only_born_os,Chin_Mother_only_born_os,Chin_Bth_prnts_born_Aus,Chin_bp_ns,Chin_Tot_R,Croat_Both_prnts_born_os,Croat_Father_only_born_os,Croat_Mother_only_born_os,Croat_Bth_parnts_born_Aus,Croat_bp_ns,Croat_Tot_R,Dutch_Both_prnts_born_os,Dutch_Father_only_born_os,Dutch_Mother_only_born_os,Dutch_Both_prnts_born_Aus,Dutch_bp_ns,Dutch_Tot_R,Eng_Both_prnts_born_os,Eng_Father_only_born_os,Eng_Mother_only_born_os,Eng_Both_prnts_born_Aus,Eng_bp_ns,Eng_Tot_R,Fili_Both_prnts_born_os,Fili_Father_only_born_os,Fili_Mother_only_born_os,Fili_Both_prnts_born_Aus,Fili_bp_ns,Fili_Tot_R,Fren_Both_prnts_born_os,Fren_Father_only_born_os,Fren_Mother_only_born_os,Fren_Both_prnts_born_Aus,Fren_bp_ns,Fren_Tot_R,Ger_Both_prnts_born_os,Ger_Father_only_born_os,Ger_Mother_only_born_os,Ger_Both_prnts_born_Aus,Ger_bp_ns,Ger_Tot_R,Greek_Both_prnts_born_os,Greek_Father_only_born_os,Greek_Mother_only_born_os,Greek_Both_prnts_born_Aus,Greek_bp_ns,Greek_Tot_R,Hung_Bth_prnts_born_os,Hung_Father_only_born_os,Hung_Mother_only_born_os,Hung_Bth_prents_brn_Aus,Hung_bp_ns,Hung_Tot_R,Ind_Both_prnts_born_os,Ind_Father_only_born_os,Ind_Mother_only_born_os,Ind_Both_prnts_born_Aus,Ind_bp_ns,Ind_Tot_R,Irish_Both_prnts_born_os,Irish_Father_only_born_os,Irish_Mother_only_born_os,Irish_Both_prnts_born_Aus,Irish_bp_ns,Irish_Tot_R,Ital_Both_prnts_born_os,Ital_Father_only_born_os,Ital_Mother_only_born_os,Ital_Bth_prnts_born_Aus,Ital_bp_ns,Ital_Tot_R,Kor_Both_prnts_born_os,Kor_Father_only_born_os,Kor_Mother_only_born_os,Kor_Both_prnts_born_Aus,Kor_bp_ns,Kor_Tot_R,Leb_Both_prnts_born_os,Leb_Father_only_born_os,Leb_Mother_only_born_os,Leb_Bth_prents_born_Aus,Leb_bp_ns,Leb_Tot_R,Mac_Bth_parnts_born_os,Mac_Father_only_brn_os,Mac_Mother_only_brn_os,Mac_Bth_prnts_brn_Aus,Mac_bp_ns,Mac_Tot_R,Malt_Both_prnts_born_os,Malt_Father_only_born_os,Malt_Mother_only_born_os,Malt_Bth_prnts_born_Aus,Malt_bp_ns,Malt_Tot_R,Maori_Both_prnts_born_os,Maori_Father_only_born_os,Maori_Mother_only_born_os,Maori_Both_prnts_born_Aus,Maori_bp_ns,Maori_Tot_R,NZ_Both_prnts_born_os,NZ_Father_only_born_os,NZ_Mother_only_born_os,NZ_Both_prnts_born_Aus,NZ_bp_ns,NZ_Tot_R,Pol_Both_prnts_born_os,Pol_Father_only_born_os,Pol_Mother_only_born_os,Pol_Both_prnts_born_Aus,Pol_bp_ns,Pol_Tot_R,Russ_Both_prnts_born_os,Russ_Father_only_born_os,Russ_Mother_only_born_os,Russ_Bth_prnts_born_Aus,Russ_bp_ns,Russ_Tot_R,Samoan_Both_prnts_born_os,Samoan_Father_only_born_os,Samoan_Mother_only_born_os,Samoan_Bth_prnts_born_Aus,Samoan_bp_ns,Samoan_Tot_R,Scott_Both_prnts_born_os,Scott_Father_only_born_os,Scott_Mother_only_born_os,Scott_Bth_prnts_brn_Aus,Scott_bp_ns,Scott_Tot_R,Serb_Both_prnts_born_os,Serb_Father_only_born_os,Serb_Mother_only_born_os,Serb_Bth_prnts_born_Aus,Serb_bp_ns,Serb_Tot_R,SthA_Both_prnts_born_os,SthA_Father_only_born_os,SthA_Mother_only_born_os,SthA_Bth_prnts_born_Aus,SthA_bp_ns,SthA_Tot_R,Span_Both_prnts_born_os,Span_Father_only_born_os,Span_Mother_only_born_os,Span_Bth_prnts_born_Aus,Span_bp_ns,Span_Tot_R,Sri_Lkn_Bth_prnts_born_os,Sri_Lkn_Father_only_born_os,Sri_Lkn_Mother_only_born_os,Sri_Lkn_Bth_prents_brn_Aus,Sri_Lkn_bp_ns,Sri_Lkn_Tot_R,Viet_Bth_prnts_brn_os,Viet_Father_only_brn_os,Viet_Mother_only_brn_os,Viet_Bth_prnts_brn_Aus,Viet_bp_ns,Viet_Tot_R,Welsh_Both_prnts_born_os,Welsh_Father_only_born_os,Welsh_Mother_only_born_os,Welsh_Both_prnts_born_Aus,Welsh_bp_ns,Welsh_Tot_R,Oth_Both_prnts_born_os,Oth_Father_only_born_os,Oth_Mother_only_born_os,Oth_Both_prnts_born_Aus,Oth_bp_ns,Oth_Tot_R,Ancest_ns_Bth_parnts_brn_os,Ancest_ns_Fther_only_brn_os,Ancest_ns_Mther_only_brn_os,Ancest_ns_Bth_prnt_brn_Aus,Ancest_ns_bp_ns,Ancest_ns_Tot_R,Tot_P_Bth_parnts_brn_os,Tot_P_Fther_only_brn_os,Tot_P_Mther_only_brn_os,Tot_P_Bth_prnts_brn_Aus,Tot_P_bp_ns,Tot_P_Tot_R
UCL501001,28287,90857,74661,361200,4260,559261,575,2722,1695,31754,699,37446,101070,2242,4247,2937,522,111021,9139,2601,1408,7403,145,20693,20093,5500,3732,10049,183,39558,286096,81242,64814,299968,5402,737527,33922,535,2663,592,132,37847,9366,1087,931,2416,71,13867,23022,5053,4237,23805,359,56474,5880,1999,1060,5162,70,14169,3004,543,353,835,31,4767,66703,2255,1599,1690,189,72444,67326,14882,10927,82283,983,176398,44640,14634,7144,44490,613,111529,7461,114,404,118,16,8110,1887,431,240,505,9,3071,6333,1088,690,2228,60,10402,1923,671,368,1338,24,4322,17791,2483,1619,781,179,22849,12542,4924,2953,1448,101,21960,11532,1829,1531,4038,97,19023,4410,356,601,727,37,6132,2227,318,94,55,19,2713,67644,16959,13122,74413,921,173060,6337,554,350,635,40,7908,22927,2184,1897,571,100,27673,7566,617,556,1704,56,10505,5449,468,303,355,24,6609,20411,511,931,412,68,22328,11260,1988,1396,4093,64,18805,246912,18960,18991,20337,1931,307127,12089,991,834,5148,76150,95213,948214,161077,127978,672926,90077,2000278
UCL511001,626,3316,2570,21152,204,27866,13,159,67,2212,40,2493,711,19,56,57,5,849,71,34,31,139,0,270,741,237,145,431,5,1557,7852,3303,2592,18729,251,32727,1048,8,101,22,6,1189,168,29,15,128,0,356,706,193,139,1335,19,2404,95,43,13,188,6,344,42,14,6,31,0,89,714,30,19,53,3,813,1673,494,415,4251,37,6869,1066,510,194,2590,20,4376,135,4,16,0,0,157,65,13,10,9,0,96,18,10,9,38,0,72,27,18,16,32,0,96,907,148,99,43,13,1213,424,218,110,81,5,843,321,85,82,225,5,713,123,6,15,23,0,177,47,3,6,0,0,56,1874,634,547,4044,44,7140,47,3,8,12,0,65,823,54,62,29,0,965,139,17,22,101,0,277,46,3,8,5,0,57,114,5,17,3,3,138,252,83,45,202,4,580,3214,423,421,768,44,4869,194,42,32,329,3460,4054,19047,5900,4538,39362,4004,72840
UCL512001,283,1442,1258,8829,129,11944,4,58,35,1017,18,1136,197,5,25,31,0,261,35,14,9,53,0,112,464,152,82,377,6,1078,3622,1475,1232,7877,164,14368,623,10,40,16,3,688,93,15,9,35,0,157,335,90,102,583,10,1117,25,8,0,40,0,76,36,3,5,7,0,54,143,7,9,28,4,187,536,200,172,1686,26,2626,326,125,64,608,7,1125,19,0,8,4,0,25,4,0,0,3,0,10,10,0,0,13,0,26,17,4,0,8,0,30,98,21,17,11,0,162,130,74,41,33,0,288,170,41,30,118,3,361,31,0,6,12,0,46,3,0,0,0,0,3,781,279,243,1706,17,3022,21,4,0,10,0,34,220,28,14,8,0,266,48,7,3,17,0,74,22,4,5,0,0,26,31,0,0,3,0,34,165,28,42,92,7,334,1184,186,178,303,14,1868,78,11,14,170,1600,1879,7757,2492,2075,16330,1936,30587
UCL512002,221,1285,1144,7906,111,10665,6,45,25,584,7,662,157,11,23,28,0,216,35,4,8,41,5,87,271,72,60,190,3,596,3391,1318,1010,7119,125,12972,129,8,27,14,0,173,99,10,14,54,0,173,254,86,65,484,6,893,21,18,6,47,0,94,22,10,4,17,0,51,93,14,17,20,0,145,636,250,158,1768,23,2831,211,114,66,649,12,1047,34,0,6,0,0,47,3,4,3,6,0,14,8,4,4,22,0,37,23,13,4,19,0,53,85,38,26,18,4,166,134,98,41,24,3,300,77,16,29,44,0,164,37,0,5,17,0,61,4,0,0,0,0,3,703,274,206,1635,7,2828,7,4,0,3,0,19,160,29,21,11,0,220,45,12,4,53,0,116,22,8,3,0,0,31,49,8,4,4,0,60,123,30,21,64,0,241,909,170,181,240,14,1512,51,22,20,168,1217,1485,6297,2303,1820,14761,1484,26665
UCL512003,199,1291,965,9908,115,12477,6,124,44,2859,37,3079,196,13,17,50,0,277,21,17,7,83,3,135,244,76,44,167,5,534,2319,1111,886,8085,124,12523,470,13,67,22,4,573,65,10,7,37,0,119,238,65,63,678,0,1052,28,18,13,24,0,88,20,9,0,12,0,43,273,17,13,27,0,332,412,219,143,2213,18,3008,332,146,70,731,9,1288,6,0,0,4,0,10,6,0,0,3,0,14,34,5,8,22,0,63,21,15,0,19,0,61,172,33,32,27,4,267,116,59,52,37,0,263,64,21,13,77,0,174,29,6,9,21,0,66,14,0,4,5,0,25,521,234,176,1784,21,2736,6,0,0,0,0,6,242,33,14,27,0,306,63,5,3,41,0,116,10,0,4,0,0,16,135,3,8,0,0,144,72,30,15,83,0,202,1240,217,235,575,17,2281,68,9,4,162,2836,3085,6126,2209,1645,19441,3134,32544
UCL512004,264,1025,1004,7435,100,9832,13,75,63,1626,70,1842,307,7,17,36,0,371,86,29,13,119,0,248,188,81,28,96,0,398,2482,867,786,5700,98,9932,788,3,77,13,3,890,73,4,6,34,3,131,307,72,61,549,13,1006,28,11,9,39,0,89,16,4,0,5,0,33,465,10,15,16,0,514,603,168,128,1576,18,2499,195,99,62,622,15,991,37,0,0,0,0,35,9,0,0,7,0,16,5,4,3,17,0,29,8,11,6,13,0,36,983,93,89,23,24,1204,376,111,61,27,4,583,66,20,7,65,0,157,24,5,9,8,0,41,141,17,0,4,3,163,738,225,144,1338,13,2464,23,4,3,4,0,35,308,31,21,4,0,360,83,4,3,20,0,112,34,0,5,3,0,36,58,0,3,0,0,64,73,26,9,68,0,178,2262,159,197,308,29,2954,146,23,23,186,3342,3711,8725,1831,1610,14033,3666,29854
UCL513001,141,618,554,4981,43,6350,4,167,38,2815,84,3109,160,31,16,97,5,302,43,14,8,30,0,96,168,60,34,93,4,357,1689,585,448,4071,70,6862,235,4,20,19,0,286,94,9,10,24,0,140,212,50,27,338,7,641,19,14,3,35,0,75,21,4,3,7,0,32,92,9,4,16,0,125,366,126,73,1255,5,1824,271,78,38,283,0,672,18,0,3,0,0,20,8,0,0,6,0,8,14,4,0,12,0,23,16,8,9,13,0,47,75,19,6,4,5,98,90,27,17,13,3,148,52,11,9,29,0,105,20,4,0,11,0,34,6,0,3,0,0,13,431,131,108,1065,8,1744,14,0,0,0,0,15,83,15,12,0,0,113,71,0,12,17,0,100,14,3,5,5,0,26,27,0,0,0,0,27,68,12,10,42,0,137,746,153,106,447,28,1477,70,7,6,107,2969,3163,4193,1252,912,10958,3176,20493
UCL513002,63,454,391,3440,76,4419,0,19,3,447,12,486,59,4,4,9,0,75,5,4,0,27,0,39,60,19,18,43,5,143,793,398,293,2574,73,4125,72,0,19,0,0,96,22,0,4,22,0,49,103,31,29,275,4,450,7,4,0,11,0,21,6,3,0,0,0,9,41,6,4,0,0,50,144,65,42,652,6,911,50,35,11,216,0,318,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,7,65,21,17,16,4,117,80,36,10,8,0,131,22,3,0,16,0,42,12,0,3,5,0,19,5,0,0,0,0,4,230,97,74,642,11,1057,0,0,0,6,0,7,50,5,13,0,0,62,8,3,3,4,0,19,9,0,0,0,0,9,15,0,0,0,0,18,24,5,0,30,0,63,264,71,64,113,6,518,20,8,7,65,970,1065,1742,748,577,6154,1127,10354
UCL513003,183,670,677,4502,31,6068,7,75,52,1218,20,1373,206,0,9,30,0,250,17,13,9,63,5,106,134,62,28,113,3,345,1538,603,552,3375,35,6100,438,5,39,9,3,494,66,7,3,21,0,100,127,58,51,351,0,593,20,9,4,33,0,64,10,3,0,8,0,21,330,11,4,11,0,351,441,107,92,861,14,1512,103,94,34,327,5,565,7,0,0,0,0,15,5,0,0,0,0,5,19,3,5,8,0,35,10,8,0,20,0,40,310,31,21,7,8,369,143,72,53,24,0,286,46,18,12,40,0,116,18,0,0,9,0,30,31,4,0,0,0,37,448,129,109,809,9,1498,16,8,3,0,0,25,134,11,23,9,3,179,47,0,0,8,0,63,15,0,6,0,0,25,42,0,4,0,0,43,52,10,9,29,0,101,1232,136,166,340,17,1883,70,9,7,86,3482,3651,4908,1215,1131,8543,3594,19385
UCL513004,133,531,502,3599,33,4798,10,93,62,2258,55,2474,183,10,18,41,7,254,41,15,10,23,0,77,106,43,22,87,0,259,1317,482,383,2791,54,5026,464,9,51,15,0,534,60,0,4,21,0,91,131,41,35,327,0,544,27,11,4,23,0,59,15,3,0,0,0,24,245,5,5,12,0,270,354,85,73,827,11,1350,101,45,25,240,4,405,24,0,4,0,0,28,4,0,0,4,0,8,12,3,0,0,0,21,4,8,4,6,0,24,378,55,34,30,5,507,176,50,24,16,6,263,34,4,10,15,0,65,9,0,3,8,0,23,37,3,3,4,6,50,348,98,86,663,4,1201,11,5,0,3,0,17,110,10,12,0,0,134,57,0,3,15,0,78,17,0,3,0,0,26,32,0,7,0,0,41,39,5,12,22,0,65,1199,135,196,591,19,2141,65,8,6,87,3577,3744,4453,1010,910,8093,3738,18199
