UCL_CODE_2021,Tot_Mgr,Tot_Pfn,Tot_Tch_trwk,Tot_Co_Pswk,Tot_Cl_Adwk,Tot_Sal,Tot_MchOp,Tot_Lab,Tot_Inad_ns,Tot_To
UCL501001,118609,240888,143197,122436,126522,81117,66162,86429,16577,1001946
UCL511001,2929,5700,6225,4174,3907,3111,3319,4319,543,34235
UCL512001,1442,2424,2110,2040,1489,1406,878,1774,190,13756
UCL512002,1260,1900,2068,1651,1284,1249,842,1556,197,11998
UCL512003,1430,2539,2354,2002,1656,1399,1224,1701,204,14505
UCL512004,1447,2333,3415,1428,1675,994,2548,1400,271,15512
UCL513001,1438,2123,1119,1179,1188,653,430,722,197,9046
UCL513002,567,695,772,477,553,434,540,568,105,4719
UCL513003,1111,1564,2483,859,1090,531,996,998,215,9842
UCL513004,804,1279,2228,676,907,427,1320,889,231,8763
UCL513005,427,569,850,667,577,373,438,514,99,4526
UCL514001,153,222,581,325,221,208,418,439,59,2618
UCL514002,490,681,649,381,318,315,113,362,60,3373
UCL514003,473,638,670,520,301,344,194,566,38,3761
UCL514004,278,360,382,351,324,265,232,377,44,2614
UCL515001,77,45,77,45,39,43,20,69,8,421
UCL515002,58,92,113,72,76,38,65,75,10,603
UCL515003,101,145,149,130,79,84,81,111,14,895
UCL515004,85,131,222,122,132,66,129,118,15,1014
UCL515005,82,126,185,148,87,94,130,159,19,1017
UCL515006,274,305,250,231,244,167,159,224,39,1889
UCL515007,113,204,171,113,109,76,64,104,13,967
UCL515008,81,128,188,51,80,19,64,61,7,687
UCL515009,125,255,173,131,111,83,53,139,16,1091
UCL515010,161,332,118,257,147,59,51,91,22,1237
UCL515011,121,121,186,116,111,76,145,200,15,1095
UCL515012,106,199,188,193,142,91,87,77,19,1098
UCL515013,380,434,422,319,302,176,117,277,62,2492
UCL515014,69,154,45,110,54,22,15,25,10,500
UCL515015,83,83,203,95,92,65,133,383,37,1169
UCL515016,92,117,125,74,78,50,60,93,13,708
UCL515017,127,120,114,91,74,64,66,131,22,803
UCL515018,45,83,168,53,65,44,192,59,13,722
