UCL_CODE_2021,F_Kidney_disease_0_14,F_Kidney_disease_15_24,F_Kidney_disease_25_34,F_Kidney_disease_35_44,F_Kidney_disease_45_54,F_Kidney_disease_55_64,F_Kidney_disease_65_74,F_Kidney_disease_75_84,F_Kidney_disease_85_over,F_Kidney_disease_Tot,F_Lung_cond_0_14,F_Lung_cond_15_24,F_Lung_cond_25_34,F_Lung_cond_35_44,F_Lung_cond_45_54,F_Lung_cond_55_64,F_Lung_cond_65_74,F_Lung_cond_75_84,F_Lung_cond_85_over,F_Lung_cond_Tot,F_Mental_health_cond_0_14,F_Mental_health_cond_15_24,F_Mental_health_cond_25_34,F_Mental_health_cond_35_44,F_Mental_health_cond_45_54,F_Mental_health_cond_55_64,F_Mental_health_cond_65_74,F_Mental_health_cond_75_84,F_Mental_health_cond_85_over,F_Mental_health_cond_Tot,F_Stroke_0_14,F_Stroke_15_24,F_Stroke_25_34,F_Stroke_35_44,F_Stroke_45_54,F_Stroke_55_64,F_Stroke_65_74,F_Stroke_75_84,F_Stroke_85_over,F_Stroke_Tot,F_Oth_lt_health_cond_0_14,F_Oth_lt_health_cond_15_24,F_Oth_lt_health_cond_25_34,F_Oth_lt_health_cond_35_44,F_Oth_lt_health_cond_45_54,F_Oth_lt_health_cond_55_64,F_Oth_lt_health_cond_65_74,F_Oth_lt_health_cond_75_84,F_Oth_lt_health_cond_85_over,F_Oth_lt_health_cond_Tot,F_No_lt_health_cond_0_14,F_No_lt_health_cond_15_24,F_No_lt_health_cond_25_34,F_No_lt_health_cond_35_44,F_No_lt_health_cond_45_54,F_No_lt_health_cond_55_64,F_No_lt_health_cond_65_74,F_No_lt_health_cond_75_84,F_No_lt_health_cond_85_over,F_No_lt_health_cond_Tot,F_NS_0_14,F_NS_15_24,F_NS_25_34,F_NS_35_44,F_NS_45_54,F_NS_55_64,F_NS_65_74,F_NS_75_84,F_NS_85_over,F_NS_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85_over,F_Tot_Tot,P_Arthritis_0_14,P_Arthritis_15_24,P_Arthritis_25_34,P_Arthritis_35_44,P_Arthritis_45_54,P_Arthritis_55_64,P_Arthritis_65_74,P_Arthritis_75_84,P_Arthritis_85_over,P_Arthritis_Tot,P_Asthma_0_14,P_Asthma_15_24,P_Asthma_25_34,P_Asthma_35_44,P_Asthma_45_54,P_Asthma_55_64,P_Asthma_65_74,P_Asthma_75_84,P_Asthma_85_over,P_Asthma_Tot,P_Cancer_0_14,P_Cancer_15_24,P_Cancer_25_34,P_Cancer_35_44,P_Cancer_45_54,P_Cancer_55_64,P_Cancer_65_74,P_Cancer_75_84,P_Cancer_85_over,P_Cancer_Tot,P_Dementia_0_14,P_Dementia_15_24,P_Dementia_25_34,P_Dementia_35_44,P_Dementia_45_54,P_Dementia_55_64,P_Dementia_65_74,P_Dementia_75_84,P_Dementia_85_over,P_Dementia_Tot,P_Diabetes_0_14,P_Diabetes_15_24,P_Diabetes_25_34,P_Diabetes_35_44,P_Diabetes_45_54,P_Diabetes_55_64,P_Diabetes_65_74,P_Diabetes_75_84,P_Diabetes_85_over,P_Diabetes_Tot,P_Heart_disease_0_14,P_Heart_disease_15_24,P_Heart_disease_25_34,P_Heart_disease_35_44,P_Heart_disease_45_54,P_Heart_disease_55_64,P_Heart_disease_65_74,P_Heart_disease_75_84,P_Heart_disease_85_over,P_Heart_disease_Tot,P_Kidney_disease_0_14,P_Kidney_disease_15_24,P_Kidney_disease_25_34,P_Kidney_disease_35_44,P_Kidney_disease_45_54,P_Kidney_disease_55_64,P_Kidney_disease_65_74,P_Kidney_disease_75_84,P_Kidney_disease_85_over,P_Kidney_disease_Tot,P_Lung_cond_0_14,P_Lung_cond_15_24,P_Lung_cond_25_34,P_Lung_cond_35_44,P_Lung_cond_45_54,P_Lung_cond_55_64,P_Lung_cond_65_74,P_Lung_cond_75_84,P_Lung_cond_85_over,P_Lung_cond_Tot,P_Mental_health_cond_0_14,P_Mental_health_cond_15_24,P_Mental_health_cond_25_34,P_Mental_health_cond_35_44,P_Mental_health_cond_45_54,P_Mental_health_cond_55_64,P_Mental_health_cond_65_74,P_Mental_health_cond_75_84,P_Mental_health_cond_85_over,P_Mental_health_cond_Tot,P_Stroke_0_14,P_Stroke_15_24,P_Stroke_25_34,P_Stroke_35_44,P_Stroke_45_54,P_Stroke_55_64,P_Stroke_65_74,P_Stroke_75_84,P_Stroke_85_over,P_Stroke_Tot,P_Oth_lt_health_cond_0_14,P_Oth_lt_health_cond_15_24,P_Oth_lt_health_cond_25_34,P_Oth_lt_health_cond_35_44,P_Oth_lt_health_cond_45_54,P_Oth_lt_health_cond_55_64,P_Oth_lt_health_cond_65_74,P_Oth_lt_health_cond_75_84,P_Oth_lt_health_cond_85_over,P_Oth_lt_health_cond_Tot,P_No_lt_health_cond_0_14,P_No_lt_health_cond_15_24,P_No_lt_health_cond_25_34,P_No_lt_health_cond_35_44,P_No_lt_health_cond_45_54,P_No_lt_health_cond_55_64,P_No_lt_health_cond_65_74,P_No_lt_health_cond_75_84,P_No_lt_health_cond_85_over,P_No_lt_health_cond_Tot
UCL501001,139,171,275,457,679,1039,1529,1668,1195,7152,210,139,258,479,1338,3142,4858,4084,1773,16280,3598,18089,21995,18571,15898,12866,7631,3866,2444,104952,51,50,117,305,629,1070,1709,2031,1513,7478,6279,7245,10251,12121,13074,14363,12294,7388,4515,87539,158245,82179,99996,99271,78406,56993,34706,12859,3595,626248,12838,8559,9914,9281,8407,6761,5251,3953,2858,67830,188700,120692,148478,149485,131874,115347,92912,52702,24539,1024731,356,1265,3743,8059,17239,31053,41442,31132,14043,148329,21359,18982,22867,23011,19932,16957,14160,7744,2705,147717,384,479,1181,2899,6127,11015,16052,11873,4453,54457,16,36,33,70,153,541,1791,5022,6071,13736,601,1266,2552,6171,12064,19417,24382,15654,5286,87401,479,483,794,1788,5295,12620,20873,18644,9480,70452,343,327,518,940,1379,2252,3403,3721,2236,15114,476,306,514,949,2457,5732,9260,7914,3210,30818,7613,27218,33993,30138,26388,21219,13113,6442,3421,169550,96,109,213,601,1267,2456,4138,4622,2686,16194,15702,13151,16228,19566,22445,25000,21978,12699,6884,153666,319421,174681,200704,198593,156845,112405,65832,24608,6327,1259419
UCL511001,5,3,4,20,32,46,64,54,54,284,13,10,9,25,50,163,236,171,71,749,181,780,892,804,773,631,365,162,110,4704,0,0,5,11,27,56,92,89,62,350,286,265,359,438,497,617,467,270,184,3388,5749,2621,2822,3030,2701,2032,1237,537,133,20859,594,334,369,319,333,318,236,184,147,2829,7206,4179,4693,5009,4973,4584,3696,2122,949,37415,22,63,187,430,914,1557,1952,1320,551,6998,1211,765,891,959,821,715,621,328,97,6409,15,16,43,116,232,480,665,445,165,2164,0,0,4,8,7,32,79,228,248,604,28,59,113,236,515,808,1073,616,223,3667,23,23,38,70,190,477,804,723,390,2733,11,4,25,34,66,98,132,144,97,607,21,16,24,41,103,292,446,362,115,1422,396,1159,1369,1267,1233,1048,655,281,153,7556,0,0,16,16,57,111,199,174,101,679,687,486,549,701,817,1061,826,469,261,5853,11612,5536,5684,6032,5321,4074,2385,1000,234,41873
UCL512001,0,0,4,3,13,12,28,38,20,135,4,6,0,9,29,81,93,83,46,342,68,329,352,333,359,326,192,134,50,2133,0,0,3,4,11,17,47,54,49,185,112,117,139,183,232,282,235,191,94,1583,2120,1025,985,1011,1094,964,655,306,89,8262,216,142,125,135,147,164,129,90,59,1211,2649,1678,1688,1801,2062,2168,1880,1315,609,15846,5,25,61,143,344,700,912,813,395,3405,433,349,379,354,359,361,306,184,60,2800,3,0,15,35,109,197,343,277,111,1090,0,0,0,6,3,15,34,151,172,385,10,23,48,88,213,383,465,391,129,1747,4,8,14,34,73,256,424,439,271,1521,6,3,7,13,24,32,72,69,48,274,10,7,3,7,44,137,204,180,88,671,150,531,565,501,542,556,342,193,79,3463,0,0,5,10,16,39,104,135,96,408,283,219,231,272,372,459,415,322,146,2711,4175,2208,2051,1997,2103,1818,1243,533,174,16304
UCL512002,3,0,0,10,3,28,31,33,36,139,0,0,0,3,23,61,95,79,35,303,67,188,253,282,286,236,181,94,61,1647,0,4,0,0,8,13,34,50,42,156,95,81,101,139,191,221,221,151,82,1282,1953,839,810,1066,1049,887,682,287,74,7639,208,126,105,126,144,158,120,82,38,1094,2437,1277,1341,1736,1885,1887,1875,1108,563,14109,6,17,37,126,306,560,892,695,369,3009,327,214,219,306,294,294,292,182,91,2217,5,0,12,40,91,179,330,251,92,1007,0,0,0,0,3,14,46,104,133,299,7,0,29,59,133,254,418,288,122,1321,5,6,9,18,71,160,368,361,221,1220,4,4,5,10,15,44,61,72,54,284,3,8,5,10,33,102,200,169,63,595,128,297,398,436,484,394,304,175,73,2696,0,4,3,6,12,38,91,93,65,321,210,170,160,228,307,368,399,259,117,2226,3912,1774,1626,1991,1975,1599,1287,556,128,14843
UCL512003,0,0,4,10,21,33,49,56,32,208,5,0,5,16,35,69,107,82,34,347,61,284,344,324,320,268,155,93,72,1914,0,0,3,7,16,24,44,34,34,162,110,103,145,179,199,233,201,128,75,1384,2384,1196,1152,1191,1163,915,568,240,62,8872,483,257,242,273,247,207,174,110,70,2061,3206,1963,1998,2136,2223,2118,1720,1007,449,16829,7,18,60,136,363,636,806,604,273,2898,503,369,370,394,395,374,301,162,62,2933,5,3,22,35,108,215,315,243,111,1055,0,0,0,7,11,20,43,131,154,350,12,29,59,120,241,495,514,324,107,1914,9,5,15,30,108,273,402,354,224,1421,8,0,10,19,33,76,106,106,77,428,5,3,4,15,64,155,205,157,68,682,124,431,527,505,540,476,269,149,113,3121,0,0,3,12,24,51,80,96,52,317,288,202,237,301,319,402,339,219,119,2431,4722,2490,2310,2323,2253,1842,1128,463,116,17646
UCL512004,6,0,12,8,10,21,25,18,13,111,3,4,4,4,19,36,57,26,14,164,33,203,302,227,205,114,47,18,28,1173,0,0,4,0,10,16,18,17,8,77,79,68,136,149,147,151,96,44,35,903,2470,1101,1451,1309,1003,714,290,79,16,8433,383,221,325,274,244,222,135,36,22,1858,3072,1659,2362,2093,1848,1579,841,328,136,13922,11,12,69,148,281,453,405,212,67,1656,313,256,371,293,252,255,114,61,14,1935,0,9,18,45,89,125,144,80,23,548,0,0,0,0,0,9,21,37,41,112,8,15,54,102,224,364,298,128,28,1226,13,5,12,15,86,211,221,117,50,727,7,4,17,14,33,43,59,39,22,239,7,4,7,14,33,89,132,64,16,361,66,291,424,370,340,211,105,35,34,1875,0,5,4,7,22,43,44,31,12,166,186,140,205,235,271,299,174,78,44,1633,5030,2472,3220,2841,2251,1687,636,163,30,18321
UCL513001,0,0,4,7,11,13,18,9,5,69,0,0,6,0,13,35,50,23,8,141,20,86,140,138,115,96,59,13,0,666,0,0,0,0,5,12,12,3,0,43,43,37,72,78,85,108,95,23,3,541,1434,616,1116,959,696,747,541,119,14,6245,296,165,336,263,256,287,204,67,10,1885,1848,941,1747,1553,1306,1519,1307,378,56,10651,0,10,24,58,109,287,469,211,22,1183,125,77,152,158,153,154,171,44,9,1034,0,0,6,28,38,124,181,91,5,489,0,0,0,0,0,6,21,17,5,51,6,12,23,51,101,164,212,83,10,671,16,11,14,23,38,134,253,145,22,648,7,4,8,19,19,24,39,15,4,147,6,0,0,3,22,61,93,47,11,261,37,118,192,193,187,162,117,33,4,1043,0,0,0,0,10,27,32,23,3,103,102,58,106,130,153,194,205,49,9,992,2885,1170,1966,1846,1429,1364,1132,278,27,12101
UCL513002,0,0,3,0,9,6,6,16,5,39,3,0,0,6,6,25,25,32,7,106,18,64,91,90,83,79,34,27,10,480,0,0,0,0,3,3,10,6,12,35,28,18,31,35,41,62,40,43,37,325,734,355,401,381,345,342,208,104,18,2894,135,69,65,78,68,64,58,41,22,591,961,535,622,636,630,673,558,400,162,5188,0,3,21,45,94,199,240,231,85,909,134,109,110,119,115,128,100,65,19,900,3,5,7,18,24,60,80,79,33,296,0,0,0,0,0,3,8,32,38,83,3,10,18,28,77,113,134,111,37,529,0,4,4,7,30,81,114,134,61,428,3,3,15,3,14,11,16,24,9,90,3,3,0,5,12,44,56,56,24,201,41,105,138,140,125,145,73,38,10,816,0,0,0,0,3,12,24,23,18,84,71,32,54,56,83,108,79,76,52,605,1479,766,789,768,738,677,403,189,40,5855
UCL513003,0,0,6,4,3,5,3,5,0,27,6,0,0,3,8,3,8,10,0,42,28,68,156,135,82,44,10,3,0,534,0,0,0,0,3,4,0,4,0,15,59,32,65,70,72,51,15,13,0,377,1653,528,1057,996,615,323,131,24,0,5327,348,161,301,272,201,139,74,9,4,1504,2150,837,1695,1585,1126,682,332,77,13,8490,0,6,46,55,148,189,114,48,7,611,170,111,229,210,155,99,53,11,0,1029,0,3,9,35,45,59,48,17,5,220,0,0,0,0,0,0,9,5,0,14,11,10,25,44,107,132,85,18,3,430,8,8,11,19,41,84,52,33,4,253,0,0,10,7,12,9,8,12,0,54,4,3,4,4,17,22,25,16,0,96,62,123,242,213,165,100,37,8,0,951,0,0,0,6,6,6,9,12,0,36,123,72,109,127,141,105,51,22,0,745,3383,1216,2252,2367,1523,842,305,34,0,11927
UCL513004,0,0,3,5,15,10,9,3,3,40,0,0,0,4,8,14,12,5,0,40,22,60,163,110,68,41,13,3,0,490,0,0,0,4,9,16,9,0,3,41,56,31,73,82,64,60,42,6,5,419,1428,508,991,819,475,335,92,19,0,4658,282,182,325,233,204,146,63,21,0,1462,1858,809,1642,1340,945,759,340,80,15,7793,3,0,32,63,112,181,152,31,4,579,162,95,225,218,130,140,58,11,0,1042,0,0,10,25,33,55,37,15,6,180,0,0,0,0,0,9,8,4,4,16,10,6,26,65,120,172,115,27,0,550,3,5,10,24,55,97,85,30,9,317,0,0,7,11,28,23,19,8,3,96,6,0,4,3,14,38,26,10,0,109,34,101,234,199,125,90,25,8,0,806,0,0,0,3,17,27,18,10,3,78,127,48,120,130,127,107,85,13,11,770,2879,1094,2143,1995,1342,913,248,44,4,10660
