UCL_CODE_2021,M_15_19_yr_Married,M_15_19_yr_Separated,M_15_19_yr_Divorced,M_15_19_yr_Widowed,M_15_19_yr_Never_married,M_15_19_yr_Tot,M_20_24_yr_Married,M_20_24_yr_Separated,M_20_24_yr_Divorced,M_20_24_yr_Widowed,M_20_24_yr_Never_married,M_20_24_yr_Tot,M_25_34_yr_Married,M_25_34_yr_Separated,M_25_34_yr_Divorced,M_25_34_yr_Widowed,M_25_34_yr_Never_married,M_25_34_yr_Tot,M_35_44_yr_Married,M_35_44_yr_Separated,M_35_44_yr_Divorced,M_35_44_yr_Widowed,M_35_44_yr_Never_married,M_35_44_yr_Tot,M_45_54_yr_Married,M_45_54_yr_Separated,M_45_54_yr_Divorced,M_45_54_yr_Widowed,M_45_54_yr_Never_married,M_45_54_yr_Tot,M_55_64_yr_Married,M_55_64_yr_Separated,M_55_64_yr_Divorced,M_55_64_yr_Widowed,M_55_64_yr_Never_married,M_55_64_yr_Tot,M_65_74_yr_Married,M_65_74_yr_Separated,M_65_74_yr_Divorced,M_65_74_yr_Widowed,M_65_74_yr_Never_married,M_65_74_yr_Tot,M_75_84_yr_Married,M_75_84_yr_Separated,M_75_84_yr_Divorced,M_75_84_yr_Widowed,M_75_84_yr_Never_married,M_75_84_yr_Tot,M_85_yr_over_Married,M_85_yr_over_Separated,M_85_yr_over_Divorced,M_85_yr_over_Widowed,M_85_yr_over_Never_married,M_85_yr_over_Tot,M_OS_visitors_Married,M_OS_visitors_Separated,M_OS_visitors_Divorced,M_OS_visitors_Widowed,M_OS_visitors_Never_married,M_OS_visitors_Tot,M_Tot_Married,M_Tot_Separated,M_Tot_Divorced,M_Tot_Widowed,M_Tot_Never_married,M_Tot_Tot,F_15_19_yr_Married,F_15_19_yr_Separated,F_15_19_yr_Divorced,F_15_19_yr_Widowed,F_15_19_yr_Never_married,F_15_19_yr_Tot,F_20_24_yr_Married,F_20_24_yr_Separated,F_20_24_yr_Divorced,F_20_24_yr_Widowed,F_20_24_yr_Never_married,F_20_24_yr_Tot,F_25_34_yr_Married,F_25_34_yr_Separated,F_25_34_yr_Divorced,F_25_34_yr_Widowed,F_25_34_yr_Never_married,F_25_34_yr_Tot,F_35_44_yr_Married,F_35_44_yr_Separated,F_35_44_yr_Divorced,F_35_44_yr_Widowed,F_35_44_yr_Never_married,F_35_44_yr_Tot,F_45_54_yr_Married,F_45_54_yr_Separated,F_45_54_yr_Divorced,F_45_54_yr_Widowed,F_45_54_yr_Never_married,F_45_54_yr_Tot,F_55_64_yr_Married,F_55_64_yr_Separated,F_55_64_yr_Divorced,F_55_64_yr_Widowed,F_55_64_yr_Never_married,F_55_64_yr_Tot,F_65_74_yr_Married,F_65_74_yr_Separated,F_65_74_yr_Divorced,F_65_74_yr_Widowed,F_65_74_yr_Never_married,F_65_74_yr_Tot,F_75_84_yr_Married,F_75_84_yr_Separated,F_75_84_yr_Divorced,F_75_84_yr_Widowed,F_75_84_yr_Never_married,F_75_84_yr_Tot,F_85_yr_over_Married,F_85_yr_over_Separated,F_85_yr_over_Divorced,F_85_yr_over_Widowed,F_85_yr_over_Never_married,F_85_yr_over_Tot,F_OS_visitors_Married,F_OS_visitors_Separated,F_OS_visitors_Divorced,F_OS_visitors_Widowed,F_OS_visitors_Never_married,F_OS_visitors_Tot,F_Tot_Married,F_Tot_Separated,F_Tot_Divorced,F_Tot_Widowed,F_Tot_Never_married,F_Tot_Tot,P_15_19_yr_Married,P_15_19_yr_Separated,P_15_19_yr_Divorced,P_15_19_yr_Widowed,P_15_19_yr_Never_married,P_15_19_yr_Tot,P_20_24_yr_Married,P_20_24_yr_Separated,P_20_24_yr_Divorced,P_20_24_yr_Widowed,P_20_24_yr_Never_married,P_20_24_yr_Tot,P_25_34_yr_Married,P_25_34_yr_Separated,P_25_34_yr_Divorced,P_25_34_yr_Widowed,P_25_34_yr_Never_married,P_25_34_yr_Tot,P_35_44_yr_Married,P_35_44_yr_Separated,P_35_44_yr_Divorced,P_35_44_yr_Widowed,P_35_44_yr_Never_married,P_35_44_yr_Tot,P_45_54_yr_Married,P_45_54_yr_Separated,P_45_54_yr_Divorced,P_45_54_yr_Widowed,P_45_54_yr_Never_married,P_45_54_yr_Tot,P_55_64_yr_Married,P_55_64_yr_Separated,P_55_64_yr_Divorced,P_55_64_yr_Widowed,P_55_64_yr_Never_married,P_55_64_yr_Tot,P_65_74_yr_Married,P_65_74_yr_Separated,P_65_74_yr_Divorced,P_65_74_yr_Widowed,P_65_74_yr_Never_married,P_65_74_yr_Tot,P_75_84_yr_Married,P_75_84_yr_Separated,P_75_84_yr_Divorced,P_75_84_yr_Widowed,P_75_84_yr_Never_married,P_75_84_yr_Tot,P_85_yr_over_Married,P_85_yr_over_Separated,P_85_yr_over_Divorced,P_85_yr_over_Widowed,P_85_yr_over_Never_married,P_85_yr_over_Tot,P_OS_vis_Married,P_OS_vis_Separated,P_OS_vis_Divorced,P_OS_vis_Widowed,P_OS_vis_Never_married,P_OS_vis_Tot,P_Tot_Married,P_Tot_Separated,P_Tot_Divorced,P_Tot_Widowed,P_Tot_Never_married,P_Tot_Tot
UCL521033,0,0,0,0,8,8,0,0,0,0,21,23,15,3,3,0,81,101,50,3,13,0,30,94,67,8,10,8,31,121,62,13,17,0,13,97,36,4,9,3,15,73,11,3,4,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,234,38,58,15,198,540,0,0,0,0,11,11,0,0,0,0,15,15,0,0,4,0,46,51,28,5,3,0,21,60,22,10,0,5,8,54,35,4,12,10,12,71,23,4,10,4,4,45,8,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,116,26,26,18,123,316,0,0,0,0,25,25,0,0,0,0,31,35,20,3,6,0,128,154,79,7,17,0,52,150,89,16,10,4,46,174,89,20,29,13,23,175,61,13,18,8,18,116,16,3,4,0,0,24,3,0,0,0,0,3,0,0,0,0,0,0,359,66,84,28,320,859
UCL521034,0,0,0,0,25,25,0,0,0,0,29,29,12,0,0,0,21,32,24,4,3,0,11,40,42,0,3,0,13,56,48,6,7,0,12,69,25,0,9,0,0,40,11,0,5,0,0,16,3,0,0,0,0,10,0,0,0,0,0,0,162,9,30,4,116,317,0,0,0,0,20,20,0,0,0,0,17,17,12,0,0,0,20,40,29,0,0,0,8,42,36,5,9,0,13,61,44,4,9,6,3,65,28,0,8,6,0,44,13,3,3,7,0,21,0,0,0,0,0,0,0,0,0,0,0,0,173,10,32,18,83,313,0,0,0,0,44,44,0,0,0,0,42,42,24,5,0,0,42,71,55,4,6,0,17,82,75,5,9,0,27,123,86,8,17,3,11,132,51,0,16,4,0,83,21,3,4,7,0,38,3,0,0,5,0,11,0,0,0,0,0,0,332,20,59,21,196,629
UCL521035,0,0,0,0,11,11,0,0,0,0,5,5,9,0,0,0,13,20,13,0,0,0,11,30,13,3,0,0,16,29,23,3,11,0,9,43,28,7,11,5,7,46,22,0,0,5,3,28,3,0,0,3,0,10,0,0,0,0,0,0,97,11,30,7,75,222,0,0,0,0,17,17,0,0,0,0,7,7,11,0,0,0,7,19,14,0,0,0,14,30,14,0,6,0,12,34,24,6,16,0,6,53,23,0,9,5,6,39,14,0,6,10,0,37,4,0,0,9,0,14,0,0,0,0,0,0,101,11,39,20,63,240,0,0,0,0,29,29,0,0,0,0,13,13,17,0,0,0,22,38,26,0,4,0,25,59,30,5,6,0,23,66,43,10,31,0,18,95,47,5,20,4,9,87,37,0,11,12,0,65,9,0,0,12,0,19,0,0,0,0,0,0,200,26,67,28,139,462
UCL521036,0,0,0,0,11,11,0,0,0,0,12,12,3,0,0,0,35,37,0,0,3,0,14,16,13,0,4,0,33,49,20,6,11,0,16,63,29,7,12,5,4,52,12,0,6,4,0,25,0,0,0,0,0,5,0,0,0,0,0,0,85,21,38,16,125,269,0,0,0,0,7,7,0,0,0,0,18,18,10,0,0,0,28,39,7,0,0,0,15,23,14,5,10,0,15,42,27,0,17,0,10,52,20,3,9,9,0,41,7,0,6,3,0,17,0,0,0,0,0,0,0,0,0,0,0,0,85,10,32,16,95,243,0,0,0,0,18,18,0,0,0,0,32,32,11,0,0,0,58,74,4,3,3,0,25,38,29,9,11,0,47,92,49,6,24,4,27,116,49,10,21,12,9,94,17,5,13,8,0,43,0,0,0,4,0,10,0,0,0,0,0,0,169,30,74,30,213,515
UCL521037,0,0,0,0,41,41,0,0,0,0,22,23,12,0,0,0,29,43,28,0,3,0,35,68,25,4,8,0,22,53,23,8,14,0,11,62,28,0,11,0,7,47,22,0,3,0,5,29,0,0,0,0,0,6,0,0,0,0,0,0,143,19,47,10,163,377,0,0,0,0,22,22,0,0,0,0,11,11,16,5,0,0,25,48,33,5,7,0,27,78,16,8,18,5,27,72,30,0,15,0,6,55,32,4,12,13,0,59,17,3,0,10,0,37,0,0,0,0,0,4,0,0,0,0,0,0,143,25,58,34,129,389,0,0,0,0,67,67,0,0,0,0,35,36,27,4,0,0,54,91,61,11,12,0,59,146,44,14,26,5,43,125,57,13,31,0,22,122,62,4,21,11,8,105,38,4,7,13,5,64,0,0,0,5,0,11,0,0,0,0,0,0,287,46,105,37,289,772
UCL521038,0,0,0,0,15,15,0,0,0,0,11,11,3,0,0,0,17,20,10,0,0,0,16,30,9,3,9,0,21,42,44,3,9,0,10,72,42,3,14,10,11,81,27,4,10,9,3,49,11,0,0,7,0,16,0,0,0,0,0,0,141,19,39,23,105,330,0,0,0,0,12,12,0,0,0,0,8,8,7,0,0,0,20,27,12,5,4,0,10,35,25,0,6,0,19,48,43,6,9,3,10,68,40,0,8,12,7,80,18,0,5,13,0,40,3,0,0,22,0,26,0,0,0,0,0,0,155,13,29,60,93,349,0,0,0,0,35,35,0,0,0,0,20,20,9,0,0,0,33,43,29,4,4,0,26,62,33,8,15,0,34,89,84,14,14,4,25,137,87,6,26,24,17,161,43,0,12,28,8,89,12,3,0,26,0,45,0,0,0,0,0,0,298,30,72,88,195,679
UCL521039,0,0,0,0,29,29,0,0,0,0,6,6,5,0,0,0,14,19,30,0,0,0,14,40,26,0,4,0,9,43,37,0,9,0,15,68,38,0,7,0,8,53,27,0,6,4,0,36,3,0,0,0,0,8,0,0,0,0,0,0,172,4,28,10,90,306,0,0,0,0,27,27,0,0,0,0,0,0,12,0,0,0,17,38,33,0,6,0,18,55,32,6,5,0,13,54,48,0,14,4,9,80,34,0,13,4,6,52,19,0,3,0,5,26,4,0,3,3,0,12,0,0,0,0,0,0,188,12,36,11,88,340,0,0,0,0,56,56,0,0,0,0,10,10,24,0,0,0,33,53,63,3,0,0,31,101,59,6,12,0,20,97,90,5,29,4,24,145,74,0,16,6,9,103,46,0,8,4,4,62,9,0,3,5,0,16,0,0,0,0,0,0,362,16,68,25,186,645
UCL521040,0,0,0,0,3,3,0,0,0,0,32,34,23,0,0,0,69,94,72,8,3,0,35,115,65,5,5,0,23,97,91,8,10,0,21,129,104,3,17,6,5,134,33,4,0,5,0,42,0,0,0,3,0,6,0,0,0,0,7,10,384,27,39,8,200,660,0,0,0,0,6,6,0,0,0,0,10,15,46,0,0,0,66,112,51,4,5,0,18,76,46,4,14,3,26,93,94,4,8,0,19,124,93,4,30,7,4,134,24,0,5,4,0,36,0,0,0,3,0,0,0,0,0,0,14,16,347,20,56,18,163,609,0,0,0,0,12,12,3,0,0,0,44,49,61,0,0,0,140,205,120,15,4,0,52,189,112,9,17,5,50,194,182,17,17,0,35,249,189,8,40,15,12,264,57,4,7,8,0,76,3,0,0,4,0,11,5,0,0,0,21,28,734,50,95,32,355,1271
UCL521041,0,0,0,0,7,7,0,0,0,0,16,16,33,0,0,0,49,84,65,3,3,0,18,92,28,7,7,0,10,54,23,4,12,0,9,51,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163,13,25,0,110,309,0,0,0,0,5,5,0,0,0,0,15,21,42,0,4,0,40,90,42,0,0,0,18,61,12,0,5,0,8,21,9,6,6,0,0,23,3,0,4,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,6,23,3,90,235,0,0,0,0,11,11,0,0,0,0,34,38,72,3,4,0,88,171,111,3,3,0,37,151,40,9,12,0,16,76,39,3,17,0,16,74,11,0,7,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,274,24,47,8,196,545
UCL521042,0,0,0,0,20,20,0,0,0,0,15,15,12,0,0,0,21,39,13,0,0,0,9,28,29,0,5,0,14,49,24,0,9,3,16,51,35,3,3,5,9,45,7,0,6,0,0,19,9,0,0,3,0,12,3,0,0,0,9,12,127,4,27,11,120,292,0,0,0,0,14,14,0,0,0,0,11,11,12,0,0,0,17,35,25,0,5,0,19,48,26,0,8,4,17,53,17,0,10,4,6,40,19,0,3,6,0,32,12,0,3,5,0,22,3,0,0,13,0,15,0,0,0,0,7,7,114,3,32,37,92,277,0,0,0,0,35,35,0,0,0,0,31,31,16,0,3,0,44,66,36,4,3,0,28,76,58,0,14,4,28,101,39,0,21,3,27,95,54,3,12,10,9,79,22,0,11,11,0,45,9,0,0,17,3,28,3,0,0,0,10,15,239,7,59,47,217,570
