UCL_CODE_2021,Preschool_M,Preschool_F,Preschool_P,Primary_Government_M,Primary_Government_F,Primary_Government_P,Primary_Catholic_M,Primary_Catholic_F,Primary_Catholic_P,Prim_Other_Non_Govt_M,Prim_Other_Non_Govt_F,Prim_Other_Non_Govt_P,Primary_Tot_M,Primary_Tot_F,Primary_Tot_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_Non_Govt_M,Secondary_Other_Non_Govt_F,Secondary_Other_Non_Govt_P,Secondary_Tot_Secondary_M,Secondary_Tot_Secondary_F,Secondary_Tot_Secondary_P,Tert_Voc_Ed_Ft_15_24_yr_M,Tert_Voc_Ed_Ft_15_24_yr_F,Tert_Voc_Ed_Ft_15_24_yr_P,Tert_Voc_Ed_Ft_25_yr_over_M,Tert_Voc_Ed_Ft_25_yr_over_F,Tert_Voc_Ed_Ft_25_yr_over_P,Tert_Voc_Ed_Pt_15_24_yr_M,Tert_Voc_Ed_Pt_15_24_yr_F,Tert_Voc_Ed_Pt_15_24_yr_P,Tert_Voc_Ed_Pt_25_yr_over_M,Tert_Voc_Ed_Pt_25_yr_over_F,Tert_Voc_Ed_Pt_25_yr_over_P,Tert_Voc_Ed_Ft_Pt_st_ns_M,Tert_Voc_Ed_Ft_Pt_st_ns_F,Tert_Voc_Ed_Ft_Pt_st_ns_P,Tert_Voc_Ed_Tot_M,Tert_Voc_Ed_Tot_F,Tert_Voc_Ed_Tot_P,Tert_Uni_oth_edu_Ft_15_24_M,Tert_Uni_oth_edu_Ft_15_24_F,Tert_Uni_oth_edu_Ft_15_24_P,Tert_Uni_oth_edu_Ft_25ov_M,Tert_Uni_oth_edu_Ft_25ov_F,Tert_Uni_oth_edu_Ft_25ov_P,Tert_Uni_oth_edu_Pt_15_24_M,Tert_Uni_oth_edu_Pt_15_24_F,Tert_Uni_oth_edu_Pt_15_24_P,Tert_Uni_oth_edu_Pt_25ov_M,Tert_Uni_oth_edu_Pt_25ov_F,Tert_Uni_oth_edu_Pt_25ov_P,Tert_Uni_oth_edu_F_Pt_st_ns_M,Tert_Uni_oth_edu_F_Pt_st_ns_F,Tert_Uni_oth_edu_F_Pt_st_ns_P,Tert_Uni_oth_edu_Tot_M,Tert_Uni_oth_edu_Tot_F,Tert_Uni_oth_edu_Tot_P,Tert_Tot_Tert_M,Tert_Tot_Tert_F,Tert_Tot_Tert_P,Oth_type_Edu_inst_Ftime_stu_M,Oth_type_Edu_inst_Ftime_stu_F,Oth_type_Edu_inst_Ftime_stu_P,Oth_type_Edu_inst_Ptime_stu_M,Oth_type_Edu_inst_Ptime_stu_F,Oth_type_Edu_inst_Ptime_stu_P,Ot_ty_Ed_ins_F_Pt_Stu_st_ns_M,Ot_ty_Ed_ins_F_Pt_Stu_st_ns_F,Ot_ty_Ed_ins_F_Pt_Stu_st_ns_P,Oth_type_educ_institut_Tot_M,Oth_type_educ_institut_Tot_F,Oth_type_educ_institut_Tot_P,Type_educ_institution_ns_M,Type_educ_institution_ns_F,Type_educ_institution_ns_P,OS_visitors_M,OS_visitors_F,OS_visitors_P,Tot_M,Tot_F,Tot_P
UCL501001,18644,17149,35790,62036,58278,120313,14171,14094,28266,11781,11645,23424,88132,84172,172303,40192,37390,77583,14824,14616,29443,15475,15243,30719,70573,67343,137919,4769,4503,9268,3849,6505,10356,5943,3475,9416,6630,11711,18340,92,89,181,21277,26284,47555,22063,28262,50319,8821,11621,20437,3661,4581,8239,8441,14098,22536,99,121,220,43079,58680,101755,64472,85087,149559,3084,3371,6458,5149,8039,13192,97,97,194,8335,11507,19842,43858,42321,86176,2636,2568,5203,296648,310142,606795
UCL511001,704,644,1343,2438,2214,4650,503,517,1017,466,393,865,3416,3130,6544,1787,1839,3626,547,560,1104,423,429,857,2751,2831,5585,137,132,275,78,195,278,311,167,478,209,459,666,6,3,7,738,964,1712,92,250,336,78,218,298,28,82,117,178,417,597,0,4,0,376,969,1349,1122,1938,3058,71,82,155,161,236,405,4,0,4,241,322,564,2231,1715,3940,43,49,92,10499,10628,21131
UCL512001,265,222,487,790,745,1531,107,121,222,223,256,479,1119,1122,2239,734,685,1419,97,118,224,251,307,559,1089,1114,2204,64,61,125,33,85,112,131,65,201,105,222,328,0,6,3,335,422,760,44,76,126,34,68,99,18,38,49,66,201,267,0,0,0,162,385,542,500,805,1304,20,29,53,87,106,197,0,0,0,109,139,247,1116,786,1898,30,18,45,4221,4198,8425
UCL512002,211,222,441,693,636,1328,211,210,424,216,226,442,1128,1070,2200,584,511,1095,218,265,480,209,206,410,1010,976,1985,43,27,73,17,63,82,92,51,150,71,163,230,0,0,3,229,306,531,22,73,95,25,74,97,6,23,33,37,167,201,0,0,0,94,332,423,318,646,960,29,33,64,44,85,131,0,0,3,80,124,196,656,697,1354,16,15,35,3422,3753,7170
UCL512003,279,267,548,830,694,1526,354,380,737,181,202,377,1371,1286,2656,626,565,1197,317,380,692,143,170,315,1092,1114,2205,46,86,136,36,68,104,126,106,231,125,277,404,0,5,0,338,540,876,23,87,106,24,87,111,16,37,55,76,196,277,3,0,3,142,405,544,479,942,1426,24,35,63,69,105,168,5,0,3,98,140,236,1473,1499,2973,22,19,41,4818,5265,10082
UCL512004,290,296,589,1023,937,1957,253,238,489,79,83,168,1354,1266,2628,493,529,1020,311,278,589,68,48,121,877,862,1735,44,32,77,31,33,63,140,86,224,144,248,395,6,0,9,360,405,766,84,62,142,74,68,144,14,25,34,93,189,275,3,3,8,257,343,603,622,749,1367,40,19,60,58,104,165,4,4,6,102,126,231,2105,1414,3522,47,40,85,5399,4753,10159
UCL513001,146,118,267,594,547,1139,194,157,346,22,20,34,804,721,1527,316,363,680,118,134,259,11,7,19,452,504,955,14,16,27,12,14,31,34,29,61,69,141,212,0,0,0,127,207,337,27,77,103,22,78,94,0,30,30,56,161,219,0,0,0,103,347,450,232,554,790,19,23,42,20,51,70,0,0,0,39,74,112,1528,1621,3150,56,74,128,3256,3669,6922
UCL513002,74,87,160,342,352,692,37,22,62,31,23,51,406,398,802,302,272,575,6,8,16,64,62,125,373,344,722,19,11,30,7,3,11,32,29,59,19,77,100,0,0,3,74,120,199,4,25,26,8,12,25,3,7,14,20,41,52,0,0,0,34,90,123,114,212,325,11,4,12,14,25,39,0,0,0,19,26,48,586,497,1085,12,6,18,1583,1577,3161
UCL513003,193,186,387,753,708,1465,165,141,310,30,36,67,949,889,1835,420,394,809,147,138,290,6,6,9,580,536,1111,22,12,33,20,19,40,57,45,98,98,161,257,6,0,6,195,236,435,7,23,29,14,34,50,4,14,16,62,124,180,0,0,0,88,191,279,285,425,711,10,11,22,34,60,102,0,0,0,44,70,118,2252,1276,3525,75,27,99,4375,3414,7790
UCL513004,124,128,253,646,680,1324,74,77,154,28,17,40,750,776,1523,427,376,802,0,3,5,5,12,19,436,391,827,14,14,27,17,25,47,53,33,82,98,139,237,3,0,5,194,214,401,6,20,22,13,49,61,7,3,17,69,85,150,0,0,0,90,162,252,277,375,656,20,28,50,40,56,91,0,0,0,57,88,149,2437,1273,3709,34,21,54,4120,3047,7172
