UCL_CODE_2021,M_Nat_Phy_Sci_15_24,M_Nat_Phy_Sci_25_34,M_Nat_Phy_Sci_35_44,M_Nat_Phy_Sci_45_54,M_Nat_Phy_Sci_55_64,M_Nat_Phy_Sci_65_74,M_Nat_Phy_Sci_75_84,M_Nat_Phy_Sci_85ov,M_Nat_Phy_Sci_Tot,M_IT_15_24,M_IT_25_34,M_IT_35_44,M_IT_45_54,M_IT_55_64,M_IT_65_74,M_IT_75_84,M_IT_85ov,M_IT_Tot,M_Egnr_rel_Tech_15_24_yr,M_Egnr_rel_Tech_25_34_yr,M_Egnr_rel_Tech_35_44_yr,M_Egnr_rel_Tech_45_54_yr,M_Egnr_rel_Tech_55_64_yr,M_Egnr_rel_Tech_65_74_yr,M_Egnr_rel_Tech_75_84_yr,M_Egnr_rel_Tech_85_yr_over,M_Egnr_rel_Tech_Tot,M_Arc_Bld_15_24_yr,M_Arc_Bld_25_34_yr,M_Arc_Bld_35_44_yr,M_Arc_Bld_45_54_yr,M_Arc_Bld_55_64_yr,M_Arc_Bld_65_74_yr,M_Arc_Bld_75_84_yr,M_Arc_Bld_85_yr_over,M_Arc_Bld_Tot,M_Agric_Env_Rel_Stud_15_24,M_Agric_Env_Rel_Stud_25_34,M_Agric_Env_Rel_Stud_35_44,M_Agric_Env_Rel_Stud_45_54,M_Agric_Env_Rel_Stud_55_64,M_Agric_Env_Rel_Stud_65_74,M_Agric_Env_Rel_Stud_75_84,M_Agric_Env_Rel_Stud_85_over,M_Agric_Envir_Rel_Stud_Tot,M_Hlth_15_24_yr,M_Hlth_25_34_yr,M_Hlth_35_44_yr,M_Hlth_45_54_yr,M_Hlth_55_64_yr,M_Hlth_65_74_yr,M_Hlth_75_84_yr,M_Hlth_85_yr_over,M_Hlth_Tot,M_Edu_15_24_yr,M_Edu_25_34_yr,M_Edu_35_44_yr,M_Edu_45_54_yr,M_Edu_55_64_yr,M_Edu_65_74_yr,M_Edu_75_84_yr,M_Edu_85_yr_over,M_Edu_Tot,M_Mgmt_Cmrce_15_24_yr,M_Mgmt_Cmrce_25_34_yr,M_Mgmt_Cmrce_35_44_yr,M_Mgmt_Cmrce_45_54_yr,M_Mgmt_Cmrce_55_64_yr,M_Mgmt_Cmrce_65_74_yr,M_Mgmt_Cmrce_75_84_yr,M_Mgmt_Cmrce_85_yr_over,M_Mgmt_Cmrce_Tot,M_Scty_Cul_15_24_yr,M_Scty_Cul_25_34_yr,M_Scty_Cul_35_44_yr,M_Scty_Cul_45_54_yr,M_Scty_Cul_55_64_yr,M_Scty_Cul_65_74_yr,M_Scty_Cul_75_84_yr,M_Scty_Cul_85_yr_over,M_Scty_Cul_Tot,M_Crtve_Arts_15_24_yr,M_Crtve_Arts_25_34_yr,M_Crtve_Arts_35_44_yr,M_Crtve_Arts_45_54_yr,M_Crtve_Arts_55_64_yr,M_Crtve_Arts_65_74_yr,M_Crtve_Arts_75_84_yr,M_Crtve_Arts_85_yr_over,M_Crtve_Arts_Tot,M_FoodHos_PsnlSvcs_15_24_yr,M_FoodHos_PsnlSvcs_25_34_yr,M_FoodHos_PsnlSvcs_35_44_yr,M_FoodHos_PsnlSvcs_45_54_yr,M_FoodHos_PsnlSvcs_55_64_yr,M_FoodHos_PsnlSvcs_65_74_yr,M_FoodHos_PsnlSvcs_75_84_yr,M_FoodHos_PsnlSvcs_85_over,M_FoodHos_PsnlSvcs_Tot,M_Mix_Fld_Prog_15_24_yr,M_Mix_Fld_Prog_25_34_yr,M_Mix_Fld_Prog_35_44_yr,M_Mix_Fld_Prog_45_54_yr,M_Mix_Fld_Prog_55_64_yr,M_Mix_Fld_Prog_65_74_yr,M_Mix_Fld_Prog_75_84_yr,M_Mix_Fld_Prog_85_over,M_Mix_Fld_Prog_Tot,M_Fld_stud_inad_desc_15_24,M_Fld_stud_inad_desc_25_34,M_Fld_stud_inad_desc_35_44,M_Fld_stud_inad_desc_45_54,M_Fld_stud_inad_desc_55_64,M_Fld_stud_inad_desc_65_74,M_Fld_stud_inad_desc_75_84,M_Fld_stud_inad_desc_85_over,M_Fld_stud_inad_desc_Tot,M_Fld_stud_ns_15_24_yr,M_Fld_stud_ns_25_34_yr,M_Fld_stud_ns_35_44_yr,M_Fld_stud_ns_45_54_yr,M_Fld_stud_ns_55_64_yr,M_Fld_stud_ns_65_74_yr,M_Fld_stud_ns_75_84_yr,M_Fld_stud_ns_85_yr_over,M_Fld_stud_ns_Tot,M_Tot_15_24_yr,M_Tot_25_34_yr,M_Tot_35_44_yr,M_Tot_45_54_yr,M_Tot_55_64_yr,M_Tot_65_74_yr,M_Tot_75_84_yr,M_Tot_85_yr_over,M_Tot_Tot,F_Nat_Phy_Sci_15_24_yr,F_Nat_Phy_Sci_25_34_yr,F_Nat_Phy_Sci_35_44_yr,F_Nat_Phy_Sci_45_54_yr,F_Nat_Phy_Sci_55_64_yr,F_Nat_Phy_Sci_65_74_yr,F_Nat_Phy_Sci_75_84_yr,F_Nat_Phy_Sci_85_yr_over,F_Nat_Phy_Sci_Tot,F_IT_15_24_yr,F_IT_25_34_yr,F_IT_35_44_yr,F_IT_45_54_yr,F_IT_55_64_yr,F_IT_65_74_yr,F_IT_75_84_yr,F_IT_85_yr_over,F_IT_Tot,F_Egnr_rel_Tech_15_24_yr,F_Egnr_rel_Tech_25_34_yr,F_Egnr_rel_Tech_35_44_yr,F_Egnr_rel_Tech_45_54_yr,F_Egnr_rel_Tech_55_64_yr,F_Egnr_rel_Tech_65_74_yr,F_Egnr_rel_Tech_75_84_yr,F_Egnr_rel_Tech_85_yr_over,F_Egnr_rel_Tech_Tot,F_Arc_Bld_15_24_yr,F_Arc_Bld_25_34_yr,F_Arc_Bld_35_44_yr,F_Arc_Bld_45_54_yr,F_Arc_Bld_55_64_yr,F_Arc_Bld_65_74_yr,F_Arc_Bld_75_84_yr,F_Arc_Bld_85_yr_over,F_Arc_Bld_Tot,F_Agric_Env_Rel_Stud_15_24,F_Agric_Env_Rel_Stud_25_34,F_Agric_Env_Rel_Stud_35_44,F_Agric_Env_Rel_Stud_45_54,F_Agric_Env_Rel_Stud_55_64,F_Agric_Env_Rel_Stud_65_74,F_Agric_Env_Rel_Stud_75_84,F_Agric_Env_Rel_Stud_85_over,F_Agric_Envir_Rel_Stud_Tot,F_Hlth_15_24_yr,F_Hlth_25_34_yr,F_Hlth_35_44_yr,F_Hlth_45_54_yr,F_Hlth_55_64_yr,F_Hlth_65_74_yr,F_Hlth_75_84_yr,F_Hlth_85_yr_over,F_Hlth_Tot,F_Edu_15_24_yr,F_Edu_25_34_yr,F_Edu_35_44_yr,F_Edu_45_54_yr,F_Edu_55_64_yr,F_Edu_65_74_yr,F_Edu_75_84_yr,F_Edu_85_yr_over,F_Edu_Tot,F_Mgmt_Cmrce_15_24_yr,F_Mgmt_Cmrce_25_34_yr
UCL501001,1589,3755,3995,3723,3104,2394,1095,217,19867,2252,5443,7718,4211,2111,785,150,11,22693,8534,30122,32048,27953,25666,19875,9318,2478,155993,3198,10035,9003,7618,6621,5056,2618,815,44974,609,1680,2065,1884,1498,997,531,156,9418,1689,6269,5868,4924,3688,2338,1183,342,26305,661,2705,2830,2886,3262,2938,1454,374,17110,6314,15420,19801,16351,11812,7979,3415,751,81841,3982,7923,7554,6634,5084,3975,1633,349,37139,2896,4109,3326,1925,1239,959,322,81,14860,1921,4637,4660,3176,2253,1247,590,121,18596,315,152,73,66,66,56,40,12,778,561,1527,1767,1614,1170,747,432,137,7956,6609,9714,9107,7465,5823,4855,4205,2639,50415,41122,103502,109807,90435,73403,54199,26997,8478,507944,2179,4995,5044,3528,2209,1148,382,106,19583,412,2113,2516,1337,850,304,64,7,7603,1058,4042,3929,2274,1437,861,438,278,14314,486,1978,1612,1020,622,277,68,22,6086,583,1525,1621,1043,604,265,59,23,5728,6932,22196,18933,14772,12610,8283,3997,1321,89036,3441,11433,13286,13487,11504,8330,3602,976,66056,8252,25958
UCL511001,15,46,74,59,62,60,23,0,335,69,116,128,53,36,14,9,0,420,439,1155,1266,1224,1077,768,360,80,6369,155,419,363,285,297,206,107,30,1861,36,73,91,91,93,56,29,13,485,35,137,182,163,158,91,35,9,801,21,74,112,156,151,133,51,15,710,119,216,337,331,264,196,71,9,1548,121,132,149,142,139,99,32,13,826,53,50,57,37,32,13,8,0,253,46,130,143,115,99,55,22,0,613,8,8,0,0,9,5,0,0,32,19,36,62,73,56,26,10,3,291,252,357,331,341,270,251,163,110,2075,1399,2954,3286,3064,2729,1979,917,279,16615,24,88,84,85,52,26,3,0,368,8,28,38,29,24,9,3,0,141,35,118,91,57,49,27,11,10,396,11,40,40,40,20,5,0,0,147,33,58,77,61,34,9,7,0,280,264,606,625,511,519,363,162,59,3110,159,364,538,618,468,309,119,33,2615,343,831
UCL512001,14,17,37,24,28,28,16,0,172,24,48,43,24,20,12,3,0,179,138,334,263,302,327,278,149,52,1833,76,172,138,116,114,91,71,30,799,51,61,70,80,93,68,43,11,480,19,72,61,83,78,42,20,7,389,5,43,48,76,78,85,25,9,364,73,69,124,113,124,94,41,11,646,46,59,64,79,97,93,21,9,468,23,25,29,29,16,18,6,3,145,25,76,74,68,43,15,22,7,319,4,5,0,0,0,0,0,0,9,6,7,13,17,17,21,12,3,104,120,151,135,133,129,115,83,62,941,626,1131,1109,1141,1170,965,509,198,6850,15,31,36,39,21,16,3,0,162,3,12,13,7,5,5,0,0,51,6,28,16,17,22,3,4,9,108,3,9,10,11,7,3,0,0,49,24,34,45,43,38,13,5,0,194,109,272,267,255,295,220,129,46,1591,41,128,171,229,199,178,105,20,1072,135,223
UCL512002,6,10,36,22,21,19,20,8,134,22,28,30,15,7,15,4,0,117,86,216,301,317,303,334,174,37,1771,60,161,124,133,136,138,79,23,849,15,39,72,50,56,42,27,7,296,3,28,55,67,52,35,9,3,262,3,32,43,62,57,69,36,8,306,50,88,92,143,126,104,62,10,668,19,40,48,56,33,42,21,7,275,20,22,25,19,18,15,7,0,115,37,78,80,69,49,39,10,3,369,5,3,0,0,0,0,0,0,14,8,12,17,16,14,12,4,0,70,64,109,119,108,111,110,92,49,760,390,858,1040,1071,986,970,536,150,6011,8,20,34,33,24,11,7,0,127,0,3,8,8,7,8,0,0,36,6,6,19,16,6,7,12,3,76,5,14,9,13,6,3,4,0,52,13,26,31,27,15,7,0,0,116,78,174,237,194,237,191,91,41,1240,34,123,225,240,192,142,66,14,1041,103,196
UCL512003,7,25,22,26,13,18,6,0,119,24,53,24,19,12,4,4,0,146,175,430,452,455,452,343,137,46,2491,63,193,136,121,143,103,44,10,810,24,40,45,66,48,41,9,4,284,17,61,69,72,56,33,11,0,327,7,36,49,58,72,41,14,0,285,44,78,122,130,120,66,27,6,594,25,52,68,58,53,40,8,3,316,18,22,27,7,13,10,5,0,102,25,59,57,52,38,16,9,0,265,5,7,0,0,0,0,0,4,10,12,9,25,20,23,8,5,0,100,215,241,262,215,203,148,146,71,1502,667,1298,1367,1308,1249,879,410,158,7337,24,29,39,27,18,13,0,0,146,3,11,15,7,3,5,0,0,56,17,26,22,19,9,11,8,4,122,0,6,14,8,9,0,0,0,41,29,35,32,24,18,9,0,0,158,143,315,252,256,170,151,72,28,1386,40,179,220,258,221,110,48,11,1096,134,268
UCL512004,17,64,68,48,27,16,7,0,243,13,26,28,11,3,4,0,0,90,271,904,824,671,507,228,60,5,3467,47,121,90,79,82,53,18,0,484,6,25,27,29,14,16,0,0,107,14,53,50,57,47,26,0,0,248,0,39,36,39,46,20,3,0,185,42,84,140,101,82,29,3,0,484,27,69,63,48,35,15,10,0,267,16,18,15,11,8,0,0,0,69,20,52,49,46,34,11,4,0,212,5,5,3,0,5,0,0,0,15,6,19,32,27,16,11,0,0,113,233,375,373,310,338,220,83,16,1940,730,1845,1792,1463,1238,637,190,29,7921,12,76,69,23,9,0,0,0,190,0,10,14,11,3,0,0,0,43,24,77,52,27,14,0,0,0,199,0,6,9,11,4,0,0,0,31,11,25,12,12,11,5,0,0,72,91,228,167,165,144,52,22,0,881,62,174,189,171,109,45,18,5,763,113,316
UCL513001,6,25,22,19,12,19,4,0,108,12,20,21,9,4,9,0,0,78,72,240,224,238,240,263,81,7,1363,16,111,120,106,88,87,19,0,552,12,28,42,43,27,31,13,0,206,11,47,60,45,47,38,20,0,265,6,28,57,46,49,49,15,0,245,21,91,125,109,107,125,27,0,604,13,69,71,54,46,42,22,0,312,11,23,28,17,10,20,0,0,113,5,26,44,40,25,9,8,0,164,4,0,0,0,3,0,0,0,10,0,11,20,18,20,12,3,0,90,177,241,225,248,245,182,92,14,1430,367,981,1051,981,932,886,310,29,5535,17,44,34,24,14,8,3,0,146,0,3,13,7,8,3,0,0,30,13,30,27,9,7,3,5,0,95,0,16,6,11,7,8,3,0,56,10,22,25,16,10,0,0,0,95,55,267,182,141,185,122,31,0,980,24,135,174,122,151,156,25,3,773,53,262
UCL513002,0,4,0,3,9,3,0,0,28,4,8,9,3,4,0,0,0,33,61,168,142,138,123,89,45,11,773,29,46,48,28,46,24,11,0,237,13,23,35,29,27,12,14,3,166,0,18,10,18,16,7,4,3,73,0,10,19,23,20,15,8,0,99,12,30,32,40,31,16,13,4,165,0,3,16,13,16,11,0,4,62,4,4,4,0,0,0,0,0,23,10,26,21,20,17,4,0,0,91,0,0,0,0,0,0,0,0,0,0,5,8,5,0,0,4,0,27,95,94,78,103,84,67,55,9,592,238,443,427,427,390,247,166,38,2372,0,15,15,4,3,0,0,0,37,0,0,0,0,0,0,0,0,7,6,5,4,3,3,7,0,0,33,0,0,0,0,6,0,0,0,12,10,13,12,7,6,0,0,0,54,17,58,68,43,65,48,37,12,348,10,57,60,76,59,46,29,10,344,51,84
UCL513003,7,13,21,26,4,13,0,0,90,8,21,23,13,0,0,0,0,69,153,630,679,532,315,100,25,0,2430,26,151,141,81,71,27,4,0,499,5,14,25,26,12,8,0,0,85,0,36,38,33,33,14,0,0,159,3,29,40,40,18,8,4,0,150,16,86,161,124,74,23,4,0,481,22,39,45,42,26,12,0,0,193,8,18,19,7,0,3,0,0,44,13,44,48,31,21,7,0,0,162,3,0,0,0,0,0,0,0,5,6,19,32,19,25,0,0,0,109,220,444,550,448,328,101,30,6,2121,490,1526,1826,1413,931,326,71,4,6587,4,26,31,20,4,0,0,0,84,0,7,15,6,6,0,0,0,39,26,73,60,24,7,0,0,0,190,0,5,10,7,0,0,0,0,24,6,11,17,9,7,0,0,0,49,46,175,146,66,64,23,7,0,523,31,158,173,115,56,31,4,0,577,75,290
UCL513004,5,10,15,12,10,9,0,0,55,4,13,23,7,8,4,0,0,49,100,633,692,475,302,98,18,0,2321,20,112,105,53,55,22,4,0,367,5,18,28,18,17,0,3,0,88,4,32,39,27,31,5,3,0,145,0,24,28,30,26,6,4,0,120,13,79,123,70,61,29,3,0,390,17,40,32,24,29,15,5,0,163,5,16,8,0,5,0,0,0,34,10,17,33,25,22,0,0,0,101,0,0,0,0,0,0,0,0,4,10,20,28,22,21,4,3,0,102,210,535,582,510,401,134,32,7,2411,401,1546,1738,1269,985,330,68,11,6355,3,22,23,11,4,0,0,0,65,0,10,10,0,0,0,0,0,26,11,78,31,18,10,0,0,0,152,3,5,3,6,4,0,0,0,22,0,14,12,6,0,0,0,0,29,38,139,140,77,64,29,9,0,497,25,132,94,68,54,33,0,0,410,46,236
