UCL_CODE_2021,M_0_4_yr_Need_for_assist,M_0_4_yr_No_need_for_assist,M_0_4_yr_Need_for_assist_ns,M_0_4_yr_OS_vis,M_0_4_yr_Tot,M_5_14_yr_Need_for_assist,M_5_14_yr_No_need_for_assist,M_5_14_yr_Need_for_assist_ns,M_5_14_yr_OS_vis,M_5_14_yr_Tot,M_15_19_yr_Need_for_assist,M_15_19_No_need_for_assist,M_15_19_Need_for_assist_ns,M_15_19_yr_OS_vis,M_15_19_yr_Tot,M_20_24_yr_Need_for_assist,M_20_24_No_need_for_assist,M_20_24_Need_for_assist_ns,M_20_24_yr_OS_vis,M_20_24_yr_Tot,M_25_34_yr_Need_for_assist,M_25_34_No_need_for_assist,M_25_34_Need_for_assist_ns,M_25_34_yr_OS_vis,M_25_34_yr_Tot,M_35_44_yr_Need_for_assist,M_35_44_No_need_for_assist,M_35_44_Need_for_assist_ns,M_35_44_yr_OS_vis,M_35_44_yr_Tot,M_45_54_yr_Need_for_assist,M_45_54_No_need_for_assist,M_45_54_Need_for_assist_ns,M_45_54_yr_OS_vis,M_45_54_yr_Tot,M_55_64_yr_Need_for_assist,M_55_64_No_need_for_assist,M_55_64_Need_for_assist_ns,M_55_64_yr_OS_vis,M_55_64_yr_Tot,M_65_74_yr_Need_for_assist,M_65_74_No_need_for_assist,M_65_74_Need_for_assist_ns,M_65_74_yr_OS_vis,M_65_74_yr_Tot,M_75_84_yr_Need_for_assist,M_75_84_No_need_for_assist,M_75_84_Need_for_assist_ns,M_75_84_yr_OS_vis,M_75_84_yr_Tot,M_85_yr_over_Need_for_assist,M_85_over_No_need_for_assist,M_85_over_Need_for_assist_ns,M_85_over_OS_vis,M_85_yr_over_Tot,M_Tot_Need_for_assist,M_Tot_No_need_for_assist,M_Tot_Need_for_assist_ns,M_Tot_OS_vis,M_Tot_Tot,F_0_4_yr_Need_for_assist,F_0_4_yr_No_need_for_assist,F_0_4_yr_Need_for_assist_ns,F_0_4_yr_OS_vis,F_0_4_yr_Tot,F_5_14_yr_Need_for_assist,F_5_14_yr_No_need_for_assist,F_5_14_yr_Need_for_assist_ns,F_5_14_yr_OS_vis,F_5_14_yr_Tot,F_15_19_yr_Need_for_assist,F_15_19_No_need_for_assist,F_15_19_Need_for_assist_ns,F_15_19_yr_OS_vis,F_15_19_yr_Tot,F_20_24_yr_Need_for_assist,F_20_24_No_need_for_assist,F_20_24_Need_for_assist_ns,F_20_24_yr_OS_vis,F_20_24_yr_Tot,F_25_34_yr_Need_for_assist,F_25_34_No_need_for_assist,F_25_34_Need_for_assist_ns,F_25_34_yr_OS_vis,F_25_34_yr_Tot,F_35_44_yr_Need_for_assist,F_35_44_No_need_for_assist,F_35_44_Need_for_assist_ns,F_35_44_yr_OS_vis,F_35_44_yr_Tot,F_45_54_yr_Need_for_assist,F_45_54_No_need_for_assist,F_45_54_Need_for_assist_ns,F_45_54_yr_OS_vis,F_45_54_yr_Tot,F_55_64_yr_Need_for_assist,F_55_64_No_need_for_assist,F_55_64_Need_for_assist_ns,F_55_64_yr_OS_vis,F_55_64_yr_Tot,F_65_74_yr_Need_for_assist,F_65_74_No_need_for_assist,F_65_74_Need_for_assist_ns,F_65_74_yr_OS_vis,F_65_74_yr_Tot,F_75_84_yr_Need_for_assist,F_75_84_No_need_for_assist,F_75_84_Need_for_assist_ns,F_75_84_yr_OS_vis,F_75_84_yr_Tot,F_85_yr_over_Need_for_assist,F_85_over_No_need_for_assist,F_85_over_Need_for_assist_ns,F_85_over_OS_vis,F_85_yr_over_Tot,F_Tot_Need_for_assist,F_Tot_No_need_for_assist,F_Tot_Need_for_assist_ns,F_Tot_OS_vis,F_Tot_Tot,P_0_4_yr_Need_for_assist,P_0_4_yr_No_need_for_assist,P_0_4_yr_Need_for_assist_ns,P_0_4_yr_OS_vis,P_0_4_yr_Tot,P_5_14_yr_Need_for_assist,P_5_14_yr_No_need_for_assist,P_5_14_yr_Need_for_assist_ns,P_5_14_yr_OS_vis,P_5_14_yr_Tot,P_15_19_yr_Need_for_assist,P_15_19_No_need_for_assist,P_15_19_Need_for_assist_ns,P_15_19_yr_OS_vis,P_15_19_yr_Tot,P_20_24_yr_Need_for_assist,P_20_24_No_need_for_assist,P_20_24_Need_for_assist_ns,P_20_24_yr_OS_vis,P_20_24_yr_Tot,P_25_34_yr_Need_for_assist,P_25_34_No_need_for_assist,P_25_34_Need_for_assist_ns,P_25_34_yr_OS_vis,P_25_34_yr_Tot,P_35_44_yr_Need_for_assist,P_35_44_No_need_for_assist,P_35_44_Need_for_assist_ns,P_35_44_yr_OS_vis,P_35_44_yr_Tot,P_45_54_yr_Need_for_assist,P_45_54_No_need_for_assist,P_45_54_Need_for_assist_ns,P_45_54_yr_OS_vis,P_45_54_yr_Tot,P_55_64_yr_Need_for_assist,P_55_64_No_need_for_assist,P_55_64_Need_for_assist_ns,P_55_64_yr_OS_vis,P_55_64_yr_Tot,P_65_74_yr_Need_for_assist,P_65_74_No_need_for_assist,P_65_74_Need_for_assist_ns,P_65_74_yr_OS_vis,P_65_74_yr_Tot,P_75_84_yr_Need_for_assist,P_75_84_No_need_for_assist,P_75_84_Need_for_assist_ns,P_75_84_yr_OS_vis,P_75_84_yr_Tot,P_85_yr_over_Need_for_assist,P_85_over_No_need_for_assist,P_85_over_Need_for_assist_ns,P_85_over_OS_vis,P_85_yr_over_Tot,P_Tot_Need_for_assist,P_Tot_No_need_for_assist,P_Tot_Need_for_assist_ns,P_Tot_OS_vis,P_Tot_Tot
UCL501001,995,60869,2726,68,64648,6534,122293,5691,117,134627,2193,56037,2418,63,60713,1545,58595,3189,190,63523,2390,127751,7789,548,138475,2218,131063,7035,388,140711,3061,115114,5572,372,124118,4415,97546,4307,397,106670,6379,73989,3246,342,83955,7707,35113,2415,118,45355,6048,7758,1534,28,15374,43499,886127,45922,2636,978179,583,57994,2539,70,61180,3152,119020,5423,113,127708,1454,54237,2340,67,58103,1135,58819,2706,187,62845,2217,139243,7016,478,148949,2548,140756,6179,242,149730,3653,123420,4803,262,132138,5433,106079,3834,513,115861,7321,82233,3353,446,93356,11021,38706,2979,140,52848,12529,9437,2574,45,24582,51049,929938,43753,2568,1027301,1574,118858,5259,137,125835,9680,241308,11113,230,262338,3648,110275,4766,129,118813,2682,117410,5900,379,126375,4604,266994,14801,1024,287428,4772,271814,13215,632,290440,6715,238539,10369,635,256255,9854,203626,8142,910,222529,13702,156219,6604,788,177310,18728,73813,5399,267,98207,18579,17198,4106,78,39957,94543,1816061,89672,5203,2005481
UCL511001,36,2187,96,0,2315,326,4840,229,0,5406,136,2064,94,4,2300,83,1701,148,0,1932,124,3834,411,14,4384,105,4160,376,9,4653,131,4042,323,6,4504,219,3801,224,5,4253,290,2903,178,0,3372,314,1371,100,3,1790,195,300,70,0,561,1957,31217,2252,43,35471,32,2034,107,0,2174,171,4640,229,3,5033,64,2171,88,0,2329,55,1712,86,0,1860,107,4349,238,7,4706,118,4698,193,4,5014,160,4606,211,6,4978,235,4173,189,7,4597,338,3209,148,3,3701,404,1596,127,7,2128,455,365,128,0,949,2121,33559,1737,49,37465,60,4224,202,0,4492,495,9480,456,4,10440,199,4242,185,6,4627,136,3410,229,3,3786,231,8188,652,26,9091,220,8861,571,8,9666,293,8643,525,9,9478,455,7972,408,14,8854,626,6111,327,11,7074,723,2966,228,3,3920,649,668,194,0,1511,4082,64770,3995,92,72939
UCL512001,15,766,34,0,812,127,1712,107,0,1946,52,891,60,0,1000,40,669,65,8,780,58,1501,232,4,1796,40,1416,187,9,1649,58,1563,144,0,1768,101,1670,115,3,1886,138,1442,90,0,1668,227,742,56,4,1024,167,244,27,0,439,1023,12612,1104,30,14767,6,733,30,0,769,69,1721,88,0,1878,33,874,37,0,945,22,661,42,0,731,44,1565,82,8,1693,55,1652,90,0,1800,78,1894,86,0,2060,120,1944,100,3,2174,141,1654,80,0,1880,272,990,56,0,1319,292,287,40,0,611,1139,13967,736,18,15861,15,1497,61,0,1581,197,3433,194,0,3829,90,1765,100,0,1952,64,1331,104,6,1510,99,3063,311,10,3492,100,3068,279,6,3452,138,3460,235,0,3829,222,3615,211,11,4055,277,3103,166,0,3545,500,1729,113,3,2343,459,524,61,0,1051,2161,26586,1840,45,30630
UCL512002,5,641,46,0,693,97,1664,87,0,1846,36,723,24,0,789,23,498,21,0,541,38,1099,89,7,1232,41,1297,92,0,1432,56,1427,76,5,1569,75,1350,87,5,1517,128,1450,73,0,1648,157,773,54,0,989,132,160,27,0,315,789,11086,677,16,12570,11,632,29,0,669,41,1628,96,0,1769,31,692,50,0,766,11,473,23,0,508,24,1238,75,8,1345,46,1625,70,0,1736,50,1755,77,4,1890,85,1698,101,0,1892,122,1677,81,0,1878,199,843,63,0,1108,310,232,29,0,568,938,12490,690,15,14125,21,1273,67,0,1362,138,3295,186,3,3614,66,1412,73,0,1554,35,969,44,0,1047,66,2338,161,16,2581,82,2926,156,0,3169,109,3182,156,10,3457,161,3044,195,9,3406,246,3127,156,0,3529,355,1624,122,0,2099,444,391,50,0,877,1725,23577,1362,35,26699
UCL512003,21,859,85,0,964,128,1953,233,0,2314,54,914,117,0,1084,27,744,72,4,847,43,1570,193,8,1811,40,1623,223,0,1899,39,1748,175,0,1966,101,1771,177,3,2052,132,1350,106,0,1590,179,627,89,5,897,138,155,30,3,327,890,13318,1508,22,15744,0,865,118,0,989,57,1915,244,0,2218,29,899,86,0,1017,24,823,92,0,947,41,1758,204,10,1999,53,1861,226,0,2135,69,1981,173,3,2230,113,1858,152,3,2122,153,1445,121,0,1726,230,691,83,3,1007,230,161,60,0,452,1002,14260,1561,19,16849,22,1727,203,0,1956,183,3864,478,0,4529,85,1817,205,0,2098,55,1567,171,4,1795,79,3326,395,9,3817,97,3480,445,0,4029,107,3736,353,7,4198,210,3629,329,8,4174,288,2793,232,3,3315,413,1318,174,5,1902,363,314,88,5,776,1898,27578,3067,41,32590
UCL512004,11,1016,112,0,1141,87,1842,248,0,2182,25,738,82,0,853,15,923,156,0,1098,29,2150,384,11,2583,28,2023,368,6,2425,31,1832,299,4,2169,43,1679,306,8,2033,69,823,179,3,1082,63,249,50,0,362,25,32,10,0,66,437,13304,2199,47,15981,3,959,89,0,1053,39,1773,203,5,2021,17,664,74,0,750,11,809,87,9,918,27,2071,264,10,2367,24,1841,232,3,2089,31,1637,177,3,1852,60,1342,180,4,1582,93,639,117,9,855,74,226,23,0,328,79,42,18,0,136,457,11996,1468,40,13964,16,1973,200,3,2198,128,3609,457,3,4205,42,1405,156,5,1600,26,1730,243,4,2015,63,4220,647,22,4949,57,3859,596,9,4519,68,3473,475,10,4023,100,3018,483,14,3617,159,1461,293,19,1934,140,474,71,0,690,98,71,24,0,199,896,25294,3664,85,29942
UCL513001,9,514,87,0,608,43,1107,195,0,1345,10,318,61,0,386,11,333,82,9,432,11,1016,221,33,1276,8,1104,204,6,1324,34,1016,230,0,1285,29,1040,221,6,1297,59,1159,150,7,1374,33,396,75,0,503,13,33,11,0,56,257,8051,1537,56,9897,0,494,85,0,582,23,1044,190,0,1263,3,370,68,0,438,5,416,78,19,515,11,1420,317,37,1778,24,1315,219,6,1559,27,1067,220,3,1309,32,1250,239,0,1526,54,1078,173,8,1314,35,281,59,0,375,20,19,10,0,56,236,8756,1656,74,10724,14,1008,174,0,1193,69,2157,389,0,2614,12,687,128,0,829,12,746,164,25,947,25,2436,534,67,3059,28,2424,421,12,2885,57,2080,452,5,2594,65,2297,464,9,2824,111,2239,321,12,2687,71,678,131,0,882,31,55,27,0,111,493,16804,3198,128,20620
UCL513002,6,264,25,0,300,32,609,85,0,720,6,304,38,0,360,4,216,33,5,255,14,519,76,4,614,10,517,67,0,599,18,569,85,0,675,17,609,65,5,699,32,450,43,0,530,57,245,38,0,340,40,50,8,0,96,251,4355,562,12,5179,0,251,26,0,275,19,574,89,0,682,0,254,24,0,279,0,229,26,0,254,12,558,52,4,630,11,556,72,0,636,20,562,48,0,631,24,598,48,3,678,20,496,40,0,558,61,303,38,0,400,80,67,15,0,162,257,4453,481,6,5189,6,516,50,0,581,52,1185,168,0,1403,14,565,64,0,639,10,446,54,5,514,26,1077,136,9,1242,26,1072,137,0,1236,40,1125,139,0,1303,44,1203,116,4,1373,52,950,85,0,1086,119,552,72,0,741,119,121,22,0,257,507,8803,1047,18,10370
UCL513003,13,671,106,0,789,54,1246,224,6,1529,13,411,78,0,506,9,413,118,4,547,7,1451,397,22,1876,4,1685,508,14,2213,8,1279,421,8,1721,11,876,305,14,1207,10,347,95,0,458,21,59,26,3,113,0,3,6,0,9,152,8451,2291,75,10965,4,608,70,0,683,32,1211,227,0,1467,7,351,50,0,406,0,352,84,8,436,4,1412,274,8,1697,15,1342,229,0,1587,7,946,177,0,1127,16,551,110,4,681,14,259,60,9,339,14,58,10,0,77,5,0,4,0,13,109,7092,1290,27,8520,12,1280,178,0,1472,82,2458,450,3,2998,18,762,132,0,913,16,759,199,8,986,10,2863,672,27,3576,20,3025,738,16,3799,20,2225,594,9,2847,26,1430,420,19,1889,28,608,152,11,797,33,115,32,3,187,5,8,5,0,22,267,15542,3578,99,19488
UCL513004,0,621,88,0,714,45,1000,164,0,1209,6,345,73,0,424,4,354,113,0,473,5,1419,500,7,1932,5,1507,545,8,2075,28,1168,470,9,1666,25,944,374,8,1351,26,324,118,4,470,17,72,23,0,113,4,5,7,0,16,169,7762,2477,34,10442,4,583,71,0,656,22,1016,157,0,1204,4,301,53,0,359,6,349,90,3,451,10,1338,293,5,1651,12,1111,208,0,1342,29,729,197,5,949,30,595,141,0,762,22,254,60,3,342,23,39,17,0,80,8,4,0,0,15,167,6332,1293,21,7818,4,1208,152,0,1370,66,2013,329,0,2413,14,645,129,0,790,10,703,211,3,926,13,2757,795,12,3579,23,2622,753,18,3418,51,1892,665,9,2617,54,1537,517,7,2116,51,583,173,8,813,39,112,47,0,196,14,15,9,0,34,335,14090,3770,54,18260
