UCL_CODE_2021,Num_pns_pres_Cen_Ngt_1_Fam_hh,Nu_pn_pre_Cen_Ngt_1_No_fam_hh,Num_pns_pres_Cen_Ngt_1_Tot,Num_pns_pres_Cen_Ngt_2_Fam_hh,Nu_pn_pre_Cen_Ngt_2_No_fam_hh,Num_pns_pres_Cen_Ngt_2_Tot,Num_pns_pres_Cen_Ngt_3_Fam_hh,Nu_pn_pre_Cen_Ngt_3_No_fam_hh,Num_pns_pres_Cen_Ngt_3_Tot,Num_pns_pres_Cen_Ngt_4_Fam_hh,Nu_pn_pre_Cen_Ngt_4_No_fam_hh,Num_pns_pres_Cen_Ngt_4_Tot,Num_pns_pres_Cen_Ngt_5_Fam_hh,Nu_pn_pre_Cen_Nt_5_Non_fam_hh,Nu_pn_pre_Cen_Ngt_5_Tot,Num_pn_pres_Cen_Ngt_6m_Fam_hh,Nu_pn_pre_Ce_Ngt_6m_No_fam_hh,Num_pns_pres_Cen_Ngt_6m_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
UCL501001,17103,197730,214831,220888,31492,252384,118339,9548,127893,116451,4915,121361,44592,2047,46638,20774,996,21776,538147,246732,784879
UCL511001,736,7851,8583,8922,1219,10143,4070,295,4372,3819,155,3975,1574,65,1642,732,35,767,19856,9625,29481
UCL512001,236,3840,4078,3952,599,4553,1557,162,1715,1342,52,1399,559,33,589,328,21,347,7982,4696,12681
UCL512002,286,2964,3258,3621,530,4150,1407,97,1500,1299,59,1362,506,36,539,211,11,216,7333,3688,11031
UCL512003,373,3861,4227,3698,765,4464,1703,235,1942,1389,137,1521,627,82,704,379,51,429,8167,5121,13285
UCL512004,236,3315,3548,2707,790,3489,1507,221,1733,1411,136,1552,677,75,749,355,27,382,6890,4564,11451
UCL513001,159,1363,1524,1036,1490,2525,694,268,966,687,208,891,369,93,460,259,57,321,3201,3480,6679
UCL513002,111,1371,1484,1192,317,1511,496,73,564,425,54,476,185,25,215,88,13,106,2498,1856,4350
UCL513003,176,1494,1668,1181,619,1802,769,187,959,977,162,1142,459,84,533,222,42,265,3774,2595,6372
UCL513004,170,1904,2073,1159,593,1752,728,175,901,693,116,813,355,57,412,256,28,280,3367,2872,6239
UCL513005,119,745,864,1120,129,1247,667,42,713,585,26,613,290,17,306,148,0,150,2926,965,3889
