UCL_CODE_2021,Num_mot_veh_per_dwg_None_Dwgs,Nu_mo_veh_pe_dw_1_mo_veh_Dwgs,Nu_mo_ve_pe_dw_2_mot_veh_Dwgs,Nu_mo_ve_pe_dw_3_mot_veh_Dwgs,Nu_mo_ve_pe_dw_4_mo_veh_Dwgs,Num_mot_veh_per_dwg_Tot_Dwgs,Num_mot_veh_ns_Dwgs,Total_Dwellings
UCL501001,38709,267754,299337,95728,50456,751985,32892,784879
UCL511001,1258,9771,11208,3875,1859,27969,1511,29481
UCL512001,650,4457,4486,1600,884,12075,601,12681
UCL512002,427,3985,4109,1332,633,10483,547,11031
UCL512003,679,4500,4579,1593,797,12149,1138,13285
UCL512004,514,3281,3922,1524,878,10120,1337,11451
UCL513001,418,2473,1899,691,378,5868,814,6679
UCL513002,221,1420,1530,494,263,3924,423,4350
UCL513003,172,1547,2307,896,452,5375,997,6372
UCL513004,329,1761,2044,730,325,5192,1044,6239
UCL513005,110,1374,1546,457,231,3720,166,3889
UCL514001,161,965,1016,409,241,2789,243,3032
UCL514002,31,891,1239,302,117,2569,151,2721
UCL514003,105,977,1120,323,133,2657,203,2854
UCL514004,187,927,876,340,163,2484,257,2740
UCL515001,26,256,221,62,17,587,36,623
UCL515002,4,156,231,80,30,500,25,527
UCL515003,36,380,349,118,67,953,62,1009
UCL515004,21,216,298,112,71,714,37,752
UCL515005,28,287,351,177,63,899,44,942
UCL515006,161,906,592,166,73,1905,283,2184
UCL515007,7,168,331,113,30,658,65,718
UCL515008,20,98,185,77,48,417,60,477
UCL515009,44,567,449,113,27,1204,158,1354
UCL515010,122,484,282,85,56,1023,356,1384
UCL515011,26,378,422,142,78,1047,56,1101
UCL515012,3,189,379,123,51,751,29,782
UCL515013,54,726,538,176,134,1625,112,1738
UCL515014,115,201,72,29,7,418,71,487
UCL515015,62,405,393,147,85,1086,74,1161
UCL515016,18,279,262,97,35,694,64,763
UCL515017,30,426,248,54,32,788,117,905
UCL515018,24,199,232,91,56,592,110,705
UCL515019,108,459,457,166,105,1293,147,1441
UCL515020,169,681,467,150,75,1535,629,2163
UCL515021,14,177,273,93,86,646,23,669
UCL515022,126,637,589,211,108,1665,104,1776
UCL515023,66,364,336,122,39,936,140,1067
UCL515024,34,242,185,63,52,581,105,685
UCL515025,30,283,249,86,54,707,78,782
UCL515026,10,140,316,150,126,744,42,786
UCL515027,114,614,468,185,90,1473,168,1647
UCL515028,119,520,558,187,93,1474,214,1687
UCL515029,15,178,101,39,21,359,51,411
UCL515030,58,515,486,198,126,1385,106,1490
UCL515031,69,534,447,149,65,1257,142,1401
UCL515032,8,72,174,103,105,463,29,497
UCL515033,37,322,338,127,48,871,125,993
UCL515034,37,393,441,129,57,1060,66,1127
UCL515035,42,191,198,69,44,541,63,601
UCL515036,43,314,348,143,71,916,55,967
UCL515037,23,125,245,87,43,529,112,644
UCL515038,38,410,358,134,84,1021,102,1120
UCL521001,0,41,59,45,37,192,6,194
UCL521002,0,53,111,60,46,274,26,303
UCL521003,18,153,139,58,27,382,43,427
UCL521004,76,57,20,8,0,152,3,159
UCL521005,9,145,151,69,40,417,46,463
UCL521006,3,99,127,64,42,335,23,349
UCL521007,19,93,77,25,20,221,33,259
UCL521008,15,72,74,27,10,199,27,224
UCL521009,10,90,79,17,18,210,29,236
UCL521010,8,111,105,52,17,298,27,328
UCL521011,0,38,92,46,26,201,9,213
UCL521012,6,114,94,31,15,255,12,271
UCL521013,0,78,122,67,40,317,12,338
UCL521014,19,101,87,55,23,281,73,360
UCL521015,12,123,108,28,12,276,27,298
UCL521016,17,83,99,52,15,268,18,290
UCL521017,9,74,111,26,11,228,31,263
UCL521018,5,60,98,34,14,209,6,214
UCL521019,31,366,160,33,35,630,191,820
UCL521020,4,53,104,66,42,272,14,284
UCL521021,9,84,140,50,29,312,18,332
UCL521022,11,81,117,25,19,251,36,284
