UCL_CODE_2021,Separate_house_NB0_i_sa_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Sd_r_or_t_h_t_1_s_NB0_i_sa_b,Sd_r_or_t_h_t_1_st_NofB_1,Sd_r_or_t_h_t_1_st_NofB_2,Sd_r_or_t_h_t_1_st_NofB_3,Sd_r_or_t_h_t_1_st_NofB_4,Sd_r_or_t_h_t_1_st_NofB_5,Sd_r_or_t_h_t_1_st_NofB_6_m,Sd_r_or_t_h_t_1_st_NofB_NS,Sd_r_or_t_h_t_1_st_Total,Sd_r_or_t_h_t_2m_s_NB0_i_sa_b,Sd_r_or_t_h_t_2m_sts_NofB_1,Sd_r_or_t_h_t_2m_sts_NofB_2m,Sd_r_or_t_h_t_2m_sts_NofB_3,Sd_r_or_t_h_t_2m_sts_NofB_4,Sd_r_or_t_h_t_2m_sts_NofB_5,Sd_r_or_t_h_t_2m_st_NofB_6_m,Sd_r_or_t_h_t_2m_sts_NofB_NS,Sd_r_or_t_h_t_2m_sts_Total,Sd_r_or_t_h_t_T_NB0_i_sa_b,Sd_r_or_t_h_t_Total_NofB_1,Sd_r_or_t_h_t_Total_NofB_2,Sd_r_or_t_h_t_Total_NofB_3,Sd_r_or_t_h_t_Total_NofB_4,Sd_r_or_t_h_t_Total_NofB_5,Sd_r_or_t_h_t_Tot_NofB_6_m,Sd_r_or_t_h_t_Tot_NofB_NS,Sd_r_or_t_h_t_Total_Total,Fl_a_1_or2_st_bl_NB0_i_sa_b,Fl_a_1_or2_st_bl_NofB_1,Fl_a_1_or2_st_bl_NofB_2,Fl_a_1_or2_st_bl_NofB_3,Fl_a_1_or2_st_bl_NofB_4,Fl_a_1_or2_st_bl_NofB_5,Fl_a_1_or2_st_bl_NofB_6_m,Fl_a_1_or2_st_bl_NofB_NS,Fl_a_1_or2_st_bl_Total,Fl_a_3_st_bl_NB0_i_sa_b,Fl_a_In_3_st_bl_NofB_1,Fl_a_In_3_st_bl_NofB_2,Fl_a_In_3_st_bl_NofB_3,Fl_a_In_3_st_bl_NofB_4,Fl_a_In_3_st_bl_NofB_5,Fl_a_In_3_s_bl_NofB_6_m,Fl_a_In_3_st_bl_NofB_NS,Fl_a_In_3_st_bl_Total,Fl_a_4_to_8_s_b_NB0_i_sa_b,Fl_a_4_to_8_s_b_NofB_1,Fl_a_4_to_8_s_b_NofB_2,Fl_a_4_to_8_s_b_NofB_3,Fl_a_4_to_8_s_b_NofB_4,Fl_a_4_to_8_s_b_NofB_5,Fl_a_4_to_8_s_b_NofB_6_m,Fl_a_4_to_8_s_b_NofB_NS,Fl_a_4_to_8_s_b_Total,Fl_a_9_or_m_s_b_NB0_i_sa_b,Fl_a_9_or_m_s_b_NofB_1,Fl_a_9_or_m_s_b_NofB_2,Fl_a_9_or_m_s_b_NofB_3,Fl_a_9_or_m_s_b_NofB_4,Fl_a_9_or_m_s_b_NofB_5,Fl_a_9_or_m_s_b_NofB_6_m,Fl_a_9_or_m_s_b_NofB_NS,Fl_a_9_or_m_s_b_Total,Fl_a_At_to_a_h_NB0_i_sa_b,Fl_a_At_to_a_hse_NofB_1,Fl_a_At_to_a_hse_NofB_2,Fl_a_At_to_a_hse_NofB_3,Fl_a_At_to_a_hse_NofB_4,Fl_a_At_to_a_hse_NofB_5,Fl_a_At_to_a_hse_NofB_6_m,Fl_a_At_to_a_hse_NofB_NS,Fl_a_At_to_a_hse_Total,Fl_a_Total_NB0_i_sa_b,Fl_a_Total_NofB_1,Fl_a_Total_NofB_2,Fl_a_Total_NofB_3,Fl_a_Total_NofB_4,Fl_a_Total_NofB_5,Fl_a_Tot_NofB_6_or_m,Fl_a_Total_NofB_NS,Fl_a_Total_Total,Other_dwelling_NB0_i_sa_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dw_struct_NS_NB0_i_sa_b,Dw_struct_NS_NofB_1,Dw_struct_NS_NofB_2,Dw_struct_NS_NofB_3,Dw_struct_NS_NofB_4,Dw_struct_NS_NofB_5,Dw_struct_NS_NofB_6_or_m,Dw_struct_NS_NofB_NS,Dw_struct_NS_Total,Total_NB0_i_sa_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
UCL501001,518,3626,28008,214520,287133,39847,6576,19603,599829,140,5610,26477,41568,3942,340,151,4818,83044,90,2199,9222,15719,3286,338,113,1619,32585,230,7814,35703,57288,7223,675,263,6435,115629,125,4141,11024,3154,250,26,35,1537,20290,200,4131,8154,1823,74,6,9,1111,15501,241,5080,8385,2452,95,4,13,1311,17585,138,2283,5329,1634,61,3,18,677,10139,22,186,246,107,104,41,31,58,789,725,15824,33138,9167,575,83,97,4699,64306,278,952,839,205,83,15,10,1722,4103,46,147,165,195,126,21,13,299,1012,1798,28361,97845,281367,295150,40643,6961,32760,784879
UCL511001,23,118,980,8526,12787,1202,174,949,24764,7,337,1115,1160,83,0,7,273,2988,0,24,98,285,47,3,0,31,487,7,359,1215,1450,132,6,7,302,3480,4,135,213,92,4,0,0,51,507,0,10,70,25,0,0,0,12,123,0,0,12,3,0,0,0,9,24,0,0,13,23,0,0,0,6,36,3,3,0,0,0,0,0,0,10,6,151,311,144,11,0,0,77,700,26,169,79,20,3,0,0,181,483,5,12,10,13,12,0,0,10,60,67,802,2597,10154,12941,1210,180,1529,29481
UCL512001,16,138,1111,5201,3823,446,115,442,11292,8,218,425,227,11,0,0,76,968,5,14,48,29,9,0,0,13,118,13,231,471,251,22,0,5,86,1085,0,25,5,17,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,4,3,0,0,0,23,0,28,16,22,6,0,0,0,69,21,42,65,20,4,0,0,51,203,0,8,6,10,7,0,0,4,31,46,453,1666,5496,3857,447,118,599,12681
UCL512002,6,83,531,3433,4611,405,57,349,9473,0,122,422,380,35,0,0,82,1051,0,17,18,60,29,3,0,19,155,0,144,442,444,59,4,0,102,1207,0,0,12,0,3,0,0,0,11,0,0,0,0,0,0,0,0,0,0,4,10,5,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,5,6,0,3,0,0,0,20,0,9,28,4,3,0,0,0,51,21,52,88,19,8,0,0,83,271,0,4,6,4,0,0,0,7,29,33,287,1099,3902,4681,415,60,537,11031
UCL512003,20,92,705,4460,4359,477,79,768,10967,4,119,668,397,31,3,0,184,1410,0,14,93,97,80,15,0,24,328,8,130,769,501,109,18,4,204,1741,0,66,95,48,6,0,0,44,250,0,4,16,0,0,0,0,4,15,0,0,5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,8,0,74,113,44,6,0,0,44,286,51,88,15,16,7,0,0,65,247,7,10,12,8,3,0,0,7,44,76,397,1613,5028,4487,500,83,1098,13285
UCL512004,12,117,536,3479,3324,520,95,679,8768,3,228,536,566,45,0,4,198,1588,0,9,47,114,40,4,0,31,248,4,235,581,686,83,4,4,226,1837,0,47,66,10,3,0,0,10,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,47,66,9,3,0,0,10,141,68,150,25,19,8,4,0,413,686,0,10,3,3,10,0,0,11,30,91,560,1217,4199,3424,528,107,1340,11451
UCL513001,36,141,314,1582,1309,169,33,512,4095,18,107,208,109,23,0,0,133,607,9,30,124,72,9,0,0,23,272,34,141,333,184,33,0,0,150,877,0,15,79,19,4,0,0,19,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,19,80,21,4,0,0,21,147,467,685,77,45,50,11,4,94,1430,27,49,14,8,9,0,3,23,137,569,1036,821,1845,1394,181,39,803,6679
UCL513002,9,57,220,1643,1194,154,29,282,3590,4,69,190,89,15,4,0,65,431,0,0,21,15,3,0,0,0,46,4,67,207,111,22,3,0,66,473,0,38,35,8,0,0,0,21,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,41,10,0,0,0,21,115,31,37,18,5,5,0,0,52,141,0,8,10,3,6,4,0,0,28,45,206,484,1769,1227,162,33,425,4350
UCL513003,5,45,133,1528,2124,183,31,603,4647,0,34,262,202,35,4,0,184,721,0,34,36,66,4,0,0,30,168,0,66,295,274,34,4,0,213,889,7,62,27,13,0,0,0,37,148,0,38,0,0,0,0,0,7,42,0,7,27,15,0,0,0,12,57,0,83,77,14,0,0,0,18,192,0,0,0,0,0,0,0,0,0,9,188,132,37,0,0,4,71,441,62,104,29,3,10,0,4,106,318,10,32,7,5,6,0,4,13,69,94,442,596,1839,2173,189,39,1005,6372
UCL513004,13,129,216,1654,1250,126,22,446,3854,0,114,192,283,59,5,0,147,809,0,20,53,136,52,7,0,48,313,0,132,246,422,110,6,0,197,1121,0,96,152,55,0,4,3,103,412,0,27,88,11,0,0,0,12,137,0,38,41,17,0,0,0,46,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161,280,82,0,8,9,162,695,71,137,33,17,11,3,0,213,482,14,38,9,8,0,0,4,18,78,98,589,782,2179,1368,145,32,1039,6239
