UCL_CODE_2021,Uses_Eng_on_M,Uses_Eng_on_F,Uses_Eng_on_P,Uses_othr_lang_Afrikaans_M,Uses_othr_lang_Afrikaans_F,Uses_othr_lang_Afrikaans_P,Uses_othr_lang_Arabic_M,Uses_othr_lang_Arabic_F,Uses_othr_lang_Arabic_P,Uses_othr_lang_Aus_Ind_lang_M,Uses_othr_lang_Aus_Ind_lang_F,Uses_othr_lang_Aus_Ind_lang_P,Uses_othr_lan_Chin_lan_Cant_M,Uses_othr_lan_Chin_lan_Cant_F,Uses_othr_lan_Chin_lan_Cant_P,Uses_othr_lan_Chin_lan_Mand_M,Uses_othr_lan_Chin_lan_Mand_F,Uses_othr_lan_Chin_lan_Mand_P,Uses_othr_lan_Chin_lan_othr_M,Uses_othr_lan_Chin_lan_othr_F,Uses_othr_lan_Chin_lan_othr_P,Uses_othr_lan_Chin_lan_Tot_M,Uses_othr_lan_Chin_lan_Tot_F,Uses_othr_lan_Chin_lan_Tot_P,Uses_othr_lang_Croatian_M,Uses_othr_lang_Croatian_F,Uses_othr_lang_Croatian_P,Uses_othr_lang_French_M,Uses_othr_lang_French_F,Uses_othr_lang_French_P,Uses_othr_lang_German_M,Uses_othr_lang_German_F,Uses_othr_lang_German_P,Uses_othr_lang_Greek_M,Uses_othr_lang_Greek_F,Uses_othr_lang_Greek_P,Us_oth_lan_Indo_Ary_lan_Ben_M,Us_oth_lan_Indo_Ary_lan_Ben_F,Us_oth_lan_Indo_Ary_lan_Ben_P,Us_oth_lan_Indo_Ary_lan_Guj_M,Us_oth_lan_Indo_Ary_lan_Guj_F,Us_oth_lan_Indo_Ary_lan_Guj_P,Us_oth_lan_Indo_Ary_lan_Hin_M,Us_oth_lan_Indo_Ary_lan_Hin_F,Us_oth_lan_Indo_Ary_lan_Hin_P,Us_oth_lan_Indo_Ary_lan_Nep_M,Us_oth_lan_Indo_Ary_lan_Nep_F,Us_oth_lan_Indo_Ary_lan_Nep_P,Us_oth_lan_Ind_Ary_lan_Punj_M,Us_oth_lan_Ind_Ary_lan_Punj_F,Us_oth_lan_Ind_Ary_lan_Punj_P,Us_oth_lan_Ind_Ary_lan_Sinh_M,Us_oth_lan_Ind_Ary_lan_Sinh_F,Us_oth_lan_Ind_Ary_lan_Sinh_P,Us_oth_lan_Indo_Ary_lan_Urd_M,Us_oth_lan_Indo_Ary_lan_Urd_F,Us_oth_lan_Indo_Ary_lan_Urd_P,Us_oth_lan_Indo_Ary_lan_oth_M,Us_oth_lan_Indo_Ary_lan_oth_F,Us_oth_lan_Indo_Ary_lan_oth_P,Us_oth_lan_Indo_Ary_lan_Tot_M,Us_oth_lan_Indo_Ary_lan_Tot_F,Us_oth_lan_Indo_Ary_lan_Tot_P,Uses_othr_lang_Italian_M,Uses_othr_lang_Italian_F,Uses_othr_lang_Italian_P,Uses_othr_lang_Japanese_M,Uses_othr_lang_Japanese_F,Uses_othr_lang_Japanese_P,Uses_othr_lang_Khmer_M,Uses_othr_lang_Khmer_F,Uses_othr_lang_Khmer_P,Uses_othr_lang_Korean_M,Uses_othr_lang_Korean_F,Uses_othr_lang_Korean_P,Uses_othr_lang_Macedonian_M,Uses_othr_lang_Macedonian_F,Uses_othr_lang_Macedonian_P,Uses_othr_lang_Malayalam_M,Uses_othr_lang_Malayalam_F,Uses_othr_lang_Malayalam_P,Us_oth_lan_Persian_ex_Dari_M,Us_oth_lan_Persian_ex_Dari_F,Us_oth_lan_Persian_ex_Dari_P,Uses_othr_lang_Polish_M,Uses_othr_lang_Polish_F,Uses_othr_lang_Polish_P,Uses_othr_lang_Portugese_M,Uses_othr_lang_Portugese_F,Uses_othr_lang_Portugese_P,Uses_othr_lang_Russian_M,Uses_othr_lang_Russian_F,Uses_othr_lang_Russian_P,Uses_othr_lang_Samoan_M,Uses_othr_lang_Samoan_F,Uses_othr_lang_Samoan_P,Uses_othr_lang_Serbian_M,Uses_othr_lang_Serbian_F,Uses_othr_lang_Serbian_P,Us_oth_la_SE_As_Au_la_Fili_M,Us_oth_la_SE_As_Au_la_Fili_F,Us_oth_la_SE_As_Au_la_Fili_P,Us_oth_la_SE_As_Au_la_Indo_M,Us_oth_la_SE_As_Au_la_Indo_F,Us_oth_la_SE_As_Au_la_Indo_P,Us_oth_la_SE_As_Au_la_Tag_M,Us_oth_la_SE_As_Au_la_Tag_F,Us_oth_la_SE_As_Au_la_Tag_P,Us_oth_la_SE_As_Au_la_oth_M,Us_oth_la_SE_As_Au_la_oth_F,Us_oth_la_SE_As_Au_la_oth_P,Us_oth_la_SE_As_Au_la_Tot_M,Us_oth_la_SE_As_Au_la_Tot_F,Us_oth_la_SE_As_Au_la_Tot_P,Uses_othr_lang_Spanish_M,Uses_othr_lang_Spanish_F,Uses_othr_lang_Spanish_P,Uses_othr_lang_Tamil_M,Uses_othr_lang_Tamil_F,Uses_othr_lang_Tamil_P,Uses_othr_lang_Thai_M,Uses_othr_lang_Thai_F,Uses_othr_lang_Thai_P,Uses_othr_lang_Turkish_M,Uses_othr_lang_Turkish_F,Uses_othr_lang_Turkish_P,Uses_othr_lang_Vietnamese_M,Uses_othr_lang_Vietnamese_F,Uses_othr_lang_Vietnamese_P,Uses_othr_lang_Other_M,Uses_othr_lang_Other_F,Uses_othr_lang_Other_P,Uses_othr_lang_Tot_M,Uses_othr_lang_Tot_F,Uses_othr_lang_Tot_P,Lang_used_home_ns_M,Lang_used_home_ns_F,Lang_used_home_ns_P,OS_visitors_M,OS_visitors_F,OS_visitors_P,Tot_M,Tot_F,Tot_P
UCL521039,363,375,735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,0,0,0,4,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,14,24,18,23,39,0,0,0,387,406,796
UCL521040,518,463,982,0,0,0,0,0,0,14,19,31,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,3,6,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,3,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,4,0,6,3,4,0,0,0,0,0,3,3,0,0,0,3,7,8,5,8,9,0,0,0,0,4,4,0,0,0,0,0,0,28,33,61,57,65,122,186,174,362,10,16,28,771,717,1488
UCL521041,387,293,676,0,5,8,0,0,0,7,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,6,4,10,0,0,0,7,3,10,0,0,4,0,0,0,0,7,6,0,0,0,0,0,0,9,10,14,32,40,65,6,15,25,0,0,5,425,343,769
UCL521042,278,269,544,0,0,4,0,0,0,0,0,0,0,0,0,0,5,9,0,0,0,3,4,11,0,0,0,0,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,12,12,21,27,33,57,25,21,47,12,7,15,336,323,664
UCL521043,204,235,437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,6,3,3,6,15,15,32,0,0,0,224,253,476
UCL521044,316,296,613,0,0,0,0,0,0,9,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,6,0,7,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,7,22,17,15,37,27,29,54,0,0,0,363,343,703
UCL521045,182,216,396,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,15,12,24,76,69,147,0,0,0,269,294,568
UCL521046,197,184,383,0,0,0,0,0,0,135,134,274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,139,278,144,146,288,38,40,77,0,0,0,379,366,744
UCL521047,281,212,493,0,0,5,0,0,0,0,0,0,0,0,0,0,8,9,0,0,0,4,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,4,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,8,14,23,43,40,16,59,0,0,0,340,257,595
UCL521048,383,412,798,0,0,0,0,0,0,3,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,7,7,14,16,17,33,53,40,98,0,0,0,457,474,925
UCL521049,48,30,83,0,0,0,0,0,0,182,209,397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184,215,396,183,223,403,20,7,27,0,0,0,251,263,513
UCL521050,342,302,637,0,3,8,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,8,0,0,0,5,3,6,0,0,0,10,6,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,22,19,38,21,15,38,0,0,4,385,336,716
UCL521051,357,383,743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,16,0,0,0,0,3,8,0,0,0,10,8,22,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,0,3,21,20,39,24,46,69,0,0,0,407,450,853
UCL521052,359,327,678,0,0,0,0,0,0,18,29,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,26,42,35,36,69,122,67,193,5,4,0,512,431,944
UCL522001,26,37,69,0,0,0,0,0,0,221,195,418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223,199,422,226,199,423,4,8,12,0,0,0,258,245,504
UCL522002,117,138,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,13,7,10,16,14,5,16,0,0,0,132,151,282
UCL522003,108,101,207,0,0,0,0,0,0,49,49,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,45,92,49,49,94,16,17,35,0,0,0,167,173,343
UCL522004,30,23,53,0,0,0,0,0,0,117,132,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,132,252,117,132,252,3,5,9,0,0,0,159,158,317
