UCL_CODE_2021,F_Inad_desc_Ns_15_19,F_Inad_desc_Ns_20_24,F_Inad_desc_Ns_25_34,F_Inad_desc_Ns_35_44,F_Inad_desc_Ns_45_54,F_Inad_desc_Ns_55_64,F_Inad_desc_Ns_65_74,F_Inad_desc_Ns_75_84,F_Inad_desc_Ns_85_yr_over,F_Inad_desc_Ns_Tot,F_Tot_15_19_yr,F_Tot_20_24_yr,F_Tot_25_34_yr,F_Tot_35_44_yr,F_Tot_45_54_yr,F_Tot_55_64_yr,F_Tot_65_74_yr,F_Tot_75_84_yr,F_Tot_85_yr_over,F_Tot_Tot,P_Agr_fstry_fsh_15_19,P_Agr_fstry_fsh_20_24,P_Agr_fstry_fsh_25_34,P_Agr_fstry_fsh_35_44,P_Agr_fstry_fsh_45_54,P_Agr_fstry_fsh_55_64,P_Agr_fstry_fsh_65_74,P_Agr_fstry_fsh_75_84,P_Agr_fstry_fsh_85_yr_over,P_Agr_fstry_fsh_Tot,P_Min_15_19_yr,P_Min_20_24_yr,P_Min_25_34_yr,P_Min_35_44_yr,P_Min_45_54_yr,P_Min_55_64_yr,P_Min_65_74_yr,P_Min_75_84_yr,P_Min_85_yr_over,P_Min_Tot,P_Manf_15_19_yr,P_Manf_20_24_yr,P_Manf_25_34_yr,P_Manf_35_44_yr,P_Manf_45_54_yr,P_Manf_55_64_yr,P_Manf_65_74_yr,P_Manf_75_84_yr,P_Manf_85_yr_over,P_Manf_Tot,P_Elec_gas_wtr_wst_sv_15_19,P_Elec_gas_wtr_wst_sv_20_24,P_Elec_gas_wtr_wst_sv_25_34,P_Elec_gas_wtr_wst_sv_35_44,P_Elec_gas_wtr_wst_sv_45_54,P_Elec_gas_wtr_wst_sv_55_64,P_Elec_gas_wtr_wst_sv_65_74,P_Elec_gas_wtr_wst_sv_75_84,P_Elec_gas_wtr_wst_sv_85_ov,P_Elec_gas_wtr_wst_sv_Tot,P_Con_15_19_yr,P_Con_20_24_yr,P_Con_25_34_yr,P_Con_35_44_yr,P_Con_45_54_yr,P_Con_55_64_yr,P_Con_65_74_yr,P_Con_75_84_yr,P_Con_85_yr_over,P_Con_Tot,P_Whl_trd_15_19_yr,P_Whl_trd_20_24_yr,P_Whl_trd_25_34_yr,P_Whl_trd_35_44_yr,P_Whl_trd_45_54_yr,P_Whl_trd_55_64_yr,P_Whl_trd_65_74_yr,P_Whl_trd_75_84_yr,P_Whl_trd_85_yr_over,P_Whl_trd_Tot,P_Re_trd_15_19_yr,P_Re_trd_20_24_yr,P_Re_trd_25_34_yr,P_Re_trd_35_44_yr,P_Re_trd_45_54_yr,P_Re_trd_55_64_yr,P_Re_trd_65_74_yr,P_Re_trd_75_84_yr,P_Re_trd_85_yr_over,P_Re_trd_Tot,P_Acc_food_svc_15_19,P_Acc_food_svc_20_24,P_Acc_food_svc_25_34,P_Acc_food_svc_35_44,P_Acc_food_svc_45_54,P_Acc_food_svc_55_64,P_Acc_food_svc_65_74,P_Acc_food_svc_75_84,P_Acc_food_svc_85_yr_over,P_Acc_food_svc_Tot,P_Trp_pos_wh_15_19,P_Trp_pos_wh_20_24,P_Trp_pos_wh_25_34,P_Trp_pos_wh_35_44,P_Trp_pos_wh_45_54,P_Trp_pos_wh_55_64,P_Trp_pos_wh_65_74,P_Trp_pos_wh_75_84,P_Trp_pos_wh_85_yr_over,P_Trp_pos_wh_Tot,P_In_med_tcom_15_19,P_In_med_tcom_20_24,P_In_med_tcom_25_34,P_In_med_tcom_35_44,P_In_med_tcom_45_54,P_In_med_tcom_55_64,P_In_med_tcom_65_74,P_In_med_tcom_75_84,P_In_med_tcom_85_yr_over,P_In_med_tcom_Tot,P_Fin_in_svc_15_19,P_Fin_in_svc_20_24,P_Fin_in_svc_25_34,P_Fin_in_svc_35_44,P_Fin_in_svc_45_54,P_Fin_in_svc_55_64,P_Fin_in_svc_65_74,P_Fin_in_svc_75_84,P_Fin_in_svc_85_yr_over,P_Fin_in_svc_Tot,P_Rnt_hrg_rea_est_serv_15_19,P_Rnt_hrg_rea_est_serv_20_24,P_Rnt_hrg_rea_est_serv_25_34,P_Rnt_hrg_rea_est_serv_35_44,P_Rnt_hrg_rea_est_serv_45_54,P_Rnt_hrg_rea_est_serv_55_64,P_Rnt_hrg_rea_est_serv_65_74,P_Rnt_hrg_rea_est_serv_75_84,P_Rnt_hrg_rea_est_serv_85_ov,P_Rnt_hrg_rea_est_serv_Tot,P_Prof_sc_tech_serv_15_19,P_Prof_sc_tech_serv_20_24,P_Prof_sc_tech_serv_25_34,P_Prof_sc_tech_serv_35_44,P_Prof_sc_tech_serv_45_54,P_Prof_sc_tech_serv_55_64,P_Prof_sc_tech_serv_65_74,P_Prof_sc_tech_serv_75_84,P_Prof_sc_tech_serv_85_over,P_Prof_sc_tech_serv_Tot,P_Adm_sup_serv_15_19,P_Adm_sup_serv_20_24,P_Adm_sup_serv_25_34,P_Adm_sup_serv_35_44,P_Adm_sup_serv_45_54,P_Adm_sup_serv_55_64,P_Adm_sup_serv_65_74,P_Adm_sup_serv_75_84,P_Adm_sup_serv_85_over,P_Adm_sup_serv_Tot,P_PubAd_saf_15_19,P_PubAd_saf_20_24,P_PubAd_saf_25_34,P_PubAd_saf_35_44,P_PubAd_saf_45_54,P_PubAd_saf_55_64,P_PubAd_saf_65_74,P_PubAd_saf_75_84,P_PubAd_saf_85_yr_over,P_PubAd_saf_Tot,P_Ed_trng_15_19,P_Ed_trng_20_24,P_Ed_trng_25_34,P_Ed_trng_35_44,P_Ed_trng_45_54,P_Ed_trng_55_64,P_Ed_trng_65_74,P_Ed_trng_75_84,P_Ed_trng_85_yr_over,P_Ed_trng_Tot,P_Hlth_cre_socia_assist_15_19,P_Hlth_cre_socia_assist_20_24,P_Hlth_cre_socia_assist_25_34,P_Hlth_cre_socia_assist_35_44,P_Hlth_cre_socia_assist_45_54,P_Hlth_cre_socia_assist_55_64,P_Hlth_cre_socia_assist_65_74,P_Hlth_cre_socia_assist_75_84,P_Hlth_cre_socia_assist_85_ov,P_Hlth_cre_socia_assist_Tot,P_Arts_rec_svc_15_19,P_Arts_rec_svc_20_24,P_Arts_rec_svc_25_34,P_Arts_rec_svc_35_44,P_Arts_rec_svc_45_54,P_Arts_rec_svc_55_64,P_Arts_rec_svc_65_74,P_Arts_rec_svc_75_84,P_Arts_rec_svc_85_yr_over,P_Arts_rec_svc_Tot
UCL501001,887,1705,4237,4159,3399,2200,673,186,39,17483,28647,46913,110078,110875,100554,71099,17523,1516,99,487315,219,428,1189,1227,1290,1036,551,160,14,6117,384,2877,14339,17178,13345,7461,1341,92,5,57016,2062,3873,10386,12528,12467,9313,2217,245,10,53099,152,508,2330,3122,2688,1863,372,21,0,11056,3055,7499,21670,21742,17339,12383,2918,230,12,86856,685,1796,5246,6255,6021,4311,1090,135,11,25542,14327,16477,18559,14487,13285,10433,3077,326,24,90989,19661,12746,13296,8753,5861,4036,1090,104,9,65550,857,3013,9603,10613,9973,8671,2621,229,9,45590,421,890,2129,2152,1679,1098,311,54,0,8729,169,1289,5758,7236,6079,3575,968,158,12,25245,217,962,3013,3376,3302,2536,1209,257,26,14893,663,5645,19808,22820,16785,10101,3581,497,30,79931,899,2964,7541,7188,6264,4940,1517,170,10,31493,505,3197,12487,15102,14768,11377,2609,227,10,60286,2299,5666,16838,20498,22477,17270,4687,380,15,90131,2109,11857,34698,33723,30745,24309,6588,505,15,144548,2297,2787,4150,3382,2560,1843,701,118,8,17845
UCL511001,30,50,96,113,78,62,24,4,4,454,1290,1351,3211,3750,3844,2691,588,42,3,16784,22,50,107,75,92,88,51,16,0,503,25,133,492,619,567,361,54,0,0,2245,147,291,681,835,726,464,88,3,0,3240,12,41,132,153,168,162,21,5,0,688,151,372,843,867,765,638,160,11,0,3809,29,46,111,141,165,105,25,3,0,620,592,404,696,660,614,489,94,9,0,3553,913,265,367,319,243,135,39,0,0,2283,25,82,192,251,327,364,107,12,0,1357,33,28,60,39,33,16,13,0,0,213,4,20,89,103,128,68,17,3,0,440,16,25,87,88,96,77,28,0,3,423,21,65,255,306,258,173,90,7,0,1179,22,62,144,196,205,176,57,3,0,872,22,93,289,377,449,347,79,6,0,1660,51,92,424,677,878,642,151,5,0,2928,129,398,1047,1222,1211,966,231,10,0,5207,59,39,77,56,47,36,11,0,0,328
UCL512001,18,19,36,39,27,32,7,6,0,180,532,519,1170,1372,1598,1344,356,33,5,6929,29,37,91,94,105,108,79,14,9,557,0,5,55,53,52,31,7,0,0,202,52,90,166,140,156,103,32,3,0,743,0,6,26,45,41,45,7,0,0,167,75,120,299,252,253,207,53,3,0,1263,4,31,64,53,87,57,20,0,0,326,306,186,287,272,283,257,75,7,0,1676,361,131,195,168,131,98,39,0,0,1128,9,21,54,94,132,159,45,7,0,518,8,15,22,14,18,11,3,0,0,88,6,21,40,44,53,47,8,0,0,209,0,14,41,31,49,38,15,5,0,195,12,22,99,129,106,104,46,4,0,524,6,26,57,75,80,98,24,0,0,371,8,22,114,182,241,209,44,4,0,822,17,46,179,251,398,293,77,12,0,1265,52,163,432,515,596,577,143,13,0,2487,22,10,37,28,26,27,4,3,0,164
UCL512002,10,11,28,31,33,30,12,4,0,161,487,396,958,1332,1537,1138,284,27,0,6159,12,25,48,66,47,68,25,14,4,308,9,25,124,200,200,94,7,0,0,665,32,43,104,152,135,103,31,0,0,608,0,0,16,28,40,28,5,0,0,119,58,114,259,278,281,193,61,4,0,1247,6,6,18,30,49,33,15,0,0,156,260,131,217,233,276,268,75,6,0,1461,384,146,226,256,194,146,39,0,0,1390,16,13,37,44,105,99,47,5,0,368,13,0,10,13,18,4,0,0,0,60,0,7,26,44,53,34,11,0,0,170,4,19,34,23,43,27,18,3,0,181,3,14,64,96,125,85,38,9,0,438,18,35,93,105,124,93,29,3,0,506,16,14,74,117,162,115,32,0,0,524,25,20,131,257,328,225,50,4,0,1043,24,86,272,393,432,433,98,0,0,1742,19,12,20,29,27,23,6,0,0,131
UCL512003,15,19,29,44,47,31,14,3,3,205,589,619,1294,1496,1650,1264,335,29,3,7264,20,37,72,77,96,93,53,18,3,469,8,54,160,208,181,123,16,0,0,755,36,31,80,86,71,71,26,8,0,394,4,10,28,30,27,41,7,0,0,143,75,152,294,267,211,237,54,3,0,1294,16,29,68,95,91,71,13,4,0,388,312,227,278,263,272,222,61,14,0,1641,379,147,173,138,111,88,25,4,0,1069,15,29,144,165,242,236,78,5,0,922,13,10,22,14,10,18,0,0,0,96,0,11,26,36,50,40,15,0,0,177,10,13,25,16,37,24,10,4,0,143,7,34,117,117,141,86,37,4,0,538,13,20,73,75,98,89,14,3,0,395,13,42,118,204,250,210,51,5,0,891,22,72,267,355,400,341,73,5,0,1535,60,165,484,517,582,414,133,4,0,2356,12,18,17,18,28,26,5,0,0,122
UCL512004,18,23,55,61,56,35,12,4,0,269,424,643,1636,1472,1413,1021,223,15,0,6848,3,0,4,5,8,10,4,0,0,28,111,379,1108,1016,827,572,80,3,0,4105,26,55,175,169,115,107,31,0,0,674,7,15,32,55,36,46,8,0,0,198,58,109,264,229,192,192,49,0,0,1079,10,40,119,116,98,59,17,0,0,459,230,143,188,171,186,154,49,4,0,1128,203,109,165,146,123,90,24,8,0,861,11,46,133,151,220,217,85,0,0,863,3,12,15,14,10,5,0,0,0,64,0,8,26,24,19,7,0,0,0,92,8,29,60,57,53,51,7,0,0,268,34,62,146,112,103,82,35,4,0,576,7,35,73,63,76,58,14,0,0,330,11,40,179,176,165,142,32,3,0,741,13,80,225,233,253,212,51,4,0,1082,30,124,365,321,303,264,59,3,0,1463,15,6,23,23,20,22,8,0,0,115
UCL513001,8,12,45,53,29,21,10,8,0,184,221,293,1146,1121,916,791,240,34,0,4756,4,21,47,35,27,68,61,13,0,285,3,9,71,81,60,47,13,0,0,281,5,14,30,38,40,36,12,0,0,176,0,0,16,40,35,18,3,0,0,113,15,41,123,164,164,128,55,4,0,699,3,4,22,19,19,22,11,3,0,112,125,60,113,118,126,147,54,8,0,749,92,73,266,118,93,79,31,9,0,767,13,34,134,135,114,97,37,5,0,583,6,5,19,20,26,13,5,0,0,83,0,3,32,30,26,21,8,4,0,133,0,14,30,33,35,34,21,14,0,167,10,15,60,82,78,72,27,10,0,357,19,20,59,66,67,47,29,0,0,314,7,17,157,207,187,134,27,0,0,744,18,44,193,276,219,168,44,0,0,965,31,102,422,382,309,275,73,4,0,1596,9,6,37,28,33,30,23,4,0,177
UCL513002,7,11,8,16,13,10,7,0,0,76,144,185,423,454,484,401,102,20,0,2221,12,12,74,73,93,65,42,16,4,390,0,8,33,26,32,22,5,0,0,131,14,15,29,20,24,14,0,3,0,131,4,5,9,28,23,13,0,0,0,83,32,47,102,88,60,76,15,0,0,424,7,11,34,42,51,46,3,0,0,199,82,60,93,95,76,58,7,0,0,477,89,53,52,47,44,47,13,0,0,343,6,20,83,95,108,93,15,0,0,426,3,3,0,5,4,3,0,0,0,24,0,8,18,24,14,15,3,0,0,71,0,4,7,15,17,15,3,0,0,55,8,6,34,30,15,25,5,0,0,130,0,7,22,24,24,29,4,3,0,115,4,13,37,62,81,55,11,0,0,262,4,18,80,95,122,94,23,0,0,448,9,40,97,96,116,132,29,4,0,524,3,4,8,3,7,0,0,0,0,28
UCL513003,13,21,39,46,22,7,4,0,0,146,215,290,1124,1131,804,390,80,4,0,4039,0,0,9,5,3,6,9,0,0,29,17,99,525,706,460,219,26,0,0,2056,18,23,70,76,60,45,13,0,0,305,4,10,66,67,51,41,8,0,0,233,36,99,385,333,234,151,27,0,0,1275,17,14,46,44,35,23,6,0,0,181,127,54,137,120,91,55,15,0,0,598,119,46,128,107,75,49,16,0,0,543,10,31,115,158,171,101,28,0,0,613,3,7,16,8,3,8,0,0,0,50,3,0,16,17,11,3,0,0,0,48,5,21,47,44,41,33,4,0,0,198,8,11,89,92,48,45,10,0,0,296,17,34,109,97,83,46,11,0,0,390,12,25,124,169,148,94,20,0,0,600,0,44,188,237,197,71,13,0,0,752,26,56,193,192,125,91,17,0,0,706,10,4,19,23,26,13,0,0,0,94
UCL513004,6,11,32,34,25,18,3,0,0,132,168,269,1082,909,598,393,72,0,0,3498,6,0,4,0,3,3,4,0,0,18,33,122,675,769,476,295,27,0,0,2415,15,18,115,82,68,29,5,0,0,320,8,9,29,42,42,23,3,0,0,151,16,49,212,142,143,105,21,0,0,695,10,21,77,84,37,30,0,0,0,258,79,39,98,87,79,73,14,0,0,473,66,39,97,70,59,38,14,0,0,376,25,36,197,259,221,178,24,0,0,939,0,3,8,6,3,4,0,0,0,24,0,0,13,10,0,3,0,0,0,37,3,15,51,33,22,11,4,0,0,141,6,7,57,71,35,18,10,0,0,201,4,18,73,65,38,36,3,0,0,246,19,22,136,104,81,62,22,0,0,450,5,33,169,150,109,81,13,0,0,565,20,48,198,181,132,118,33,0,0,724,3,4,16,16,11,6,3,0,0,59
