UCL_CODE_2021,Neg_Nil_Inc_Family_hholds,Neg_Nil_Inc_Non_fam_household,Neg_Nil_Inc_Tot,1_149_Family_hholds,1_149_NonFamHholds,1_149_Tot,150_299_Family_hholds,150_299_NonFamHholds,150_299_Tot,300_399_Family_hholds,300_399_NonFamHholds,300_399_Tot,400_499_Family_hholds,400_499_NonFamHholds,400_499_Tot,500_649_Family_hholds,500_649_NonFamHholds,500_649_Tot,650_799_Family_hholds,650_799_NonFamHholds,650_799_Tot,800_999_Family_hholds,800_999_NonFamHholds,800_999_Tot,1000_1249_Family_hholds,1000_1249_NonFamHholds,1000_1249_Tot,1250_1499_Family_hholds,1250_1499_NonFamHholds,1250_1499_Tot,1500_1749_Family_hholds,1500_1749_NonFamHholds,1500_1749_Tot,1750_1999_Family_hholds,1750_1999_NonFamHholds,1750_1999_Tot,2000_2499_Family_hholds,2000_2499_NonFamHholds,2000_2499_Tot,2500_2999_Family_hholds,2500_2999_NonFamHholds,2500_2999_Tot,3000_3499_Family_hholds,3000_3499_NonFamHholds,3000_3499_Tot,3500_3999_Family_hholds,3500_3999_NonFamHholds,3500_3999_Tot,4000orMore_Family_hholds,4000orMore_NonFamHholds,4000orMore_Tot,Part_Inc_st_Family_hholds,Part_Inc_st_NonFamHholds,Part_Inc_stated_Tot,All_Inc_NS_Family_hh,All_Inc_NS_NonFamily_hh,All_Inc_NS_Tot,Tot_Family_hholds,Tot_NonFamHholds,Tot_Tot
UCL501001,5033,7459,12495,2006,2646,4651,2324,6960,9291,2670,13518,16188,7676,30395,38074,9200,20216,29421,25206,13464,38677,23669,16709,40379,29028,19590,48618,33507,16627,50141,26940,14649,41591,28776,11467,40248,65158,20391,85549,51607,2638,54248,45469,5537,51000,29795,1178,30970,94027,8260,102290,51281,5481,56768,4758,7123,11881,538147,224320,762472
UCL511001,150,233,382,63,86,149,87,282,373,108,596,708,356,1415,1770,447,842,1290,1322,607,1926,1060,688,1749,1235,737,1970,1345,574,1918,1036,502,1541,1185,397,1587,2523,676,3198,1965,60,2030,1634,195,1830,911,40,951,2082,234,2314,2177,143,2319,169,329,499,19856,8636,28494
UCL512001,69,126,188,41,57,102,26,159,189,50,311,361,173,776,948,198,561,758,654,325,982,516,376,895,617,379,992,704,234,943,489,213,702,500,145,637,1033,238,1268,743,23,769,516,57,570,277,14,291,583,91,677,699,56,752,101,195,291,7982,4334,12325
UCL512002,69,79,149,33,36,67,44,127,170,40,249,284,151,591,744,167,444,611,594,278,868,461,283,743,568,265,832,613,197,808,400,127,528,394,108,502,848,178,1026,615,31,649,482,51,534,303,9,316,623,79,695,851,62,910,93,155,252,7333,3373,10709
UCL512003,89,121,213,32,49,82,54,170,227,49,310,360,156,650,804,183,426,610,534,323,858,449,360,805,471,362,832,544,288,834,452,212,660,448,189,639,1009,323,1331,790,37,826,643,77,714,388,13,399,804,94,903,964,70,1032,100,183,290,8167,4258,12429
UCL512004,40,101,137,22,35,57,28,127,156,22,123,147,60,275,333,92,146,240,191,122,313,174,205,370,196,266,463,253,251,501,220,333,558,282,294,576,825,572,1393,759,49,809,795,169,966,526,35,560,1577,207,1785,721,85,805,111,301,414,6890,3697,10585
UCL513001,22,73,88,10,32,38,17,57,73,28,137,165,40,151,190,54,103,154,82,172,251,80,178,259,111,279,388,113,248,362,104,181,287,122,212,329,385,312,692,345,131,472,358,128,484,227,54,283,555,268,824,489,79,568,71,153,224,3201,2939,6138
UCL513002,18,42,61,12,27,40,16,62,78,21,98,114,49,246,293,37,144,192,151,95,253,130,113,249,154,137,296,180,94,275,127,61,189,154,61,217,345,116,465,228,17,243,197,33,228,84,12,99,235,55,286,322,24,349,39,100,135,2498,1553,4044
UCL513003,12,28,43,7,8,16,4,21,21,7,28,41,16,41,62,16,32,49,23,53,74,28,69,94,53,99,154,63,113,175,81,148,232,132,171,303,373,337,710,327,36,364,452,137,587,317,26,345,1415,245,1664,435,45,473,23,138,163,3774,1792,5570
UCL513004,24,41,69,7,10,19,12,48,61,18,62,81,28,41,62,30,49,74,48,66,112,53,55,106,63,117,183,74,127,202,73,167,240,118,163,281,315,437,754,308,35,344,400,171,575,303,31,330,1041,265,1304,386,43,429,69,262,336,3367,2192,5557
UCL513005,31,29,67,3,12,12,7,25,35,15,51,67,45,128,176,75,91,163,174,42,215,157,69,227,170,70,239,205,67,273,146,49,194,151,41,191,403,77,478,257,9,266,228,18,241,120,0,122,253,15,271,457,10,467,27,31,61,2926,833,3762
UCL514001,19,37,53,6,5,16,9,49,58,20,111,129,54,261,314,55,92,144,201,65,264,129,77,205,128,79,208,155,49,210,95,44,139,104,33,137,176,67,242,157,3,162,128,14,140,61,3,60,117,8,122,187,13,197,26,43,75,1813,1051,2865
UCL514002,18,17,31,8,8,17,11,25,37,5,29,30,21,82,107,24,65,95,91,50,139,84,55,135,129,67,201,119,66,179,98,35,129,118,31,148,232,63,293,197,21,217,141,24,160,63,7,74,233,48,277,263,31,295,20,19,37,1880,739,2617
UCL514003,11,25,33,8,15,21,13,20,33,7,53,55,30,107,135,39,85,127,67,71,138,93,63,154,125,84,209,163,48,208,117,45,163,128,36,162,270,63,332,198,23,215,129,23,151,69,15,83,131,44,173,229,43,275,13,45,56,1833,899,2738
UCL514004,13,25,39,4,9,19,7,38,50,16,62,79,45,189,234,47,104,150,151,51,197,113,62,173,117,86,202,135,57,188,91,48,135,83,39,128,196,57,254,147,7,155,97,14,109,49,4,55,114,11,121,159,15,173,35,43,76,1617,929,2545
UCL515001,8,10,14,3,5,9,5,15,18,3,15,20,11,59,76,7,41,49,51,16,72,33,20,52,34,13,47,32,13,50,22,11,30,18,5,19,18,16,38,12,7,19,13,4,13,9,0,3,13,15,24,30,3,38,7,14,21,316,283,599
UCL515002,5,5,10,0,0,4,0,6,3,3,12,11,5,18,27,8,11,22,27,9,31,20,8,26,30,10,37,22,13,34,15,8,18,18,11,29,39,25,55,36,0,43,33,6,41,16,0,22,42,8,46,42,0,41,3,5,9,359,153,508
UCL515003,7,8,14,3,7,9,0,8,13,11,24,32,20,91,109,22,49,70,71,28,105,43,34,70,58,17,79,49,13,59,23,11,36,35,6,43,62,18,81,43,3,45,45,0,49,17,0,17,28,4,34,70,0,78,7,11,22,622,338,958
UCL515004,5,3,10,0,5,7,6,6,6,4,10,12,12,24,28,15,12,29,31,8,41,29,8,33,28,19,52,42,17,60,37,6,42,36,13,46,94,15,103,54,0,57,31,4,33,22,0,22,35,0,35,90,3,93,4,0,8,568,148,724
UCL515005,12,14,24,5,0,4,4,3,7,0,23,23,13,50,63,22,23,45,59,15,69,39,15,57,47,17,71,43,13,59,40,16,56,38,15,45,90,13,107,60,6,68,43,8,51,14,4,14,32,0,27,98,4,107,8,10,12,654,257,914
UCL515006,8,26,32,6,13,15,13,38,45,9,52,61,26,108,142,19,64,86,62,93,158,52,111,160,44,130,174,54,98,149,38,42,87,69,45,118,103,77,173,77,26,109,69,17,84,34,14,47,78,42,124,108,16,119,24,62,90,889,1078,1973
UCL515007,4,0,5,4,0,5,0,0,0,0,8,7,0,11,15,7,13,23,16,12,23,28,14,42,28,13,40,36,13,51,38,7,40,32,4,39,75,13,85,75,0,75,46,0,45,21,0,21,50,7,58,72,10,80,0,3,3,539,132,663
UCL515008,5,6,11,0,0,0,0,0,0,3,0,3,0,3,3,3,0,4,0,8,11,0,4,4,5,8,14,7,9,11,6,4,13,8,10,13,18,14,35,26,3,27,40,9,45,32,0,30,142,12,149,40,0,40,0,18,18,317,119,439
UCL515009,0,12,13,3,26,31,10,41,49,3,53,53,24,123,150,27,71,101,74,36,112,49,44,91,80,42,118,73,30,97,33,22,56,46,7,54,62,24,80,55,0,50,31,11,35,13,8,19,43,10,55,79,14,94,10,16,23,697,576,1277
UCL515010,3,16,23,0,9,10,3,18,19,0,13,19,21,45,62,6,23,26,24,25,52,13,34,56,23,37,63,30,73,99,26,60,80,35,38,73,54,78,134,39,15,53,53,16,67,21,11,32,53,38,93,82,8,86,11,35,42,512,588,1100
UCL515011,9,15,27,8,9,16,7,11,15,4,23,28,23,71,93,21,29,50,73,21,100,58,34,91,51,27,78,67,21,89,39,12,49,38,11,49,87,16,105,61,0,63,53,5,58,20,0,21,49,3,55,65,6,76,10,20,21,725,334,1063
UCL515012,3,8,11,0,3,0,0,5,4,3,9,8,12,18,29,8,11,16,28,0,33,26,9,30,21,13,37,25,10,41,25,14,40,27,10,40,82,17,96,74,0,75,53,7,58,44,0,46,72,3,72,98,3,104,3,4,9,615,144,759
