UCL_CODE_2021,P_15_19_Mgrs,P_15_19_Profnls,P_15_19_Techs_trades_workers,P_15_19_Comm_psnl_serv_wrkrs,P_15_19_Cler_admin_wrkrs,P_15_19_Sales_wrkrs,P_15_19_Mach_oper_dvrs,P_15_19_Labrs,P_15_19_Inad_desc_Ns,P_15_19_Tot,P_20_24_Mgrs,P_20_24_Profnls,P_20_24_Techs_trades_wrkrs,P_20_24_Comm_psnl_serv_wrkrs,P_20_24_Cler_admin_wrkrs,P_20_24_Sales_wrkrs,P_20_24_Mach_oper_dvrs,P_20_24_Labrs,P_20_24_Inad_desc_Ns,P_20_24_Tot,P_25_34_Mgrs,P_25_34_Profnls,P_25_34_Techs_trades_wrkrs,P_25_34_Comm_psnl_serv_wrkrs,P_25_34_Cler_admin_wrkrs,P_25_34_Sales_wrkrs,P_25_34_Mach_oper_dvrs,P_25_34_Labrs,P_25_34_Inad_desc_Ns,P_25_34_Tot,P_35_44_Mgrs,P_35_44_Profnls,P_35_44_Techs_trades_wrkrs,P_35_44_Comm_psnl_serv_wrkrs,P_35_44_Cler_admin_wrkrs,P_35_44_Sales_wrkrs,P_35_44_Mach_oper_dvrs,P_35_44_Labrs,P_35_44_Inad_desc_Ns,P_35_44_Tot,P_45_54_Mgrs,P_45_54_Profnls,P_45_54_Techs_trades_wrkrs,P_45_54_Comm_psnl_serv_wrkrs,P_45_54_Cler_admin_wrkrs,P_45_54_Sales_wrkrs,P_45_54_Mach_oper_dvrs,P_45_54_Labrs,P_45_54_Inad_desc_Ns,P_45_54_Tot,P_55_64_Mgrs,P_55_64_Profnls,P_55_64_Techs_trades_wrkrs,P_55_64_Comm_psnl_serv_wrkrs,P_55_64_Cler_admin_wrkrs,P_55_64_Sales_wrkrs,P_55_64_Mach_oper_dvrs,P_55_64_Labrs,P_55_64_Inad_desc_Ns,P_55_64_Tot,P_65_74_Mgrs,P_65_74_Profnls,P_65_74_Techs_trades_wrkrs,P_65_74_Comm_psnl_serv_wrkrs,P_65_74_Cler_admin_wrkrs,P_65_74_Sales_wrkrs,P_65_74_Mach_oper_dvrs,P_65_74_Labrs,P_65_74_Inad_desc_Ns,P_65_74_Tot,P_75_84_Mgrs,P_75_84_Profnls,P_75_84_Techs_trades_wrkrs,P_75_84_Comm_psnl_serv_wrkrs,P_75_84_Cler_admin_wrkrs,P_75_84_Sales_wrkrs,P_75_84_Mach_oper_dvrs,P_75_84_Labrs,P_75_84_Inad_desc_Ns,P_75_84_Tot,P_85_yr_over_Mgrs,P_85_yr_over_Profnls,P_85ov_Techs_trades_wrkrs,P_85ov_Com_psnl_serv_wrkrs,P_85_yr_over_Cler_admin_wrkrs,P_85_yr_over_Sales_wrkrs,P_85_yr_over_Mach_oper_dvrs,P_85_yr_over_Labrs,P_85_yr_over_Inad_desc_Ns,P_85_yr_over_Tot,P_Tot_Mgrs,P_Tot_Profnls,P_Tot_Techs_trades_wrkrs,P_Tot_Comm_psnl_serv_wrkrs,P_Tot_Cler_admin_wrkrs,P_Tot_Sales_wrkrs,P_Tot_Mach_oper_dvrs,P_Tot_Labrs,P_Tot_Inad_desc_Ns,P_Tot_Tot
UCL513005,4,3,27,42,5,73,13,62,7,247,14,19,74,57,34,47,28,57,9,336,89,114,228,139,117,65,110,109,28,993,110,170,208,176,164,51,105,100,27,1119,115,153,173,153,120,67,99,100,21,1020,79,90,111,84,95,57,73,66,8,669,13,23,18,13,31,11,4,16,6,132,0,0,0,0,0,0,3,0,0,9,0,0,0,0,0,0,0,0,0,0,427,569,850,667,577,373,438,514,99,4526
UCL514001,0,0,30,31,3,43,11,55,3,168,4,10,64,27,15,27,26,48,4,227,29,43,147,60,39,36,65,80,6,502,30,66,105,73,59,39,90,76,15,550,41,53,127,70,56,31,95,79,9,574,33,38,83,50,32,31,108,75,11,465,11,15,15,14,9,6,18,18,0,109,3,6,3,0,0,0,3,4,4,21,0,0,0,0,0,0,0,0,0,5,153,222,581,325,221,208,418,439,59,2618
UCL514002,0,0,36,63,0,58,3,50,6,225,3,3,39,32,4,20,0,21,7,139,72,116,135,81,43,22,20,62,9,549,150,219,201,85,84,61,21,75,14,914,129,186,142,73,94,69,32,73,9,802,91,104,75,42,58,52,21,59,16,514,42,48,22,12,30,23,18,17,3,205,8,5,0,0,0,0,0,3,0,25,0,0,0,0,0,0,0,0,0,0,490,681,649,381,318,315,113,362,60,3373
UCL514003,9,3,30,54,0,66,3,57,0,231,10,9,36,42,6,29,9,56,0,194,94,111,181,131,46,53,32,135,10,770,149,205,185,133,80,53,62,129,17,1008,133,174,140,101,86,78,43,99,6,862,74,95,79,65,57,49,33,69,11,528,21,44,19,3,24,18,11,17,4,154,0,4,0,4,0,0,0,4,0,13,0,0,0,0,0,0,0,0,0,0,473,638,670,520,301,344,194,566,38,3761
UCL514004,3,0,22,17,12,65,4,40,7,177,12,19,52,34,21,32,12,46,4,224,35,81,84,49,54,35,34,73,5,445,53,91,64,80,56,35,23,62,9,480,74,72,64,80,82,35,57,72,4,541,75,84,73,61,83,42,65,58,11,550,30,18,15,28,18,21,25,22,3,176,3,0,0,3,4,0,0,3,0,16,0,0,0,0,0,0,0,0,0,0,278,360,382,351,324,265,232,377,44,2614
UCL515001,0,0,0,3,0,3,0,0,0,13,0,0,4,4,0,0,0,3,0,19,9,4,16,3,0,3,3,13,0,60,11,8,16,9,8,6,0,7,0,66,14,8,17,7,11,6,4,16,0,90,18,15,19,12,13,12,9,14,3,112,8,9,6,0,7,4,3,11,0,51,9,0,0,0,0,5,0,0,0,8,0,0,0,0,0,0,0,0,3,3,77,45,77,45,39,43,20,69,8,421
UCL515002,0,0,3,13,3,5,0,7,0,35,0,6,6,4,0,0,0,9,0,40,9,11,24,3,18,5,12,17,0,96,14,29,28,12,17,5,8,16,6,126,18,21,30,22,26,9,14,6,0,142,15,19,22,16,16,6,15,14,0,124,7,10,4,3,5,0,0,3,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,92,113,72,76,38,65,75,10,603
UCL515003,0,0,3,11,3,14,0,8,0,45,0,6,11,5,0,3,7,7,0,47,12,22,33,18,10,7,11,18,4,135,16,31,35,19,16,16,11,11,3,151,28,45,36,29,20,15,20,25,3,211,32,30,27,28,23,19,21,29,3,212,14,10,13,8,9,7,8,13,0,75,0,4,0,4,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,101,145,149,130,79,84,81,111,14,895
UCL515004,0,0,9,8,5,10,9,23,0,60,9,42,32,19,9,11,7,11,3,139,23,46,86,36,46,17,36,20,4,304,11,22,48,15,28,7,35,26,0,202,24,8,28,25,29,14,25,18,6,182,12,8,23,14,13,11,8,14,0,100,4,0,0,4,3,0,9,5,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,131,222,122,132,66,129,118,15,1014
UCL515005,4,0,10,9,4,31,0,22,0,76,0,0,26,13,4,9,5,10,0,80,18,21,36,28,16,10,9,30,0,171,21,37,43,30,18,17,26,33,9,227,25,39,41,33,22,11,42,37,0,258,15,20,22,26,18,6,31,20,4,165,3,0,6,9,5,3,4,0,0,36,0,0,0,0,0,0,0,3,0,9,0,0,0,0,0,0,0,0,0,0,82,126,185,148,87,94,130,159,19,1017
UCL515006,0,0,16,7,3,25,5,13,0,68,4,14,23,14,16,23,0,25,3,123,32,61,55,50,46,22,30,37,6,342,56,64,45,44,43,35,20,32,3,344,60,76,52,39,55,26,39,53,12,409,73,70,44,63,52,31,47,42,8,434,36,17,12,12,21,8,13,23,7,151,5,0,0,0,0,5,0,3,0,16,0,0,0,0,0,0,0,0,0,0,274,305,250,231,244,167,159,224,39,1889
UCL515007,0,0,9,16,0,18,0,10,0,51,0,0,7,3,0,5,0,5,0,28,7,30,24,20,19,3,10,14,0,135,51,79,72,42,30,15,19,37,6,343,31,61,37,17,30,18,17,23,0,240,18,23,19,10,24,13,12,18,0,138,6,5,5,0,4,0,4,6,0,26,3,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,113,204,171,113,109,76,64,104,13,967
UCL515008,0,0,7,8,0,3,0,16,0,33,0,3,13,3,3,3,6,6,0,34,7,27,39,13,10,3,9,13,0,113,25,49,58,9,27,0,12,11,0,188,30,33,49,9,36,9,19,10,0,185,18,18,24,3,12,6,19,4,4,107,4,4,6,0,4,0,0,0,0,20,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,81,128,188,51,80,19,64,61,7,687
UCL515009,0,0,5,16,0,25,3,30,0,81,0,0,15,9,3,4,0,3,0,40,13,42,38,15,14,9,7,10,0,142,23,73,47,25,27,10,7,23,3,241,44,67,34,38,27,20,11,27,3,273,22,48,30,25,34,18,21,26,4,213,10,23,7,9,9,4,3,13,0,81,4,5,0,0,0,0,0,4,0,20,0,0,0,0,0,0,0,0,0,0,125,255,173,131,111,83,53,139,16,1091
UCL515010,0,0,0,9,7,10,0,9,0,34,7,23,9,18,11,4,3,7,0,86,23,89,29,55,31,6,6,17,5,263,22,69,24,54,24,4,4,17,6,208,32,56,21,47,26,9,18,14,3,237,56,59,25,56,47,22,7,19,5,288,22,30,8,17,11,10,4,12,3,121,0,0,5,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,161,332,118,257,147,59,51,91,22,1237
UCL515011,3,0,15,15,0,17,10,26,0,90,0,8,12,13,8,8,6,24,0,73,20,13,51,6,8,11,17,47,0,177,32,27,49,30,25,14,39,30,5,240,39,34,23,19,34,10,43,36,5,242,24,26,30,34,30,8,32,29,0,208,7,10,8,0,5,8,8,7,0,48,7,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,121,121,186,116,111,76,145,200,15,1095
UCL515012,0,0,16,21,4,31,0,17,0,90,0,8,20,14,11,3,7,8,3,74,29,53,62,56,39,12,17,16,4,273,24,47,39,34,25,13,22,14,0,233,36,66,34,34,25,21,25,12,7,253,14,22,19,30,29,6,10,9,0,142,4,7,0,6,3,4,3,3,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,199,188,193,142,91,87,77,19,1098
UCL515013,4,0,19,23,3,36,0,29,0,118,7,14,37,43,25,8,5,26,8,180,53,129,140,108,57,27,19,71,14,612,97,98,95,66,69,29,31,53,7,542,94,91,71,35,65,36,20,52,16,469,75,82,49,39,58,34,29,36,7,412,45,17,14,0,23,13,3,9,4,129,5,3,0,0,0,0,0,0,4,19,0,0,0,0,0,0,0,0,0,5,380,434,422,319,302,176,117,277,62,2492
UCL515014,0,0,0,5,0,0,0,0,0,11,0,12,3,12,0,4,0,4,0,35,21,49,10,30,15,5,0,6,3,135,13,32,4,23,5,6,4,4,0,95,14,26,8,25,12,3,5,4,0,101,21,27,4,21,11,0,4,5,3,86,0,9,4,6,4,3,3,3,4,34,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,69,154,45,110,54,22,15,25,10,500
UCL515015,0,0,12,6,7,12,4,16,0,63,0,4,29,5,10,11,6,21,0,85,12,18,59,20,16,8,21,141,5,301,13,15,33,18,19,13,30,84,11,235,23,21,43,25,18,13,38,53,9,244,24,20,17,19,18,12,31,44,0,179,4,7,7,8,9,0,5,14,0,52,3,0,0,0,0,0,0,6,0,10,0,0,0,0,0,0,0,0,0,0,83,83,203,95,92,65,133,383,37,1169
UCL515016,0,0,0,4,0,4,0,6,0,25,0,6,10,7,0,3,3,7,0,27,13,28,35,22,13,4,7,22,3,148,20,28,19,17,19,4,6,18,0,128,19,21,28,13,10,10,22,12,0,136,24,24,29,11,21,10,23,23,3,165,18,9,3,9,10,5,5,7,4,68,3,0,0,0,0,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0,92,117,125,74,78,50,60,93,13,708
UCL515017,0,0,3,4,0,10,0,12,0,33,4,7,13,8,5,5,3,3,0,45,14,25,19,10,10,7,0,15,3,100,13,24,27,14,10,3,15,26,0,137,28,27,19,21,16,11,15,20,0,162,33,27,17,28,27,25,26,45,4,236,33,10,8,5,10,6,6,8,5,86,8,0,0,0,0,3,0,0,0,12,0,0,0,0,0,0,0,0,0,0,127,120,114,91,74,64,66,131,22,803
UCL515018,0,0,10,0,4,15,6,3,0,33,0,7,15,4,12,4,15,5,0,66,6,22,39,17,6,0,37,4,6,136,7,14,32,6,14,5,51,12,0,147,8,18,31,14,13,13,45,9,8,167,13,13,35,9,12,3,37,21,0,143,3,3,6,0,0,0,7,6,0,28,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,45,83,168,53,65,44,192,59,13,722
UCL515019,0,6,20,16,10,25,0,28,3,99,8,13,34,18,16,16,0,46,5,156,19,51,61,34,17,20,15,99,6,320,22,36,37,27,36,26,14,75,3,281,27,35,40,30,28,21,19,88,4,288,41,36,40,34,32,23,25,67,15,312,11,13,13,10,19,5,8,21,0,102,3,0,3,0,0,0,0,4,0,15,0,0,0,0,0,0,0,0,0,0,134,185,247,169,162,129,89,419,35,1572
UCL515020,0,0,9,20,6,16,4,21,6,81,4,27,20,26,28,10,9,32,3,166,64,204,89,92,63,30,29,68,9,656,80,113,57,79,72,12,17,40,12,492,90,106,56,55,56,26,35,34,8,456,79,75,41,56,62,32,34,35,5,426,31,23,8,15,19,10,19,10,0,140,3,0,0,0,0,3,0,0,3,14,0,0,0,0,0,0,0,0,0,0,352,547,292,342,299,144,150,240,54,2423
UCL515021,0,0,8,12,0,19,0,20,0,71,0,5,14,5,0,3,4,8,0,44,3,25,26,5,10,13,8,9,0,99,13,36,28,26,15,5,5,9,0,143,30,40,40,13,24,12,5,17,5,178,23,38,30,23,23,0,20,19,3,170,13,11,8,5,0,4,4,6,0,55,7,0,0,0,0,0,0,4,0,11,0,0,0,0,0,0,0,0,0,0,88,149,149,99,83,62,48,81,8,772
UCL515022,0,0,22,20,3,41,8,29,3,125,6,15,37,18,9,15,20,37,0,162,31,47,64,37,27,30,36,73,8,360,48,51,47,39,35,26,34,60,6,334,51,39,53,46,37,33,39,62,4,352,33,33,50,44,43,23,47,76,8,352,12,15,15,18,18,6,12,15,0,112,13,0,0,3,0,0,0,7,0,23,0,0,0,0,0,0,0,0,0,0,198,198,277,226,174,167,192,357,29,1822
UCL515023,0,0,7,13,0,27,4,15,0,74,5,7,32,15,11,17,9,13,0,104,22,39,43,26,25,13,21,23,5,229,30,24,52,21,22,10,19,13,5,194,21,37,32,25,29,13,26,30,6,213,22,21,18,26,23,14,36,24,5,197,7,5,6,4,3,7,21,6,5,71,8,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,125,146,194,128,120,93,137,124,31,1093
UCL515024,0,0,8,3,0,4,0,7,0,29,3,8,17,9,5,5,3,8,0,53,12,17,20,17,11,11,4,21,3,117,19,26,14,11,17,5,11,5,0,117,9,8,16,18,20,5,19,17,3,115,19,20,22,15,20,5,28,18,3,155,7,3,5,6,4,0,10,9,0,59,4,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,75,83,109,79,82,47,82,93,6,659
UCL515025,0,0,6,9,0,13,0,15,7,49,0,3,17,5,4,4,5,11,0,49,10,12,15,15,15,8,8,37,4,123,13,19,19,12,9,3,6,21,3,118,18,26,20,19,21,8,17,21,6,152,16,15,14,8,13,19,18,29,8,142,10,5,10,7,3,0,6,6,3,46,3,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,67,75,97,80,69,56,68,147,24,685
UCL515026,0,0,12,7,4,18,5,14,5,66,0,12,42,21,6,4,3,20,5,122,25,32,89,37,39,19,39,22,9,314,33,25,34,21,30,10,26,22,4,201,18,22,35,28,39,10,30,34,0,215,19,13,24,18,23,3,28,23,5,139,3,0,4,0,4,0,5,10,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,103,236,127,149,65,131,136,32,1089
UCL515027,0,3,10,16,7,22,0,25,0,90,4,21,35,25,8,14,15,25,0,154,25,60,65,53,25,17,24,59,3,331,36,46,38,46,37,26,19,40,5,298,45,60,54,49,34,21,24,33,8,321,35,63,46,36,30,27,24,42,7,310,21,29,9,6,15,6,13,7,0,119,3,3,0,0,0,0,0,5,0,15,0,0,0,0,0,0,0,0,0,0,173,285,259,234,155,133,118,232,28,1623
UCL515028,4,6,18,19,7,20,6,15,0,90,7,22,54,11,17,23,39,27,8,208,47,114,252,60,59,30,138,50,16,779,66,86,201,47,58,19,151,48,20,692,59,64,150,35,35,23,187,39,9,605,33,39,70,14,26,15,140,28,9,372,4,9,7,10,3,3,21,9,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221,340,756,198,209,128,681,221,71,2816
UCL515029,0,0,7,3,0,0,8,3,4,16,0,0,3,3,0,5,13,15,0,45,12,16,50,9,11,0,63,19,3,189,19,17,69,10,22,7,63,18,7,225,11,9,38,4,16,5,85,19,9,189,3,18,29,4,4,9,58,12,5,139,0,0,0,0,0,5,4,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,53,199,32,49,21,291,81,28,816
UCL515030,0,0,18,24,0,45,6,28,0,128,3,7,33,17,16,17,9,25,0,122,15,29,54,34,16,14,29,26,5,218,21,42,56,31,22,8,55,28,5,272,31,39,42,36,34,29,57,30,3,299,23,33,53,41,26,20,42,38,3,269,8,13,11,5,8,4,12,8,0,66,0,0,4,0,0,0,5,0,0,10,0,0,0,0,0,0,0,0,0,0,91,158,274,184,122,134,206,186,20,1380
UCL515031,0,0,7,19,0,22,0,14,3,68,0,6,17,10,4,4,3,11,4,66,11,26,27,21,8,18,11,15,0,145,34,39,43,21,25,10,12,39,0,225,47,29,39,27,33,15,30,28,8,254,38,42,49,21,30,19,27,41,8,270,31,10,10,3,14,13,14,11,4,108,9,4,4,0,4,0,0,5,10,27,0,0,0,0,0,0,0,0,0,0,175,161,198,119,119,104,103,158,37,1159
UCL515032,0,0,8,5,4,8,3,8,3,51,3,3,19,7,4,9,5,12,0,61,13,15,42,5,16,9,9,7,7,125,14,19,44,9,25,6,18,3,10,144,25,31,34,13,30,14,24,14,13,199,21,12,18,15,26,4,17,10,0,127,5,0,3,5,0,0,8,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,84,171,71,104,51,84,56,34,733
UCL515033,0,0,10,9,0,16,4,20,0,68,4,10,26,13,4,3,9,13,0,81,22,70,106,32,32,9,68,22,6,377,39,60,127,43,57,14,121,34,14,509,35,33,81,14,31,12,90,27,8,336,26,17,46,7,18,8,71,10,7,214,7,9,8,0,4,0,15,0,0,40,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,133,202,395,127,149,67,395,128,31,1626
UCL515034,0,0,6,9,0,9,0,6,0,39,3,3,20,15,3,8,12,8,0,75,20,19,56,36,20,13,30,35,4,233,21,33,36,27,26,21,27,25,3,224,37,29,58,29,17,20,34,27,4,257,18,18,43,17,22,9,21,27,0,172,4,7,3,11,8,0,0,10,0,44,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,105,119,221,146,97,79,121,143,15,1049
UCL515035,0,0,12,4,0,7,0,12,0,29,0,3,13,0,4,3,0,6,0,30,0,7,25,13,9,3,3,23,4,91,10,6,16,4,5,4,7,18,4,83,14,12,9,14,10,3,10,12,0,89,15,14,12,14,8,8,19,21,3,124,7,6,6,0,11,9,7,6,0,47,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,49,50,84,54,47,43,54,97,12,481
UCL515036,0,0,16,3,0,9,3,7,0,48,0,0,21,8,6,3,10,18,0,68,11,10,44,14,9,10,18,24,5,137,10,19,37,16,9,11,30,21,0,154,13,15,43,24,22,8,37,28,9,191,7,13,42,17,22,9,48,25,0,193,8,4,11,3,4,0,10,12,0,47,0,0,0,0,0,3,0,5,0,7,0,0,0,0,0,0,0,0,0,0,44,70,208,87,81,50,155,135,17,843
