UCL_CODE_2021,M15_19_C_Own_chld_childr,M15_19_C_Oth_ch_chiln,M15_19_Ca_Ow_ch_ch_oth_ch_ch,M15_19_yr_C_for_Tot,M15_19_D_not_prov_ch_care,M15_19_U_ch_care_ns,M15_19_OS_vis,M15_19_yr_Tot,M20_24_C_Own_chld_childr,M20_24_C_Oth_ch_chiln,M20_24_Ca_Ow_ch_ch_oth_ch_ch,M20_24_yr_C_for_Tot,M20_24_D_not_prov_ch_care,M20_24_U_ch_care_ns,M20_24_OS_vis,M20_24_yr_Tot,M25_34_C_Own_chld_childr,M25_34_C_Oth_ch_chiln,M25_34_Ca_Ow_ch_ch_oth_ch_ch,M25_34_yr_C_for_Tot,M25_34_D_not_prov_ch_care,M25_34_U_ch_care_ns,M25_34_OS_vis,M25_34_yr_Tot,M35_44_C_Own_chld_childr,M35_44_C_Oth_ch_chiln,M35_44_Ca_Ow_ch_ch_oth_ch_ch,M35_44_yr_C_for_Tot,M35_44_D_not_prov_ch_care,M35_44_U_ch_care_ns,M35_44_OS_vis,M35_44_yr_Tot,M45_54_C_Own_chld_childr,M45_54_C_Oth_ch_chiln,M45_54_Ca_Ow_ch_ch_oth_ch_ch,M45_54_yr_C_for_Tot,M45_54_D_not_prov_ch_care,M45_54_U_ch_care_ns,M45_54_OS_vis,M45_54_yr_Tot,M55_64_C_Own_chld_childr,M55_64_C_Oth_ch_chiln,M55_64_Ca_Ow_ch_ch_oth_ch_ch,M55_64_yr_C_for_Tot,M55_64_D_not_prov_ch_care,M55_64_U_ch_care_ns,M55_64_OS_vis,M55_64_yr_Tot,M65_74_C_Own_chld_childr,M65_74_C_Oth_ch_chiln,M65_74_Ca_Ow_ch_ch_oth_ch_ch,M65_74_yr_C_for_Tot,M65_74_D_not_prov_ch_care,M65_74_U_ch_care_ns,M65_74_OS_vis,M65_74_yr_Tot,M75_84_C_Own_chld_childr,M75_84_C_Oth_ch_chiln,M75_84_Ca_Ow_ch_ch_oth_ch_ch,M75_84_yr_C_for_Tot,M75_84_D_not_prov_ch_care,M75_84_U_ch_care_ns,M75_84_OS_vis,M75_84_yr_Tot,M85ovr_C_Own_chld_childr,M85ovr_C_Oth_ch_chiln,M85ov_Ca_Ow_ch_ch_oth_ch_ch,M85ovr_C_for_Tot,M85ovr_D_not_prov_ch_care,M85ovr_U_ch_care_ns,M85ovr_OS_vis,M85ovr_Tot,MTot_C_Own_chld_childrn,MTot_C_Oth_ch_chiln,MTot_Ca_Ow_ch_ch_oth_ch_ch,MTot_C_for_Tot,MTot_D_not_prov_ch_care,MTot_U_ch_care_ns,MTot_OS_vis,MTot_Tot,F15_19_C_Own_chld_childr,F15_19_C_Oth_ch_chiln,F15_19_Ca_Ow_ch_ch_oth_ch_ch,F15_19_yr_C_for_Tot,F15_19_D_not_prov_ch_care,F15_19_U_ch_care_ns,F15_19_OS_vis,F15_19_yr_Tot,F20_24_C_Own_chld_childr,F20_24_C_Oth_ch_chiln,F20_24_Ca_Ow_ch_ch_oth_ch_ch,F20_24_yr_C_for_Tot,F20_24_D_not_prov_ch_care,F20_24_U_ch_care_ns,F20_24_OS_vis,F20_24_yr_Tot,F25_34_C_Own_chld_childr,F25_34_C_Oth_ch_chiln,F25_34_Ca_Ow_ch_ch_oth_ch_ch,F25_34_yr_C_for_Tot,F25_34_D_not_prov_ch_care,F25_34_U_ch_care_ns,F25_34_OS_vis,F25_34_yr_Tot,F35_44_C_Own_chld_childr,F35_44_C_Oth_ch_chiln,F35_44_Ca_Ow_ch_ch_oth_ch_ch,F35_44_yr_C_for_Tot,F35_44_D_not_prov_ch_care,F35_44_U_ch_care_ns,F35_44_OS_vis,F35_44_yr_Tot,F45_54_C_Own_chld_childr,F45_54_C_Oth_ch_chiln,F45_54_Ca_Ow_ch_ch_oth_ch_ch,F45_54_yr_C_for_Tot,F45_54_D_not_prov_ch_care,F45_54_U_ch_care_ns,F45_54_OS_vis,F45_54_yr_Tot,F55_64_C_Own_chld_childr,F55_64_C_Oth_ch_chiln,F55_64_Ca_Ow_ch_ch_oth_ch_ch,F55_64_yr_C_for_Tot,F55_64_D_not_prov_ch_care,F55_64_U_ch_care_ns,F55_64_OS_vis,F55_64_yr_Tot,F65_74_C_Own_chld_childr,F65_74_C_Oth_ch_chiln,F65_74_Ca_Ow_ch_ch_oth_ch_ch,F65_74_yr_C_for_Tot,F65_74_D_not_prov_ch_care,F65_74_U_ch_care_ns,F65_74_OS_vis,F65_74_yr_Tot,F75_84_C_Own_chld_childr,F75_84_C_Oth_ch_chiln,F75_84_Ca_Ow_ch_ch_oth_ch_ch,F75_84_yr_C_for_Tot,F75_84_D_not_prov_ch_care,F75_84_U_ch_care_ns,F75_84_OS_vis,F75_84_yr_Tot,F85ovr_C_Own_chld_childr,F85ovr_C_Oth_ch_chiln,F85ov_Ca_Ow_ch_ch_oth_ch_ch,F85ovr_C_for_Tot,F85ovr_D_not_prov_ch_care,F85ovr_U_ch_care_ns,F85ovr_OS_vis,F85ovr_Tot,FTot_C_Own_chld_childrn,FTot_C_Oth_ch_chiln,FTot_Ca_Ow_ch_ch_oth_ch_ch,FTot_C_for_Tot,FTot_D_not_prov_ch_care,FTot_U_ch_care_ns,FTot_OS_vis,FTot_Tot,P15_19_C_Own_chld_childr,P15_19_C_Oth_ch_chiln,P15_19_Ca_Ow_ch_ch_oth_ch_ch,P15_19_yr_C_for_Tot,P15_19_D_not_prov_ch_care,P15_19_U_ch_care_ns,P15_19_OS_vis,P15_19_yr_Tot,P20_24_C_Own_chld_childr,P20_24_C_Oth_ch_chiln,P20_24_Ca_Ow_ch_ch_oth_ch_ch,P20_24_yr_C_for_Tot,P20_24_D_not_prov_ch_care,P20_24_U_ch_care_ns,P20_24_OS_vis,P20_24_yr_Tot,P25_34_C_Own_chld_childr,P25_34_C_Oth_ch_chiln,P25_34_Ca_Ow_ch_ch_oth_ch_ch,P25_34_yr_C_for_Tot,P25_34_D_not_prov_ch_care,P25_34_U_ch_care_ns,P25_34_OS_vis,P25_34_yr_Tot,P35_44_C_Own_chld_childr,P35_44_C_Oth_ch_chiln,P35_44_Ca_Ow_ch_ch_oth_ch_ch,P35_44_yr_C_for_Tot,P35_44_D_not_prov_ch_care,P35_44_U_ch_care_ns,P35_44_OS_vis,P35_44_yr_Tot,P45_54_C_Own_chld_childr,P45_54_C_Oth_ch_chiln,P45_54_Ca_Ow_ch_ch_oth_ch_ch,P45_54_yr_C_for_Tot,P45_54_D_not_prov_ch_care,P45_54_U_ch_care_ns,P45_54_OS_vis,P45_54_yr_Tot
UCL501001,192,2861,17,3072,54916,2666,63,60713,1343,1999,46,3384,56421,3527,190,63523,29372,3335,775,33490,95766,8675,548,138475,71692,2526,2028,76248,56556,7519,388,140711,42542,2947,1118,46599,71411,5739,372,124118,7686,8374,205,16271,85684,4324,397,106670,1362,13341,58,14763,65460,3393,342,83955,250,3467,21,3736,38604,2894,118,45355,36,180,0,216,13237,1891,28,15374,154478,39031,4267,197779,538058,40614,2453,778901,305,4646,46,5000,50409,2620,67,58103,3383,3939,195,7519,52126,3017,187,62845,51030,6363,2512,59909,81084,7486,478,148949,89743,4592,5100,99436,43775,6278,242,149730,41204,8074,1868,51148,75912,4819,262,132138,3462,23865,288,27606,83909,3829,513,115861,945,23115,133,24194,65076,3641,446,93356,219,4230,29,4479,44359,3872,140,52848,35,246,0,280,20840,3421,45,24582,190328,79073,10170,279563,517489,38980,2380,838412,501,7504,72,8076,105319,5289,129,118813,4725,5937,239,10897,108550,6540,379,126375,80407,9700,3290,93390,176844,16159,1024,287428,161436,7122,7123,175687,100330,13795,632,290440,83743,11023,2982,97751,147322,10552,635,256255
UCL511001,13,121,0,130,2044,119,4,2300,121,72,4,192,1584,152,0,1932,1280,124,47,1443,2490,439,14,4384,2459,98,109,2665,1580,400,9,4653,1327,140,37,1509,2669,311,6,4504,226,391,9,621,3395,233,5,4253,43,413,0,454,2720,197,0,3372,10,76,0,86,1595,107,3,1790,0,4,0,4,468,89,0,561,5477,1430,207,7109,18548,2048,44,27749,16,207,0,226,2001,104,0,2329,241,135,15,393,1374,89,0,1860,2137,194,167,2499,1934,262,7,4706,3088,161,243,3497,1313,199,4,5014,1306,389,76,1767,3000,207,6,4978,95,1050,15,1155,3253,180,7,4597,30,673,0,705,2827,160,3,3701,12,100,0,112,1853,156,7,2128,6,8,0,11,762,179,0,949,6926,2918,516,10361,18321,1533,41,30255,25,326,4,357,4047,220,6,4627,364,203,16,586,2955,243,3,3786,3415,315,212,3950,4422,704,26,9091,5548,267,346,6161,2893,600,8,9666,2631,534,118,3274,5673,515,9,9478
UCL512001,0,66,0,70,865,67,0,1000,30,31,0,70,640,64,8,780,486,46,12,545,1002,241,4,1796,798,37,34,873,582,186,9,1649,533,60,20,602,1017,147,0,1768,112,127,4,240,1529,116,3,1886,16,145,0,160,1403,103,0,1668,4,30,0,34,931,64,4,1024,0,7,0,7,389,37,0,439,1979,542,78,2594,8356,1029,28,12011,4,89,3,98,805,48,0,945,79,54,12,147,537,42,0,731,732,92,51,879,729,87,8,1693,1054,76,94,1225,489,86,0,1800,533,173,35,737,1244,81,0,2060,49,359,4,409,1661,94,3,2174,11,264,0,276,1509,95,0,1880,4,46,0,48,1166,101,0,1319,0,0,0,0,537,70,0,611,2460,1150,198,3811,8673,712,18,13212,4,161,0,168,1667,120,0,1952,111,91,12,216,1177,109,6,1510,1221,132,72,1428,1728,324,10,3492,1853,115,130,2094,1075,271,6,3452,1059,231,53,1340,2261,232,0,3829
UCL512002,5,37,0,39,713,32,0,789,22,14,0,35,477,25,0,541,350,34,13,400,741,96,7,1232,785,22,30,844,506,84,0,1432,537,33,15,586,897,85,5,1569,88,102,0,193,1226,90,5,1517,11,165,0,182,1388,78,0,1648,4,33,0,32,890,64,0,989,0,0,0,0,269,41,0,315,1802,442,64,2310,7115,593,16,10033,0,60,0,63,657,53,0,766,41,39,4,77,400,32,0,508,581,56,53,692,571,79,8,1345,1113,48,82,1239,423,67,0,1736,574,106,26,708,1104,68,4,1890,26,343,5,378,1410,105,0,1892,9,293,3,307,1477,96,0,1878,0,41,0,41,985,87,0,1108,0,0,0,5,513,51,0,568,2346,988,171,3503,7527,636,18,11690,3,94,0,100,1367,85,0,1554,61,55,4,120,878,53,0,1047,936,88,66,1089,1304,171,16,2581,1899,67,111,2081,926,154,0,3169,1110,143,42,1300,1998,154,10,3457
UCL512003,0,42,0,45,908,136,0,1084,43,33,5,76,694,78,4,847,506,57,24,582,1020,203,8,1811,844,40,27,911,756,227,0,1899,495,53,22,564,1222,178,0,1966,103,164,3,273,1607,169,3,2052,20,151,0,169,1301,117,0,1590,0,32,0,34,752,100,5,897,0,0,0,0,271,53,3,327,2015,572,71,2659,8528,1257,23,12464,10,90,0,102,827,88,0,1017,120,63,3,189,658,98,0,947,808,91,68,962,827,208,10,1999,1131,76,107,1311,596,227,0,2135,486,178,35,707,1354,171,3,2230,50,406,6,461,1514,144,3,2122,9,276,4,287,1306,136,0,1726,3,44,0,47,848,116,3,1007,0,6,0,6,368,83,0,452,2619,1227,218,4059,8295,1267,20,13639,11,130,0,141,1733,225,0,2098,166,90,9,260,1355,173,4,1795,1304,150,90,1543,1845,411,9,3817,1976,120,132,2222,1355,454,0,4029,982,231,55,1270,2573,351,7,4198
UCL512004,0,39,0,47,720,88,0,853,66,28,0,94,835,165,0,1098,648,52,19,713,1445,408,11,2583,1008,44,38,1093,945,384,6,2425,463,49,9,523,1326,311,4,2169,98,116,0,218,1503,297,8,2033,4,59,0,69,821,185,3,1082,3,17,0,23,289,50,0,362,0,0,0,0,51,13,0,66,2301,410,74,2780,7931,1899,42,12655,8,71,0,79,593,78,0,750,123,51,6,180,631,100,9,918,950,81,75,1106,984,271,10,2367,1124,71,61,1251,618,222,3,2089,366,153,18,530,1140,178,3,1852,35,240,0,276,1122,184,4,1582,9,105,0,114,602,128,9,855,0,28,0,25,264,33,0,328,0,3,0,3,110,17,0,136,2618,798,159,3577,6072,1204,36,10888,13,108,0,123,1310,164,5,1600,186,75,13,277,1468,257,4,2015,1595,130,97,1826,2428,676,22,4949,2130,113,99,2343,1563,606,9,4519,828,198,28,1057,2463,495,10,4023
UCL513001,8,14,0,19,294,74,0,386,16,16,0,38,290,92,9,432,215,30,15,264,749,238,33,1276,558,29,28,616,476,226,6,1324,300,37,14,352,682,244,0,1285,50,64,0,109,952,237,6,1297,11,93,0,100,1107,155,7,1374,6,20,0,26,397,83,0,503,0,0,0,0,47,15,0,56,1163,304,54,1526,4999,1362,55,7936,3,39,0,45,306,86,0,438,41,33,0,73,338,93,19,515,375,69,24,471,933,338,37,1778,685,64,67,813,508,235,6,1559,282,71,14,365,722,225,3,1309,28,172,0,201,1076,246,0,1526,0,140,0,147,985,170,8,1314,0,28,0,32,284,67,0,375,0,0,0,0,39,15,0,56,1407,619,112,2139,5201,1470,74,8879,10,49,0,67,604,167,0,829,59,47,0,113,635,185,25,947,590,104,40,735,1683,579,67,3059,1243,90,94,1426,986,458,12,2885,577,109,30,718,1402,463,5,2594
UCL513002,4,7,0,15,290,55,0,360,11,7,0,14,209,33,5,255,156,23,5,186,333,87,4,614,280,14,9,305,223,69,0,599,161,23,4,191,398,87,0,675,28,67,0,94,525,76,5,699,0,40,0,43,428,50,0,530,0,14,0,17,280,50,0,340,0,0,0,0,92,7,0,96,637,199,24,858,2778,512,12,4155,3,35,0,34,210,35,0,279,35,17,0,56,178,24,0,254,256,39,22,314,252,59,4,630,347,22,36,409,162,65,0,636,135,65,3,208,367,60,0,631,16,128,0,144,482,49,3,678,3,75,0,82,429,46,0,558,0,23,0,22,330,51,0,400,0,3,0,5,140,18,0,162,795,403,67,1266,2548,408,6,4230,4,40,0,44,502,88,0,639,42,27,0,72,385,59,5,514,406,65,31,498,588,145,9,1242,629,39,48,713,383,134,0,1236,298,84,11,398,762,145,0,1303
UCL513003,0,18,0,23,407,77,0,506,18,13,0,31,382,123,4,547,418,35,9,459,978,414,22,1876,915,33,23,973,711,517,14,2213,404,38,9,451,830,430,8,1721,40,69,0,106,781,309,14,1207,6,41,0,41,319,94,0,458,0,7,0,7,83,21,3,113,0,0,0,0,3,6,0,9,1811,251,42,2094,4491,1992,65,8646,3,35,0,39,308,61,0,406,34,22,3,63,288,86,8,436,594,54,50,696,719,281,8,1697,833,45,60,936,413,234,0,1587,285,65,20,370,585,174,0,1127,12,120,0,131,437,111,4,681,0,46,0,49,227,60,9,339,0,0,0,0,69,4,0,77,0,0,0,0,8,4,0,13,1759,395,132,2287,3047,1014,25,6368,11,52,0,62,715,137,0,913,50,41,3,96,668,209,8,986,1013,89,58,1159,1697,690,27,3576,1750,78,84,1910,1127,748,16,3799,692,99,30,820,1414,605,9,2847
UCL513004,5,22,0,33,317,77,0,424,27,17,3,51,306,117,0,473,418,38,17,468,946,508,7,1932,726,28,20,779,736,546,8,2075,278,27,14,320,867,476,9,1666,49,58,0,108,859,382,8,1351,4,29,0,32,317,121,4,470,0,4,0,4,83,20,0,113,0,0,0,0,9,5,0,16,1516,231,51,1796,4444,2247,34,8520,5,42,0,54,244,61,0,359,39,26,3,69,277,93,3,451,574,47,42,667,678,297,5,1651,626,44,52,718,412,211,0,1342,149,61,7,214,537,192,5,949,15,106,0,122,502,133,0,762,0,43,0,43,234,58,3,342,0,3,0,3,55,19,0,80,0,0,0,0,14,0,0,15,1413,371,109,1895,2958,1081,26,5958,14,70,0,85,560,140,0,790,69,45,4,116,588,212,3,926,989,87,60,1136,1625,809,12,3579,1350,74,73,1495,1144,758,18,3418,422,98,16,534,1398,669,9,2617
