UCL_CODE_2021,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
UCL501001,142892,99255,48913,18211,1033862
UCL511001,5364,3643,1714,632,34279
UCL512001,2522,1920,1067,443,14647
UCL512002,2110,1844,993,348,12756
UCL512003,2393,1631,799,354,15140
UCL512004,2067,1009,295,92,14173
UCL513001,1958,1626,481,52,11660
UCL513002,736,491,338,89,4704
UCL513003,1335,508,112,12,10970
UCL513004,1431,510,113,20,10216
UCL513005,657,444,253,88,4689
UCL514001,465,366,200,80,2920
UCL514002,530,545,257,55,3733
UCL514003,554,397,159,74,3899
UCL514004,482,378,196,72,2776
UCL515001,130,183,94,35,663
UCL515002,122,77,26,4,596
UCL515003,233,258,108,23,1179
UCL515004,84,56,17,11,869
UCL515005,142,120,40,10,935
UCL515006,476,469,187,33,2661
UCL515007,134,68,27,6,1010
UCL515008,122,48,17,0,722
UCL515009,299,293,168,53,1640
UCL515010,371,303,59,7,1938
UCL515011,186,159,109,33,1122
UCL515012,112,67,14,4,972
UCL515013,460,473,159,23,2814
UCL515014,119,95,14,0,693
UCL515015,151,129,97,46,1165
UCL515016,155,167,64,12,813
UCL515017,259,308,101,18,1156
UCL515018,114,48,19,6,717
UCL515019,214,153,79,32,1399
UCL515020,517,380,72,20,3016
UCL515021,165,125,63,22,818
UCL515022,232,194,103,37,1571
UCL515023,172,115,49,19,1088
UCL515024,128,103,37,21,688
UCL515025,143,112,63,48,795
UCL515026,134,68,19,6,965
UCL515027,271,205,111,74,1758
UCL515028,309,91,18,0,2539
UCL515029,143,22,8,4,999
UCL515030,228,224,138,80,1567
UCL515031,264,304,150,25,1419
UCL515032,98,59,8,4,638
UCL515033,213,66,20,0,1666
UCL515034,214,162,70,11,1208
UCL515035,100,85,39,7,480
UCL515036,159,119,71,45,932
UCL515037,196,44,3,0,1411
UCL515038,218,254,150,47,1146
UCL521001,54,31,4,0,243
UCL521002,58,88,14,0,359
UCL521003,58,83,50,14,346
UCL521004,26,7,6,0,157
UCL521005,88,59,29,3,464
UCL521006,95,65,31,4,411
UCL521007,44,29,25,5,241
UCL521008,35,28,10,4,200
UCL521009,48,38,25,9,271
UCL521010,54,41,12,5,318
UCL521011,34,18,4,0,251
UCL521012,60,37,4,5,237
UCL521013,78,46,13,7,399
UCL521014,92,61,9,4,481
UCL521015,43,45,20,14,264
UCL521016,33,22,17,6,238
UCL521017,35,23,20,8,291
UCL521018,27,22,12,0,239
UCL521019,264,313,104,6,1148
UCL521020,53,71,29,5,290
UCL521021,48,43,35,0,354
UCL521022,94,57,11,4,437
UCL521023,43,37,8,6,217
UCL521024,131,100,37,6,786
UCL521025,69,40,25,3,375
UCL521026,65,25,19,0,364
UCL521027,98,41,8,4,756
UCL521028,60,40,33,15,290
UCL521029,68,36,41,24,369
UCL521030,76,68,35,7,368
UCL521031,125,66,15,0,696
UCL521032,88,42,12,0,365
UCL521033,136,85,16,4,702
UCL521034,62,36,19,5,321
UCL521035,62,45,31,3,269
UCL521036,55,46,17,0,244
UCL521037,50,39,23,6,341
UCL521038,68,69,30,8,318
UCL521039,110,73,40,14,461
UCL521040,171,146,35,0,863
UCL521041,47,10,0,0,380
UCL521042,55,37,16,12,288
UCL521043,68,41,17,0,287
UCL521044,66,49,26,8,285
UCL521045,57,71,32,13,281
UCL521046,44,22,9,0,215
UCL521047,48,32,7,5,245
UCL521048,91,102,48,19,440
UCL521049,19,8,0,0,117
UCL521050,50,51,14,8,297
UCL521051,64,41,21,3,318
UCL521052,89,60,9,0,454
UCL522001,13,13,0,0,120
UCL522002,33,44,19,0,168
UCL522003,7,5,0,0,87
UCL522004,3,0,0,0,43
UCL522005,10,5,0,0,92
UCL522006,52,41,11,6,245
UCL522007,19,16,5,3,95
UCL522008,21,19,10,0,88
UCL522009,23,8,8,0,149
UCL522010,40,50,24,10,216
UCL522011,21,34,12,0,167
UCL522012,50,66,17,5,260
UCL522013,44,27,9,5,200
UCL522014,15,9,3,0,62
UCL522015,110,141,38,0,624
UCL522016,21,14,9,5,115
UCL522017,43,29,18,5,164
UCL522018,40,44,9,0,161
UCL522019,26,8,4,4,86
UCL522020,27,11,4,0,81
UCL522021,14,34,6,5,129
UCL522022,22,18,7,0,106
UCL522023,36,25,3,4,149
UCL522024,41,53,24,3,168
UCL522025,43,41,12,6,188
UCL522026,33,53,28,6,152
UCL522027,39,25,13,0,162
UCL522028,16,17,18,5,82
UCL522029,10,11,11,4,137
UCL522030,23,9,6,0,135
UCL522031,12,0,0,0,45
UCL522032,21,10,0,0,76
UCL522033,37,43,20,3,172
UCL522034,6,0,0,0,30
UCL522035,25,12,4,3,89
UCL522036,9,21,4,0,89
UCL522037,22,15,4,4,124
UCL522038,30,11,5,6,196
UCL522039,61,27,7,0,210
UCL522040,33,31,8,0,105
UCL522041,36,32,10,5,145
UCL522042,34,15,0,0,288
UCL522043,13,5,0,0,114
UCL522044,39,50,5,0,160
UCL522045,12,3,0,0,52
UCL522046,52,46,21,5,195
UCL522047,49,73,24,10,272
UCL522048,26,22,12,4,137
UCL522049,39,61,7,0,210
UCL522050,37,15,22,13,185
UCL522051,30,9,3,0,107
UCL522052,14,10,5,0,95
UCL522053,8,0,0,0,39
UCL522054,16,22,3,5,102
UCL522055,80,128,30,3,383
UCL522056,51,16,6,0,257
UCL522057,58,52,23,4,300
UCL522058,18,6,4,0,96
UCL522059,38,29,18,0,197
UCL522060,7,4,0,0,17
UCL522061,53,47,24,0,205
UCL522062,0,0,4,0,35
UCL522063,8,0,0,0,42
UCL522064,13,10,10,0,160
UCL522065,28,15,9,7,110
UCL522066,26,12,10,4,180
UCL522067,45,21,0,0,336
UCL522068,37,25,11,6,195
UCL522069,12,23,18,0,124
UCL522070,19,24,8,3,124
UCL522071,13,3,0,0,67
UCL531001,21451,13598,4235,628,112651
UCL579997,465,123,24,0,2853
