UCL_CODE_2021,Neg_Nil_Inc_CF_no_chldren,Neg_Nil_Inc_CFwith_chldren,Neg_Nil_Inc_OnePF,Neg_Nil_Inc_Oth_family,Neg_Nil_Inc_Total,1_149_CF_no_chldren,1_149_CFwith_chldren,1_149_One_PF,1_149_Oth_family,1_149_Total,150_299_CF_no_chldren,150_299_CFwith_chldren,150_299_OnePF,150_299_Oth_family,150_299_Total,300_399_CF_no_chldren,300_399_CFwith_chldren,300_399_OnePF,300_399_Oth_family,300_399_Total,400_499_CF_no_chldren,400_499_CFwith_chldren,400_499_OnePF,400_499_Oth_family,400_499_Total,500_649_CF_no_chldren,500_649_CFwith_chldren,500_649_OnePF,500_649_Oth_family,500_649_Total,650_799_CF_no_chldren,650_799_CFwith_chldren,650_799_OnePF,650_799_Oth_family,650_799_Total,800_999_CF_no_chldren,800_999_CFwith_chldren,800_999_OnePF,800_999_Oth_family,800_999_Total,1000_1249_CF_no_chldren,1000_1249_CFwith_chldren,1000_1249_OnePF,1000_1249_Oth_family,1000_1249_Total,1250_1499_CF_no_chldren,1250_1499_CFwith_chldren,1250_1499_OnePF,1250_1499_Oth_family,1250_1499_Total,1500_1749_CF_no_chldren,1500_1749_CFwith_chldren,1500_1749_OnePF,1500_1749_Oth_family,1500_1749_Total,1750_1999_CF_no_chldren,1750_1999_CFwith_chldren,1750_1999_OnePF,1750_1999_Oth_family,1750_1999_Total,2000_2499_CF_no_chldren,2000_2499_CFwith_chldren,2000_2499_OnePF,2000_2499_Oth_family,2000_2499_Total,2500_2999_CF_no_chldren,2500_2999_CFwith_chldren,2500_2999_OnePF,2500_2999_Oth_family,2500_2999_Total,3000_3499_CF_no_chldren,3000_3499_CFwith_chldren,3000_3499_OnePF,3000_3499_Oth_family,3000_3499_Total,3500_3999_CF_no_chldren,3500_3999_CFwith_chldren,3500_3999_OnePF,3500_3999_Oth_family,3500_3999_Total,4000orMore_CF_no_chldren,4000orMore_CFwith_chldren,4000orMore_OnePF,4000orMore_Oth_family,4000orMore_Total,Part_IncStated_CF_no_chldren,Part_IncStated_CFwith_chldren,Part_IncStated_OnePF,Part_IncStated_Oth_family,Part_IncStated_Total,All_Inc_NS_CF_no_chldren,All_Inc_NS_CFwith_chldren,All_Inc_NS_OnePF,All_Inc_NS_Oth_family,All_Inc_NS_Total,Total_CF_no_chldren,Total_CFwith_chldren,Total_OnePF,Total_Oth_family,Total_Total
UCL501001,4158,787,1512,164,6631,1519,203,494,86,2304,1200,358,1078,128,2761,872,345,1930,86,3231,4405,823,3315,247,8794,3444,1235,5786,285,10751,17944,2623,6375,434,27381,12813,3995,8004,832,25650,14228,7249,8848,822,31153,15960,10796,7802,971,35533,9741,11581,6157,685,28164,11201,12814,5193,662,29863,24535,32211,8816,1235,66798,18627,28371,3881,745,51624,14910,26807,2740,462,44925,9259,18367,1079,251,28960,24341,61996,3208,432,89982,14372,29736,6317,339,50760,2452,1535,1050,123,5164,205986,251858,83590,8990,550426
UCL511001,124,12,43,0,183,49,4,14,0,69,48,7,38,0,101,37,3,93,0,140,206,21,164,8,399,157,36,318,4,513,963,77,353,13,1404,599,118,409,23,1142,629,228,430,16,1309,672,386,330,31,1417,378,417,224,30,1053,485,496,198,20,1201,1003,1220,303,27,2555,719,1081,119,16,1941,568,972,81,8,1626,267,575,32,0,875,613,1284,54,3,1955,589,1269,289,16,2160,85,58,39,0,186,8198,8268,3519,237,20221
UCL512001,52,6,14,0,77,34,5,7,4,46,18,3,10,0,34,15,6,33,0,49,94,13,86,4,192,77,11,131,5,223,495,41,153,5,694,331,51,145,10,538,325,109,190,17,641,371,204,137,16,730,185,202,111,5,510,224,204,74,6,510,452,493,89,13,1047,299,388,32,3,726,181,306,25,7,519,89,157,4,0,255,188,328,15,0,534,201,392,107,8,702,65,22,18,0,106,3691,2931,1390,115,8126
UCL512002,52,6,14,0,72,31,3,0,0,33,20,0,17,0,45,20,0,28,0,50,102,4,51,0,160,76,15,88,6,179,471,26,137,4,636,291,38,145,10,482,342,84,158,7,587,352,166,112,3,637,182,166,65,4,421,188,161,55,5,410,374,384,88,5,854,248,334,34,0,620,156,297,13,3,475,91,182,4,0,276,179,391,13,0,585,260,475,99,4,844,60,30,11,0,101,3497,2758,1135,67,7460
UCL512003,63,9,27,4,105,24,0,10,0,38,25,7,39,0,64,5,4,46,3,65,80,4,92,4,178,73,14,136,6,227,383,29,149,13,577,222,52,187,19,474,224,79,184,10,501,272,151,129,13,569,185,157,115,9,462,197,169,88,10,466,410,466,118,18,1014,287,432,63,6,787,242,339,41,4,622,122,230,17,0,367,284,463,19,0,769,300,517,128,12,964,55,16,32,3,103,3451,3139,1628,142,8355
UCL512004,28,7,16,6,53,13,4,10,0,27,10,0,15,0,40,6,0,25,0,33,28,3,38,0,73,28,8,79,0,114,111,13,72,3,206,67,33,80,3,186,87,43,82,10,223,127,60,84,9,274,68,90,74,7,239,102,124,61,5,293,325,398,130,7,857,319,376,56,19,770,303,445,42,16,805,203,294,18,3,520,488,958,52,13,1508,206,430,73,6,710,39,33,41,5,122,2551,3312,1054,114,7026
UCL513001,16,0,6,0,24,5,3,0,0,6,0,0,16,0,21,0,0,35,0,35,17,5,30,0,47,9,7,39,0,54,44,15,44,0,95,27,12,44,9,87,47,27,51,7,129,42,32,44,3,129,31,35,48,0,111,36,57,34,3,130,155,167,74,4,394,164,175,21,3,359,143,196,16,0,354,92,130,4,3,227,156,321,22,3,504,164,227,78,9,481,31,23,37,0,84,1163,1435,633,56,3283
UCL513002,16,0,13,0,23,11,0,5,0,15,0,4,12,0,16,0,0,16,0,18,18,3,36,0,54,11,7,27,0,49,120,8,27,3,162,67,11,49,5,141,86,28,39,7,156,88,57,34,6,188,50,49,20,4,124,69,66,19,3,159,161,159,36,4,357,100,112,9,7,226,75,106,8,0,191,23,57,5,0,83,96,118,7,0,221,104,165,46,0,322,16,13,8,0,37,1119,964,411,43,2536
UCL513003,8,0,6,0,19,0,0,4,0,5,0,0,3,0,7,0,4,8,0,10,6,6,11,0,25,3,0,15,3,23,8,0,17,0,30,3,3,20,0,31,11,15,22,0,55,22,31,26,0,69,12,40,37,0,89,38,69,34,0,140,147,204,49,3,405,119,204,15,5,339,175,243,34,5,456,130,179,8,0,313,441,896,32,0,1368,144,259,28,4,427,12,13,8,0,25,1269,2162,371,33,3839
UCL513004,14,0,14,0,32,0,5,4,0,9,0,0,11,0,13,0,0,21,0,16,9,10,22,4,39,7,5,23,0,34,20,10,22,4,53,14,17,26,0,56,19,18,30,4,75,15,20,39,7,81,18,25,40,0,87,43,44,39,0,126,104,156,62,15,330,116,171,17,3,312,165,209,26,4,406,129,162,14,0,299,350,626,31,4,1005,137,205,38,3,381,23,27,22,3,74,1173,1704,494,62,3436
UCL513005,21,4,15,0,39,3,0,3,0,6,7,3,7,0,15,0,0,17,0,17,27,0,27,0,53,36,7,44,0,84,112,14,55,5,185,80,15,71,3,173,66,37,68,3,174,82,72,54,6,213,48,64,31,0,149,39,75,30,0,147,137,210,62,5,411,79,174,17,0,272,67,153,3,0,225,37,70,10,0,118,55,169,5,0,224,101,313,36,0,459,15,12,11,0,33,999,1405,564,31,3001
UCL514001,12,4,3,0,18,0,0,0,0,3,3,0,6,0,11,11,0,15,0,27,33,0,31,0,66,23,3,37,0,65,163,15,30,3,210,65,21,42,5,133,61,31,36,0,129,81,31,34,7,154,36,43,16,3,95,54,42,11,0,104,71,77,23,0,173,52,86,17,0,154,46,73,7,0,121,18,37,0,0,55,31,67,3,0,111,55,99,27,0,188,15,8,4,4,28,838,649,338,29,1849
UCL514002,15,6,0,0,19,4,0,0,0,8,10,0,4,0,10,7,0,0,5,3,17,0,5,0,22,11,0,16,0,29,63,8,24,0,92,48,6,33,0,86,82,14,34,0,137,83,25,19,0,124,37,42,23,0,105,60,46,12,6,125,103,122,15,0,241,62,122,6,0,193,43,89,6,0,138,24,39,0,0,66,71,143,3,0,216,69,173,25,0,264,9,5,4,0,16,823,843,235,12,1909
UCL514003,6,0,0,0,13,0,0,0,0,8,0,0,4,0,8,5,0,7,0,5,17,0,14,0,29,10,0,30,0,46,37,3,34,0,72,46,13,42,6,102,48,26,54,0,131,70,58,38,3,164,27,61,30,0,119,55,67,11,0,129,101,149,24,3,281,75,116,13,0,203,32,75,6,0,113,17,50,0,0,69,39,71,5,0,118,59,131,30,0,225,4,8,3,0,14,661,832,346,11,1853
UCL514004,11,0,3,0,13,8,0,0,0,10,0,0,9,0,12,7,0,6,0,15,22,11,24,0,50,20,9,32,0,58,114,6,38,4,163,61,11,49,4,127,52,23,43,4,124,61,37,32,0,136,30,40,24,0,92,32,30,15,0,86,83,71,29,8,186,61,72,12,0,144,28,55,10,0,93,11,33,3,0,50,39,60,0,4,106,54,85,16,0,161,19,4,11,0,35,718,553,354,32,1650
UCL515001,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,3,0,14,9,0,0,0,9,43,0,10,0,53,20,4,5,0,32,19,4,0,0,30,23,8,3,0,35,13,6,0,0,20,9,10,0,0,14,14,8,0,0,22,6,0,0,0,10,4,7,0,0,7,0,3,0,0,3,5,0,0,0,10,10,17,3,0,31,3,0,0,0,8,216,75,28,0,318
