UCL_CODE_2021,P_aged_15_yr_over_M,P_aged_15_yr_over_F,P_aged_15_yr_over_P,Lab_for_st_Empl_worked_ft_M,Lab_for_st_Empl_worked_ft_F,Lab_for_st_Empl_worked_ft_P,Lab_for_st_Empl_worked_pt_M,Lab_for_st_Empl_worked_pt_F,Lab_for_st_Empl_worked_pt_P,Lab_for_st_Empl_awy_frm_wrk_M,Lab_for_st_Empl_awy_frm_wrk_F,Lab_for_st_Empl_awy_frm_wrk_P,Lab_for_st_Unemp_lkg_fr_wrk_M,Lab_for_st_Unemp_lkg_fr_wrk_F,Lab_for_st_Unemp_lkg_fr_wrk_P,Lab_for_st_Tot_labour_force_M,Lab_for_st_Tot_labour_force_F,Lab_for_st_Tot_labour_force_P,Lab_for_st_N_the_lbour_frce_M,Lab_for_st_N_the_lbour_frce_F,Lab_for_st_N_the_lbour_frce_P,LFS_Percent_Unemployment_M,LFS_Percent_Unemployment_F,LFS_Percent_Unemployment_P,LFS_Percent_Lab_force_part_M,LFS_Percent_Lab_force_part_F,LFS_Percent_Lab_force_part_P,LFS_Percent_Emp_to_pop_M,LFS_Percent_Empl_to_pop_F,LFS_Percent_Emp_to_pop_P,High_N_sc_q_Postgrad_Deg_M,High_N_sc_q_Postgrad_Deg_F,High_N_sc_q_Postgrad_Deg_P,High_N_sc_q_Gra_Dip_Gra_Cer_M,High_N_sc_q_Gra_Dip_Gra_Cer_F,High_N_sc_q_Gra_Dip_Gra_Cer_P,High_N_sc_q_Bachelor_Deg_M,High_N_sc_q_Bachelor_Deg_F,High_N_sc_q_Bachelor_Deg_P,High_N_sc_q_Adv_Dip_Dip_M,High_N_sc_q_Adv_Dip_Dip_F,High_N_sc_q_Adv_Dip_Dip_P,High_N_sc_q_Cert3a4_Level_M,High_N_sc_q_Cert3a4_Level_F,High_N_sc_q_Cert3a4_Level_P,High_N_sc_q_Cert1a2_Level_M,High_N_sc_q_Cert1a2_Level_F,High_N_sc_q_Cert1a2_Level_P,High_N_sc_q_Certnfd_Level_M,High_N_sc_q_Certnfd_Level_F,High_N_sc_q_Certnfd_Level_P,High_N_sc_q_CertTot_Level_M,High_N_sc_q_CertTot_Level_F,High_N_sc_q_CertTot_Level_P,Mig_Lvd_same_add_1_yr_ago_M,Mig_Lvd_same_add_1_yr_ago_F,Mig_Lvd_same_add_1_yr_ago_P,Mig_Lvd_diff_add_1_yr_ago_M,Mig_Lvd_diff_add_1_yr_ago_F,Mig_Lvd_diff_add_1_yr_ago_P,Mig_Lvd_same_add_5_yr_ago_M,Mig_Lvd_same_add_5_yr_ago_F,Mig_Lvd_same_add_5_yr_ago_P,Mig_Lvd_diff_add_5_yr_ago_M,Mig_Lvd_diff_add_5_yr_ago_F,Mig_Lvd_diff_add_5_yr_ago_P
UCL501001,776449,836033,1612479,374911,222641,597549,113715,235729,349444,26004,28949,54953,29765,27552,57316,544400,514862,1059262,197371,286120,483491,5.5,5.4,5.4,70.1,61.6,65.7,66.3,58.3,62.1,49269,48818,98086,14100,27267,41369,129002,169412,298420,69584,89102,158681,172444,96350,268788,10101,14539,24642,10009,18700,28709,192553,129584,322135,788298,829690,1617987,132691,142678,275373,507281,532879,1040162,359322,387930,747250
UCL511001,27709,30211,57919,13243,7136,20385,3157,8611,11774,1047,1030,2081,934,889,1824,18386,17672,36055,7963,11150,19112,5.1,5,5.1,66.4,58.5,62.3,63,55.5,59.1,611,660,1272,310,724,1035,2306,4016,6326,1892,2875,4765,8572,5424,13999,521,860,1379,378,754,1134,9472,7047,16512,27647,29561,57205,5166,5731,10894,18222,19248,37470,12581,14237,26819
UCL512001,11981,13196,25177,4755,2850,7605,1678,3654,5330,394,423,819,340,251,584,7162,7179,14337,4183,5368,9556,4.7,3.5,4.1,59.8,54.4,57,57,52.5,54.6,267,335,601,149,350,503,977,1824,2793,882,1427,2314,3223,2004,5232,253,361,610,159,311,466,3633,2676,6306,11328,12529,23859,2150,2377,4528,7325,8037,15364,5427,6189,11615
UCL512002,10019,11672,21691,3999,2401,6394,1455,3387,4841,391,373,757,254,219,473,6090,6377,12470,3383,4711,8092,4.2,3.4,3.8,60.8,54.6,57.5,58.2,52.8,55.3,183,243,429,122,318,439,837,1547,2387,771,1234,2009,3006,1794,4798,172,263,432,147,300,445,3317,2354,5673,9793,11015,20803,1983,2249,4234,6199,6942,13142,4976,5719,10700
UCL512003,12443,13622,26063,5229,3245,8476,1518,3543,5057,489,481,968,497,372,865,7729,7644,15375,3506,4777,8276,6.4,4.9,5.6,62.1,56.1,59,58.2,53.4,55.7,240,267,505,116,333,454,764,1574,2340,769,1240,2014,3543,2005,5544,249,424,667,153,266,417,3945,2690,6633,11903,12745,24650,2131,2366,4502,8001,8360,16361,5207,5937,11140
UCL512004,12616,10852,23467,7183,4039,11218,970,2395,3365,507,417,923,307,228,539,8969,7079,16044,2004,2632,4637,3.4,3.2,3.3,71.1,65.2,68.4,68.6,63.1,66.1,350,335,685,97,229,325,919,1352,2273,576,845,1429,3750,1511,5261,181,286,466,140,210,352,4072,2004,6080,10833,9862,20693,2753,2470,5223,6683,5817,12504,5976,5633,11609
UCL513001,7884,8809,16695,2938,2479,5411,762,1601,2358,595,675,1270,183,156,336,4476,4909,9387,2186,2513,4699,4.1,3.2,3.6,56.8,55.8,56.2,54.5,54,54.2,254,393,646,113,339,449,927,1609,2536,646,916,1560,1949,863,2814,81,183,263,129,167,293,2154,1211,3367,6627,6989,13619,1553,1949,3503,4178,4291,8471,3516,4173,7698
UCL513002,4143,4225,8372,1921,997,2919,388,1054,1447,182,165,352,82,62,145,2579,2281,4857,1103,1562,2665,3.1,2.8,3,62.2,54,58.1,60.2,52.5,56.3,61,62,128,31,95,122,253,508,758,203,360,569,1127,566,1694,55,111,168,42,77,122,1225,759,1980,3780,3880,7666,736,743,1480,2503,2538,5046,1767,1867,3635
UCL513003,8575,6346,14920,4786,2376,7158,595,1367,1968,426,296,721,139,129,268,5940,4169,10110,698,1180,1875,2.3,3.1,2.6,69.2,65.8,67.8,67.7,63.7,66,217,228,448,86,190,280,672,1049,1720,583,599,1182,2723,887,3615,122,170,296,90,117,209,2937,1180,4116,6476,5239,11714,2006,1857,3863,3090,2296,5387,4763,4246,9007
UCL513004,8484,5935,14419,4355,2186,6540,500,982,1484,413,324,736,174,129,299,5441,3622,9063,826,1266,2088,3.1,3.6,3.3,64.1,61.1,62.9,62.1,58.9,60.8,148,156,302,69,125,191,504,829,1330,564,508,1076,2536,775,3315,88,166,249,91,100,192,2714,1040,3752,5966,4694,10662,1892,1718,3606,2712,1881,4591,4543,4018,8562
