UCL_CODE_2021,P_Sol_sp_En_Tot_2011_2015,P_Sol_sp_En_Tot_2016,P_Sol_sp_En_Tot_2017,P_Sol_sp_En_Tot_2018,P_Sol_sp_En_Tot_2019,P_Sol_sp_En_Tot_2020,P_Sol_sp_En_Tot_2021,P_Sol_sp_En_Tot_Yr_arr_ns,P_Sol_sp_En_Tot_YoA_Tot,P_LanProf_En_ns_B_2005,P_LanProf_En_ns_2005_2010,P_LanProf_En_ns_2011_2015,P_LanProf_En_ns_2016,P_LanProf_En_ns_2017,P_LanProf_En_ns_2018,P_LanProf_En_ns_2019,P_LanProf_En_ns_2020,P_LanProf_En_ns_2021,P_LanProf_En_ns_Yr_arr_ns,P_LanProf_En_ns_Tot,P_Tot_B_2005,P_Tot_2005_2010,P_Tot_2011_2015,P_Tot_2016,P_Tot_2017,P_Tot_2018,P_Tot_2019,P_Tot_2020,P_Tot_2021,P_Tot_Yr_arrival_ns,P_Tot_YoA_Tot
UCL501001,73246,14235,13049,14952,19158,8269,1862,5867,337379,342,103,92,23,19,21,28,20,6,1266,1921,346886,146607,124983,20026,18148,20172,25097,11657,3349,14525,731454
UCL511001,1296,204,243,223,293,131,44,76,4796,10,0,0,0,3,0,0,0,0,83,101,7349,3034,2439,313,346,333,421,213,70,402,14919
UCL512001,374,95,59,84,85,19,36,27,1696,12,0,0,0,0,0,0,0,0,94,104,3653,977,623,144,87,114,139,41,63,249,6091
UCL512002,283,48,38,38,51,20,17,7,1058,4,0,0,0,0,0,3,0,0,12,22,3189,735,650,76,76,68,97,49,30,135,5102
UCL512003,485,89,89,80,66,64,34,26,1816,15,0,0,0,0,0,0,0,0,18,27,2448,829,816,121,139,103,95,88,38,134,4819
UCL512004,843,131,155,202,279,120,63,51,3045,4,9,0,0,0,0,0,0,0,28,39,2233,1689,1593,206,239,338,394,173,90,163,7122
UCL513001,229,47,46,61,164,68,14,23,1078,5,0,0,0,0,0,0,0,0,6,13,1692,518,472,72,80,91,217,87,14,103,3348
UCL513002,92,15,16,20,38,12,6,6,363,0,0,0,0,0,0,0,0,0,0,3,773,206,190,26,38,31,57,22,6,41,1386
UCL513003,483,110,76,92,126,70,18,43,1687,0,0,0,0,0,0,0,0,0,3,10,1339,900,896,143,114,124,175,99,33,88,3918
UCL513004,427,79,76,101,139,36,9,26,1579,0,0,0,0,0,0,6,0,0,10,11,1174,884,820,124,120,152,204,70,26,89,3667
UCL513005,147,33,9,18,29,18,16,16,717,13,0,0,0,0,0,0,0,0,15,33,1712,1120,778,90,31,62,57,46,25,92,4017
UCL514001,23,0,3,0,5,0,0,7,132,0,0,0,0,0,0,0,0,0,11,11,586,103,60,7,7,7,5,6,3,29,812
UCL514002,80,22,14,23,19,11,3,9,301,0,0,0,0,0,0,0,0,0,7,5,835,205,187,51,36,36,41,30,6,53,1489
UCL514003,144,19,31,23,53,30,0,67,585,0,0,0,0,0,0,0,0,0,9,9,900,302,321,37,37,48,101,43,3,89,1872
UCL514004,94,19,7,9,13,8,5,13,338,7,0,0,0,0,0,0,0,0,0,4,575,137,169,24,14,16,16,13,8,37,1007
UCL515001,4,7,0,0,0,0,0,4,24,0,0,0,0,0,0,0,0,0,5,3,213,18,6,8,0,0,0,0,0,17,269
UCL515002,6,0,0,3,3,7,0,5,39,0,0,0,0,0,0,0,0,0,0,6,141,37,23,4,8,3,3,8,0,14,237
UCL515003,10,0,0,0,5,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,434,50,22,3,0,0,4,0,0,21,540
UCL515004,18,0,0,3,3,0,0,10,89,0,0,0,0,0,0,0,0,0,0,0,240,77,52,5,0,3,4,3,3,18,410
UCL515005,7,7,0,3,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,210,48,34,5,7,4,4,0,0,12,319
UCL515006,53,14,6,17,24,4,7,4,280,5,0,0,0,0,0,0,0,0,3,6,564,88,88,29,17,20,28,11,7,39,892
UCL515007,11,0,11,0,6,4,0,0,67,0,0,0,0,0,0,0,0,0,0,0,177,72,49,3,20,7,12,4,0,17,361
UCL515008,4,0,3,0,7,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,114,28,21,0,6,3,8,0,0,6,195
UCL515009,13,7,9,3,6,3,0,3,105,3,0,0,0,0,0,0,0,0,9,7,547,56,35,7,9,4,17,4,4,22,709
UCL515010,39,8,10,15,11,10,3,0,143,0,0,0,0,0,0,0,0,0,0,4,207,66,60,13,16,20,19,8,3,8,421
UCL515011,14,8,0,14,13,4,8,7,127,0,0,0,0,0,0,0,0,0,0,0,336,54,33,8,0,14,17,3,3,24,491
UCL515012,16,0,0,3,0,3,4,0,65,0,0,0,0,0,0,0,0,0,0,0,118,70,62,3,6,3,3,3,4,7,272
UCL515013,27,9,14,24,33,16,0,4,201,0,0,0,0,0,0,0,0,0,0,4,564,105,100,24,19,44,66,31,15,37,1002
UCL515014,17,5,4,13,17,6,3,0,70,0,0,0,0,0,0,0,0,0,0,0,54,24,30,3,4,15,21,6,3,6,168
UCL515015,134,47,36,49,87,10,0,19,505,0,0,0,0,0,0,0,0,0,0,6,246,91,166,50,45,59,92,10,0,42,799
UCL515016,7,3,3,0,6,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,160,23,16,11,0,6,6,0,0,16,238
UCL515017,9,0,4,0,0,4,0,0,39,0,0,0,0,0,0,0,0,0,0,0,267,33,24,4,8,0,8,4,0,12,348
UCL515018,11,0,0,0,6,0,0,3,66,0,0,0,0,0,0,0,0,0,0,0,153,69,33,6,14,0,11,5,0,13,305
UCL515019,87,33,11,41,23,24,35,23,510,4,0,0,0,0,0,0,0,0,12,11,288,204,110,37,18,53,23,25,40,61,853
UCL515020,65,12,8,28,52,26,8,12,333,0,0,0,0,0,0,0,0,0,0,7,453,128,146,23,19,43,78,40,18,25,972
UCL515021,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,228,24,10,0,3,4,0,6,0,4,285
UCL515022,44,0,7,9,7,5,9,13,182,0,0,0,0,0,0,0,0,0,0,4,355,57,70,0,10,13,13,3,9,37,569
UCL515023,20,18,9,6,4,4,0,12,107,0,0,0,0,0,0,0,0,0,0,0,171,39,35,24,6,5,9,3,0,16,307
UCL515024,10,3,0,0,3,3,0,0,51,0,0,0,0,0,0,0,0,0,0,0,99,41,17,3,0,0,4,3,0,3,176
UCL515025,29,14,5,3,23,11,5,0,140,0,0,0,0,0,0,0,0,0,0,0,197,41,34,14,5,6,23,11,5,17,352
UCL515026,20,0,0,0,3,0,0,4,59,0,0,0,0,0,0,0,0,0,0,0,268,73,70,0,3,5,13,0,0,15,441
UCL515027,72,24,10,23,36,13,22,6,334,3,0,0,0,0,0,0,0,0,4,8,306,90,100,26,14,26,39,21,23,31,676
UCL515028,134,18,31,24,43,27,6,8,511,0,0,0,0,0,0,7,0,0,0,5,406,292,245,32,46,38,82,34,13,42,1225
UCL515029,23,4,3,5,3,0,3,0,109,0,0,0,0,0,0,0,0,0,0,0,123,78,53,11,7,5,9,5,4,10,301
UCL515030,30,10,6,8,11,0,0,23,156,0,0,0,0,0,0,0,0,0,4,4,431,79,70,11,8,8,11,0,0,51,675
UCL515031,10,4,0,5,4,3,0,0,48,0,0,0,0,0,0,0,0,0,0,0,315,32,20,8,5,7,3,5,0,24,420
UCL515032,12,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,193,28,27,5,0,0,0,0,0,5,260
UCL515033,60,10,8,19,10,4,4,5,228,0,0,0,0,0,0,0,0,0,0,0,215,166,137,19,23,27,23,4,4,13,622
UCL515034,12,3,0,4,5,4,0,7,117,4,0,0,0,0,0,0,0,0,0,4,445,164,98,10,10,7,12,13,0,13,762
UCL515035,7,0,5,6,14,0,3,0,55,0,0,0,0,0,0,0,0,0,0,0,142,21,18,3,3,5,19,0,3,13,230
UCL515036,20,0,3,3,7,9,0,5,108,0,0,0,0,0,0,0,0,0,16,18,270,50,33,3,5,7,6,9,0,51,440
UCL515037,39,3,0,7,9,0,3,0,154,0,3,0,0,0,0,0,0,0,0,0,167,107,67,7,4,10,21,0,7,6,401
UCL515038,11,3,3,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,358,32,29,5,5,3,6,0,0,23,457
UCL521001,4,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,56,0,6,0,0,0,0,0,0,0,71
UCL521002,0,0,0,0,3,5,0,0,15,0,0,0,0,0,0,0,0,0,0,0,109,13,4,0,0,0,3,5,0,8,143
UCL521003,10,3,0,0,0,0,0,0,29,3,0,0,0,0,0,0,0,0,0,3,111,24,7,6,0,0,0,0,0,5,157
UCL521004,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,9,0,6,0,0,0,0,0,0,0,9
UCL521005,14,3,0,0,0,0,4,5,41,0,0,0,0,0,0,0,0,0,0,0,75,32,27,4,0,0,0,0,4,8,161
UCL521006,5,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,100,18,10,0,0,0,3,0,0,5,142
UCL521007,4,4,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,48,6,5,3,0,0,0,5,0,12,83
UCL521008,4,0,4,0,4,0,0,5,28,0,0,0,0,0,0,0,0,0,0,3,38,3,13,3,4,0,4,0,0,8,75
UCL521009,8,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,54,7,10,0,0,0,0,0,0,0,73
UCL521010,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,77,11,6,0,0,0,0,0,0,9,104
UCL521011,4,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,47,9,5,8,0,0,0,0,0,3,71
UCL521012,8,0,0,0,0,4,0,0,25,0,0,0,0,0,0,0,0,0,0,0,70,18,9,0,0,0,4,4,0,4,105
UCL521013,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,119,30,19,0,0,4,0,5,0,4,178
UCL521014,8,0,0,0,4,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,72,26,26,4,6,3,5,0,3,9,149
UCL521015,4,0,4,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,42,15,9,6,4,3,0,0,0,3,83
UCL521016,30,4,4,4,8,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,48,6,36,10,8,4,8,5,4,5,118
UCL521017,38,0,5,14,8,6,3,0,92,0,0,0,0,0,0,0,0,0,0,0,44,11,54,8,6,16,10,6,3,5,165
UCL521018,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,46,18,4,0,0,0,0,0,0,0,74
UCL521019,19,3,0,0,4,3,0,9,70,0,0,0,0,0,0,0,0,0,0,0,187,36,34,8,0,5,8,0,0,29,311
UCL521020,0,0,0,0,0,4,0,0,36,0,0,0,0,0,0,0,0,0,0,0,145,22,15,0,0,0,0,3,0,14,199
UCL521021,15,0,0,3,8,6,0,0,65,0,0,0,0,0,0,0,0,0,0,0,84,45,28,0,0,3,13,10,0,3,190
UCL521022,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,81,22,11,5,0,0,5,0,0,8,132
UCL521023,21,4,8,6,7,3,0,0,56,0,0,0,0,0,0,0,0,0,0,0,36,15,28,4,11,6,7,3,0,0,109
UCL521024,16,3,3,6,9,0,5,4,74,0,0,0,0,0,0,0,0,0,0,0,90,22,24,7,3,11,13,0,6,11,188
UCL521025,3,0,5,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,73,34,28,0,16,7,9,7,5,10,183
UCL521026,6,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,113,34,22,0,0,0,0,0,0,8,172
UCL521027,11,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,79,38,36,0,4,3,0,0,3,8,167
UCL521028,5,12,0,4,6,5,0,0,36,0,0,0,0,0,0,0,0,0,0,0,52,4,12,11,0,3,6,6,0,8,103
UCL521029,15,9,0,3,3,6,3,0,66,0,0,0,0,0,0,0,0,0,6,6,62,21,26,14,6,14,6,6,3,9,162
UCL521030,6,3,5,25,21,5,34,3,120,0,0,0,0,0,0,0,0,0,0,0,73,7,21,3,5,28,20,5,36,10,214
UCL521031,13,5,4,3,6,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,79,37,22,8,8,8,10,0,0,12,186
UCL521032,0,0,0,6,12,3,0,0,38,0,0,0,0,0,0,0,0,0,0,0,28,9,5,0,0,11,9,3,0,0,73
UCL521033,6,0,4,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,63,17,18,0,4,3,4,0,0,4,113
UCL521034,4,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,3,112,27,19,0,0,0,0,0,0,11,170
UCL521035,3,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,89,9,10,0,0,0,0,0,0,4,109
UCL521036,0,0,0,0,4,0,0,0,25,0,0,0,0,0,0,0,0,0,0,3,75,18,4,3,0,0,8,0,0,6,113
UCL521037,6,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,115,26,11,0,0,0,0,0,0,0,154
