UCL_CODE_2021,M_Neg_Nil_inc_15_19_yr,M_Neg_Nil_inc_20_24_yr,M_Neg_Nil_inc_25_34_yr,M_Neg_Nil_inc_35_44_yr,M_Neg_Nil_inc_45_54_yr,M_Neg_Nil_inc_55_64_yr,M_Neg_Nil_inc_65_74_yr,M_Neg_Nil_inc_75_84_yr,M_Neg_Nil_inc_85_yr_over,M_Neg_Nil_inc_Tot,M_1_149_15_19_yr,M_1_149_20_24_yr,M_1_149_25_34_yr,M_1_149_35_44_yr,M_1_149_45_54_yr,M_1_149_55_64_yr,M_1_149_65_74_yr,M_1_149_75_84_yr,M_1_149_85_yr_over,M_1_149_Tot,M_150_299_15_19_yr,M_150_299_20_24_yr,M_150_299_25_34_yr,M_150_299_35_44_yr,M_150_299_45_54_yr,M_150_299_55_64_yr,M_150_299_65_74_yr,M_150_299_75_84_yr,M_150_299_85_yr_over,M_150_299_Tot,M_300_399_15_19_yr,M_300_399_20_24_yr,M_300_399_25_34_yr,M_300_399_35_44_yr,M_300_399_45_54_yr,M_300_399_55_64_yr,M_300_399_65_74_yr,M_300_399_75_84_yr,M_300_399_85_yr_over,M_300_399_Tot,M_400_499_15_19_yr,M_400_499_20_24_yr,M_400_499_25_34_yr,M_400_499_35_44_yr,M_400_499_45_54_yr,M_400_499_55_64_yr,M_400_499_65_74_yr,M_400_499_75_84_yr,M_400_499_85_yr_over,M_400_499_Tot,M_500_649_15_19_yr,M_500_649_20_24_yr,M_500_649_25_34_yr,M_500_649_35_44_yr,M_500_649_45_54_yr,M_500_649_55_64_yr,M_500_649_65_74_yr,M_500_649_75_84_yr,M_500_649_85_yr_over,M_500_649_Tot,M_650_799_15_19_yr,M_650_799_20_24_yr,M_650_799_25_34_yr,M_650_799_35_44_yr,M_650_799_45_54_yr,M_650_799_55_64_yr,M_650_799_65_74_yr,M_650_799_75_84_yr,M_650_799_85_yr_over,M_650_799_Tot,M_800_999_15_19_yr,M_800_999_20_24_yr,M_800_999_25_34_yr,M_800_999_35_44_yr,M_800_999_45_54_yr,M_800_999_55_64_yr,M_800_999_65_74_yr,M_800_999_75_84_yr,M_800_999_85_yr_over,M_800_999_Tot,M_1000_1249_15_19_yr,M_1000_1249_20_24_yr,M_1000_1249_25_34_yr,M_1000_1249_35_44_yr,M_1000_1249_45_54_yr,M_1000_1249_55_64_yr,M_1000_1249_65_74_yr,M_1000_1249_75_84_yr,M_1000_1249_85_yr_over,M_1000_1249_Tot,M_1250_1499_15_19_yr,M_1250_1499_20_24_yr,M_1250_1499_25_34_yr,M_1250_1499_35_44_yr,M_1250_1499_45_54_yr,M_1250_1499_55_64_yr,M_1250_1499_65_74_yr,M_1250_1499_75_84_yr,M_1250_1499_85_yr_over,M_1250_1499_Tot,M_1500_1749_15_19_yr,M_1500_1749_20_24_yr,M_1500_1749_25_34_yr,M_1500_1749_35_44_yr,M_1500_1749_45_54_yr,M_1500_1749_55_64_yr,M_1500_1749_65_74_yr,M_1500_1749_75_84_yr,M_1500_1749_85_yr_over,M_1500_1749_Tot,M_1750_1999_15_19_yr,M_1750_1999_20_24_yr,M_1750_1999_25_34_yr,M_1750_1999_35_44_yr,M_1750_1999_45_54_yr,M_1750_1999_55_64_yr,M_1750_1999_65_74_yr,M_1750_1999_75_84_yr,M_1750_1999_85_yr_over,M_1750_1999_Tot,M_2000_2999_15_19_yr,M_2000_2999_20_24_yr,M_2000_2999_25_34_yr,M_2000_2999_35_44_yr,M_2000_2999_45_54_yr,M_2000_2999_55_64_yr,M_2000_2999_65_74_yr,M_2000_2999_75_84_yr,M_2000_2999_85_yr_over,M_2000_2999_Tot,M_3000_3499_15_19_yr,M_3000_3499_20_24_yr,M_3000_3499_25_34_yr,M_3000_3499_35_44_yr,M_3000_3499_45_54_yr,M_3000_3499_55_64_yr,M_3000_3499_65_74_yr,M_3000_3499_75_84_yr,M_3000_3499_85_yr_over,M_3000_3499_Tot,M_3500_more_15_19_yr,M_3500_more_20_24_yr,M_3500_more_25_34_yr,M_3500_more_35_44_yr,M_3500_more_45_54_yr,M_3500_more_55_64_yr,M_3500_more_65_74_yr,M_3500_more_75_84_yr,M_3500_more_85_yr_over,M_3500_more_Tot,M_Personal_inc_ns_15_19_yr,M_Personal_inc_ns_20_24_yr,M_Personal_inc_ns_25_34_yr,M_Personal_inc_ns_35_44_yr,M_Personal_inc_ns_45_54_yr,M_Personal_inc_ns_55_64_yr,M_Personal_inc_ns_65_74_yr,M_Personal_inc_ns_75_84_yr,M_Personal_inc_ns_85_yr_over,M_Personal_inc_ns_Tot,M_OS_vis_15_19_yr,M_OS_vis_20_24_yr,M_OS_vis_25_34_yr,M_OS_vis_35_44_yr,M_OS_vis_45_54_yr,M_OS_vis_55_64_yr,M_OS_vis_65_74_yr,M_OS_vis_75_84_yr,M_OS_vis_85_yr_over,M_OS_vis_Tot,M_Tot_15_19_yr,M_Tot_20_24_yr,M_Tot_25_34_yr,M_Tot_35_44_yr,M_Tot_45_54_yr,M_Tot_55_64_yr,M_Tot_65_74_yr,M_Tot_75_84_yr,M_Tot_85_yr_over,M_Tot_Tot,F_Neg_Nil_inc_15_19_yr,F_Neg_Nil_inc_20_24_yr,F_Neg_Nil_inc_25_34_yr,F_Neg_Nil_inc_35_44_yr,F_Neg_Nil_inc_45_54_yr,F_Neg_Nil_inc_55_64_yr,F_Neg_Nil_inc_65_74_yr,F_Neg_Nil_inc_75_84_yr,F_Neg_Nil_inc_85_yr_over,F_Neg_Nil_inc_Tot,F_1_149_15_19_yr,F_1_149_20_24_yr,F_1_149_25_34_yr,F_1_149_35_44_yr,F_1_149_45_54_yr,F_1_149_55_64_yr,F_1_149_65_74_yr,F_1_149_75_84_yr,F_1_149_85_yr_over,F_1_149_Tot
UCL501001,26774,5510,4516,3164,3434,5408,5940,2476,717,57938,11781,2671,981,691,796,1537,2373,978,319,22125,6713,5625,3226,2281,2481,3343,4753,2714,795,31925,2697,4965,4514,3257,3573,4981,11650,9796,3096,48539,2473,4357,3771,2614,3026,4237,9823,7378,2856,40525,2832,5875,5305,3362,3388,4202,8427,5452,1572,40422,1900,6561,6783,4346,3529,4296,6290,3883,1148,38736,1312,7532,12534,8075,6768,6660,5926,2601,728,52141,732,6890,18725,13873,10958,10301,6310,2147,495,70430,277,4009,16142,13329,10376,8798,4284,1209,240,58676,146,2380,14557,14163,11253,9273,3422,913,258,56363,63,1227,10780,12552,10420,7517,2361,478,126,45533,65,1480,19040,28623,24118,16305,4092,755,193,94662,13,225,4215,8484,7525,4673,1197,225,62,26613,40,179,4046,13842,15883,9864,2728,684,165,47429,2841,3850,8797,7664,6214,4875,4031,3543,2577,44389,63,190,548,388,372,397,342,118,28,2453,60713,63523,138475,140711,124118,106670,83955,45355,15374,778901,22399,4745,13185,14910,11038,14595,9632,3098,1252,94854,13957,2981,3173,3942,2954,3904,3705,1354,481,36440
UCL511001,873,114,98,80,97,179,179,66,25,1706,476,23,19,27,22,55,77,32,5,726,212,93,103,89,78,118,205,101,32,1034,106,107,157,125,133,205,602,478,142,2048,104,91,92,98,132,184,427,320,125,1562,160,142,149,117,117,180,354,232,55,1512,101,224,204,125,143,165,278,167,39,1447,80,309,388,240,233,251,224,99,14,1841,34,260,543,436,380,397,271,72,12,2396,11,138,464,423,370,351,131,32,9,1934,7,97,404,520,410,383,102,25,10,1950,4,62,388,445,438,400,73,17,5,1830,0,96,687,1012,1009,731,136,13,4,3691,0,12,136,237,284,185,40,0,3,895,0,6,102,264,326,212,74,14,5,1011,126,159,426,409,332,254,205,127,86,2115,4,0,14,9,6,5,0,3,0,44,2300,1932,4384,4653,4504,4253,3372,1790,561,27749,788,110,430,387,348,585,314,99,40,3104,590,52,139,150,114,156,115,52,10,1379
UCL512001,345,30,43,32,45,74,78,33,20,710,182,13,14,9,16,37,40,21,9,339,111,40,70,27,35,74,112,52,23,552,41,44,64,55,50,122,254,271,108,1011,59,57,53,59,65,115,226,185,68,881,87,61,79,56,72,103,197,126,52,825,51,107,93,74,69,115,152,102,37,794,31,130,195,144,125,142,133,47,21,969,16,121,296,234,221,216,127,41,8,1275,5,47,196,182,200,174,64,8,4,883,3,18,168,161,198,169,51,17,8,796,0,7,118,112,138,115,44,16,7,556,0,8,124,226,261,203,34,11,0,869,0,0,21,33,44,42,15,0,0,157,0,3,20,41,75,75,27,7,9,255,69,79,240,189,150,119,107,90,64,1101,0,8,4,9,0,3,0,4,0,28,1000,780,1796,1649,1768,1886,1668,1024,439,12011,285,38,120,75,79,182,131,54,28,994,256,21,44,39,41,69,64,22,7,565
UCL512002,226,36,30,25,30,56,71,25,3,502,204,4,4,3,10,23,43,18,18,344,111,35,30,38,25,54,105,55,25,478,25,35,54,41,44,77,295,240,64,869,43,35,52,36,48,78,209,155,49,709,52,57,51,57,55,87,211,131,22,717,41,92,78,51,55,110,156,93,25,697,23,80,123,102,103,133,114,61,17,756,14,65,173,167,176,174,127,55,11,956,3,44,152,157,176,127,73,17,8,760,0,11,127,146,170,127,56,19,11,663,0,5,89,123,152,93,24,13,3,508,0,16,128,248,261,174,38,9,3,886,0,0,21,67,76,52,10,0,0,220,0,4,24,83,99,63,21,12,3,308,33,22,93,82,89,90,95,91,62,652,0,0,7,0,5,5,0,0,0,16,789,541,1232,1432,1569,1517,1648,989,315,10033,192,20,112,111,90,183,126,37,13,893,233,11,38,54,25,54,87,28,36,578
UCL512003,380,59,26,37,46,93,78,38,10,782,165,10,12,8,15,29,44,11,4,298,111,59,56,58,58,81,101,49,18,580,33,43,75,82,74,128,273,244,79,1028,44,39,47,54,69,104,210,161,47,777,79,88,50,59,76,87,136,88,27,673,71,100,88,63,76,97,129,55,20,701,38,138,183,109,91,142,100,29,15,842,15,90,241,177,179,195,106,32,7,1039,9,52,190,170,172,164,55,19,0,828,3,46,202,178,191,168,57,14,11,867,0,18,144,151,173,155,44,8,0,703,3,28,231,363,381,274,70,13,3,1372,0,7,42,76,88,75,16,3,0,310,0,0,26,101,101,80,26,14,3,350,128,75,200,216,170,175,134,115,67,1290,0,4,8,0,0,3,0,5,3,23,1084,847,1811,1899,1966,2052,1590,897,327,12464,270,49,142,134,115,208,125,45,17,1097,274,21,37,29,33,57,52,16,3,523
UCL512004,269,44,59,36,50,75,67,22,3,628,133,8,13,7,14,20,22,8,0,233,58,30,49,36,29,39,51,18,9,307,30,25,38,31,34,43,107,56,11,381,37,21,25,31,25,47,107,83,10,385,43,50,45,27,29,32,90,38,10,361,48,71,55,32,25,38,52,22,0,354,48,104,87,48,72,72,46,11,3,485,38,119,153,104,87,132,54,10,4,709,34,98,174,150,111,114,48,6,0,732,20,128,243,170,179,170,55,7,0,968,3,91,274,217,199,164,42,6,0,998,5,120,604,693,589,478,87,5,0,2584,0,18,207,253,199,123,25,0,0,830,0,11,139,220,206,148,22,5,0,751,93,171,408,372,315,315,194,58,10,1917,0,0,11,6,4,8,3,0,0,42,853,1098,2583,2425,2169,2033,1082,362,66,12655,195,73,235,193,114,188,96,20,7,1138,163,21,51,48,26,33,23,3,3,371
UCL513001,116,21,29,20,30,51,56,18,0,345,85,5,3,4,4,10,27,12,0,147,29,18,32,17,22,27,51,18,7,215,16,26,31,33,39,58,139,59,5,412,9,21,23,25,34,43,114,56,6,315,21,25,24,37,24,41,130,55,8,352,18,42,49,30,28,46,89,33,3,328,14,45,88,54,57,57,115,47,6,483,11,46,128,89,80,127,134,28,0,654,0,36,129,99,97,104,79,21,3,572,3,17,138,140,103,104,81,11,0,585,4,12,104,135,103,80,47,4,0,492,0,12,163,254,260,168,68,23,0,952,0,6,28,63,69,46,19,4,0,241,0,0,38,114,103,95,60,34,0,441,69,93,240,212,234,235,166,88,17,1347,0,9,33,6,0,6,7,0,0,55,386,432,1276,1324,1285,1297,1374,503,56,7936,112,17,56,56,34,116,86,23,5,501,105,6,20,17,17,38,38,5,0,242
UCL513002,109,9,12,8,6,22,22,15,0,208,73,0,4,3,4,9,14,4,3,109,27,4,9,9,14,9,29,16,3,116,16,4,14,17,13,36,106,71,25,299,14,8,14,14,23,30,70,63,18,253,27,24,5,11,16,36,62,32,9,225,18,30,30,19,24,25,27,23,9,209,6,42,58,36,40,54,29,19,6,278,5,26,75,65,57,76,39,11,6,365,0,29,61,53,65,52,18,5,3,298,3,17,69,70,63,52,15,3,0,291,4,6,50,49,54,53,17,5,0,242,0,12,92,127,129,107,17,9,4,494,0,6,22,27,25,18,5,4,0,95,0,3,15,25,45,34,8,5,0,137,53,42,81,64,87,79,58,53,15,529,0,5,4,0,0,5,0,0,0,12,360,255,614,599,675,699,530,340,96,4155,91,13,43,35,35,77,36,18,4,347,62,8,17,19,9,27,19,9,3,173
UCL513003,149,19,28,22,17,19,23,9,0,277,86,0,5,7,7,3,4,0,0,109,49,17,7,8,7,9,21,3,0,126,10,9,13,7,7,7,23,24,0,100,13,8,7,3,5,18,32,14,4,97,24,18,6,13,12,9,27,11,0,123,33,29,26,6,12,11,20,5,0,148,28,43,44,32,22,21,20,7,0,220,19,62,102,71,45,49,27,0,0,369,10,35,97,76,68,51,19,3,0,363,7,44,122,136,115,72,22,0,0,518,4,23,157,163,118,86,30,0,0,583,3,79,434,502,364,234,30,0,0,1646,0,22,156,215,182,104,23,0,0,697,0,21,241,427,307,174,27,3,0,1191,77,125,409,519,433,312,101,24,6,2005,0,4,22,14,8,14,0,3,0,65,506,547,1876,2213,1721,1207,458,113,9,8646,103,13,168,128,74,78,40,4,0,609,106,8,21,35,19,12,10,7,0,206
UCL513004,133,38,31,18,24,33,33,5,0,319,42,3,3,7,6,7,3,4,0,71,35,10,17,14,28,26,11,3,0,151,15,10,22,14,30,29,49,23,3,187,18,8,16,8,13,14,25,15,3,112,16,14,8,7,15,17,19,13,0,103,21,19,19,15,22,19,22,4,0,134,13,20,31,18,29,30,21,3,0,166,21,39,70,58,43,38,27,4,0,299,11,43,84,64,47,59,29,0,0,326,7,45,136,92,85,81,17,0,0,475,3,38,143,132,120,89,17,0,0,545,6,53,428,514,347,262,37,4,0,1647,0,12,228,234,145,94,13,0,0,717,4,10,170,319,241,175,26,0,0,950,79,125,513,551,469,385,120,23,5,2275,0,0,7,8,9,8,4,0,0,34,424,473,1932,2075,1666,1351,470,113,16,8520,106,24,140,110,60,88,42,6,0,582,53,7,25,19,3,9,7,0,0,127
