SAL_CODE_2021,One_f_h_N_pe_UR_One_ATSIF,One_f_h_N_pe_UR_Two_ATSIF,One_f_h_N_pe_UR_Three_ATSIF,One_f_h_N_pe_UR_Four_ATSIF,One_f_h_N_pe_UR_Five_ATSIF,One_f_h_N_pe_UR_Six_m_ATSIF,One_f_h_Tot_ATSIF,Two_f_h_N_pe_UR_One_ATSIF,Two_f_h_N_pe_UR_Two_ATSIF,Two_f_h_N_pe_UR_Three_ATSIF,Two_f_h_N_pe_UR_Four_ATSIF,Two_f_h_N_pe_UR_Five_ATSIF,Two_f_h_N_pe_UR_Six_m_ATSIF,Two_f_h_Tot_ATSIF,Thr_m_f_h_N_pe_UR_One_ATSIF,Thr_m_f_h_N_pe_UR_Two_ATSIF,Thr_m_f_h_N_pe_UR_Three_ATSIF,Thr_m_f_h_N_pe_UR_Four_ATSIF,Thr_m_f_h_N_pe_UR_Five_ATSIF,Thr_m_f_h_N_pe_UR_Six_m_ATSIF,Thr_m_f_h_Tot_ATSIF,Tot_N_pe_UR_One_ATSIF,Tot_N_pe_UR_Two_ATSIF,Tot_N_pe_UR_Three_ATSIF,Tot_N_pe_UR_Four_ATSIF,Tot_N_pe_UR_Five_ATSIF,Tot_N_pe_UR_Six_m_ATSIF,Tot_Tot_ATSIF,One_f_h_N_pe_UR_One_Oth_f,One_f_h_N_pe_UR_Two_Oth_f,One_f_h_N_pe_UR_Three_Oth_f,One_f_h_N_pe_UR_Four_Oth_f,One_f_h_N_pe_UR_Five_Oth_f,One_f_h_N_pe_UR_Six_m_Oth_f,One_f_h_Tot_Oth_f,Two_f_h_N_pe_UR_One_Oth_f,Two_f_h_N_pe_UR_Two_Oth_f,Two_f_h_N_pe_UR_Three_Oth_f,Two_f_h_N_pe_UR_Four_Oth_f,Two_f_h_N_pe_UR_Five_Oth_f,Two_f_h_N_pe_UR_Six_m_Oth_f,Two_f_h_Tot_Oth_f,Thr_m_f_h_N_pe_UR_One_Oth_f,Thr_m_f_h_N_pe_UR_Two_Oth_f,Thr_m_f_h_N_pe_UR_Three_Oth_f,Thr_m_f_h_N_pe_UR_Four_Oth_f,Thr_m_f_h_N_pe_UR_Five_Oth_f,Thr_m_f_h_N_pe_UR_Six_m_Oth_f,Thr_m_f_h_Tot_Oth_f,Tot_N_pe_UR_One_Oth_f,Tot_N_pe_UR_Two_Oth_f,Tot_N_pe_UR_Three_Oth_f,Tot_N_pe_UR_Four_Oth_f,Tot_N_pe_UR_Five_Oth_f,Tot_N_pe_UR_Six_m_Oth_f,Tot_Tot_Oth_f
SAL50001,..,0,0,0,0,0,0,..,..,..,0,0,0,0,..,..,..,..,..,0,0,..,0,0,0,0,0,0,..,13,4,4,5,0,22,..,..,..,0,0,0,0,..,..,..,..,..,0,0,..,13,4,4,6,0,24
SAL50002,..,0,3,3,0,0,7,..,..,..,0,0,0,0,..,..,..,..,..,0,0,..,0,3,3,0,0,7,..,173,46,97,32,4,346,..,..,..,3,8,0,9,..,..,..,..,..,4,4,..,173,46,99,34,12,361
SAL50003,..,0,0,0,0,0,0,..,..,..,0,0,0,0,..,..,..,..,..,0,0,..,0,0,0,0,0,0,..,4,0,5,0,0,17,..,..,..,3,3,0,5,..,..,..,..,..,0,0,..,4,0,6,5,0,22
SAL50004,..,0,0,0,0,0,0,..,..,..,0,0,0,0,..,..,..,..,..,0,0,..,0,0,0,0,0,0,..,0,3,0,5,0,11,..,..,..,0,0,0,0,..,..,..,..,..,0,0,..,0,3,0,5,0,10
SAL50005,..,0,0,0,0,0,0,..,..,..,0,3,0,3,..,..,..,..,..,3,3,..,0,0,0,3,3,5,..,0,0,0,0,0,6,..,..,..,0,0,0,0,..,..,..,..,..,0,0,..,0,0,0,0,0,6
SAL50006,..,3,0,0,0,0,9,..,..,..,0,0,0,0,..,..,..,..,..,0,0,..,3,0,0,0,0,9,..,217,66,37,11,5,333,..,..,..,0,0,0,4,..,..,..,..,..,0,0,..,217,66,37,12,5,335
SAL50007,..,0,0,0,0,0,0,..,..,..,0,0,0,0,..,..,..,..,..,0,0,..,0,0,0,0,0,0,..,3,0,3,0,0,10,..,..,..,0,0,0,0,..,..,..,..,..,0,0,..,3,0,3,0,0,10
SAL50008,..,14,10,7,6,7,46,..,..,..,0,3,0,5,..,..,..,..,..,0,0,..,14,10,7,12,6,54,..,785,472,434,190,99,1990,..,..,..,40,52,62,153,..,..,..,..,..,9,9,..,785,472,476,245,166,2154
SAL50009,..,0,0,0,0,0,0,..,..,..,0,0,0,0,..,..,..,..,..,0,0,..,0,0,0,0,0,0,..,0,0,0,0,0,0,..,..,..,0,0,0,0,..,..,..,..,..,0,0,..,0,0,0,0,0,0
SAL50010,..,8,4,3,3,0,14,..,..,..,0,0,0,0,..,..,..,..,..,0,0,..,8,4,3,3,0,14,..,333,166,189,69,10,772,..,..,..,3,3,3,15,..,..,..,..,..,0,0,..,333,166,190,70,19,786
