SAL_CODE_2021,Med_ag_pe_In_pe,Me_ag_ps_N_In_ps,Med_age_psns_Tot,Me_p_in_wk_In_pe,Me_ps_in_wk_No_In_pe,Med_psnl_inc_wk_Tot,Me_hh_in_wk_Hh_In_pe,Me_hh_in_wk_No_Ot_hh,Med_hhd_inc_wk_Tot,Me_mo_re_mt_Hh_In_pe,Me_mo_re_mt_Ot_hh,Med_mort_repay_mth_Tot,Me_re_wk_Hh_Ind_psns,Me_re_wk_No_Oth_hh,Med_rent_wk_Tot,Av_N_p_pe_be_Hh_w_In_p,Av_Nu_ps_pe_be_Ot_hh,Avg_Nu_psns_per_bed_Tot,Av_hh_si_Hh_wi_Ind_psns,Avg_hh_si_Othr_hhd,Avg_household_size_Tot,P_d_n_x_b_Hh_w_In_p,P_d_n_x_b_No_Oth_hh,P_d_n_x_b_Tot
SAL50001,0,39,39,0,885,885,0,1875,1875,0,2219,2219,0,210,210,0,0.9,0.9,0,3,3,0,0,0
SAL50002,28,42,42,687,841,837,2125,1724,1737,1614,1771,1742,455,410,410,0.7,0.7,0.7,2.8,2.7,2.7,0,0.9,0.9
SAL50003,0,42,42,0,731,731,0,1437,1437,0,2500,2500,0,150,150,0,0.8,0.8,0,2.8,2.8,0,0,0
SAL50004,0,38,38,0,1174,1174,0,3250,3250,0,2886,2886,0,0,0,0,0.8,0.8,0,2.8,2.8,0,0,0
SAL50005,23,47,34,254,866,525,774,949,949,0,0,0,75,0,75,1.4,0.7,0.9,4.7,2.2,2.8,66.7,0,16.7
SAL50006,25,55,55,724,887,883,1749,1360,1363,1350,1733,1700,315,325,325,1,0.7,0.7,2.7,2,2,0,0.7,0.7
SAL50007,0,42,42,0,1312,1312,0,1916,1916,0,0,0,0,0,0,0,0.9,0.9,0,2.8,2.8,0,0,0
SAL50008,21,39,39,712,703,703,2022,1705,1709,1733,1733,1733,370,353,360,0.9,0.8,0.8,3.6,2.8,2.9,1.6,2.9,2.9
SAL50009,0,65,65,0,450,450,0,474,474,0,1083,1083,0,0,0,0,0.3,0.3,0,1.3,1.3,0,0,0
SAL50010,39,41,41,850,995,993,2125,2265,2262,2245,2400,2400,118,430,430,0.9,0.7,0.7,2.7,2.6,2.6,5.6,1.4,1.5
SAL50011,20,31,31,858,979,977,1731,2040,2035,1788,1957,1950,360,360,360,1,0.8,0.8,3.2,2.8,2.8,7.8,0.8,1
SAL50012,0,43,43,0,1125,1125,0,1875,1875,0,437,437,0,250,250,0,0.6,0.6,0,2.4,2.4,0,0,0
SAL50013,23,45,45,1324,735,735,1874,1867,1860,1733,1733,1733,238,263,260,0.7,0.7,0.7,2,2.6,2.6,0,2.4,2.3
SAL50014,17,51,50,1375,870,880,1625,1437,1468,0,2000,2000,0,195,195,1.3,0.7,0.7,4,2.2,2.2,0,0,0
SAL50015,0,35,35,0,1031,1031,0,1625,1625,0,0,0,0,0,0,0,0.7,0.7,0,2.4,2.4,0,20,20
SAL50016,30,42,42,1125,838,844,2125,2337,2318,2383,2167,2167,0,275,275,0.8,0.9,0.9,3.2,3.1,3.1,0,2.5,2.4
SAL50017,52,46,46,949,1083,1083,1375,1375,1375,0,3542,3542,150,318,234,0.3,0.8,0.8,1,2.3,2.3,0,7.7,7.4
SAL50018,0,51,51,0,537,537,0,1499,1499,0,0,0,0,0,0,0,0.3,0.3,0,2.5,2.5,0,0,0
SAL50019,0,44,44,0,772,772,0,1797,1797,0,1950,1950,0,399,399,0,0.8,0.8,0,2.7,2.7,0,1,1
SAL50020,0,49,49,0,550,550,0,1374,1374,0,2700,2700,0,225,225,0,0.9,0.9,0,2.7,2.7,0,6.7,6.7
SAL50021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50022,29,44,44,1375,1167,1167,3250,2446,2453,5704,2800,2800,510,475,475,0.8,0.7,0.7,2.5,2.5,2.5,4.2,0.9,1
SAL50023,18,47,47,75,849,774,1125,1187,1166,0,1192,1192,0,100,100,1,0.9,0.9,4,2.3,2.4,0,4.8,4.5
SAL50024,25,41,41,612,1003,1001,3124,2349,2361,2100,2600,2600,460,470,470,0.9,0.7,0.7,3.3,2.7,2.7,0,0.6,0.6
SAL50025,14,47,47,1625,827,831,2666,2117,2147,1807,2000,2000,0,350,350,1.2,0.7,0.8,4.3,2.6,2.7,0,1.5,1.5
SAL50026,21,40,39,492,562,558,1166,1010,1020,1300,1283,1300,275,265,270,1,0.7,0.7,3.3,2.1,2.2,10.8,2.2,2.8
SAL50027,28,38,38,500,725,725,574,1124,949,0,0,0,100,200,150,0.8,0.9,0.9,1.5,2.7,2.5,0,0,0
SAL50028,0,50,50,0,399,399,0,1375,1375,0,0,0,0,0,0,0,1,1,0,2.3,2.3,0,0,0
SAL50029,0,37,37,0,1399,1399,0,2249,2249,0,434,434,0,0,0,0,0.9,0.9,0,2.5,2.5,0,0,0
SAL50030,22,50,49,1199,985,985,3250,1812,1812,0,532,532,0,92,92,1,0.8,0.8,4,2.3,2.4,0,0,0
SAL50031,25,46,46,1031,1036,1035,2166,2070,2072,2300,2167,2167,360,400,400,1,0.7,0.7,3.1,2.3,2.3,12,1.8,2
SAL50032,25,39,39,899,759,760,1625,1411,1416,1882,1859,1863,400,380,380,0.8,0.7,0.7,3.1,2.4,2.4,0,1.1,1
SAL50033,0,46,46,0,0,0,0,0,0,0,0,0,0,927,927,0,0.2,0.2,0,1,1,0,0,0
SAL50034,24,39,38,459,846,817,1375,1681,1666,2084,1831,1881,228,300,300,1.2,0.7,0.7,3.5,2.3,2.4,16,2.1,2.7
SAL50035,15,43,43,1625,1064,1066,2042,2543,2521,4037,2600,2600,365,430,425,0.9,0.7,0.7,2.9,2.6,2.6,3.3,0.7,0.7
SAL50036,18,35,35,530,943,939,1963,2412,2404,2084,1950,1950,390,400,400,0.9,0.8,0.8,3.5,3,3,5,0.7,0.8
SAL50037,17,33,33,933,1087,1086,3250,2483,2490,2384,2080,2080,430,420,420,0.9,0.8,0.8,3.6,3.1,3.1,5.3,0.9,0.9
