SAL_CODE_2021,Neg_nil_inc_Hh_with_Ind_psns,Neg_nil_inc_Other_households,Neg_nil_inc_Tot_hhlds,1_149_Hhd_with_Indig_psns,1_149_Other_households,1_149_Tot_hhlds,150_299_Hhd_with_Indig_psns,150_299_Other_households,150_299_Tot_hhlds,300_399_Hhd_with_Indig_psns,300_399_Other_households,300_399_Tot_hhlds,400_499_Hhd_with_Indig_psns,400_499_Other_households,400_499_Tot_hhlds,500_649_Hhd_with_Indig_psns,500_649_Other_households,500_649_Tot_hhlds,650_799_Hhd_with_Indig_psns,650_799_Other_households,650_799_Tot_hhlds,800_999_Hh_with_Indig_psn,800_999_Other_households,800_999_Tot_hhlds,1000_1249_Hh_with_Indig_psn,1000_1249_Other_households,1000_1249_Tot_hhlds,1250_1499_Hh_with_Indig_psn,1250_1499_Other_households,1250_1499_Tot_hhlds,1500_1749_Hh_with_Indig_psn,1500_1749_Other_households,1500_1749_Tot_hhlds,1750_1999_Hh_with_Indig_psn,1750_1999_Other_households,1750_1999_Tot_hhlds,2000_more_Hh_with_Indig_psn,2000_more_Other_households,2000_more_Tot_hhlds,Part_inc_st_Hh_with_Indig_psn,Partial_inc_stated_Other_hhds,Partial_inc_stated_Tot_hhlds,All_inc_ns_Hh_with_Ind_psns,All_income_ns_Other_household,All_inc_NS_Tot_hhlds,Tot_Household_with_Indig_psns,Tot_Other_households,Tot_Tot_hhlds
SAL50001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,4,4,0,0,0,0,0,0,0,4,4,0,3,3,0,0,0,0,0,0,0,14,14
SAL50002,0,3,3,0,3,3,0,7,7,0,16,16,0,32,32,0,22,24,0,49,51,0,56,56,0,48,51,3,34,39,0,37,39,0,22,20,0,58,58,0,36,37,0,7,7,3,430,443
SAL50003,0,0,0,0,0,0,0,0,0,0,4,4,0,3,3,0,5,5,0,4,4,0,0,0,0,9,9,0,5,5,0,0,0,0,0,0,0,4,4,0,0,0,0,4,4,0,38,38
SAL50004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,0,0,0,6,6
SAL50005,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
SAL50006,0,5,5,0,10,10,0,12,12,0,31,31,0,47,47,4,66,69,0,47,44,0,58,60,0,47,47,0,41,40,3,38,34,0,39,37,0,91,91,3,45,46,0,9,9,10,586,582
SAL50007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,6,6
SAL50008,0,37,37,0,20,20,4,82,82,8,119,131,0,230,236,6,241,239,6,218,226,3,289,292,4,350,359,8,230,234,6,198,204,4,154,156,8,212,221,4,164,171,0,30,37,61,2574,2645
SAL50009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50010,0,13,14,0,16,16,0,23,23,0,29,29,0,85,91,0,67,67,3,59,58,0,81,81,0,90,89,5,88,90,0,83,87,0,79,79,3,283,288,0,50,53,0,13,13,11,1059,1078
SAL50011,0,39,42,0,11,11,3,46,49,0,96,101,4,141,144,5,202,210,7,250,253,5,351,358,13,455,470,3,415,422,3,343,353,6,260,261,12,431,442,16,367,381,0,34,35,77,3441,3532
SAL50012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,3,3
SAL50013,0,0,0,0,0,0,0,3,3,0,10,6,0,28,28,0,9,9,0,13,13,0,21,24,0,30,30,0,22,23,0,18,18,0,11,11,0,27,28,0,18,18,0,0,0,0,210,211
SAL50014,0,3,3,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,3,6,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,0,0,0,0,30,33
SAL50015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50016,0,0,0,0,0,0,0,0,0,0,8,8,0,12,12,0,8,10,0,12,14,0,12,12,0,21,20,0,21,22,0,12,12,0,14,16,0,21,21,0,16,19,0,0,0,0,157,166
