SAL_CODE_2021,Psn_15_y_over_Indig_M,Psn_15_y_over_Indig_F,Psn_15_y_over_Indig_P,Psn_15_y_over_NonInd_M,Psn_15_y_over_NonInd_F,Psn_15_y_over_NonInd_P,Psn_15_y_over_Ind_s_nsM,Psn_15_y_over_Ind_s_nsF,Psn_15_y_over_Ind_s_nsP,Psn_15_y_over_TotM,Psn_15_y_over_TotF,Psn_15_y_over_TotP,In_LF_Emp_Indig_M,In_LF_Emp_Indig_F,In_LF_Emp_Indig_P,In_LF_Emp_NonInd_M,In_LF_Emp_NonInd_F,In_LF_Emp_NonInd_P,In_LF_Emp_IndSt_nsM,In_LF_Emp_IndSt_nsF,In_LF_Emp_IndSt_nsP,In_LF_Employd_TotM,In_LF_Employd_TotF,In_LF_Employd_TotP,In_LF_unemp_Ind_M,In_LF_unemp_Ind_F,In_LF_unemp_Ind_P,In_LF_unemp_No_Ind_M,In_LF_unemp_No_Ind_F,In_LF_unemp_No_Ind_P,In_LF_un_IndSt_nsM,In_LF_un_IndSt_nsF,In_LF_un_IndSt_nsP,In_LF_Unemp_TotM,In_LF_Unemp_TotF,In_LF_Unemp_TotP,In_LF_To_LF_Ind_M,In_LF_To_LF_Ind_F,In_LF_To_LF_Ind_P,In_LF_To_la_fo_No_In_M,In_LF_To_la_fo_No_In_F,In_LF_To_la_fo_No_In_P,In_LF_To_l_fo_In_st_nsM,In_LF_To_l_fo_In_st_nsF,In_LF_To_l_fo_In_st_nsP,In_LF_To_LF_TotM,In_LF_To_LF_TotF,In_LF_To_LF_TotP,N_the_LF_Indig_M,N_the_LF_Indig_F,N_the_LF_Indig_P,N_the_LF_No_Indig_M,N_the_LF_No_Indig_F,N_the_LF_No_Indig_P,N_the_LF_Indig_st_nsM,N_the_LF_Indig_st_nsF,N_the_LF_Indig_st_nsP,N_the_LF_TotM,N_the_LF_TotF,N_the_LF_TotP,LF_st_ns_Indig_M,LF_st_ns_Indig_F,LF_st_ns_Indig_P,LF_st_ns_NonInd_M,LF_st_ns_NonInd_F,LF_st_ns_NonInd_P,LF_st_ns_Indig_st_nsM,LF_st_ns_Indig_st_nsF,LF_st_ns_Indig_st_nsP,LF_st_ns_TotM,LF_st_ns_TotF,LF_st_ns_TotP,Pcent_Unemploy_Indig_M,Pcent_Unemploy_Indig_F,Pcent_Unemploy_Indig_P,Pcent_Unemploy_NonInd_M,Pcent_Unemploy_NonInd_F,Pcent_Unemploy_NonInd_P,Pcent_Unem_IndSt_nsM,Pcent_Unemp_IndSt_nsF,Pcent_Unemp_IndSt_nsP,Pcent_Unemploy_TotM,Pcent_Unemploy_TotF,Pcent_Unemploy_TotP,Pcent_LF_part_Indig_M,Pcent_LF_part_Indig_F,Pcent_LF_part_Indig_P,Pcent_LF_part_No_Indig_M,Pcent_LF_part_No_Indig_F,Pcent_LF_part_No_Indig_P,Pcent_LF_part_IndSt_nsM,Pcent_LF_part_IndSt_nsF,Pcent_LF_part_IndSt_nsP,Pcent_LF_part_TotM,Pcent_LF_part_TotF,Pcent_LF_part_TotP,Pcent_Emp_to_pop_Ind_M,Pcent_Emp_to_pop_Ind_F,Pcent_Emp_to_pop_Ind_P,Pcent_Emp_t_pop_NonInd_M,Pcent_Emp_t_pop_NonInd_F,Pcent_Emp_t_pop_NonInd_P,Pcent_Emp_t_pop_IndSt_nsM,Pcent_Emp_t_pop_IndSt_nsF,Pcent_Emp_t_pop_IndSt_nsP,Pcent_Emp_to_pop_TotM,Pcent_Emp_to_pop_TotF,Pcent_Emp_to_pop_TotP,IndSec_Gov_Ind_M,IndSec_Gov_Ind_F,IndSec_Gov_Ind_P,IndSec_Gov_No_Ind_M,IndSec_Gov_No_Ind_F,IndSec_Gov_No_Ind_P,IndSec_Gov_IndSt_nsM,IndSec_Gov_IndSt_nsF,IndSec_Gov_IndSt_nsP,IndSec_Gov_TotM,IndSec_Gov_TotF,IndSec_Gov_TotP,IndSec_Priv_Ind_M,IndSec_Priv_Ind_F,IndSec_Priv_Ind_P,IndSec_Priv_NonInd_M,IndSec_Priv_NonInd_F,IndSec_Priv_NonInd_P,IndSec_Priv_IndSt_nsM,IndSec_Priv_IndSt_nsF,IndSec_Priv_IndSt_nsP,IndSec_Priv_TotM,IndSec_Priv_TotF,IndSec_Priv_TotP,Self_employed_Ind_M,Self_employed_Ind_F,Self_employed_Ind_P,Self_employed_NonInd_M,Self_employed_NonInd_F,Self_employed_NonInd_P,Self_employed_Ind_status_nsM,Self_employed_Ind_status_nsF,Self_employed_Ind_status_nsP,Self_employed_TotM,Self_employed_TotF,Self_employed_TotP,HnsQ_PgDL_Ind_M,HnsQ_PgDL_Ind_F,HnsQ_PgDL_Ind_P,HnsQ_PgDL_No_Ind_M,HnsQ_PgDL_No_Ind_F,HnsQ_PgDL_No_Ind_P,HnsQ_PgDL_IndSt_nsM,HnsQ_PgDL_IndSt_nsF,HnsQ_PgDL_IndSt_nsP,HnsQ_PgDL_TotM,HnsQ_PgDL_TotF,HnsQ_PgDL_TotP,HnsQ_GD_GCL_Ind_M,HnsQ_GD_GCL_Ind_F,HnsQ_GD_GCL_Ind_P,HnsQ_GD_GCL_No_In_M,HnsQ_GD_GCL_No_In_F,HnsQ_GD_GCL_No_In_P,HnsQ_GD_GCL_In_st_nsM,HnsQ_GD_GCL_In_st_nsF,HnsQ_GD_GCL_In_st_nsP,HnsQ_GD_GCL_TotM,HnsQ_GD_GCL_TotF,HnsQ_GD_GCL_TotP,HnsQ_BDL_Ind_M,HnsQ_BDL_Ind_F,HnsQ_BDL_Ind_P,HnsQ_BDL_No_Ind_M,HnsQ_BDL_No_Ind_F,HnsQ_BDL_No_Ind_P,HnsQ_BDL_IndSt_nsM,HnsQ_BDL_IndSt_nsF,HnsQ_BDL_IndSt_nsP,HnsQ_BDL_TotM,HnsQ_BDL_TotF,HnsQ_BDL_TotP,HnsQ_AD_DL_Ind_M,HnsQ_AD_DL_Ind_F,HnsQ_AD_DL_Ind_P,HnsQ_AD_DL_No_In_M,HnsQ_AD_DL_No_In_F,HnsQ_AD_DL_No_In_P,HnsQ_AD_DL_In_st_nsM,HnsQ_AD_DL_In_st_nsF,HnsQ_AD_DL_In_st_nsP,HnsQ_AD_DL_TotM,HnsQ_AD_DL_TotF,HnsQ_AD_DL_TotP,HnsQ_Cer_III_IV_Ind_M,HnsQ_Cer_III_IV_Ind_F,HnsQ_Cer_III_IV_Ind_P,HnsQ_Cer_III_IV_No_Ind_M,HnsQ_Cer_III_IV_No_Ind_F,HnsQ_Cer_III_IV_No_Ind_P,HnsQ_Cer_III_IV_IndSt_nsM,HnsQ_Cer_III_IV_IndSt_nsF
SAL50001,0,0,0,29,34,60,0,0,0,34,36,65,0,0,0,24,23,48,0,0,0,24,23,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,26,51,0,0,0,24,26,51,0,0,0,4,4,11,0,0,0,4,4,11,0,0,0,0,0,3,0,0,0,3,4,3,0,0,0,0,3.8,2,0,0,0,0,3.8,2,0,0,0,79.3,76.5,77.8,0,0,0,76.7,74.3,75.4,0,0,0,79.3,73.5,76.2,0,0,0,76.7,71.4,73.8,0,0,0,0,6,6,0,0,0,0,6,6,0,0,0,19,22,39,0,0,0,19,22,39,0,0,0,4,6,5,0,0,0,4,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,13,0,0,0,5,8,13,0,0,0,5,3,4,0,0,0,5,3,4,0,0,0,12,3,13,0,0
SAL50002,7,8,15,472,485,960,24,29,53,504,523,1026,0,3,8,315,298,615,4,0,4,322,300,625,4,4,3,9,4,8,0,0,0,9,9,17,6,8,13,320,308,624,4,0,4,329,311,640,0,4,4,145,180,323,0,3,3,148,182,330,0,0,0,3,8,7,21,27,45,27,35,60,33.3,33.3,33.3,1.9,1.6,1.8,0,0,0,2.4,2.3,2.3,85.7,75,80,68.4,62.3,65.3,8,0,3.8,65.6,59.3,62.4,57.1,50,53.3,67.1,61.3,64.1,8,0,3.8,64,57.9,60.9,0,0,0,27,58,86,0,0,0,27,60,86,0,3,4,288,242,528,4,0,4,293,246,535,0,0,0,31,28,56,0,0,0,31,28,56,0,0,0,10,13,25,0,0,0,10,13,25,0,0,0,13,21,33,0,0,0,13,21,33,0,3,3,61,86,148,0,0,0,61,93,155,0,0,0,34,56,88,0,0,0,34,56,88,5,0,7,163,90,255,0,0
SAL50003,0,0,0,39,34,68,4,3,9,40,41,76,0,0,0,23,16,46,0,0,0,23,16,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,16,46,0,0,0,23,16,46,0,0,0,9,12,25,0,0,0,9,14,22,0,0,0,0,0,6,4,0,3,3,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.6,55.9,62.3,0,0,0,63.2,51.4,57.3,0,0,0,68.6,55.9,62.3,0,0,0,63.2,51.4,57.3,0,0,0,0,5,5,0,0,0,0,5,5,0,0,0,23,17,42,0,0,0,23,17,42,0,0,0,5,0,7,0,0,0,5,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,0,0,0,0,7,6,0,0,0,3,4,7,0,0,0,3,4,7,0,0,0,9,0,15,0,0
SAL50004,0,0,0,17,15,33,0,0,0,17,15,33,0,0,0,19,10,28,0,0,0,19,10,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,10,28,0,0,0,19,10,28,0,0,0,4,4,7,0,0,0,4,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.9,78.6,84.4,0,0,0,88.9,78.6,84.4,0,0,0,88.9,78.6,84.4,0,0,0,88.9,78.6,84.4,0,0,0,4,4,9,0,0,0,4,4,9,0,0,0,14,6,21,0,0,0,14,6,21,0,0,0,6,0,9,0,0,0,6,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,9,0,0,0,7,6,9,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,3,6,0,0
SAL50005,11,4,15,10,6,16,3,0,8,23,13,33,0,0,0,10,4,17,0,0,0,10,4,14,4,0,0,0,0,0,0,0,0,4,0,0,4,3,6,10,4,17,0,0,0,13,10,18,3,4,3,0,0,4,0,0,0,4,4,10,4,0,4,0,0,0,3,0,8,6,0,4,100,50,80,0,0,0,0,0,0,27.3,12.5,21.1,42.9,40,41.7,72.7,85.7,77.8,0,0,0,52.4,57.1,54.3,0,20,8.3,72.7,85.7,77.8,0,0,0,38.1,50,42.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,16,0,0,0,10,3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50006,0,7,6,584,593,1177,35,33,74,626,633,1257,0,8,11,319,331,653,3,0,0,322,346,665,0,0,0,15,11,25,0,0,0,15,11,25,0,8,11,333,340,671,3,0,0,335,350,683,0,0,0,237,246,485,0,3,6,240,253,496,0,0,0,14,5,20,28,24,57,45,32,77,0,0,0,4.2,2,3.1,0,0,0,4.2,2,3.1,100,87.5,90,56.5,57.9,57.2,8.1,2.9,5.6,53.8,55.2,54.5,100,87.5,90,54.1,56.7,55.4,8.1,2.9,5.6,51.5,54.1,52.8,0,0,0,42,83,121,0,0,0,42,84,121,0,6,9,273,250,528,3,0,0,274,256,536,0,0,0,22,41,65,0,0,0,22,44,69,0,0,0,41,45,85,0,0,0,37,45,88,0,0,0,23,34,58,0,0,0,22,34,57,0,0,0,106,157,267,0,3,3,108,159,270,0,0,0,55,69,124,0,0,0,55,75,125,0,0,0,108,50,156,0,0
SAL50007,0,0,0,19,12,32,0,0,0,19,12,32,0,0,0,13,9,25,0,0,0,13,9,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,11,25,0,0,0,13,11,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.1,4.2,0,0,0,0,11.1,4.2,0,0,0,93.8,75,85.7,0,0,0,93.8,69.2,82.8,0,0,0,93.8,66.7,82.1,0,0,0,93.8,61.5,79.3,0,0,0,0,4,4,0,0,0,0,4,4,0,0,0,13,10,22,0,0,0,13,10,22,0,0,0,5,0,5,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,5,5,0,0,0,3,0,6,0,0,0,3,0,6,0,0,0,3,3,8,0,0
SAL50008,29,54,77,2988,3092,6084,80,60,135,3095,3205,6301,19,30,47,2052,1819,3866,5,0,3,2065,1855,3922,4,5,14,138,116,258,0,0,0,148,126,267,18,34,58,2191,1935,4127,5,0,3,2218,1979,4191,5,13,17,768,1128,1894,0,3,9,777,1142,1916,0,0,0,37,27,60,70,54,128,109,83,190,27.3,15.8,20,6.4,6.1,6.3,0,0,0,6.6,6.3,6.5,78.6,76,76.9,73.2,62.6,67.9,3.8,1.7,2.9,71.5,61.7,66.6,57.1,64,61.5,68.6,58.8,63.6,3.8,1.7,2.9,66.8,57.8,62.2,0,12,13,213,303,513,0,0,0,218,316,532,10,21,33,1803,1492,3291,5,0,3,1814,1508,3326,0,0,0,194,94,287,0,0,0,192,94,291,0,0,0,75,76,148,0,0,0,75,76,148,0,0,0,17,72,93,0,0,0,17,72,96,0,3,7,282,388,669,0,0,0,284,386,669,0,3,9,251,311,562,0,0,0,251,319,567,9,7,16,774,416,1185,0,0
SAL50009,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,4,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,33.3,50,0,0,0,100,33.3,50,0,0,0,100,33.3,50,0,0,0,100,33.3,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50010,13,6,22,1029,1168,2199,32,27,62,1068,1213,2279,13,5,15,720,740,1455,3,0,3,730,744,1471,0,0,0,39,30,66,0,0,0,40,30,67,11,5,19,757,766,1525,3,0,3,767,773,1543,0,4,3,262,401,659,0,0,6,266,400,668,0,0,0,11,8,13,30,28,57,37,38,74,10,0,6.3,5.2,3.7,4.4,0,0,0,5.2,3.6,4.4,83.3,60,72.7,73.7,65.5,69.3,6.3,0,3.2,71.8,63.8,67.6,75,60,68.2,69.9,63.1,66.3,6.3,0,3.2,68.1,61.5,64.6,0,0,0,81,159,240,0,0,0,87,159,248,6,8,7,633,576,1212,0,0,0,638,576,1218,0,0,0,47,40,82,0,0,0,48,40,84,0,0,0,94,92,190,0,0,0,93,92,186,0,0,0,34,64,100,0,0,0,34,68,102,0,3,6,263,344,609,0,0,0,266,348,618,0,0,3,103,118,224,0,0,0,106,124,232,3,0,5,204,97,304,0,0
