SAL_CODE_2021,Co_LTHC_1ms_LTHC_twoc_In_ns_P,Co_LTHC_1ms_LTHC_twoc_Tot_M,Co_LTHC_1ms_LTHC_twoc_Tot_F,Co_LTHC_1ms_LTHC_twoc_Tot_P,Co_LTHC_1ms_LTHC_3oMc_Ind_M,Co_LTHC_1ms_LTHC_3oMc_Ind_F,Co_LTHC_1ms_LTHC_3oMc_Ind_P,Co_LTHC_1ms_LTHC_3oMc_NoInd_M,Co_LTHC_1ms_LTHC_3oMc_NoInd_F,Co_LTHC_1ms_LTHC_3oMc_NoInd_P,Co_LTHC_1ms_LTHC_3oMc_In_ns_M,Co_LTHC_1ms_LTHC_3oMc_In_ns_F,Co_LTHC_1ms_LTHC_3oMc_In_ns_P,Co_LTHC_1ms_LTHC_3oMc_Tot_M,Co_LTHC_1ms_LTHC_3oMc_Tot_F,Co_LTHC_1ms_LTHC_3oMc_Tot_P,Co_LTHC_1ms_LTHC_Tot_Ind_M,Co_LTHC_1ms_LTHC_Tot_Ind_F,Co_LTHC_1ms_LTHC_Tot_Ind_P,Co_LTHC_1ms_LTHC_Tot_NoInd_M,Co_LTHC_1ms_LTHC_Tot_NoInd_F,Co_LTHC_1ms_LTHC_Tot_NoInd_P,Co_LTHC_1ms_LTHC_Tot_In_ns_M,Co_LTHC_1ms_LTHC_Tot_In_ns_F,Co_LTHC_1ms_LTHC_Tot_In_ns_P,Co_LTHC_1ms_LTHC_Tot_Tot_M,Co_LTHC_1ms_LTHC_Tot_Tot_F,Co_LTHC_1ms_LTHC_Tot_Tot_P,Co_LTHC_Ns_Ind_M,Co_LTHC_Ns_Ind_F,Co_LTHC_Ns_Ind_P,Co_LTHC_Ns_NoInd_M,Co_LTHC_Ns_NoInd_F,Co_LTHC_Ns_NoInd_P,Co_LTHC_Ns_In_ns_M,Co_LTHC_Ns_In_ns_F,Co_LTHC_Ns_In_ns_P,Co_LTHC_Ns_Tot_M,Co_LTHC_Ns_Tot_F,Co_LTHC_Ns_Tot_P,Tot_p_Ind_M,Tot_p_Ind_F,Tot_p_Ind_P,Tot_p_NoInd_M,Tot_p_NoInd_F,Tot_p_NoInd_P,Tot_p_In_Tot_p_M,Tot_p_In_Tot_p_F,Tot_p_In_Tot_p_P,Tot_p_Tot_M,Tot_p_Tot_F,Tot_p_Tot_P
SAL50001,0,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,24,0,0,0,4,12,24,0,0,0,0,5,3,0,0,3,6,9,7,0,0,0,35,44,84,0,0,3,34,48,83
SAL50002,0,29,41,75,0,0,0,14,10,24,0,0,0,13,14,27,6,5,7,159,196,348,0,0,3,162,200,364,0,0,0,19,21,41,26,33,60,49,54,97,8,12,19,610,635,1242,29,33,62,650,674,1321
SAL50003,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,7,28,0,0,0,19,9,26,0,0,0,0,3,3,4,3,10,4,3,8,0,0,0,47,42,87,4,7,6,45,47,92
SAL50004,0,0,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,17,0,0,0,5,8,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,23,41,0,0,0,24,23,41
SAL50005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,10,3,0,5,0,0,0,3,6,11,0,0,0,0,0,4,3,0,0,0,4,3,14,7,21,12,7,25,3,0,8,30,20,51
SAL50006,0,32,60,90,0,0,0,11,19,33,0,0,0,11,19,30,0,8,8,206,236,438,4,8,13,205,249,451,0,0,4,42,38,75,35,25,67,74,65,140,5,14,17,642,662,1302,41,41,83,689,710,1403
SAL50007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,9,0,0,0,6,0,9,0,0,0,0,0,6,0,0,0,0,0,7,0,0,0,21,14,37,0,0,0,21,14,41
SAL50008,0,182,233,417,0,0,0,103,107,210,0,0,0,108,107,214,15,23,37,913,1060,1972,0,0,7,931,1085,2016,6,0,3,143,155,290,93,72,165,236,227,463,52,71,120,3682,3780,7471,99,77,183,3837,3933,7772
SAL50009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,3
SAL50010,0,59,69,128,0,0,0,18,22,40,0,0,0,18,27,40,7,4,10,300,390,691,0,0,5,309,393,700,0,0,0,49,70,118,32,38,69,79,107,185,15,11,28,1289,1432,2723,36,44,79,1342,1488,2830
