SAL_CODE_2021,OEI_IndSt_nsP,OEI_TotM,OEI_TotF,OEI_TotP,T_EI_ns_Ind_M,T_EI_ns_Ind_F,T_EI_ns_Ind_P,T_EI_ns_NonInd_M,T_EI_ns_NonInd_F,T_EI_ns_NonInd_P,T_EI_ns_IndSt_nsM,T_EI_ns_IndSt_nsF,T_EI_ns_IndSt_nsP,T_EI_ns_TotM,T_EI_ns_TotF,T_EI_ns_TotP,Tot_Indig_M,Tot_Indig_F,Tot_Indig_P,Tot_NonInd_M,Tot_NonInd_F,Tot_NonInd_P,Tot_IndigStat_nsM,Tot_IndigStat_nsF,Tot_IndigStat_nsP,Tot_TotM,Tot_TotF,Tot_TotP
SAL50001,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,4,0,0,0,6,15,26,0,0,3,3,21,27
SAL50002,0,0,3,8,0,0,0,6,3,6,25,31,55,33,37,64,5,0,5,166,175,342,25,31,55,191,206,403
SAL50003,0,0,0,0,0,0,0,0,0,0,4,3,10,4,3,10,0,0,0,10,16,28,4,3,10,14,22,35
SAL50004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,8,0,0,0,3,4,8
SAL50005,0,0,0,0,4,0,4,0,0,0,3,0,8,6,0,4,7,4,11,3,0,9,3,0,8,13,10,20
SAL50006,0,0,6,8,0,0,0,19,10,27,37,31,63,53,40,90,0,3,12,116,129,241,37,33,71,155,168,316
SAL50007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,6,0,0,0,4,5,5
SAL50008,0,26,41,63,3,0,3,42,37,75,91,66,158,135,106,237,22,26,54,944,1020,1965,93,69,165,1056,1120,2173
SAL50009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50010,0,6,19,24,0,0,0,12,8,17,32,38,64,40,45,81,4,0,7,372,404,776,30,39,67,401,443,849
SAL50011,0,46,91,131,0,0,0,25,43,72,219,123,342,242,169,412,35,31,62,1368,1596,2973,222,124,347,1627,1755,3385
SAL50012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,4,3
SAL50013,0,4,0,4,0,0,0,0,0,8,7,3,12,8,4,14,6,0,6,76,60,138,7,3,12,86,63,152
SAL50014,0,0,0,0,0,0,0,0,0,0,12,4,16,12,4,16,0,0,0,9,5,13,12,4,14,24,13,31
SAL50015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,5,0,5
SAL50016,0,0,6,8,0,0,0,0,4,8,13,13,26,17,15,35,4,0,3,77,72,145,13,13,26,90,88,177
SAL50017,0,0,0,0,0,0,0,0,0,0,3,0,6,4,0,7,0,0,0,5,3,14,3,0,6,9,9,12
SAL50018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50019,0,0,0,0,0,0,0,4,0,5,7,9,10,10,11,21,0,0,0,32,28,62,7,9,10,38,36,78
SAL50020,0,0,0,0,0,0,0,0,0,0,0,3,7,0,3,7,0,0,0,3,0,10,0,3,7,8,9,14
SAL50021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50022,0,18,21,38,0,0,0,21,19,41,111,92,203,134,116,247,0,4,6,910,966,1878,108,100,204,1024,1067,2087
SAL50023,0,0,0,0,0,0,0,0,0,0,0,4,3,0,4,3,0,0,0,3,0,6,0,4,3,8,0,12
SAL50024,0,15,25,34,0,7,4,7,9,13,60,50,111,67,65,134,6,8,18,619,641,1262,60,50,110,688,701,1385
SAL50025,0,0,0,0,0,0,0,6,3,3,8,8,20,14,14,25,0,3,3,51,66,116,13,12,25,65,77,144
SAL50026,0,60,90,154,14,21,33,132,152,285,491,444,928,633,618,1250,151,152,305,1236,1368,2601,496,447,944,1879,1966,3849
SAL50027,0,0,0,0,0,0,0,0,0,0,5,3,7,5,7,12,0,0,0,4,9,13,5,3,7,6,15,21
SAL50028,0,0,0,0,0,0,0,0,0,0,4,0,4,4,0,4,0,0,0,0,0,0,4,0,4,9,0,5
SAL50029,0,0,0,0,0,0,0,0,0,0,3,0,4,5,0,3,0,0,0,3,3,8,3,0,4,8,4,12
SAL50030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,10,4,0,4,6,4,14
SAL50031,0,14,16,37,0,0,0,52,101,149,109,81,186,153,184,340,5,12,16,291,387,680,107,83,192,409,482,887
SAL50032,0,5,12,21,0,0,0,16,20,36,48,27,75,65,49,115,10,6,16,321,363,686,50,34,79,383,401,781
SAL50033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50034,0,7,6,7,0,0,0,9,16,19,52,31,91,61,45,112,9,3,17,131,159,290,55,31,94,201,198,395
