SAL_CODE_2021,ty_ur_Non_pri_dw_Ind_M,ty_ur_Non_pri_dw_Ind_F,ty_ur_Non_pri_dw_Ind_P,ty_ur_Non_pri_dw_NonInd_M,ty_ur_Non_pri_dw_NonInd_F,ty_ur_Non_pri_dw_NonInd_P,ty_ur_Non_pri_dw_IndSt_nsM,ty_ur_Non_pri_dw_IndSt_nsF,ty_ur_Non_pri_dw_IndSt_nsP,tpe_ur_Non_pvte_dwg_TotM,tpe_ur_Non_pvte_dwg_TotF,tpe_ur_Non_pvte_dwg_TotP
SAL50001,0,0,0,0,0,0,0,0,0,0,0,0
SAL50002,0,0,0,0,0,0,0,0,0,0,0,0
SAL50003,0,0,0,0,0,0,0,0,0,0,0,0
SAL50004,0,0,0,0,0,0,0,0,0,0,0,0
SAL50005,0,0,0,0,0,0,0,0,0,0,0,0
SAL50006,0,0,0,60,14,73,8,0,9,63,21,84
SAL50007,0,0,0,0,0,0,0,0,0,0,0,0
SAL50008,0,0,0,0,0,5,0,0,0,0,0,3
SAL50009,0,0,0,0,0,0,0,0,0,0,0,0
SAL50010,0,0,0,0,0,0,0,0,0,0,0,0
SAL50011,0,0,0,23,38,63,0,0,0,23,37,58
SAL50012,0,0,0,0,0,0,0,0,0,0,0,0
SAL50013,0,0,0,0,0,0,0,0,0,0,0,0
SAL50014,0,0,0,0,0,0,0,0,0,0,0,0
SAL50015,0,0,0,0,0,0,0,0,0,0,0,0
SAL50016,0,0,0,0,0,0,0,0,0,0,0,0
SAL50017,0,0,0,0,0,0,0,0,0,0,0,0
SAL50018,0,0,0,0,0,0,0,0,0,0,0,0
SAL50019,0,0,0,0,0,0,0,0,0,0,0,0
SAL50020,0,0,0,0,0,0,0,0,0,0,0,0
SAL50021,0,0,0,0,0,0,0,0,0,0,0,0
SAL50022,0,0,0,3,0,3,13,5,16,16,5,18
SAL50023,0,0,0,0,0,0,0,0,0,0,0,0
SAL50024,0,0,0,0,0,0,0,0,0,0,0,0
SAL50025,0,0,0,0,0,0,0,0,0,0,0,0
SAL50026,0,3,3,69,105,171,6,4,16,73,119,187
SAL50027,0,0,0,0,0,0,0,0,0,0,0,0
SAL50028,0,0,0,0,0,0,4,0,4,4,0,4
SAL50029,0,0,0,0,0,0,0,0,0,0,0,0
SAL50030,0,0,0,0,0,0,0,0,0,0,0,0
SAL50031,3,0,3,65,108,171,3,4,8,70,112,180
SAL50032,0,0,0,0,0,0,0,0,0,0,0,0
SAL50033,0,0,0,0,0,0,0,0,0,0,0,0
SAL50034,0,0,0,0,0,0,0,0,0,0,0,0
SAL50035,0,0,0,3,114,117,0,4,5,3,117,119
SAL50036,0,4,5,0,3,5,0,0,0,0,3,3
SAL50037,0,0,0,26,71,93,0,0,0,25,72,97
SAL50038,0,0,0,20,16,36,3,0,7,26,15,37
SAL50039,0,0,0,0,6,6,0,0,0,0,6,6
SAL50040,0,0,0,0,0,0,0,0,0,0,0,0
SAL50041,0,0,0,0,0,0,0,0,0,0,0,0
SAL50042,0,0,0,0,0,0,0,0,0,0,0,0
SAL50043,0,0,0,0,0,0,0,0,0,0,0,0
SAL50044,0,0,0,3,0,5,6,0,6,4,0,10
SAL50045,0,0,0,0,0,0,0,0,0,0,0,0
SAL50046,0,0,0,0,0,0,0,0,0,0,0,0
SAL50047,0,0,0,0,0,0,0,0,0,0,0,0
SAL50048,0,0,4,16,9,25,4,0,7,15,11,29
SAL50049,0,0,0,0,0,0,0,0,0,0,0,0
SAL50050,0,0,0,0,0,0,0,0,0,0,0,0
SAL50051,0,0,0,0,0,0,0,0,0,0,0,0
SAL50052,0,0,0,0,0,0,0,0,0,0,0,0
SAL50053,0,0,0,15,88,101,0,0,0,15,88,101
SAL50054,0,0,0,0,0,0,0,0,0,0,0,0
SAL50055,0,0,0,0,0,0,11,5,13,11,5,13
SAL50056,0,0,0,0,3,4,6,0,7,4,6,11
SAL50057,0,0,0,0,0,0,0,0,0,0,0,0
SAL50058,0,0,0,0,0,0,0,0,0,0,0,0
SAL50059,0,0,0,0,0,0,0,0,0,0,0,0
SAL50060,0,0,0,0,0,0,0,0,0,0,0,0
SAL50061,0,0,0,8,0,5,0,0,0,4,4,4
SAL50062,0,0,0,0,0,0,0,0,0,0,0,0
SAL50063,0,0,0,0,0,0,0,0,0,0,0,0
SAL50064,0,0,0,0,0,0,0,0,0,0,0,0
SAL50065,0,0,0,0,0,0,0,0,0,0,0,0
