SAL_CODE_2021,Indigenous_Aboriginal_M,Indigenous_Aboriginal_F,Indigenous_Aboriginal_P,Indigenous_Torres_Strait_Is_M,Indigenous_Torres_Strait_Is_F,Indigenous_Torres_Strait_Is_P,Indig_Bth_Abor_Torr_Strt_Is_M,Indig_Bth_Abor_Torr_Strt_Is_F,Indig_Bth_Abor_Torr_Strt_Is_P,Indigenous_TotM,Indigenous_TotF,Indigenous_TotP,Non_Indig_M,Non_Indig_F,Non_Indig_P,Indigenous_status_nsM,Indigenous_status_nsF,Indigenous_status_nsP,Tot_M,Tot_F,Tot_P
SAL50001,0,0,0,0,0,0,0,0,0,0,0,0,35,44,84,0,0,3,34,48,83
SAL50002,8,12,19,0,0,0,0,0,0,8,12,19,610,635,1242,29,33,62,650,674,1321
SAL50003,0,0,0,0,0,0,0,0,0,0,0,0,47,42,87,4,7,6,45,47,92
SAL50004,0,0,0,0,0,0,0,0,0,0,0,0,24,23,41,0,0,0,24,23,41
SAL50005,14,7,21,0,0,0,0,0,0,14,7,21,12,7,25,3,0,8,30,20,51
SAL50006,5,14,17,0,0,0,0,0,0,5,14,17,642,662,1302,41,41,83,689,710,1403
SAL50007,0,0,0,0,0,0,0,0,0,0,0,0,21,14,37,0,0,0,21,14,41
SAL50008,47,70,114,0,0,0,4,0,5,52,71,120,3682,3780,7471,99,77,183,3837,3933,7772
SAL50009,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,3
SAL50010,15,11,28,0,0,0,0,0,0,15,11,28,1289,1432,2723,36,44,79,1342,1488,2830
SAL50011,74,76,148,4,7,17,0,0,0,81,83,166,4564,5099,9663,237,135,371,4885,5320,10203
SAL50012,0,0,0,0,0,0,0,0,0,0,0,0,11,9,19,0,0,0,11,9,19
SAL50013,3,0,7,0,0,0,0,0,0,3,6,4,292,284,569,10,3,12,301,291,591
SAL50014,3,0,3,0,0,0,0,0,0,3,0,3,54,40,97,13,4,21,68,44,116
SAL50015,0,0,0,0,0,0,0,0,0,0,0,0,7,7,15,0,0,0,7,7,15
SAL50016,6,5,12,0,0,0,0,0,0,6,5,12,267,259,525,17,17,30,283,276,564
SAL50017,0,0,3,0,0,0,0,0,0,0,0,3,35,22,61,4,0,4,39,29,71
SAL50018,0,0,0,0,0,0,0,0,0,0,0,0,3,5,3,0,0,0,3,5,3
SAL50019,0,0,0,0,0,0,0,0,0,0,0,0,151,115,268,9,9,18,156,124,280
SAL50020,0,0,0,0,0,0,0,0,0,0,0,0,22,25,47,0,3,7,24,26,53
SAL50021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50022,12,17,27,0,0,0,0,0,0,12,13,27,3334,3644,6978,118,101,218,3462,3766,7228
SAL50023,0,0,0,0,0,0,0,0,0,0,0,0,32,19,45,0,4,3,33,21,51
SAL50024,20,17,33,0,0,0,0,0,0,20,17,33,2094,2329,4415,63,62,126,2176,2401,4578
SAL50025,0,9,9,0,0,0,0,0,0,0,9,9,254,274,530,21,15,34,276,295,575
SAL50026,385,406,791,5,6,16,11,16,26,404,424,829,5561,5954,11517,552,515,1071,6514,6900,13415
SAL50027,0,0,3,0,0,0,0,0,0,0,0,3,19,17,40,5,3,7,26,23,48
SAL50028,0,0,0,0,0,0,0,0,0,0,0,0,3,3,13,4,0,4,11,3,17
SAL50029,0,0,0,0,0,0,0,0,0,0,0,0,35,23,57,4,4,7,37,25,61
SAL50030,5,0,5,0,0,0,0,0,0,5,0,5,28,35,60,4,0,4,32,35,66
SAL50031,19,28,53,3,0,3,0,0,0,25,28,59,1394,1445,2842,112,91,198,1527,1566,3095
SAL50032,17,14,24,0,0,0,0,0,0,16,14,29,1266,1460,2723,57,42,99,1334,1515,2850
SAL50033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
SAL50034,32,31,60,0,0,0,0,0,0,32,29,63,611,619,1229,62,39,103,705,685,1395
SAL50035,29,23,50,0,0,0,0,0,0,32,23,54,3015,3397,6412,104,71,171,3145,3490,6638
SAL50036,68,79,143,0,0,0,8,6,5,73,83,154,4379,4530,8914,122,101,228,4572,4719,9287
SAL50037,38,40,78,0,0,0,3,3,8,42,43,82,3152,3391,6546,90,66,153,3289,3500,6786
SAL50038,12,5,18,0,0,0,0,0,0,15,5,18,639,691,1336,56,54,109,708,754,1463
SAL50039,239,248,480,5,5,9,0,5,8,240,254,493,7190,7627,14811,391,291,680,7819,8169,15988
SAL50040,160,173,336,5,8,13,13,3,16,176,182,363,6348,6876,13228,243,164,408,6771,7226,13998
SAL50041,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,0,0,3,3,5
SAL50042,0,0,0,0,0,0,0,0,0,0,0,0,4,8,12,0,0,0,4,8,12
SAL50043,0,0,0,0,0,0,0,0,0,0,0,0,16,23,41,10,9,21,33,28,56
SAL50044,0,0,0,0,0,0,0,0,0,0,0,0,9,7,17,6,0,6,9,7,17
SAL50045,5,3,3,0,0,0,0,0,0,5,3,3,12,15,32,0,0,0,16,23,37
SAL50046,0,0,0,0,0,0,0,0,0,0,0,0,12,10,25,0,0,0,12,10,25
SAL50047,0,0,0,0,0,0,0,0,0,0,0,0,3,7,11,0,0,4,5,4,11
SAL50048,3,0,0,0,0,0,0,0,0,3,0,6,92,61,146,19,8,25,108,68,173
