SAL_CODE_2021,Ow_o_Dw_s_S_Hou_HATSIP,Ow_o_Dw_s_SDRTHT_HATSIP,Ow_o_Dw_s_Fl_Ap_HATSIP,Ow_o_Dw_s_Oth_d_Car_HATSIP,Ow_o_Dw_s_Oth_d_Cab_h_HATSIP,Ow_o_Dw_s_Oth_d_IHTSO_HATSIP,Ow_o_Dw_s_Oth_d_HFASO_HATSIP,Ow_o_Dw_s_Oth_d_Tot_HATSIP,Ow_o_Dw_s_Ns_HATSIP,Ow_o_Tot_HATSIP,Ow_wm_Dw_s_S_Hou_HATSIP,Ow_wm_Dw_s_SDRTHT_HATSIP,Ow_wm_Dw_s_Fl_Ap_HATSIP,Ow_wm_Dw_s_Oth_d_Car_HATSIP,Ow_wm_Dw_s_Oth_d_Cab_h_HATSIP,Ow_wm_Dw_s_Oth_d_IHTSO_HATSIP,Ow_wm_Dw_s_Oth_d_HFASO_HATSIP,Ow_wm_Dw_s_Oth_d_Tot_HATSIP,Ow_wm_Dw_s_Ns_HATSIP,Ow_wm_Tot_HATSIP,R_RAg_Dw_s_S_Hou_HATSIP,R_RAg_Dw_s_SDRTHT_HATSIP,R_RAg_Dw_s_Fl_Ap_HATSIP,R_RAg_Dw_s_Oth_d_Car_HATSIP,R_RAg_Dw_s_Oth_d_Cab_h_HATSIP,R_RAg_Dw_s_Oth_d_IHTSO_HATSIP,R_RAg_Dw_s_Oth_d_HFASO_HATSIP,R_RAg_Dw_s_Oth_d_Tot_HATSIP,R_RAg_Dw_s_Ns_HATSIP,R_RAg_Tot_HATSIP,R_STHA_Dw_s_S_Hou_HATSIP,R_STHA_Dw_s_SDRTHT_HATSIP,R_STHA_Dw_s_Fl_Ap_HATSIP,R_STHA_Dw_s_Ot_d_Car_HATSIP,R_STHA_Dw_s_Ot_d_Cab_h_HATSIP,R_STHA_Dw_s_Ot_d_IHTSO_HATSIP,R_STHA_Dw_s_Ot_d_HFASO_HATSIP,R_STHA_Dw_s_Ot_d_Tot_HATSIP,R_STHA_Dw_s_Ns_HATSIP,R_STHA_Tot_HATSIP,R_Pnsh_Dw_s_S_Hou_HATSIP,R_Pnsh_Dw_s_SDRTHT_HATSIP,R_Pnsh_Dw_s_Fl_Ap_HATSIP,R_Pnsh_Dw_s_Ot_d_Car_HATSIP,R_Pnsh_Dw_s_Ot_d_Cab_h_HATSIP,R_Pnsh_Dw_s_Ot_d_IHTSO_HATSIP,R_Pnsh_Dw_s_Ot_d_HFASO_HATSIP,R_Pnsh_Dw_s_Oth_d_Tot_HATSIP,R_Pnsh_Dw_s_Ns_HATSIP,R_Pnsh_Tot_HATSIP,R_CHP_Dw_s_S_Hou_HATSIP,R_CHP_Dw_s_SDRTHT_HATSIP,R_CHP_Dw_s_Fl_Ap_HATSIP,R_CHP_Dw_s_Oth_d_Car_HATSIP,R_CHP_Dw_s_Oth_d_Cab_h_HATSIP,R_CHP_Dw_s_Oth_d_IHTSO_HATSIP,R_CHP_Dw_s_Oth_d_HFASO_HATSIP,R_CHP_Dw_s_Oth_d_Tot_HATSIP,R_CHP_Dw_s_Ns_HATSIP,R_CHP_Tot_HATSIP,R_othLT_Dw_s_S_Hou_HATSIP,R_othLT_Dw_s_SDRTHT_HATSIP,R_othLT_Dw_s_Fl_Ap_HATSIP,R_othLT_Dw_s_O_d_Car_HATSIP,R_othLT_Dw_s_O_d_Cab_h_HATSIP,R_othLT_Dw_s_O_d_IHTSO_HATSIP,R_othLT_Dw_s_O_d_HFASO_HATSIP,R_othLT_Dw_s_O_d_Tot_HATSIP,R_othLT_Dw_s_Ns_HATSIP,R_othLT_Tot_HATSIP,R_LTns_Dw_s_S_Hou_HATSIP,R_LTns_Dw_s_SDRTHT_HATSIP,R_LTns_Dw_s_Fl_Ap_HATSIP,R_LTns_Dw_s_Ot_d_Car_HATSIP,R_LTns_Dw_s_Ot_d_Cab_h_HATSIP,R_LTns_Dw_s_Ot_d_IHTSO_HATSIP,R_LTns_Dw_s_Ot_d_HFASO_HATSIP,R_LTns_Dw_s_Ot_d_Tot_HATSIP,R_LTns_Dw_s_Ns_HATSIP,R_LTns_Tot_HATSIP,R_Tot_Dw_s_S_Hou_HATSIP,R_Tot_Dw_s_SDRTHT_HATSIP,R_Tot_Dw_s_Fl_Ap_HATSIP,R_Tot_Dw_s_Oth_d_Car_HATSIP,R_Tot_Dw_s_Oth_d_Cab_h_HATSIP,R_Tot_Dw_s_Oth_d_IHTSO_HATSIP,R_Tot_Dw_s_Oth_d_HFASO_HATSIP,R_Tot_Dw_s_Oth_d_Tot_HATSIP,R_Tot_Dw_s_Ns_HATSIP,R_Tot_Tot_HATSIP,Oth_TT_Dw_s_S_Hou_HATSIP,Oth_TT_Dw_s_SDRTHT_HATSIP,Oth_TT_Dw_s_Fl_Ap_HATSIP,Oth_TT_Dw_s_Ot_d_Car_HATSIP,Oth_TT_Dw_s_Ot_d_Cab_h_HATSIP,Oth_TT_Dw_s_Ot_d_IHTSO_HATSIP,Oth_TT_Dw_s_Ot_d_HFASO_HATSIP,Oth_TT_Dw_s_Ot_d_Tot_HATSIP,Oth_TT_Dw_s_Ns_HATSIP,Oth_TT_Tot_HATSIP,TT_ns_Dw_s_S_Hou_HATSIP,TT_ns_Dw_s_SDRTHT_HATSIP,TT_ns_Dw_s_Fl_Ap_HATSIP,TT_ns_Dw_s_Oth_d_Car_HATSIP,TT_ns_Dw_s_Oth_d_Cab_h_HATSIP,TT_ns_Dw_s_Oth_d_IHTSO_HATSIP,TT_ns_Dw_s_Oth_d_HFASO_HATSIP,TT_ns_Dw_s_Oth_d_Tot_HATSIP,TT_ns_Dw_s_Ns_HATSIP,TT_ns_Tot_HATSIP,Tot_Dw_s_S_Hou_HATSIP,Tot_Dw_s_SDRTHT_HATSIP,Tot_Dw_s_Fl_Ap_HATSIP,Tot_Dw_s_Oth_d_Car_HATSIP,Tot_Dw_s_Oth_d_Cab_h_HATSIP,Tot_Dw_s_Oth_d_IHTSO_HATSIP,Tot_Dw_s_Oth_d_HFASO_HATSIP,Tot_Dw_s_Oth_d_Tot_HATSIP,Tot_Dw_s_Ns_HATSIP,Tot_Tot_HATSIP,Ow_o_Dw_s_S_Hou_Oth_h,Ow_o_Dw_s_SDRTHT_Oth_h,Ow_o_Dw_s_Fl_Ap_Oth_h,Ow_o_Dw_s_Oth_d_Car_Oth_h,Ow_o_Dw_s_Oth_d_Cab_h_Oth_h,Ow_o_Dw_s_Oth_d_IHTSO_Oth_h,Ow_o_Dw_s_Oth_d_HFASO_Oth_h,Ow_o_Dw_s_Oth_d_Tot_Oth_h,Ow_o_Dw_s_Ns_Oth_h,Ow_o_Tot_Oth_h,Ow_wm_Dw_s_S_Hou_Oth_h,Ow_wm_Dw_s_SDRTHT_Oth_h,Ow_wm_Dw_s_Fl_Ap_Oth_h,Ow_wm_Dw_s_Oth_d_Car_Oth_h,Ow_wm_Dw_s_Oth_d_Cab_h_Oth_h,Ow_wm_Dw_s_Oth_d_IHTSO_Oth_h,Ow_wm_Dw_s_Oth_d_HFASO_Oth_h,Ow_wm_Dw_s_Oth_d_Tot_Oth_h,Ow_wm_Dw_s_Ns_Oth_h,Ow_wm_Tot_Oth_h,R_RAg_Dw_s_S_Hou_Oth_h,R_RAg_Dw_s_SDRTHT_Oth_h,R_RAg_Dw_s_Fl_Ap_Oth_h,R_RAg_Dw_s_Oth_d_Car_Oth_h,R_RAg_Dw_s_Oth_d_Cab_h_Oth_h,R_RAg_Dw_s_Oth_d_IHTSO_Oth_h,R_RAg_Dw_s_Oth_d_HFASO_Oth_h,R_RAg_Dw_s_Oth_d_Tot_Oth_h,R_RAg_Dw_s_Ns_Oth_h,R_RAg_Tot_Oth_h,R_STHA_Dw_s_S_Hou_Oth_h,R_STHA_Dw_s_SDRTHT_Oth_h,R_STHA_Dw_s_Fl_Ap_Oth_h,R_STHA_Dw_s_Ot_d_Car_Oth_h,R_STHA_Dw_s_Ot_d_Cab_h_Oth_h,R_STHA_Dw_s_Ot_d_IHTSO_Oth_h,R_STHA_Dw_s_Ot_d_HFASO_Oth_h,R_STHA_Dw_s_Ot_d_Tot_Oth_h,R_STHA_Dw_s_Ns_Oth_h,R_STHA_Tot_Oth_h,R_Pnsh_Dw_s_S_Hou_Oth_h,R_Pnsh_Dw_s_SDRTHT_Oth_h,R_Pnsh_Dw_s_Fl_Ap_Oth_h,R_Pnsh_Dw_s_Ot_d_Car_Oth_h,R_Pnsh_Dw_s_Ot_d_Cab_h_Oth_h,R_Pnsh_Dw_s_Ot_d_IHTSO_Oth_h,R_Pnsh_Dw_s_Ot_d_HFASO_Oth_h,R_Pnsh_Dw_s_Oth_d_Tot_Oth_h,R_Pnsh_Dw_s_Ns_Oth_h,R_Pnsh_Tot_Oth_h,R_CHP_Dw_s_S_Hou_Oth_h,R_CHP_Dw_s_SDRTHT_Oth_h,R_CHP_Dw_s_Fl_Ap_Oth_h,R_CHP_Dw_s_Oth_d_Car_Oth_h,R_CHP_Dw_s_Oth_d_Cab_h_Oth_h,R_CHP_Dw_s_Oth_d_IHTSO_Oth_h,R_CHP_Dw_s_Oth_d_HFASO_Oth_h,R_CHP_Dw_s_Oth_d_Tot_Oth_h,R_CHP_Dw_s_Ns_Oth_h,R_CHP_Tot_Oth_h,R_othLT_Dw_s_S_Hou_Oth_h,R_othLT_Dw_s_SDRTHT_Oth_h,R_othLT_Dw_s_Fl_Ap_Oth_h,R_othLT_Dw_s_O_d_Car_Oth_h,R_othLT_Dw_s_O_d_Cab_h_Oth_h,R_othLT_Dw_s_O_d_IHTSO_Oth_h,R_othLT_Dw_s_O_d_HFASO_Oth_h,R_othLT_Dw_s_O_d_Tot_Oth_h,R_othLT_Dw_s_Ns_Oth_h,R_othLT_Tot_Oth_h,R_LTns_Dw_s_S_Hou_Oth_h,R_LTns_Dw_s_SDRTHT_Oth_h,R_LTns_Dw_s_Fl_Ap_Oth_h,R_LTns_Dw_s_Ot_d_Car_Oth_h,R_LTns_Dw_s_Ot_d_Cab_h_Oth_h,R_LTns_Dw_s_Ot_d_IHTSO_Oth_h,R_LTns_Dw_s_Ot_d_HFASO_Oth_h,R_LTns_Dw_s_Ot_d_Tot_Oth_h,R_LTns_Dw_s_Ns_Oth_h,R_LTns_Tot_Oth_h
SAL50001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,8,7,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50002,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,6,161,0,0,0,0,0,0,0,0,166,151,0,0,0,0,0,0,0,0,158,58,6,0,0,0,0,0,0,0,69,0,5,0,0,0,0,0,0,0,4,20,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
SAL50003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,13,7,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
SAL50004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50006,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,9,242,15,0,0,0,0,0,0,0,257,128,4,0,0,0,0,0,0,0,131,71,19,3,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,29,3,0,0,0,0,0,0,0,31,0,7,0,0,0,0,0,0,0,7,9,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0
SAL50007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50008,6,0,0,0,0,0,0,0,0,6,33,0,0,0,0,0,0,0,0,32,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,62,0,0,0,0,0,0,0,0,63,789,44,0,0,0,0,0,0,0,832,1231,64,0,0,0,0,0,0,0,1291,159,27,0,0,0,0,0,0,0,181,6,74,0,0,0,0,0,0,0,85,98,16,0,0,0,0,0,0,0,113,0,5,0,0,0,0,0,0,0,6,19,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0
SAL50009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50010,10,0,0,0,0,0,0,0,0,4,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3,0,0,0,0,0,0,0,18,353,79,0,0,0,0,0,0,0,433,358,57,8,0,0,0,0,0,0,423,64,30,8,0,0,0,0,0,0,108,0,9,0,0,0,0,0,0,0,9,38,15,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5
SAL50011,8,0,0,0,0,0,0,0,0,8,43,0,0,0,0,0,0,0,0,43,20,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,26,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,81,251,11,0,0,0,0,0,0,0,262,2127,37,0,0,0,0,0,0,3,2170,729,29,3,0,0,0,0,0,0,755,0,0,0,0,0,0,0,0,0,0,187,6,0,0,0,0,0,0,0,192,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,3
SAL50012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
