SAL_CODE_2021,Neg_Nil_inc_Hh_with_Ind_psns,Neg_Nil_inc_Other_households,Neg_Nil_income_Tot_hhlds,1_149_Hhd_with_Indig_psns,1_149_Other_households,1_149_Tot_hhlds,150_299_Hhd_with_Indig_psns,150_299_Other_households,150_299_Tot_hhlds,300_399_Hhd_with_Indig_psns,300_399_Other_households,300_399_Tot_hhlds,400_499_Hhd_with_Indig_psns,400_499_Other_households,400_499_Tot_hhlds,500_649_Hhd_with_Indig_psns,500_649_Other_households,500_649_Tot_hhlds,650_799_Hhd_with_Indig_psns,650_799_Other_households,650_799_Tot_hhlds,800_999_Hh_with_Indig_psn,800_999_Other_households,800_999_Tot_hhlds,1000_1249_Hh_with_Indig_psn,1000_1249_Other_households,1000_1249_Tot_hhlds,1250_1499_Hh_with_Indig_psn,1250_1499_Other_households,1250_1499_Tot_hhlds,1500_1749_Hh_with_Indig_psn,1500_1749_Other_households,1500_1749_Tot_hhlds,1750_1999_Hh_with_Indig_psn,1750_1999_Other_households,1750_1999_Tot_hhlds,2000_2499_Hh_with_Indig_psn,2000_2499_Other_households,2000_2499_Tot_hhlds,2500_2999_Hh_with_Indig_psn,2500_2999_Other_households,2500_2999_Tot_hhlds,3000_3499_Hh_with_Indig_psn,3000_3499_Other_households,3000_3499_Tot_hhlds,3500_more_Hh_with_Indig_psn,3500_more_stated_Other_hhds,3500_more_stated_Tot_hhlds,Part_inc_st_Hh_with_Indig_psn,Partial_inc_stated_Other_hhds,Partial_inc_stated_Tot_hhlds,All_inc_ns_Hh_with_Ind_psns,All_income_ns_Other_household,All_inc_NS_Tot_hhlds,Tot_Household_with_Indig_psns,Tot_Other_households,Tot_Tot_hhlds
SAL50001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,3,0,0,0,0,0,0,0,3,3,0,0,0,0,4,4,0,0,0,0,0,0,0,29,29
SAL50002,0,3,3,0,5,5,0,3,3,0,9,9,0,28,28,0,14,14,0,29,27,0,20,20,0,38,38,0,32,32,0,33,33,0,24,22,3,51,48,0,36,37,0,30,32,0,58,58,0,36,37,0,7,7,6,439,453
SAL50003,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,5,5,0,0,0,0,4,4,0,3,3,0,0,0,0,0,0,0,5,5,0,0,0,0,4,4,0,0,0,0,0,0,0,4,4,0,33,33
SAL50004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,15,15
SAL50005,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,10
SAL50006,0,5,5,0,10,10,0,12,12,0,21,21,0,41,41,0,38,40,0,31,31,0,50,50,4,42,40,0,49,50,0,24,24,0,29,30,0,54,52,0,28,28,0,20,19,0,71,71,3,45,46,0,9,9,9,573,587
SAL50007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,3,0,3,3,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,15,15
SAL50008,0,37,37,0,11,11,4,38,43,0,49,51,3,149,151,0,91,91,0,150,147,0,137,138,5,188,188,8,195,201,4,193,193,3,151,153,10,340,350,12,227,230,3,160,165,3,285,290,4,164,171,0,30,37,63,2587,2649
SAL50009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
SAL50010,0,13,14,0,9,9,0,17,17,0,21,21,0,61,61,0,35,35,4,51,49,0,60,60,3,63,60,0,49,47,0,35,32,0,47,49,5,96,95,0,80,80,0,81,83,3,292,300,0,50,53,0,13,13,18,1056,1078
