SAL_CODE_2021,NsQ_Cer_III_IV_IndSt_nsP,NsQ_Cer_III_IV_TotM,NsQ_Cer_III_IV_TotF,NsQ_Cer_III_IV_TotP,NsQ_Cer_I_II_Ind_M,NsQ_Cer_I_II_Ind_F,NsQ_Cer_I_II_Ind_P,NsQ_Cer_I_II_No_In_M,NsQ_Cer_I_II_No_In_F,NsQ_Cer_I_II_No_In_P,NsQ_Cer_I_II_Ind_s_nsM,NsQ_Cer_I_II_Ind_s_nsF,NsQ_Cer_I_II_Ind_s_nsP,NsQ_Cer_I_II_TotM,NsQ_Cer_I_II_TotF,NsQ_Cer_I_II_TotP,Mig_Sme_add_1_yr_ago_Indig_M,Mig_Sme_add_1_yr_ago_Indig_F,Mig_Sme_add_1_yr_ago_Indig_P,Mig_Sme_add_1_yr_ago_No_Ind_M,Mig_Sme_add_1_yr_ago_No_Ind_F,Mig_Sme_add_1_yr_ago_No_Ind_P,Mig_sa_ad_1_yr_ag_IndSt_nsM,Mig_sa_ad_1_yr_ag_IndSt_nsF,Mig_sa_ad_1_yr_ag_IndSt_nsP,Mig_Sme_add_1_yr_ago_TotM,Mig_Sme_add_1_yr_ago_TotF,Mig_Sme_add_1_yr_ago_TotP,Mig_Diff_add_1_yr_ago_Indig_M,Mig_Diff_add_1_yr_ago_Indig_F,Mig_Diff_add_1_yr_ago_Indig_P,Mig_Diff_ad_1_yr_ago_No_Ind_M,Mig_Diff_ad_1_yr_ago_No_Ind_F,Mig_Diff_ad_1_yr_ago_No_Ind_P,Mig_Dif_ad_1_yr_ag_In_st_nsM,Mig_Dif_ad_1_yr_ag_In_st_nsF,Mig_Dif_ad_1_yr_ag_In_st_nsP,Mig_Diff_add_1_yr_ago_TotM,Mig_Diff_add_1_yr_ago_TotF,Mig_Diff_add_1_yr_ago_TotP,Mig_Sme_add_5_ago_Indig_M,Mig_Sme_add_5_ago_Indig_F,Mig_Sme_add_5_ago_Indig_P,Mig_Sme_ad_5_ago_No_Ind_M,Mig_Sme_ad_5_ago_No_Ind_F,Mig_Sme_ad_5_ago_No_Ind_P,Mig_sa_ad_5_ag_In_st_nsM,Mig_sa_ad_5_ag_In_st_nsF,Mig_sa_ad_5_ag_In_st_nsP,Mig_Sme_add_5_ago_TotM,Mig_Sme_add_5_ago_TotF,Mig_Sme_add_5_ago_TotP,Mig_Diff_add_5_ago_Ind_M,Mig_Diff_add_5_ago_Ind_F,Mig_Diff_add_5_ago_Ind_P,Mig_Diff_ad_5_ag_No_Ind_M,Mig_Diff_ad_5_ag_No_Ind_F,Mig_Diff_ad_5_ag_No_Ind_P,Mi_Dif_ad_5_ag_In_st_nsM,Mi_Dif_ad_5_ag_In_st_nsF,Mi_Dif_ad_5_ag_In_st_nsP,Mig_Diff_add_5_ago_TotM,Mig_Diff_add_5_ago_TotF,Mig_Diff_add_5_ago_TotP
SAL50001,0,12,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,41,75,0,0,0,33,41,75,0,0,0,0,4,5,0,0,0,0,4,5,0,0,0,20,30,51,0,0,0,20,30,51,0,0,0,10,19,32,0,0,0,10,19,32
SAL50002,0,173,95,264,0,0,0,5,11,17,0,0,0,6,14,23,5,5,15,515,521,1034,5,7,3,521,531,1052,0,0,6,93,100,188,0,0,0,92,99,194,4,3,10,335,325,664,5,7,3,344,342,683,0,3,7,231,263,494,0,0,0,234,263,500
SAL50003,0,9,0,15,0,0,0,0,4,4,0,0,0,0,4,4,0,0,0,38,35,74,0,0,0,38,35,71,0,0,0,8,8,16,0,0,0,8,8,16,0,0,0,31,36,72,0,0,0,31,41,72,0,0,0,11,0,12,0,0,0,11,0,12
SAL50004,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,19,44,0,0,0,24,19,44,0,0,0,3,0,5,0,0,0,3,0,5,0,0,0,18,18,33,0,0,0,18,18,33,0,0,0,3,4,5,0,0,0,3,4,5
SAL50005,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,9,5,16,10,7,22,0,0,0,22,17,37,0,5,7,0,0,0,0,0,0,5,5,7,3,5,8,10,7,22,0,0,0,14,13,24,11,3,15,0,0,0,0,0,0,10,3,13
SAL50006,0,107,57,161,0,0,0,7,12,17,0,0,0,7,12,17,5,9,11,489,541,1027,3,10,17,502,556,1058,0,3,3,135,108,241,0,0,4,138,115,249,0,4,3,322,351,674,6,7,14,330,364,690,0,7,9,282,281,565,3,4,8,290,292,583
SAL50007,0,3,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,11,35,0,0,0,20,11,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,11,31,0,0,0,18,11,31,0,0,0,0,0,0,0,0,0,0,0,0
SAL50008,0,782,424,1200,0,0,5,45,69,113,0,0,0,50,65,119,41,55,98,3333,3421,6757,9,7,18,3382,3486,6867,9,12,22,288,295,580,0,0,0,296,310,602,27,50,70,2552,2555,5106,3,4,13,2576,2608,5183,16,17,31,895,979,1879,0,0,3,910,993,1908
SAL50009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0
SAL50010,0,203,100,307,0,0,0,10,13,21,0,0,0,10,13,21,8,10,23,1135,1227,2364,5,5,8,1153,1241,2392,0,3,10,137,181,315,0,0,0,137,186,326,13,8,20,737,821,1551,4,0,4,748,828,1577,0,3,11,475,528,998,4,0,7,477,529,1012
