SAL_CODE_2021,No_bed_ne_sp_Hw_ATSIP,No_bed_ne_sp_Oth_h,No_bed_ne_sp_Tot,One_m_bn_One_ebn_Hw_ATSIP,One_m_bn_One_ebn_Oth_h,One_m_bn_One_ebn_Tot,One_m_bn_Two_ebn_Hw_ATSIP,One_m_bn_Two_ebn_Oth_h,One_m_bn_Two_ebn_Tot,One_m_bn_Thr_ebn_Hw_ATSIP,One_m_bn_Thr_ebn_Oth_h,One_m_bn_Thr_ebn_Tot,One_m_bn_Fou_m_ebn_Hw_ATSIP,One_m_bn_Fou_m_ebn_Oth_h,One_m_bn_Fou_m_ebn_Tot,One_m_bn_Tot_Hw_ATSIP,One_m_bn_Tot_Oth_h,One_m_bn_Tot_Tot,One_m_bs_One_bs_Hw_ATSIP,One_m_bs_One_bs_Oth_h,One_m_bs_One_bs_Tot,One_m_bs_Two_bs_Hw_ATSIP,One_m_bs_Two_bs_Oth_h,One_m_bs_Two_bs_Tot,One_m_bs_Thr_bs_Hw_ATSIP,One_m_bs_Thr_bs_Oth_h,One_m_bs_Thr_bs_Tot,One_m_bs_Fou_m_bs_Hw_ATSIP,One_m_bs_Fou_m_bs_Oth_h,One_m_bs_Fou_m_bs_Tot,One_m_bs_Tot_Hw_ATSIP,One_m_bs_Tot_Oth_h,One_m_bs_Tot_Tot,Tot_Hw_ATSIP,Tot_Oth_h,Tot_Tot
SAL50001,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,4,4,0,7,7,0,4,4,0,24,24,0,29,29
SAL50002,0,35,37,0,4,4,0,0,0,0,0,0,0,0,0,0,4,4,3,103,107,0,171,177,0,101,101,0,9,13,3,384,398,6,439,453
SAL50003,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,10,10,0,4,4,0,0,0,0,22,22,0,33,33
SAL50004,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,4,4,0,0,0,0,0,0,0,11,11,0,15,15
SAL50005,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,4,10,10
SAL50006,4,61,66,0,7,7,0,0,0,0,0,0,0,0,0,0,7,7,4,163,169,0,225,227,0,76,76,0,17,19,4,481,491,9,573,587
SAL50007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,6,6,0,15,15
SAL50008,12,274,288,0,55,56,0,17,17,0,0,0,0,0,0,0,72,73,14,622,639,21,802,824,6,650,656,0,47,49,41,2121,2168,63,2587,2649
SAL50009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
SAL50010,4,112,115,0,13,14,0,0,0,0,0,0,0,0,0,0,13,14,7,309,313,9,443,448,4,127,133,0,13,13,20,892,907,18,1056,1078
SAL50011,11,268,282,5,24,31,0,0,3,0,0,0,0,0,0,5,24,34,23,1040,1071,23,1401,1428,5,514,518,0,13,13,51,2968,3030,81,3445,3521
SAL50012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9
SAL50013,0,14,17,0,5,5,0,0,0,0,0,0,0,0,0,0,5,5,0,40,43,4,79,86,0,45,45,0,5,5,4,169,179,8,210,213
SAL50014,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,24,24,0,5,5,0,0,0,0,35,35,0,42,46
SAL50015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,6,6,0,5,5
SAL50016,0,15,17,0,3,3,0,0,0,0,0,0,0,0,0,0,3,3,0,42,40,0,54,54,0,38,37,0,0,5,0,134,136,3,156,167
SAL50017,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,11,10,0,0,0,0,0,0,0,11,10,0,26,29
SAL50018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50019,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,27,0,26,26,0,24,24,0,7,7,0,84,84,0,96,96
SAL50020,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,3,3,0,0,0,0,0,0,0,7,7,0,11,11
SAL50021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50022,4,345,348,0,22,23,0,7,7,0,0,0,0,0,0,0,29,30,8,790,796,5,983,987,0,440,440,0,100,95,13,2313,2318,24,2769,2790
SAL50023,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,3,0,5,5,0,0,0,0,8,12,0,21,24
SAL50024,4,181,187,0,3,3,0,5,5,0,3,3,0,0,0,0,11,11,10,459,466,3,612,621,0,281,281,0,46,46,13,1398,1414,19,1651,1668
SAL50025,3,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,52,0,70,68,0,43,45,0,12,12,0,179,177,8,194,202
SAL50026,88,728,816,27,90,122,10,14,26,0,3,5,0,3,3,37,110,156,111,1569,1683,57,2085,2146,10,342,357,0,35,36,178,4031,4222,332,5157,5489
SAL50027,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,3,3,0,0,0,0,6,9,3,14,14
SAL50028,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5
SAL50029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,3,3,0,5,5,0,0,0,0,12,12,0,28,28
SAL50030,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,12,12,0,3,3,0,0,0,0,18,18,0,27,28
SAL50031,8,167,175,5,20,21,0,0,0,0,0,0,0,0,0,5,20,21,7,291,303,10,416,418,0,193,193,0,21,21,17,921,935,25,1138,1162
SAL50032,0,123,123,0,10,10,0,5,5,0,0,0,0,0,0,0,15,15,7,421,428,10,341,348,0,186,186,0,4,4,17,952,966,13,1132,1148
SAL50033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50034,3,56,61,4,10,12,0,3,3,0,0,0,0,0,0,4,13,15,8,200,204,3,180,183,0,51,51,0,4,4,11,435,442,24,522,550
SAL50035,8,203,211,0,14,12,0,0,0,0,0,0,0,0,0,0,14,12,8,708,721,9,840,856,0,397,397,0,108,103,17,2053,2077,29,2356,2386
SAL50036,12,290,298,3,16,17,0,4,4,0,5,5,0,0,0,3,25,26,26,915,937,19,969,992,0,585,589,0,41,41,45,2510,2559,59,2958,3017
SAL50037,4,137,138,0,16,14,0,5,7,0,0,0,0,0,0,0,21,21,14,712,733,7,794,802,8,319,324,0,10,10,29,1835,1869,35,2070,2109
SAL50038,5,67,73,0,6,8,0,0,0,0,0,0,0,0,0,0,6,8,0,167,165,0,266,274,0,93,86,0,11,11,0,537,536,9,641,652
SAL50039,25,312,338,12,43,51,5,11,10,0,0,0,0,0,0,17,54,61,63,1311,1377,57,1998,2052,37,1383,1414,0,65,65,157,4757,4908,212,5388,5598
SAL50040,21,395,417,4,54,53,0,9,9,0,0,0,0,0,0,4,63,62,53,1256,1305,45,1850,1895,23,741,766,3,25,29,124,3872,3995,166,4542,4701
SAL50041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,4,4,0,3,3
SAL50043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,0,0,0,0,0,0,0,5,7,0,12,16
SAL50044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,3,3,0,13,13
SAL50045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,4,8,0,0,0,0,8,12,0,13,15
SAL50046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,6,6,0,0,0,0,0,0,0,9,9,0,8,8
SAL50047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5
SAL50048,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,0,11,11,0,9,9,0,6,6,0,39,39,0,47,45
SAL50049,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5
SAL50050,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,5,7,0,0,0,0,0,0,0,12,14,0,14,14
SAL50051,4,42,43,0,7,7,0,3,3,0,0,0,0,0,0,0,10,10,0,99,95,3,158,158,0,78,78,0,14,13,3,349,344,6,421,426
SAL50052,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,18,0,13,13,0,18,18,0,0,0,0,46,49,0,50,50
SAL50053,28,583,614,3,65,66,0,8,8,0,3,3,0,0,0,3,76,77,29,1401,1435,15,1836,1848,4,399,401,0,57,59,48,3693,3743,81,4518,4594
SAL50054,48,936,989,4,101,107,0,15,19,0,6,4,0,0,0,4,122,130,123,3571,3693,125,4132,4255,56,2458,2509,0,138,143,304,10299,10600,379,12015,12397
SAL50055,60,1037,1092,17,173,183,7,38,37,0,11,15,0,0,0,24,222,235,50,1596,1649,34,1818,1855,5,161,164,0,18,18,89,3593,3686,180,5130,5313
SAL50056,3,35,41,0,9,9,0,0,0,0,0,0,0,0,0,0,9,9,0,76,77,3,75,77,0,31,31,0,10,10,3,192,195,11,248,254
SAL50057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,3,0,5,5,0,0,0,0,11,11,0,11,11
SAL50058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,10,10,0,4,4,0,5,5,0,29,29,0,32,37
SAL50060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50061,29,702,729,13,120,137,7,32,37,0,10,10,0,0,0,20,162,184,37,1508,1549,43,1973,2017,20,1251,1264,0,149,153,100,4881,4983,156,6015,6177
SAL50062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,5,5,0,0,0,0,14,14,0,15,15
SAL50063,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,18,18,0,0,3,0,0,0,0,22,29,0,33,39
SAL50064,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,9,3,0,4,4,0,0,0,0,18,12,0,21,21
SAL50065,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,5,8,0,7,7,0,0,0,0,17,20,0,22,24
SAL50066,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,22,0,41,41,0,39,38,0,5,5,0,106,106,0,124,125
SAL50067,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,3,0,8
SAL50068,0,24,24,0,7,7,0,0,0,0,0,0,0,0,0,0,7,7,0,85,86,7,127,131,0,140,140,0,30,30,7,382,387,4,448,452
SAL50069,24,383,405,9,63,67,0,19,18,0,3,3,0,0,3,9,85,91,27,1170,1194,23,1326,1345,3,472,480,0,16,16,53,2984,3035,83,3671,3754
SAL50070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,0,3,3,0,5,5,0,0,0,0,15,14,0,18,23
SAL50072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,4,4,0,10,10
SAL50073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,3,0,6,6
SAL50074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,3,0,0,0,0,0,0,0,6,6,0,14,14
SAL50075,3,32,34,0,6,6,0,0,0,0,0,0,0,0,0,0,6,6,0,57,57,3,84,83,0,71,73,0,15,15,3,227,228,10,283,294
SAL50076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50077,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,24,0,29,29,0,26,26,0,9,9,0,88,88,0,112,112
SAL50078,22,567,593,10,46,52,0,7,5,0,0,0,0,0,0,10,53,57,41,1413,1453,24,1606,1630,9,442,446,0,47,51,74,3508,3580,107,4304,4406
SAL50079,0,130,128,0,19,17,0,0,0,0,0,0,0,0,0,0,19,17,3,337,341,7,391,392,0,300,304,0,35,32,10,1063,1069,14,1268,1276
SAL50080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50081,21,94,111,5,19,27,0,0,0,0,0,0,0,0,0,5,19,27,42,338,382,33,410,439,19,217,235,0,23,29,94,988,1085,133,1164,1296
SAL50082,16,94,112,0,10,8,0,0,0,0,0,0,0,0,0,0,10,8,17,262,277,11,488,503,4,265,273,0,14,14,32,1029,1067,55,1179,1231
SAL50083,26,822,855,6,91,95,0,9,14,0,0,0,0,0,0,6,100,109,45,2141,2181,20,2024,2048,12,596,609,0,47,47,77,4808,4885,122,5992,6111
SAL50084,20,81,94,5,6,11,0,0,0,0,0,0,0,0,0,5,6,11,27,231,260,10,186,193,5,35,39,0,5,5,42,457,497,62,572,627
SAL50085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,0,10,12,0,9,9,0,0,0,0,33,35,0,48,47
SAL50086,18,298,324,11,30,38,0,0,0,0,0,0,0,0,0,11,30,38,13,650,660,12,729,738,3,206,211,0,22,22,28,1607,1631,62,2037,2096
SAL50087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,6,6,0,6,6,0,3,3,0,22,22,0,22,22
SAL50089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,9,9,0,3,3,0,5,5,0,20,20,0,17,17
SAL50090,18,498,519,4,105,113,3,20,26,0,4,4,0,3,3,7,132,146,24,923,945,27,1060,1083,8,343,353,0,28,31,59,2354,2412,98,3141,3242
SAL50091,7,328,335,6,29,32,0,3,3,0,0,0,0,0,0,6,32,35,8,704,714,12,783,800,6,218,221,0,12,12,26,1717,1747,49,2161,2212
