SAL_CODE_2021,M_Y12_equivalent_Indigenous,M_Y12_equivalent_Non_Indig,M_Y12_equiv_IndigStat_ns,M_Y12_equivalent_Tot,M_Y11_equivalent_Indigenous,M_Y11_equiv_Non_Indig,M_Y11_equiv_IndigStat_ns,M_Y11_equivalent_Tot,M_Y10_equivalent_Indigenous,M_Y10_equiv_Non_Indig,M_Y10_equiv_IndigStat_ns,M_Y10_equivalent_Tot,M_Y9_equivalent_Indigenous,M_Y9_equiv_Non_Indig,M_Y9_equiv_IndigStat_ns,M_Y9_equivalent_Tot,M_Y8_below_Indigenous,M_Y8_below_Non_Indig,M_Y8_below_IndigStat_ns,M_Y8_below_Tot,M_Did_not_go_to_school_Indig,M_Did_not_go_to_sch_Non_Indig,M_Di_no_go_to_sch_IndSt_ns,M_Did_not_go_to_school_Tot,M_Highest_yr_school_ns_Indig,M_Highest_yr_sch_ns_Non_Indig,M_Highe_yr_sch_ns_IndSt_ns,M_Highest_yr_school_ns_Tot,M_Tot_Indigenous,M_Tot_Non_Indigenous,M_Tot_IndigStat_ns,M_Tot_Tot,F_Y12_equivalent_Indigenous,F_Y12_equivalent_Non_Indig,F_Y12_equiv_IndigStat_ns,F_Y12_equivalent_Tot,F_Y11_equivalent_Indigenous,F_Y11_equiv_Non_Indig,F_Y11_equiv_IndigStat_ns,F_Y11_equivalent_Tot,F_Y10_equivalent_Indigenous,F_Y10_equiv_Non_Indig,F_Y10_equiv_IndigStat_ns,F_Y10_equivalent_Tot,F_Y9_equivalent_Indigenous,F_Y9_equiv_Non_Indig,F_Y9_equiv_IndigStat_ns,F_Y9_equivalent_Tot,F_Y8_below_Indigenous,F_Y8_below_Non_Indig,F_Y8_below_IndigStat_ns,F_Y8_below_Tot,F_Did_not_go_to_school_Indig,F_Did_not_go_to_sch_Non_Indig,F_Di_no_go_to_sch_IndSt_ns,F_Did_not_go_to_school_Tot,F_Highest_yr_school_ns_Indig,F_Highest_yr_sch_ns_Non_Indig,F_Highe_yr_sch_ns_IndSt_ns,F_Highest_yr_school_ns_Tot,F_Tot_Indigenous,F_Tot_Non_Indigenous,F_Tot_IndigStat_ns,F_Tot_Tot,P_Y12_equivalent_Indigenous,P_Y12_equivalent_Non_Indig,P_Y12_equiv_IndigStat_ns,P_Y12_equivalent_Tot,P_Y11_equivalent_Indigenous,P_Y11_equiv_Non_Indig,P_Y11_equiv_IndigStat_ns,P_Y11_equivalent_Tot,P_Y10_equivalent_Indigenous,P_Y10_equiv_Non_Indig,P_Y10_equiv_IndigStat_ns,P_Y10_equivalent_Tot,P_Y9_equivalent_Indigenous,P_Y9_equiv_Non_Indig,P_Y9_equiv_IndigStat_ns,P_Y9_equivalent_Tot,P_Y8_below_Indigenous,P_Y8_below_Non_Indig,P_Y8_below_IndigStat_ns,P_Y8_below_Tot,P_Did_not_go_to_school_Indig,P_Did_not_go_to_sch_Non_Indig,P_Di_no_go_to_sch_IndSt_ns,P_Did_not_go_to_school_Tot,P_Highest_yr_school_ns_Indig,P_Highest_yr_sch_ns_Non_Indig,P_Highe_yr_sch_ns_IndSt_ns,P_Highest_yr_school_ns_Tot,P_Tot_Indigenous,P_Tot_Non_Indigenous,P_Tot_IndigStat_ns,P_Tot_Tot
SAL50001,0,18,0,18,0,0,0,0,0,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,29,0,34,0,26,0,26,0,3,0,3,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,33,0,35,0,35,0,4,0,4,0,11,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,65,0,61
SAL50002,4,248,0,253,0,46,0,46,4,122,0,125,0,12,0,9,0,4,0,4,0,0,0,0,0,5,21,25,5,440,24,471,7,288,0,295,0,48,0,52,0,113,0,111,0,9,0,9,0,5,0,5,0,0,0,0,0,4,24,33,8,471,29,508,7,541,3,551,0,97,0,98,6,237,0,242,0,18,0,21,0,14,0,14,0,0,0,0,0,9,47,59,16,915,53,978
SAL50003,0,9,0,9,0,9,0,9,0,8,0,8,0,3,0,3,0,6,0,6,0,0,0,0,0,0,4,3,0,28,4,34,0,21,0,21,0,5,0,5,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,26,3,28,0,31,0,31,0,8,0,8,0,10,0,10,0,0,0,3,0,6,0,6,0,0,0,0,0,0,3,10,0,59,9,63
SAL50004,0,11,0,11,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,17,0,11,0,11,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,15,0,21,0,21,0,5,0,5,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,33
SAL50005,0,6,0,8,4,0,0,4,5,4,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,11,10,3,23,0,3,0,10,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,14,0,13,0,14,4,0,0,4,6,6,0,16,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,15,16,8,37
SAL50006,0,325,3,330,0,76,0,76,0,106,0,114,0,17,0,17,0,19,0,19,0,0,0,0,0,13,36,52,0,568,35,605,3,395,3,401,0,50,0,50,0,98,3,97,0,16,0,15,0,11,4,13,0,0,0,0,0,4,29,35,7,574,36,612,3,723,0,731,0,124,0,124,0,203,5,211,0,32,0,37,0,26,4,27,0,3,0,3,0,20,58,83,6,1139,69,1221
SAL50007,0,7,0,7,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,19,0,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,12,0,21,0,21,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,32
SAL50008,16,1604,3,1624,4,277,0,285,5,612,0,615,4,106,0,112,0,115,0,115,0,74,0,74,0,48,76,124,29,2846,78,2949,22,1703,0,1731,8,235,0,247,8,592,0,600,3,123,0,130,0,142,0,141,0,110,0,110,0,41,52,95,46,2946,60,3046,32,3305,5,3350,10,517,4,534,15,1208,0,1222,7,230,0,235,0,256,0,258,0,182,0,182,6,90,128,220,76,5787,137,5994
SAL50009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
SAL50010,8,722,6,730,0,63,0,63,3,152,0,151,0,15,0,15,0,15,0,18,0,4,0,4,0,7,27,35,13,980,32,1021,4,854,0,856,0,61,0,61,0,142,0,147,0,28,0,32,0,20,0,24,0,5,0,0,0,10,28,33,6,1120,27,1156,15,1573,8,1586,0,124,0,124,5,296,0,298,0,51,0,48,4,40,0,39,0,4,0,9,0,10,59,72,22,2092,62,2176
