IREG_CODE_2021,IS_NS_25_34_PD_GD_GCL_F,IS_NS_25_34_BDL_F,IS_NS_25_34_ADip_DipL_F,IS_NS_25_34_Ct_III_IV_F,IS_NS_25_34_Ct_I_II_F,IS_NS_25_34_CL_nfd_F,IS_NS_25_34_LoE_NS_F,IS_NS_25_34_Tot_F,IS_NS_35_44_PD_GD_GCL_F,IS_NS_35_44_BDL_F,IS_NS_35_44_ADip_DipL_F,IS_NS_35_44_Ct_III_IV_F,IS_NS_35_44_Ct_I_II_F,IS_NS_35_44_CL_nfd_F,IS_NS_35_44_LoE_NS_F,IS_NS_35_44_Tot_F,IS_NS_45_54_PD_GD_GCL_F,IS_NS_45_54_BDL_F,IS_NS_45_54_ADip_DipL_F,IS_NS_45_54_Ct_III_IV_F,IS_NS_45_54_Ct_I_II_F,IS_NS_45_54_CL_nfd_F,IS_NS_45_54_LoE_NS_F,IS_NS_45_54_Tot_F,IS_NS_55_64_PD_GD_GCL_F,IS_NS_55_64_BDL_F,IS_NS_55_64_ADip_DipL_F,IS_NS_55_64_Ct_III_IV_F,IS_NS_55_64_Ct_I_II_F,IS_NS_55_64_CL_nfd_F,IS_NS_55_64_LoE_NS_F,IS_NS_55_64_Tot_F,IS_NS_65ov_PtgdDe_GdDp_GdCt_F,IS_NS_65ov_BDL_F,IS_NS_65ov_ADip_DipL_F,IS_NS_65ov_Ct_III_IV_F,IS_NS_65ov_Ct_I_II_F,IS_NS_65ov_CL_nfd_F,IS_NS_65ov_LoE_NS_F,IS_NS_65ov_Tot_F,IS_NS_Tot_PD_GD_GCL_F,IS_NS_Tot_BDL_F,IS_NS_Tot_ADip_DipL_F,IS_NS_Tot_Ct_III_IV_F,IS_NS_Tot_Ct_I_II_F,IS_NS_tot_CL_nfd_F,IS_NS_Tot_LoE_NS_F,IS_NS_Tot_Tot_F,Tot_15_19_PD_GD_GCL_F,Tot_15_19_BDL_F,Tot_15_19_ADip_DipL_F,Tot_15_19_Ct_III_IV_F,Tot_15_19_Ct_I_II_F,Tot_15_19_CL_nfd_F,Tot_15_19_LoE_NS_F,Tot_15_19_Tot_F,Tot_20_24_PD_GD_GCL_F,Tot_20_24_BDL_F,Tot_20_24_ADip_DipL_F,Tot_20_24_Ct_III_IV_F,Tot_20_24_Ct_I_II_F,Tot_20_24_CL_nfd_F,Tot_20_24_LoE_NS_F,Tot_20_24_Tot_F,Tot_25_34_PD_GD_GCL_F,Tot_25_34_BDL_F,Tot_25_34_ADip_DipL_F,Tot_25_34_Ct_III_IV_F,Tot_25_34_Ct_I_II_F,Tot_25_34_CL_nfd_F,Tot_25_34_LoE_NS_F,Tot_25_34_Tot_F,Tot_35_44_PD_GD_GCL_F,Tot_35_44_BDL_F,Tot_35_44_ADip_DipL_F,Tot_35_44_Ct_III_IV_F,Tot_35_44_Ct_I_II_F,Tot_35_44_CL_nfd_F,Tot_35_44_LoE_NS_F,Tot_35_44_Tot_F,Tot_45_54_PD_GD_GCL_F,Tot_45_54_BDL_F,Tot_45_54_ADip_DipL_F,Tot_45_54_Ct_III_IV_F,Tot_45_54_Ct_I_II_F,Tot_45_54_CL_nfd_F,Tot_45_54_LoE_NS_F,Tot_45_54_Tot_F,Tot_55_64_PD_GD_GCL_F,Tot_55_64_BDL_F,Tot_55_64_ADip_DipL_F,Tot_55_64_Ct_III_IV_F,Tot_55_64_Ct_I_II_F,Tot_55_64_CL_nfd_F,Tot_55_64_LoE_NS_F,Tot_55_64_Tot_F,Tot_65ov_PtgdDe_GdDp_GdCt_F,Tot_65ov_BDL_F,Tot_65ov_ADip_DipL_F,Tot_65ov_Ct_III_IV_F,Tot_65ov_Ct_I_II_F,Tot_65ov_CL_nfd_F,Tot_65ov_LoE_NS_F,Tot_65ov_Tot_F,Tot_Tot_PD_GD_GCL_F,Tot_Tot_BDL_F,Tot_Tot_ADip_DipL_F,Tot_Tot_Ct_III_IV_F,Tot_Tot_Ct_I_II_F,Tot_tot_CL_nfd_F,Tot_Tot_LoE_NS_F,Tot_Tot_Tot_F,Ind_15_19_PD_GD_GCL_P,Ind_15_19_BDL_P,Ind_15_19_ADip_DipL_P,Ind_15_19_Ct_III_IV_P,Ind_15_19_Ct_I_II_P,Ind_15_19_CL_nfd_P,Ind_15_19_LoE_NS_P,Ind_15_19_Tot_P,Ind_20_24_PD_GD_GCL_P,Ind_20_24_BDL_P,Ind_20_24_ADip_DipL_P,Ind_20_24_Ct_III_IV_P,Ind_20_24_Ct_I_II_P,Ind_20_24_CL_nfd_P,Ind_20_24_LoE_NS_P,Ind_20_24_Tot_P,Ind_25_34_PD_GD_GCL_P,Ind_25_34_BDL_P,Ind_25_34_ADip_DipL_P,Ind_25_34_Ct_III_IV_P,Ind_25_34_Ct_I_II_P,Ind_25_34_CL_nfd_P,Ind_25_34_LoE_NS_P,Ind_25_34_Tot_P,Ind_35_44_PD_GD_GCL_P,Ind_35_44_BDL_P,Ind_35_44_ADip_DipL_P,Ind_35_44_Ct_III_IV_P,Ind_35_44_Ct_I_II_P,Ind_35_44_CL_nfd_P,Ind_35_44_LoE_NS_P,Ind_35_44_Tot_P,Ind_45_54_PD_GD_GCL_P,Ind_45_54_BDL_P,Ind_45_54_ADip_DipL_P,Ind_45_54_Ct_III_IV_P,Ind_45_54_Ct_I_II_P,Ind_45_54_CL_nfd_P,Ind_45_54_LoE_NS_P,Ind_45_54_Tot_P,Ind_55_64_PD_GD_GCL_P,Ind_55_64_BDL_P,Ind_55_64_ADip_DipL_P,Ind_55_64_Ct_III_IV_P,Ind_55_64_Ct_I_II_P,Ind_55_64_CL_nfd_P,Ind_55_64_LoE_NS_P,Ind_55_64_Tot_P,Ind_65ov_PtgdDe_GdDp_GdCt_P,Ind_65ov_BDL_P,Ind_65ov_ADip_DipL_P,Ind_65ov_Ct_III_IV_P,Ind_65ov_Ct_I_II_P,Ind_65ov_CL_nfd_P,Ind_65ov_LoE_NS_P,Ind_65ov_Tot_P,Ind_Tot_PD_GD_GCL_P,Ind_Tot_BDL_P,Ind_Tot_ADip_DipL_P,Ind_Tot_Ct_III_IV_P,Ind_Tot_Ct_I_II_P,Ind_tot_CL_nfd_P,Ind_Tot_LoE_NS_P,Ind_Tot_Tot_P,NonI_15_19_PD_GD_GCL_P,NonI_15_19_BDL_P,NonI_15_19_ADip_DipL_P,NonI_15_19_Ct_III_IV_P,NonI_15_19_Ct_I_II_P,NonI_15_19_CL_nfd_P,NonI_15_19_LoE_NS_P,NonI_15_19_Tot_P,NonI_20_24_PD_GD_GCL_P,NonI_20_24_BDL_P,NonI_20_24_ADip_DipL_P,NonI_20_24_Ct_III_IV_P,NonI_20_24_Ct_I_II_P,NonI_20_24_CL_nfd_P,NonI_20_24_LoE_NS_P,NonI_20_24_Tot_P,NonI_25_34_PD_GD_GCL_P,NonI_25_34_BDL_P,NonI_25_34_ADip_DipL_P,NonI_25_34_Ct_III_IV_P,NonI_25_34_Ct_I_II_P,NonI_25_34_CL_nfd_P,NonI_25_34_LoE_NS_P,NonI_25_34_Tot_P
IREG501,0,0,0,0,0,0,213,209,0,0,0,0,0,0,151,150,0,0,0,0,0,0,153,153,0,0,0,0,0,0,99,104,0,0,0,0,0,0,80,82,4,0,0,3,0,0,800,811,0,0,0,24,25,0,87,137,5,56,27,72,22,3,75,265,159,420,150,186,45,20,296,1275,185,324,176,178,44,22,226,1146,98,219,133,132,14,28,206,828,79,128,117,78,10,27,164,606,44,64,56,36,0,11,122,336,568,1204,650,709,157,113,1177,4594,0,0,0,7,18,0,52,76,0,0,3,52,15,10,41,120,15,33,21,155,34,16,83,357,18,26,47,124,23,14,74,327,14,22,24,76,9,6,53,206,13,22,29,44,9,7,52,175,10,10,10,25,0,6,31,86,68,124,138,479,112,58,389,1355,0,0,3,26,24,5,20,77,7,72,40,109,28,3,18,288,212,587,197,346,23,18,77,1471
IREG502,0,0,0,0,0,0,378,383,0,3,3,0,0,0,427,442,0,0,0,4,0,0,368,378,0,0,0,6,0,0,353,354,0,0,0,0,0,0,504,508,6,13,10,16,0,0,2375,2411,0,0,15,98,92,10,212,428,22,148,102,289,131,24,229,946,215,636,332,680,140,45,467,2521,254,679,401,681,100,71,539,2721,219,612,463,700,89,101,512,2697,168,373,431,546,68,107,524,2216,124,317,410,334,55,107,1085,2430,993,2759,2152,3332,682,465,3574,13958,0,0,0,18,30,0,60,118,0,4,7,68,31,3,35,153,3,12,29,152,42,10,74,313,4,28,33,128,13,5,54,264,3,28,37,116,17,14,68,289,8,23,37,85,15,11,59,244,3,11,26,25,3,4,79,147,28,106,178,593,155,53,428,1536,0,0,16,181,126,17,48,394,29,191,116,623,199,28,61,1242,276,894,456,1799,178,68,155,3842
IREG503,0,0,0,0,0,0,408,412,0,0,0,5,0,0,387,398,0,0,0,0,0,0,322,324,0,0,4,3,0,0,291,302,0,0,0,3,0,0,278,287,0,3,6,17,5,0,2007,2036,0,0,3,98,82,6,195,388,22,157,55,287,116,21,228,888,222,723,301,712,109,60,534,2649,241,598,349,606,80,72,486,2436,160,389,350,492,60,92,469,2016,119,254,301,334,35,78,461,1586,63,187,205,142,23,53,615,1290,826,2306,1569,2667,512,381,2988,11247,0,0,0,20,13,0,62,97,0,3,3,43,18,6,43,126,4,17,7,133,19,13,60,250,3,8,22,103,15,11,50,203,6,22,21,72,5,9,58,190,6,12,9,44,5,3,43,122,0,10,12,17,4,3,59,105,20,70,74,434,79,42,368,1102,0,0,3,160,120,11,70,364,39,233,81,668,200,33,76,1327,372,1118,453,2070,170,84,184,4456
IREG504,0,0,0,0,0,0,137,134,0,5,0,0,0,0,96,105,0,0,0,0,0,0,101,102,0,0,0,0,0,0,78,82,0,0,0,0,0,0,65,64,0,5,0,0,0,3,541,556,0,0,0,14,5,6,60,92,5,35,7,40,15,3,71,172,75,183,47,103,25,15,196,639,48,111,53,92,23,16,160,500,41,105,48,86,9,16,131,437,28,74,73,50,9,10,110,353,11,19,26,16,3,5,104,185,206,524,257,402,91,62,830,2373,0,0,0,13,9,3,76,103,0,0,4,34,12,3,52,107,0,8,4,105,35,18,86,255,0,5,13,103,28,16,98,258,8,11,20,76,10,10,58,195,6,15,13,34,8,7,36,117,0,4,11,18,0,12,41,79,17,41,62,376,98,67,443,1107,0,0,0,22,6,0,4,28,6,54,15,47,8,0,10,139,102,260,79,178,11,4,38,679
IREG505,11,35,12,40,6,0,6280,6391,13,69,28,36,10,4,5024,5181,19,40,44,49,3,12,4013,4183,28,40,34,41,7,12,3269,3427,23,85,74,61,10,33,5620,5894,91,283,201,254,46,60,28244,29175,23,45,482,4033,2395,417,2590,9981,1457,12128,5028,10333,2511,808,3867,36133,19655,47275,15899,22402,2399,1735,10278,119642,22639,45371,18564,19563,2069,2792,9236,120235,15525,30100,18103,17126,1819,4029,7983,94687,10223,18378,15511,12782,1570,3906,7785,70159,7350,17401,15019,8382,1490,4835,21073,75559,76875,170700,88606,94620,14259,18521,62813,526395,0,0,12,267,165,22,202,666,14,138,116,751,246,35,143,1442,134,462,421,1710,255,86,260,3317,162,331,324,1024,91,74,210,2226,168,277,351,678,68,55,216,1815,97,196,221,421,34,56,220,1244,62,136,116,195,11,30,216,763,643,1533,1570,5043,867,367,1451,11472,33,73,811,7361,4618,670,1701,15268,2434,20686,8665,21135,4874,1352,3015,62154,32513,79125,27589,56459,4193,2950,7715,210554
IREG506,0,3,0,0,0,0,801,808,0,0,0,5,0,0,643,654,0,0,0,3,0,0,454,464,0,0,0,9,0,0,316,326,0,0,0,0,0,0,104,104,0,3,6,18,0,0,2722,2761,0,0,3,61,70,8,200,343,22,157,68,256,94,21,288,908,323,1058,496,905,151,66,946,3957,308,875,504,804,114,76,782,3465,174,413,383,455,72,80,581,2162,91,188,224,237,34,51,423,1245,26,65,53,59,6,21,209,442,946,2758,1728,2778,542,324,3427,12513,0,0,0,24,35,6,61,121,0,3,4,109,44,6,28,196,3,28,42,352,61,17,70,563,11,18,51,291,35,9,63,483,15,27,42,155,16,13,60,331,10,26,27,74,16,10,43,208,0,9,13,23,3,8,40,98,36,109,179,1024,217,57,369,2000,0,0,5,108,100,11,48,277,25,208,79,572,131,34,72,1128,502,1532,715,2861,179,97,229,6112
IREG507,0,9,7,12,6,3,1355,1390,0,10,16,17,3,4,1443,1500,6,17,13,22,3,0,1613,1678,8,16,13,29,0,3,1585,1659,0,19,23,22,8,12,2566,2648,16,79,71,111,15,25,9749,10076,3,5,82,1114,624,116,969,2906,117,797,505,2316,730,153,809,5418,1188,4314,2303,5427,783,376,1972,16364,1778,5517,3203,5531,650,613,2266,19556,1740,4634,3604,5222,586,896,2515,19193,1568,3510,4002,4400,538,999,2903,17916,1374,3809,4383,2938,510,1209,7755,21975,7764,22582,18075,26957,4413,4359,19185,103333,0,0,3,90,87,19,107,308,3,11,24,247,87,15,54,442,13,44,66,482,82,21,93,810,23,58,82,373,32,24,84,684,19,77,101,293,34,21,100,643,24,62,92,229,24,25,117,586,21,43,50,107,6,17,135,373,105,300,426,1824,354,139,695,3847,7,3,111,1873,1198,148,603,3947,141,1138,728,4816,1282,225,458,8786,1636,6169,3352,13147,1191,551,1249,27297
IREG508,0,0,0,0,0,0,101,101,0,0,0,0,0,0,71,71,0,0,0,0,0,0,58,66,0,0,0,0,0,0,54,54,0,0,0,0,0,0,43,43,0,0,0,0,0,0,403,410,0,0,0,9,6,0,58,70,0,37,3,17,22,0,59,139,25,95,20,59,16,4,133,354,35,36,24,50,20,17,97,274,22,26,19,41,10,12,85,223,16,35,25,28,9,16,65,195,9,19,25,8,0,4,72,131,109,257,118,209,79,53,573,1394,0,0,0,6,5,3,52,65,0,0,6,20,14,4,27,73,0,8,5,70,19,4,51,164,4,0,16,75,25,19,44,185,6,6,5,59,16,11,45,147,8,8,5,22,8,6,28,81,0,7,8,9,0,0,25,49,15,26,38,269,84,55,272,759,0,0,0,4,0,0,5,11,0,42,6,24,13,0,4,88,35,129,28,81,3,0,10,296
IREG594,0,0,0,0,0,0,100,99,0,0,0,0,0,0,64,64,0,0,0,0,0,0,62,62,0,0,0,0,0,0,69,68,0,0,0,0,0,0,50,50,0,0,0,3,0,0,405,410,0,0,0,3,6,0,60,76,0,40,8,25,16,0,107,196,54,140,48,65,12,0,269,590,27,80,44,69,3,4,284,509,16,27,27,48,4,4,230,363,21,36,45,47,4,19,165,340,17,13,20,25,0,8,132,214,138,340,190,286,49,42,1248,2290,0,0,0,0,0,0,40,45,0,0,3,6,4,0,60,78,0,3,0,11,5,0,192,213,0,4,0,16,5,0,297,319,0,0,4,13,0,0,254,277,0,0,6,4,0,0,128,142,0,0,0,4,0,0,73,76,0,9,11,54,15,5,1055,1146,0,0,0,13,7,0,37,52,0,56,18,61,20,3,83,227,75,218,78,180,15,11,228,801
IREG597,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,3,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,19,0,0,0,0,0,0,0,3,0,0,0,4,0,0,5,8,0,4,4,3,0,0,3,12,0,0,0,0,0,0,5,6,0,0,4,0,0,0,8,7,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,9,7,3,3,0,24,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,7,0,0,0,0,0,0,0,4,0,4,0,8,0,0,3,14,0,14,7,28,0,6,6,47
