IREG_CODE_2021,No_bed_ne_sp_Hw_ATSIP,No_bed_ne_sp_Oth_h,No_bed_ne_sp_Tot,One_m_bn_One_ebn_Hw_ATSIP,One_m_bn_One_ebn_Oth_h,One_m_bn_One_ebn_Tot,One_m_bn_Two_ebn_Hw_ATSIP,One_m_bn_Two_ebn_Oth_h,One_m_bn_Two_ebn_Tot,One_m_bn_Thr_ebn_Hw_ATSIP,One_m_bn_Thr_ebn_Oth_h,One_m_bn_Thr_ebn_Tot,One_m_bn_Fou_m_ebn_Hw_ATSIP,One_m_bn_Fou_m_ebn_Oth_h,One_m_bn_Fou_m_ebn_Tot,One_m_bn_Tot_Hw_ATSIP,One_m_bn_Tot_Oth_h,One_m_bn_Tot_Tot,One_m_bs_One_bs_Hw_ATSIP,One_m_bs_One_bs_Oth_h,One_m_bs_One_bs_Tot,One_m_bs_Two_bs_Hw_ATSIP,One_m_bs_Two_bs_Oth_h,One_m_bs_Two_bs_Tot,One_m_bs_Thr_bs_Hw_ATSIP,One_m_bs_Thr_bs_Oth_h,One_m_bs_Thr_bs_Tot,One_m_bs_Fou_m_bs_Hw_ATSIP,One_m_bs_Fou_m_bs_Oth_h,One_m_bs_Fou_m_bs_Tot,One_m_bs_Tot_Hw_ATSIP,One_m_bs_Tot_Oth_h,One_m_bs_Tot_Tot,Tot_Hw_ATSIP,Tot_Oth_h,Tot_Tot
IREG501,486,683,1167,141,100,245,49,14,67,19,13,29,9,3,12,218,130,353,432,1055,1490,233,1001,1230,59,416,469,3,52,57,727,2524,3246,1582,3590,5175
IREG502,483,2101,2585,153,232,384,55,30,85,18,3,29,14,8,23,240,273,521,654,5030,5684,544,6999,7545,161,3353,3509,20,429,453,1379,15811,17191,2294,19305,21602
IREG503,364,2172,2539,145,231,374,50,36,83,22,10,29,21,0,21,238,277,507,451,4534,4986,385,5763,6146,119,2342,2461,11,329,341,966,12968,13934,1719,16421,18145
IREG504,375,339,719,192,48,240,102,7,116,49,0,53,36,0,36,379,55,445,335,442,773,169,427,596,42,151,194,3,24,31,549,1044,1594,1424,1611,3030
IREG505,3677,94333,98008,875,10788,11662,223,1753,1968,58,364,427,28,104,137,1184,13009,14194,5283,215968,221251,4064,242113,246181,1378,109635,111009,163,12302,12462,10888,580018,590903,17009,719872,736882
IREG506,595,2131,2728,152,231,388,63,31,95,29,12,36,31,3,32,275,277,551,783,4205,4984,602,4096,4699,133,1254,1394,16,143,157,1534,9698,11234,2610,12885,15497
IREG507,1275,14967,16246,320,1694,2018,83,319,401,18,68,86,12,20,28,433,2101,2533,1824,40826,42648,1548,56595,58134,562,30072,30634,64,3268,3331,3998,130761,134747,6238,156328,162567
IREG508,239,134,378,140,16,157,57,0,65,33,0,34,15,0,15,245,16,271,268,247,516,204,203,406,50,94,144,11,15,22,533,559,1088,1074,762,1836
IREG594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IREG597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,3,3,0,3,3
