IREG_CODE_2021,R_Tot_Dw_s_S_Hou_Oth_h,R_Tot_Dw_s_SDRTHT_Oth_h,R_Tot_Dw_s_Fl_Ap_Oth_h,R_Tot_Dw_s_Oth_d_Car_Oth_h,R_Tot_Dw_s_Oth_d_Cab_h_Oth_h,R_Tot_Dw_s_Oth_d_IHTSO_Oth_h,R_Tot_Dw_s_Oth_d_HFASO_Oth_h,R_Tot_Dw_s_Oth_d_Tot_Oth_h,R_Tot_Dw_s_Ns_Oth_h,R_Tot_Tot_Oth_h,Oth_TT_Dw_s_S_Hou_Oth_h,Oth_TT_Dw_s_SDRTHT_Oth_h,Oth_TT_Dw_s_Fl_Ap_Oth_h,Oth_TT_Dw_s_Ot_d_Car_Oth_h,Oth_TT_Dw_s_Ot_d_Cab_h_Oth_h,Oth_TT_Dw_s_Ot_d_IHTSO_Oth_h,Oth_TT_Dw_s_Ot_d_HFASO_Oth_h,Oth_TT_Dw_s_Ot_d_Tot_Oth_h,Oth_TT_Dw_s_Ns_Oth_h,Oth_TT_Tot_Oth_h,TT_ns_Dw_s_S_Hou_Oth_h,TT_ns_Dw_s_SDRTHT_Oth_h,TT_ns_Dw_s_Fl_Ap_Oth_h,TT_ns_Dw_s_Oth_d_Car_Oth_h,TT_ns_Dw_s_Oth_d_Cab_h_Oth_h,TT_ns_Dw_s_Oth_d_IHTSO_Oth_h,TT_ns_Dw_s_Oth_d_HFASO_Oth_h,TT_ns_Dw_s_Oth_d_Tot_Oth_h,TT_ns_Dw_s_Ns_Oth_h,TT_ns_Tot_Oth_h,Tot_Dw_s_S_Hou_Oth_h,Tot_Dw_s_SDRTHT_Oth_h,Tot_Dw_s_Fl_Ap_Oth_h,Tot_Dw_s_Oth_d_Car_Oth_h,Tot_Dw_s_Oth_d_Cab_h_Oth_h,Tot_Dw_s_Oth_d_IHTSO_Oth_h,Tot_Dw_s_Oth_d_HFASO_Oth_h,Tot_Dw_s_Oth_d_Tot_Oth_h,Tot_Dw_s_Ns_Oth_h,Tot_Tot_Oth_h,Ow_o_Dw_s_S_Hou_Tot_h,Ow_o_Dw_s_SDRTHT_Tot_h,Ow_o_Dw_s_Fl_Ap_Tot_h,Ow_o_Dw_s_Oth_d_Car_Tot_h,Ow_o_Dw_s_Oth_d_Cab_h_Tot_h,Ow_o_Dw_s_Oth_d_IHTSO_Tot_h,Ow_o_Dw_s_Oth_d_HFASO_Tot_h,Ow_o_Dw_s_Oth_d_Tot_Tot_h,Ow_o_Dw_s_Ns_Tot_h,Ow_o_Tot_Tot_h,Ow_wm_Dw_s_S_Hou_Tot_h,Ow_wm_Dw_s_SDRTHT_Tot_h,Ow_wm_Dw_s_Fl_Ap_Tot_h,Ow_wm_Dw_s_Oth_d_Car_Tot_h,Ow_wm_Dw_s_Oth_d_Cab_h_Tot_h,Ow_wm_Dw_s_Oth_d_IHTSO_Tot_h,Ow_wm_Dw_s_Oth_d_HFASO_Tot_h,Ow_wm_Dw_s_Oth_d_Tot_Tot_h,Ow_wm_Dw_s_Ns_Tot_h,Ow_wm_Tot_Tot_h,R_RAg_Dw_s_S_Hou_Tot_h,R_RAg_Dw_s_SDRTHT_Tot_h,R_RAg_Dw_s_Fl_Ap_Tot_h,R_RAg_Dw_s_Oth_d_Car_Tot_h,R_RAg_Dw_s_Oth_d_Cab_h_Tot_h,R_RAg_Dw_s_Oth_d_IHTSO_Tot_h,R_RAg_Dw_s_Oth_d_HFASO_Tot_h,R_RAg_Dw_s_Oth_d_Tot_Tot_h,R_RAg_Dw_s_Ns_Tot_h,R_RAg_Tot_Tot_h,R_STHA_Dw_s_S_Hou_Tot_h,R_STHA_Dw_s_SDRTHT_Tot_h,R_STHA_Dw_s_Fl_Ap_Tot_h,R_STHA_Dw_s_Ot_d_Car_Tot_h,R_STHA_Dw_s_Ot_d_Cab_h_Tot_h,R_STHA_Dw_s_Ot_d_IHTSO_Tot_h,R_STHA_Dw_s_Ot_d_HFASO_Tot_h,R_STHA_Dw_s_Ot_d_Tot_Tot_h,R_STHA_Dw_s_Ns_Tot_h,R_STHA_Tot_Tot_h,R_Pnsh_Dw_s_S_Hou_Tot_h,R_Pnsh_Dw_s_SDRTHT_Tot_h,R_Pnsh_Dw_s_Fl_Ap_Tot_h,R_Pnsh_Dw_s_Ot_d_Car_Tot_h,R_Pnsh_Dw_s_Ot_d_Cab_h_Tot_h,R_Pnsh_Dw_s_Ot_d_IHTSO_Tot_h,R_Pnsh_Dw_s_Ot_d_HFASO_Tot_h,R_Pnsh_Dw_s_Oth_d_Tot_Tot_h,R_Pnsh_Dw_s_Ns_Tot_h,R_Pnsh_Tot_Tot_h,R_CHP_Dw_s_S_Hou_Tot_h,R_CHP_Dw_s_SDRTHT_Tot_h,R_CHP_Dw_s_Fl_Ap_Tot_h,R_CHP_Dw_s_Oth_d_Car_Tot_h,R_CHP_Dw_s_Oth_d_Cab_h_Tot_h,R_CHP_Dw_s_Oth_d_IHTSO_Tot_h,R_CHP_Dw_s_Oth_d_HFASO_Tot_h,R_CHP_Dw_s_Oth_d_Tot_Tot_h,R_CHP_Dw_s_Ns_Tot_h,R_CHP_Tot_Tot_h,R_othLT_Dw_s_S_Hou_Tot_h,R_othLT_Dw_s_SDRTHT_Tot_h,R_othLT_Dw_s_Fl_Ap_Tot_h,R_othLT_Dw_s_O_d_Car_Tot_h,R_othLT_Dw_s_O_d_Cab_h_Tot_h,R_othLT_Dw_s_O_d_IHTSO_Tot_h,R_othLT_Dw_s_O_d_HFASO_Tot_h,R_othLT_Dw_s_O_d_Tot_Tot_h,R_othLT_Dw_s_Ns_Tot_h,R_othLT_Tot_Tot_h,R_LTns_Dw_s_S_Hou_Tot_h,R_LTns_Dw_s_SDRTHT_Tot_h,R_LTns_Dw_s_Fl_Ap_Tot_h,R_LTns_Dw_s_Ot_d_Car_Tot_h,R_LTns_Dw_s_Ot_d_Cab_h_Tot_h,R_LTns_Dw_s_Ot_d_IHTSO_Tot_h,R_LTns_Dw_s_Ot_d_HFASO_Tot_h,R_LTns_Dw_s_Ot_d_Tot_Tot_h,R_LTns_Dw_s_Ns_Tot_h,R_LTns_Tot_Tot_h,R_Tot_Dw_s_S_Hou_Tot_h,R_Tot_Dw_s_SDRTHT_Tot_h,R_Tot_Dw_s_Fl_Ap_Tot_h,R_Tot_Dw_s_Oth_d_Car_Tot_h,R_Tot_Dw_s_Oth_d_Cab_h_Tot_h,R_Tot_Dw_s_Oth_d_IHTSO_Tot_h,R_Tot_Dw_s_Oth_d_HFASO_Tot_h,R_Tot_Dw_s_Oth_d_Tot_Tot_h,R_Tot_Dw_s_Ns_Tot_h,R_Tot_Tot_Tot_h,Oth_TT_Dw_s_S_Hou_Tot_h,Oth_TT_Dw_s_SDRTHT_Tot_h,Oth_TT_Dw_s_Fl_Ap_Tot_h,Oth_TT_Dw_s_Ot_d_Car_Tot_h,Oth_TT_Dw_s_Ot_d_Cab_h_Tot_h,Oth_TT_Dw_s_Ot_d_IHTSO_Tot_h,Oth_TT_Dw_s_Ot_d_HFASO_Tot_h,Oth_TT_Dw_s_Ot_d_Tot_Tot_h,Oth_TT_Dw_s_Ns_Tot_h,Oth_TT_Tot_Tot_h,TT_ns_Dw_s_S_Hou_Tot_h,TT_ns_Dw_s_SDRTHT_Tot_h,TT_ns_Dw_s_Fl_Ap_Tot_h,TT_ns_Dw_s_Oth_d_Car_Tot_h,TT_ns_Dw_s_Oth_d_Cab_h_Tot_h,TT_ns_Dw_s_Oth_d_IHTSO_Tot_h,TT_ns_Dw_s_Oth_d_HFASO_Tot_h,TT_ns_Dw_s_Oth_d_Tot_Tot_h,TT_ns_Dw_s_Ns_Tot_h,TT_ns_Tot_Tot_h,Tot_Dw_s_S_Hou_Tot_h,Tot_Dw_s_SDRTHT_Tot_h,Tot_Dw_s_Fl_Ap_Tot_h,Tot_Dw_s_Oth_d_Car_Tot_h,Tot_Dw_s_Oth_d_Cab_h_Tot_h,Tot_Dw_s_Oth_d_IHTSO_Tot_h,Tot_Dw_s_Oth_d_HFASO_Tot_h,Tot_Dw_s_Oth_d_Tot_Tot_h,Tot_Dw_s_Ns_Tot_h,Tot_Tot_Tot_h
IREG501,1101,337,82,48,0,5,0,56,33,1612,99,10,0,10,0,0,0,14,12,133,51,15,4,5,0,0,0,7,8,83,2722,458,102,195,0,15,19,232,78,3590,569,42,8,125,0,11,7,136,23,774,1233,70,14,17,0,4,3,24,3,1351,513,207,58,8,0,0,4,10,5,795,702,217,6,5,0,0,0,3,6,936,272,43,20,4,0,0,0,13,13,361,158,30,0,0,0,0,0,0,8,200,275,47,4,31,0,4,0,36,17,377,12,3,0,0,0,0,0,0,0,23,1939,546,98,50,4,8,3,63,49,2691,129,11,0,17,0,0,0,14,10,176,124,28,3,5,0,8,0,14,11,183,3992,701,124,209,4,24,18,256,101,5175
IREG502,3668,983,217,59,17,11,16,103,40,5013,519,106,8,20,4,4,8,33,36,705,239,46,23,29,7,0,0,32,26,367,16547,1757,298,374,69,38,38,522,188,19305,6671,413,28,254,40,18,10,325,76,7515,6240,219,24,28,5,9,8,46,24,6555,1782,519,115,0,0,0,4,7,7,2431,619,291,69,3,0,0,0,3,7,991,1582,227,20,6,0,9,4,27,19,1877,152,80,32,3,0,0,0,3,0,267,485,87,12,50,18,0,5,68,18,670,32,14,4,0,0,0,0,5,0,45,4649,1219,257,72,15,11,11,111,50,6292,566,120,7,24,4,4,8,31,35,768,326,67,30,29,7,7,0,32,27,479,18454,2030,351,400,72,41,38,555,211,21602
IREG503,3574,1378,188,42,68,0,8,117,36,5297,564,53,11,4,8,0,7,20,38,683,256,59,15,5,0,0,0,12,4,357,13784,1957,259,133,116,7,31,290,138,16421,3997,209,36,84,39,7,3,134,44,4419,5863,283,11,6,5,0,7,15,8,6181,1793,799,104,0,5,0,0,3,7,2704,700,313,25,0,0,0,0,0,6,1047,1240,174,21,4,3,0,4,16,11,1463,143,80,39,0,0,0,0,3,10,267,540,129,15,35,62,0,3,102,18,802,33,20,3,0,0,0,0,3,0,63,4453,1512,200,46,73,3,13,133,49,6348,610,53,9,4,8,0,7,20,44,733,343,80,14,9,0,0,0,10,14,461,15265,2132,280,145,121,12,35,307,162,18145
IREG504,476,127,67,46,4,0,14,64,30,767,119,28,0,18,0,3,3,26,9,185,29,0,3,47,5,7,5,54,16,105,997,186,84,194,8,13,48,264,83,1611,232,10,9,90,0,7,11,116,11,374,260,25,7,8,0,0,9,16,14,315,108,42,37,0,0,0,0,0,5,201,617,107,37,0,0,0,0,0,8,766,164,27,7,10,0,0,11,14,8,221,353,21,10,0,0,0,0,5,5,394,219,38,16,47,0,0,3,50,12,343,12,4,0,0,0,0,0,0,0,16,1478,238,110,55,4,6,19,74,38,1933,155,28,0,21,0,4,3,30,15,232,79,12,9,45,5,0,5,59,19,173,2198,310,127,214,8,19,49,289,99,3030
IREG505,104491,47304,35981,182,154,8,173,521,265,188566,5617,4180,2078,16,23,3,32,73,32,11975,5698,1638,795,38,30,4,6,79,124,8334,556349,103206,57515,700,891,71,397,2062,747,719872,174949,22933,8138,453,669,42,133,1297,159,207479,272738,27588,10663,27,18,9,60,116,168,311277,66302,27336,25990,4,0,0,88,93,135,119856,6763,8303,2762,0,0,0,0,5,22,17854,32221,10053,6131,28,15,4,65,113,77,48592,1029,1835,930,0,0,0,0,4,11,3813,3758,1171,764,165,145,4,20,334,35,6065,555,345,176,4,4,0,0,5,0,1082,110633,49041,36753,193,165,15,179,550,282,197256,5733,4211,2083,16,23,3,28,74,32,12133,5964,1728,831,40,30,11,6,83,134,8741,570009,105500,58474,727,911,76,409,2124,773,736882
IREG506,5959,1129,709,61,23,3,14,94,47,7942,768,91,61,24,3,0,7,33,26,972,163,29,11,16,4,0,0,19,13,237,10031,1534,820,274,51,21,31,377,122,12885,959,90,23,156,13,10,10,188,37,1297,2535,223,23,37,5,4,13,58,4,2842,1678,527,397,9,0,0,5,17,8,2620,1066,266,73,0,0,0,0,0,3,1410,411,90,27,7,5,0,6,22,9,561,320,37,39,0,0,0,0,0,0,394,4034,554,239,47,13,5,8,71,33,4921,21,12,3,0,0,0,0,0,0,34,7534,1470,785,65,26,3,14,105,56,9941,848,110,62,24,3,6,7,43,31,1091,221,53,12,16,4,0,0,21,17,321,12090,1946,904,297,50,26,41,407,146,15497
IREG507,27182,6167,1195,198,160,33,49,439,141,35139,3543,1521,75,27,33,9,14,88,50,5277,2011,404,43,52,76,7,0,133,56,2650,139787,12219,2049,852,684,132,131,1791,477,156328,54894,2737,470,552,404,52,41,1046,142,59291,55068,1452,265,44,21,32,20,111,94,56986,13703,2560,683,9,13,9,16,46,25,17022,2659,1806,122,0,0,0,3,5,16,4608,10511,1028,184,23,23,7,9,62,31,11821,661,777,200,3,3,0,9,11,15,1667,1915,296,41,174,124,15,14,329,61,2635,190,78,17,0,4,0,0,3,0,293,29639,6542,1247,212,165,33,57,457,154,38039,3629,1530,74,29,33,9,14,92,50,5380,2198,431,48,52,71,8,0,137,57,2880,145433,12690,2103,883,692,133,136,1841,493,162567
IREG508,319,70,4,4,0,0,0,3,11,404,87,11,0,5,0,0,8,10,8,112,13,0,0,18,0,0,0,21,3,35,588,86,4,50,0,0,10,61,28,762,135,5,0,25,0,3,3,26,10,175,121,0,0,4,0,0,0,4,0,134,60,31,0,0,0,0,0,0,0,93,563,32,0,0,0,0,0,0,4,597,64,0,0,0,0,0,0,0,6,70,344,6,0,0,0,0,5,3,4,355,157,32,4,0,0,0,0,0,9,202,10,0,0,0,0,0,0,0,0,13,1190,110,4,4,0,0,9,12,17,1328,103,9,0,5,0,5,6,15,8,133,41,5,0,13,0,0,0,17,4,69,1588,134,4,54,0,4,16,77,43,1836
IREG594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IREG597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
