IREG_CODE_2021,Ofh_Cfnc_Np_UR_One_HATSIP,Ofh_Cfnc_Np_UR_Two_HATSIP,Ofh_Cfnc_Np_UR_Three_HATSIP,Ofh_Cfnc_Np_UR_Four_HATSIP,Ofh_Cfnc_Np_UR_Five_HATSIP,Ofh_Cfnc_Np_UR_Six_m_HATSIP,Ofh_Cfnc_Tot_HATSIP,Ofh_Cfc_Np_UR_One_HATSIP,Ofh_Cfc_Np_UR_Two_HATSIP,Ofh_Cfc_Np_UR_Three_HATSIP,Ofh_Cfc_Np_UR_Four_HATSIP,Ofh_Cfc_Np_UR_Five_HATSIP,Ofh_Cfc_Np_UR_Six_m_HATSIP,Ofh_Cfc_Tot_HATSIP,Ofh_Opf_Np_UR_One_HATSIP,Ofh_Opf_Np_UR_Two_HATSIP,Ofh_Opf_Np_UR_Three_HATSIP,Ofh_Opf_Np_UR_Four_HATSIP,Ofh_Opf_Np_UR_Five_HATSIP,Ofh_Opf_Np_UR_Six_m_HATSIP,Ofh_Opf_Tot_HATSIP,Ofh_Oth_f_Np_UR_One_HATSIP,Ofh_Oth_f_Np_UR_Two_HATSIP,Ofh_Oth_f_Np_UR_Three_HATSIP,Ofh_Oth_f_Np_UR_Four_HATSIP,Ofh_Oth_f_Np_UR_Five_HATSIP,Ofh_Oth_f_Np_UR_Six_m_HATSIP,Ofh_Oth_f_Tot_HATSIP,Ofh_Tot_Np_UR_One_HATSIP,Ofh_Tot_Np_UR_Two_HATSIP,Ofh_Tot_Np_UR_Three_HATSIP,Ofh_Tot_Np_UR_Four_HATSIP,Ofh_Tot_Np_UR_Five_HATSIP,Ofh_Tot_Np_UR_Six_m_HATSIP,Ofh_Tot_Tot_HATSIP,Mul_fh_Np_UR_One_HATSIP,Mul_fh_Np_UR_Two_HATSIP,Mul_fh_Np_UR_Three_HATSIP,Mul_fh_Np_UR_Four_HATSIP,Mul_fh_Np_UR_Five_HATSIP,Mul_fh_Np_UR_Six_m_HATSIP,Mul_fh_Tot_HATSIP,Tot_fh_Np_UR_One_HATSIP,Tot_fh_Np_UR_Two_HATSIP,Tot_fh_Np_UR_Three_HATSIP,Tot_fh_Np_UR_Four_HATSIP,Tot_fh_Np_UR_Five_HATSIP,Tot_fh_Np_UR_Six_m_HATSIP,Tot_fh_Tot_HATSIP,Lone_ph_Np_UR_One_HATSIP,Lone_ph_Np_UR_Two_HATSIP,Lone_ph_Np_UR_Three_HATSIP,Lone_ph_Np_UR_Four_HATSIP,Lone_ph_Np_UR_Five_HATSIP,Lone_ph_Np_UR_Six_m_HATSIP,Lone_ph_Tot_HATSIP,Group_h_Np_UR_One_HATSIP,Group_h_Np_UR_Two_HATSIP,Group_h_Np_UR_Three_HATSIP,Group_h_Np_UR_Four_HATSIP,Group_h_Np_UR_Five_HATSIP,Group_h_Np_UR_Six_m_HATSIP,Group_h_Tot_HATSIP,Tot_Np_UR_One_HATSIP,Tot_Np_UR_Two_HATSIP,Tot_Np_UR_Three_HATSIP,Tot_Np_UR_Four_HATSIP,Tot_Np_UR_Five_HATSIP,Tot_Np_UR_Six_m_HATSIP,Tot_Tot_HATSIP,Ofh_Cfnc_Np_UR_One_Oth_h,Ofh_Cfnc_Np_UR_Two_Oth_h,Ofh_Cfnc_Np_UR_Three_Oth_h,Ofh_Cfnc_Np_UR_Four_Oth_h,Ofh_Cfnc_Np_UR_Five_Oth_h,Ofh_Cfnc_Np_UR_Six_m_Oth_h,Ofh_Cfnc_Tot_Oth_h,Ofh_Cfc_Np_UR_One_Oth_h,Ofh_Cfc_Np_UR_Two_Oth_h,Ofh_Cfc_Np_UR_Three_Oth_h,Ofh_Cfc_Np_UR_Four_Oth_h,Ofh_Cfc_Np_UR_Five_Oth_h,Ofh_Cfc_Np_UR_Six_m_Oth_h,Ofh_Cfc_Tot_Oth_h,Ofh_Opf_Np_UR_One_Oth_h,Ofh_Opf_Np_UR_Two_Oth_h,Ofh_Opf_Np_UR_Three_Oth_h,Ofh_Opf_Np_UR_Four_Oth_h,Ofh_Opf_Np_UR_Five_Oth_h,Ofh_Opf_Np_UR_Six_m_Oth_h,Ofh_Opf_Tot_Oth_h,Ofh_Oth_f_Np_UR_One_Oth_h,Ofh_Oth_f_Np_UR_Two_Oth_h,Ofh_Oth_f_Np_UR_Three_Oth_h,Ofh_Oth_f_Np_UR_Four_Oth_h,Ofh_Oth_f_Np_UR_Five_Oth_h,Ofh_Oth_f_Np_UR_Six_m_Oth_h,Ofh_Oth_f_Tot_Oth_h,Ofh_Tot_Np_UR_One_Oth_h,Ofh_Tot_Np_UR_Two_Oth_h,Ofh_Tot_Np_UR_Three_Oth_h,Ofh_Tot_Np_UR_Four_Oth_h,Ofh_Tot_Np_UR_Five_Oth_h,Ofh_Tot_Np_UR_Six_m_Oth_h,Ofh_Tot_Tot_Oth_h,Mul_fh_Np_UR_One_Oth_h,Mul_fh_Np_UR_Two_Oth_h,Mul_fh_Np_UR_Three_Oth_h,Mul_fh_Np_UR_Four_Oth_h,Mul_fh_Np_UR_Five_Oth_h,Mul_fh_Np_UR_Six_m_Oth_h,Mul_fh_Tot_Oth_h,Tot_fh_Np_UR_One_Oth_h,Tot_fh_Np_UR_Two_Oth_h,Tot_fh_Np_UR_Three_Oth_h,Tot_fh_Np_UR_Four_Oth_h,Tot_fh_Np_UR_Five_Oth_h,Tot_fh_Np_UR_Six_m_Oth_h,Tot_fh_Tot_Oth_h,Lone_ph_Np_UR_One_Oth_h,Lone_ph_Np_UR_Two_Oth_h,Lone_ph_Np_UR_Three_Oth_h,Lone_ph_Np_UR_Four_Oth_h,Lone_ph_Np_UR_Five_Oth_h,Lone_ph_Np_UR_Six_m_Oth_h,Lone_ph_Tot_Oth_h,Group_h_Np_UR_One_Oth_h,Group_h_Np_UR_Two_Oth_h,Group_h_Np_UR_Three_Oth_h,Group_h_Np_UR_Four_Oth_h,Group_h_Np_UR_Five_Oth_h,Group_h_Np_UR_Six_m_Oth_h,Group_h_Tot_Oth_h,Tot_Np_UR_One_Oth_h,Tot_Np_UR_Two_Oth_h,Tot_Np_UR_Three_Oth_h,Tot_Np_UR_Four_Oth_h,Tot_Np_UR_Five_Oth_h,Tot_Np_UR_Six_m_Oth_h,Tot_Tot_Oth_h
IREG501,..,162,23,10,0,0,195,..,..,116,152,124,75,470,..,137,127,93,33,31,424,..,28,17,0,0,0,47,..,332,273,256,161,106,1134,..,..,..,16,16,59,94,..,332,273,274,179,165,1227,316,..,..,..,..,..,316,..,25,9,4,0,0,35,316,363,281,278,180,165,1582,..,954,56,14,6,0,1029,..,..,325,508,193,62,1087,..,120,87,45,13,0,263,..,12,3,3,0,0,19,..,1086,471,569,210,63,2401,..,..,..,9,7,18,34,..,1086,471,581,216,79,2432,943,..,..,..,..,..,943,..,136,54,13,4,6,212,943,1222,524,595,226,86,3590
IREG502,..,343,34,7,0,0,394,..,..,154,191,123,103,567,..,166,186,143,63,53,604,..,48,20,3,0,0,71,..,559,384,346,189,159,1630,..,..,..,17,20,77,122,..,559,384,362,209,236,1748,478,..,..,..,..,..,478,..,58,8,0,0,0,66,478,608,393,362,207,234,2294,..,5882,239,24,0,0,6137,..,..,1643,1985,864,279,4770,..,880,537,185,48,28,1679,..,136,20,0,0,0,157,..,6902,2431,2195,913,308,12746,..,..,..,71,55,78,205,..,6902,2431,2259,972,389,12944,5863,..,..,..,..,..,5863,..,429,58,12,5,0,501,5863,7325,2489,2273,970,389,19305
IREG503,..,265,32,12,3,0,307,..,..,129,154,118,95,493,..,106,123,64,50,42,387,..,30,14,0,0,0,45,..,399,298,227,170,136,1230,..,..,..,15,30,75,123,..,399,298,243,201,215,1357,307,..,..,..,..,..,307,..,46,7,5,0,3,54,307,447,301,245,201,220,1719,..,4291,179,25,3,0,4494,..,..,1599,1950,875,334,4763,..,697,426,179,51,25,1380,..,139,20,7,0,0,167,..,5124,2227,2161,935,365,10803,..,..,..,52,34,73,155,..,5124,2227,2206,971,438,10957,4941,..,..,..,..,..,4941,..,417,77,13,8,4,521,4941,5540,2303,2220,976,439,16421
IREG504,..,126,11,6,5,0,152,..,..,94,108,79,95,378,..,90,120,81,44,43,375,..,37,16,3,4,0,68,..,256,250,194,127,144,969,..,..,..,20,24,150,193,..,256,250,210,156,291,1158,240,..,..,..,..,..,240,..,20,4,0,0,0,27,240,276,250,214,156,290,1424,..,444,23,0,4,0,473,..,..,148,142,68,15,376,..,39,35,5,4,5,86,..,15,0,0,0,0,14,..,495,203,155,76,22,956,..,..,..,5,3,10,19,..,495,203,159,78,25,970,561,..,..,..,..,..,561,..,57,11,7,4,0,79,561,547,221,166,85,31,1611
IREG505,..,2331,309,52,12,4,2710,..,..,1429,1821,1098,782,5134,..,1247,1398,941,441,323,4356,..,269,95,23,10,0,400,..,3848,3245,2841,1562,1104,12597,..,..,..,172,164,404,743,..,3848,3245,3010,1729,1503,13338,2691,..,..,..,..,..,2691,..,638,209,76,37,21,982,2691,4490,3451,3089,1766,1523,17009,..,177126,7941,1425,318,133,186940,..,..,79719,105023,39105,13075,236926,..,34238,24382,8658,2527,1047,70845,..,6524,1385,303,63,31,8307,..,217878,113427,115419,42010,14284,503022,..,..,..,2922,3206,5215,11341,..,217878,113427,118340,45223,19497,514365,180001,..,..,..,..,..,180001,..,17921,5102,1712,529,250,25506,180001,235802,118525,120047,45745,19748,719872
IREG506,..,383,47,16,5,0,449,..,..,210,309,200,167,889,..,141,164,100,58,20,487,..,41,14,4,0,0,68,..,572,435,428,264,194,1889,..,..,..,22,19,111,153,..,572,435,447,286,303,2045,492,..,..,..,..,..,492,..,56,13,8,0,0,71,492,625,441,455,287,308,2610,..,3186,129,32,8,6,3358,..,..,1516,2144,995,297,4948,..,315,254,114,19,7,715,..,65,17,0,0,0,80,..,3563,1919,2289,1025,309,9100,..,..,..,22,29,52,108,..,3563,1919,2311,1053,356,9207,3220,..,..,..,..,..,3220,..,330,89,21,11,9,459,3220,3890,2004,2334,1067,370,12885
IREG507,..,1023,120,14,0,0,1162,..,..,506,665,407,316,1899,..,459,535,301,188,128,1609,..,73,30,0,0,0,101,..,1552,1193,991,598,443,4779,..,..,..,64,60,145,270,..,1552,1193,1047,656,592,5047,948,..,..,..,..,..,948,..,195,31,14,5,5,251,948,1753,1224,1068,660,593,6238,..,49207,1461,197,34,12,50916,..,..,13534,16927,7413,2556,40431,..,6994,4780,1944,562,229,14515,..,975,152,18,3,5,1143,..,57180,19926,19089,8015,2807,107007,..,..,..,559,537,807,1898,..,57180,19926,19643,8549,3610,108903,43646,..,..,..,..,..,43646,..,3085,493,137,34,33,3780,43646,60264,20413,19783,8580,3644,156328
IREG508,..,125,19,6,0,0,147,..,..,73,78,74,71,294,..,68,58,46,25,28,216,..,38,10,7,0,0,58,..,229,154,131,103,97,713,..,..,..,18,30,100,148,..,229,154,147,132,196,862,196,..,..,..,..,..,196,..,13,0,0,0,0,15,196,238,155,149,132,196,1074,..,218,7,0,0,0,227,..,..,44,52,17,6,116,..,17,7,0,0,0,26,..,3,0,0,0,0,6,..,232,65,51,21,6,373,..,..,..,0,0,3,9,..,232,65,58,21,6,379,355,..,..,..,..,..,355,..,30,4,0,0,0,31,355,264,66,58,21,6,762
IREG594,..,0,0,0,0,0,0,..,..,0,0,0,0,0,..,0,0,0,0,0,0,..,0,0,0,0,0,0,..,0,0,0,0,0,0,..,..,..,0,0,0,0,..,0,0,0,0,0,0,0,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,..,..,0,0,0,0,0,..,0,0,0,0,0,0,..,0,0,0,0,0,0,..,0,0,0,0,0,0,..,..,..,0,0,0,0,..,0,0,0,0,0,0,0,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0
IREG597,..,0,0,0,0,0,0,..,..,0,0,0,0,0,..,0,0,0,0,0,0,..,0,0,0,0,0,0,..,0,0,0,0,0,0,..,..,..,0,0,0,0,..,0,0,0,0,0,0,0,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,..,..,0,0,0,0,0,..,0,0,0,0,0,0,..,0,0,0,0,0,0,..,0,0,0,0,0,0,..,..,..,0,0,0,0,..,0,0,0,0,0,0,0,..,..,..,..,..,0,..,0,0,0,0,0,0,0,3,0,0,0,0,3
