IREG_CODE_2021,Ty_LTHC_Arth_Ind_M,Ty_LTHC_Arth_Ind_F,Ty_LTHC_Arth_Ind_P,Ty_LTHC_Arth_NoInd_M,Ty_LTHC_Arth_NoInd_F,Ty_LTHC_Arth_NoInd_P,Ty_LTHC_Arth_In_ns_M,Ty_LTHC_Arth_In_ns_F,Ty_LTHC_Arth_In_ns_P,Ty_LTHC_Arth_Tot_M,Ty_LTHC_Arth_Tot_F,Ty_LTHC_Arth_Tot_P,Ty_LTHC_Asth_Ind_M,Ty_LTHC_Asth_Ind_F,Ty_LTHC_Asth_Ind_P,Ty_LTHC_Asth_NoInd_M,Ty_LTHC_Asth_NoInd_F,Ty_LTHC_Asth_NoInd_P,Ty_LTHC_Asth_In_ns_M,Ty_LTHC_Asth_In_ns_F,Ty_LTHC_Asth_In_ns_P,Ty_LTHC_Asth_Tot_M,Ty_LTHC_Asth_Tot_F,Ty_LTHC_Asth_Tot_P,Ty_LTHC_Canc_Ind_M,Ty_LTHC_Canc_Ind_F,Ty_LTHC_Canc_Ind_P,Ty_LTHC_Canc_NoInd_M,Ty_LTHC_Canc_NoInd_F,Ty_LTHC_Canc_NoInd_P,Ty_LTHC_Canc_In_ns_M,Ty_LTHC_Canc_In_ns_F,Ty_LTHC_Canc_In_ns_P,Ty_LTHC_Canc_Tot_M,Ty_LTHC_Canc_Tot_F,Ty_LTHC_Canc_Tot_P,Ty_LTHC_Dem_Ind_M,Ty_LTHC_Dem_Ind_F,Ty_LTHC_Dem_Ind_P,Ty_LTHC_Dem_NoInd_M,Ty_LTHC_Dem_NoInd_F,Ty_LTHC_Dem_NoInd_P,Ty_LTHC_Dem_In_ns_M,Ty_LTHC_Dem_In_ns_F,Ty_LTHC_Dem_In_ns_P,Ty_LTHC_Dem_Tot_M,Ty_LTHC_Dem_Tot_F,Ty_LTHC_Dem_Tot_P,Ty_LTHC_Diab_Ind_M,Ty_LTHC_Diab_Ind_F,Ty_LTHC_Diab_Ind_P,Ty_LTHC_Diab_NoInd_M,Ty_LTHC_Diab_NoInd_F,Ty_LTHC_Diab_NoInd_P,Ty_LTHC_Diab_In_ns_M,Ty_LTHC_Diab_In_ns_F,Ty_LTHC_Diab_In_ns_P,Ty_LTHC_Diab_Tot_M,Ty_LTHC_Diab_Tot_F,Ty_LTHC_Diab_Tot_P,Ty_LTHC_Heart_Dis_Ind_M,Ty_LTHC_Heart_Dis_Ind_F,Ty_LTHC_Heart_Dis_Ind_P,Ty_LTHC_Heart_Dis_NoInd_M,Ty_LTHC_Heart_Dis_NoInd_F,Ty_LTHC_Heart_Dis_NoInd_P,Ty_LTHC_Heart_Dis_In_ns_M,Ty_LTHC_Heart_Dis_In_ns_F,Ty_LTHC_Heart_Dis_In_ns_P,Ty_LTHC_Heart_Dis_Tot_M,Ty_LTHC_Heart_Dis_Tot_F,Ty_LTHC_Heart_Dis_Tot_P,Ty_LTHC_Kid_Dis_Ind_M,Ty_LTHC_Kid_Dis_Ind_F,Ty_LTHC_Kid_Dis_Ind_P,Ty_LTHC_Kid_Dis_NoInd_M,Ty_LTHC_Kid_Dis_NoInd_F,Ty_LTHC_Kid_Dis_NoInd_P,Ty_LTHC_Kid_Dis_In_ns_M,Ty_LTHC_Kid_Dis_In_ns_F,Ty_LTHC_Kid_Dis_In_ns_P,Ty_LTHC_Kid_Dis_Tot_M,Ty_LTHC_Kid_Dis_Tot_F,Ty_LTHC_Kid_Dis_Tot_P,Ty_LTHC_Lung_Con_Ind_M,Ty_LTHC_Lung_Con_Ind_F,Ty_LTHC_Lung_Con_Ind_P,Ty_LTHC_Lung_Con_NoInd_M,Ty_LTHC_Lung_Con_NoInd_F,Ty_LTHC_Lung_Con_NoInd_P,Ty_LTHC_Lung_Con_In_ns_M,Ty_LTHC_Lung_Con_In_ns_F,Ty_LTHC_Lung_Con_In_ns_P,Ty_LTHC_Lung_Con_Tot_M,Ty_LTHC_Lung_Con_Tot_F,Ty_LTHC_Lung_Con_Tot_P,Ty_LTHC_MHC_Ind_M,Ty_LTHC_MHC_Ind_F,Ty_LTHC_MHC_Ind_P,Ty_LTHC_MHC_NoInd_M,Ty_LTHC_MHC_NoInd_F,Ty_LTHC_MHC_NoInd_P,Ty_LTHC_MHC_In_ns_M,Ty_LTHC_MHC_In_ns_F,Ty_LTHC_MHC_In_ns_P,Ty_LTHC_MHC_Tot_M,Ty_LTHC_MHC_Tot_F,Ty_LTHC_MHC_Tot_P,Ty_LTHC_Stroke_Ind_M,Ty_LTHC_Stroke_Ind_F,Ty_LTHC_Stroke_Ind_P,Ty_LTHC_Stroke_NoInd_M,Ty_LTHC_Stroke_NoInd_F,Ty_LTHC_Stroke_NoInd_P,Ty_LTHC_Stroke_In_ns_M,Ty_LTHC_Stroke_In_ns_F,Ty_LTHC_Stroke_In_ns_P,Ty_LTHC_Stroke_Tot_M,Ty_LTHC_Stroke_Tot_F,Ty_LTHC_Stroke_Tot_P,Ty_LTHC_oth_LTHC_Ind_M,Ty_LTHC_oth_LTHC_Ind_F,Ty_LTHC_oth_LTHC_Ind_P,Ty_LTHC_oth_LTHC_NoInd_M,Ty_LTHC_oth_LTHC_NoInd_F,Ty_LTHC_oth_LTHC_NoInd_P,Ty_LTHC_oth_LTHC_In_ns_M,Ty_LTHC_oth_LTHC_In_ns_F,Ty_LTHC_oth_LTHC_In_ns_P,Ty_LTHC_oth_LTHC_Tot_M,Ty_LTHC_oth_LTHC_Tot_F,Ty_LTHC_oth_LTHC_Tot_P,Ty_LTHC_no_LTHC_Ind_M,Ty_LTHC_no_LTHC_Ind_F,Ty_LTHC_no_LTHC_Ind_P,Ty_LTHC_no_LTHC_NoInd_M,Ty_LTHC_no_LTHC_NoInd_F,Ty_LTHC_no_LTHC_NoInd_P,Ty_LTHC_no_LTHC_In_ns_M,Ty_LTHC_no_LTHC_In_ns_F,Ty_LTHC_no_LTHC_In_ns_P,Ty_LTHC_no_LTHC_Tot_M,Ty_LTHC_no_LTHC_Tot_F,Ty_LTHC_no_LTHC_Tot_P,Ty_LTHC_Ns_Ind_M,Ty_LTHC_Ns_Ind_F,Ty_LTHC_Ns_Ind_P,Ty_LTHC_Ns_NoInd_M,Ty_LTHC_Ns_NoInd_F,Ty_LTHC_Ns_NoInd_P,Ty_LTHC_Ns_In_ns_M,Ty_LTHC_Ns_In_ns_F,Ty_LTHC_Ns_In_ns_P,Ty_LTHC_Ns_Tot_M,Ty_LTHC_Ns_Tot_F,Ty_LTHC_Ns_Tot_P,Tot_p_Ind_M,Tot_p_Ind_F,Tot_p_Ind_P,Tot_p_NoInd_M,Tot_p_NoInd_F,Tot_p_NoInd_P,Tot_p_In_ns_M,Tot_p_In_ns_F,Tot_p_In_ns_P,Tot_p_Tot_M,Tot_p_Tot_F,Tot_p_Tot_P,Co_LTHC_no_SC_Ind_M,Co_LTHC_no_SC_Ind_F,Co_LTHC_no_SC_Ind_P,Co_LTHC_no_SC_NoInd_M,Co_LTHC_no_SC_NoInd_F,Co_LTHC_no_SC_NoInd_P,Co_LTHC_no_SC_In_ns_M,Co_LTHC_no_SC_In_ns_F,Co_LTHC_no_SC_In_ns_P,Co_LTHC_no_SC_Tot_M,Co_LTHC_no_SC_Tot_F,Co_LTHC_no_SC_Tot_P,Co_LTHC_1ms_LTHC_onec_Ind_M,Co_LTHC_1ms_LTHC_onec_Ind_F,Co_LTHC_1ms_LTHC_onec_Ind_P,Co_LTHC_1ms_LTHC_onec_NoInd_M,Co_LTHC_1ms_LTHC_onec_NoInd_F,Co_LTHC_1ms_LTHC_onec_NoInd_P,Co_LTHC_1ms_LTHC_onec_In_ns_M,Co_LTHC_1ms_LTHC_onec_In_ns_F,Co_LTHC_1ms_LTHC_onec_In_ns_P,Co_LTHC_1ms_LTHC_onec_Tot_M,Co_LTHC_1ms_LTHC_onec_Tot_F,Co_LTHC_1ms_LTHC_onec_Tot_P,Co_LTHC_1ms_LTHC_twoc_Ind_M,Co_LTHC_1ms_LTHC_twoc_Ind_F,Co_LTHC_1ms_LTHC_twoc_Ind_P,Co_LTHC_1ms_LTHC_twoc_NoInd_M,Co_LTHC_1ms_LTHC_twoc_NoInd_F,Co_LTHC_1ms_LTHC_twoc_NoInd_P,Co_LTHC_1ms_LTHC_twoc_In_ns_M,Co_LTHC_1ms_LTHC_twoc_In_ns_F
IREG501,37,91,127,211,258,473,0,0,0,244,353,598,81,185,266,242,329,565,0,0,0,326,509,837,17,36,53,116,103,217,0,0,0,133,139,274,8,12,22,18,6,26,0,3,4,28,25,52,117,185,297,128,95,218,0,3,0,243,285,527,81,96,181,125,52,179,0,0,0,205,151,355,37,46,83,37,25,57,0,0,0,73,75,140,20,38,61,61,65,124,0,3,3,84,105,188,88,135,219,208,418,623,0,0,0,293,560,851,21,20,41,23,13,33,0,0,0,36,36,72,113,138,251,238,271,506,0,4,4,354,407,761,1644,1657,3299,3615,3789,7400,53,36,90,5309,5486,10794,275,175,454,224,191,416,977,1000,1978,1474,1370,2842,2369,2480,4847,4853,5187,10036,1038,1043,2081,8258,8709,16965,1719,1729,3448,3763,3944,7704,53,35,94,5541,5707,11251,294,399,691,661,804,1461,6,6,14,962,1209,2170,54,108,152,137,189,329,0,3
IREG502,118,227,341,1960,2867,4826,31,30,62,2103,3126,5230,236,421,655,1787,2317,4107,23,22,38,2048,2758,4802,49,53,103,920,843,1759,7,8,16,975,900,1875,19,28,52,199,226,428,3,7,5,222,259,484,296,332,632,1572,1155,2729,17,12,28,1891,1503,3392,180,153,334,1400,815,2217,19,10,24,1601,976,2576,48,75,123,316,271,584,3,0,7,365,345,709,51,78,126,599,531,1133,3,14,15,655,614,1278,186,303,493,1783,2595,4380,13,17,31,1986,2916,4902,23,34,52,269,236,506,4,5,5,294,270,561,201,217,422,1606,2024,3628,24,14,43,1834,2253,4087,1706,1761,3464,14995,14009,29006,119,107,224,16824,15879,32702,400,296,690,1087,1020,2110,3608,2961,6566,5093,4276,9373,2983,3126,6114,24093,23729,47826,3808,3153,6960,30894,30009,60902,1822,1837,3661,15844,14918,30760,127,113,242,17792,16867,34662,518,581,1102,4864,5157,10021,45,53,98,5427,5793,11214,136,234,373,1451,1686,3138,17,15
IREG503,71,123,192,1329,1869,3202,20,31,46,1427,2012,3442,121,213,341,1617,1820,3434,5,19,29,1744,2049,3799,28,27,58,549,528,1077,10,9,16,582,573,1154,16,21,38,73,129,200,0,0,5,93,157,249,219,309,531,1154,836,1992,9,8,23,1383,1155,2540,98,132,235,924,523,1450,8,10,19,1037,668,1703,51,83,135,197,154,354,6,0,6,252,238,490,33,40,79,408,351,754,3,6,13,448,398,845,120,150,272,1306,2015,3322,13,13,21,1432,2181,3616,18,18,41,179,127,304,0,0,6,198,149,344,156,162,321,1212,1473,2683,10,16,28,1378,1652,3032,1616,1587,3208,15435,13314,28749,96,93,189,17149,14994,32148,406,261,672,977,773,1753,3728,2490,6219,5106,3529,8633,2655,2572,5221,22549,20485,43029,3879,2639,6522,29082,25690,54770,1713,1656,3368,16119,14014,30132,106,94,197,17939,15761,33700,378,365,738,3959,3909,7869,32,31,68,4372,4304,8674,90,172,262,985,1215,2196,11,11
IREG504,38,56,97,117,101,215,0,8,8,145,172,320,64,153,217,128,170,297,3,4,4,192,331,523,9,21,32,35,43,79,4,0,4,44,65,112,3,10,14,6,6,12,0,0,0,9,16,27,145,227,372,98,42,141,5,5,3,248,275,519,73,93,171,84,20,102,0,0,4,155,118,274,30,44,74,18,15,31,0,4,4,51,61,109,16,22,37,34,29,58,0,3,3,51,50,102,60,59,124,83,164,248,0,3,0,144,225,370,11,20,31,12,5,12,0,0,0,19,26,43,101,116,215,81,154,237,0,0,0,181,278,459,1770,1830,3603,1595,1477,3066,45,43,87,3415,3345,6756,380,384,767,80,63,149,708,676,1388,1173,1124,2297,2556,2762,5319,2182,2091,4271,763,729,1494,5499,5585,11082,1834,1894,3736,1647,1570,3220,49,45,91,3538,3510,7046,269,328,595,327,359,681,3,4,12,599,687,1289,56,98,155,95,81,173,0,0
IREG505,644,1253,1899,49984,91069,141047,312,638,950,50941,92958,143895,1945,2729,4675,62065,78830,140896,191,300,492,64201,81860,146062,217,297,513,24474,27719,52193,127,176,311,24823,28194,53013,52,96,143,5267,7716,12984,91,114,202,5410,7927,13340,1019,1224,2242,45574,37012,82588,230,224,451,46824,38454,85280,614,587,1206,41197,25559,66753,248,247,495,42061,26396,68456,173,230,398,7456,6525,13982,56,54,111,7685,6809,14489,260,350,616,13655,14992,28647,113,134,250,14032,15478,29509,1909,2922,4829,61534,99458,160994,259,334,593,63702,102713,166414,135,162,297,8178,6847,15027,64,74,145,8383,7084,15464,1442,1665,3111,63598,83832,147431,298,340,638,65336,85846,151177,11313,10899,22208,627663,610545,1238208,1762,1594,3353,640740,623033,1263775,2803,1401,4207,36346,34210,70556,43106,33440,76553,82254,69056,151311,19789,19196,38984,927326,960098,1887427,46077,36529,82599,993189,1015822,2009006,12065,11576,23644,664261,651937,1316197,1876,1720,3598,678198,665229,1343436,3603,3990,7595,164003,190048,354056,703,777,1479,168310,194818,363132,852,1404,2258,42623,57716,100344,243,362
IREG506,93,150,244,692,731,1422,10,7,19,796,888,1686,232,371,608,1304,1293,2601,9,8,13,1547,1671,3219,28,39,64,272,258,534,0,0,0,299,298,602,9,18,26,18,27,51,0,0,0,31,42,78,281,342,620,693,330,1024,12,0,14,984,668,1655,142,132,277,399,156,556,6,5,7,549,293,837,40,63,106,85,46,136,4,0,4,131,106,239,32,26,59,157,103,258,3,0,8,191,132,321,165,188,357,933,1404,2339,14,7,21,1109,1600,2709,23,36,57,74,38,109,0,0,5,96,75,171,194,234,431,882,996,1877,5,9,13,1087,1240,2327,2883,2590,5469,17049,13551,30599,106,85,191,20037,16225,36257,416,253,669,875,634,1507,5883,3438,9326,7180,4325,11502,4206,3908,8113,22194,18236,40430,6026,3554,9576,32428,25698,58126,3001,2719,5722,17645,14152,31798,109,90,200,20755,16959,37718,613,647,1259,2973,2750,5717,22,17,39,3607,3408,7016,115,199,319,533,537,1072,3,3
IREG507,322,565,888,17418,28294,45711,173,284,462,17915,29144,47059,722,1034,1756,14346,19082,33420,105,128,234,15172,20242,35415,114,149,264,7620,7578,15198,68,86,148,7803,7810,15613,26,43,73,1324,1878,3198,30,45,74,1379,1971,3343,472,523,987,12048,9413,21459,118,102,224,12632,10038,22674,288,239,526,12101,7128,19231,117,85,194,12506,7454,19956,74,74,149,2070,1791,3858,20,21,38,2165,1888,4052,123,155,277,4691,4636,9323,42,49,94,4856,4838,9693,683,1054,1738,15131,23685,38814,106,154,259,15919,24899,40812,59,72,133,2526,2126,4646,29,28,54,2609,2223,4833,529,576,1112,14281,18262,32543,90,119,204,14896,18956,33856,4172,4003,8179,116384,113511,229896,734,739,1471,121297,118254,239549,790,543,1334,9073,7890,16957,14220,11604,25819,24077,20033,44114,7185,7165,14355,192198,198578,390779,15478,12952,28433,214860,218698,433560,4452,4235,8691,123703,121370,245070,782,778,1559,128938,126383,255319,1376,1453,2830,39856,45064,84921,282,323,600,41515,46842,88354,354,571,924,12789,16108,28893,124,153
IREG508,31,57,86,61,66,123,3,0,3,97,123,216,41,98,133,52,79,128,0,0,0,90,176,268,15,20,36,33,16,50,0,0,0,42,33,81,8,19,30,9,0,5,0,0,0,17,20,37,128,200,320,50,26,72,0,0,0,177,222,397,55,67,120,34,15,51,0,0,0,90,87,173,28,40,65,8,5,14,0,0,0,37,43,86,9,12,24,21,12,31,0,0,0,30,20,50,39,41,86,46,78,122,0,0,0,82,122,209,12,11,25,11,0,15,0,0,0,18,15,36,83,105,188,60,39,102,0,0,6,139,146,288,1511,1481,2986,640,591,1235,3,12,12,2156,2080,4237,311,167,479,40,34,69,472,525,994,820,726,1545,2145,2096,4238,930,866,1790,481,534,1017,3548,3492,7045,1567,1539,3108,674,613,1284,3,10,17,2246,2160,4410,199,267,468,151,161,309,6,0,6,351,427,777,48,77,128,47,45,87,0,0
IREG594,10,8,24,160,213,368,3,3,3,175,222,399,25,32,56,139,163,306,0,0,0,171,200,371,0,0,4,75,56,133,0,0,0,72,59,130,0,0,0,3,0,9,0,0,0,3,0,11,22,13,33,107,52,161,3,5,6,133,74,198,14,5,22,111,49,161,0,0,3,129,57,185,4,0,7,16,6,21,0,0,0,25,11,33,3,6,7,53,42,97,0,0,0,54,46,103,44,38,76,295,311,603,9,3,8,337,348,688,3,3,8,16,15,32,0,0,0,26,18,40,20,9,32,202,198,396,5,0,4,223,210,430,122,114,236,1366,1177,2539,10,8,18,1496,1296,2794,610,492,1106,915,384,1303,753,436,1191,2281,1315,3591,819,683,1495,3052,2281,5333,778,450,1228,4639,3416,8055,123,118,243,1458,1259,2721,9,8,16,1594,1386,2976,49,54,97,478,427,902,11,5,16,534,488,1018,21,11,36,134,144,277,0,0
IREG597,0,0,0,9,4,12,0,0,0,11,4,14,0,0,0,10,0,13,0,0,0,15,0,16,0,0,0,9,0,8,0,0,0,9,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,0,0,0,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,8,0,8,0,0,0,3,0,3,0,0,0,3,0,3,0,0,0,5,3,8,0,0,0,5,3,8,4,3,3,212,29,238,0,0,0,218,30,248,0,0,0,5,0,8,191,19,214,204,20,226,7,3,9,256,32,293,193,19,218,455,58,514,4,3,3,212,29,244,0,0,0,216,33,247,3,0,3,29,4,33,0,0,0,32,4,41,0,0,0,4,0,4,0,0
