IREG_CODE_2021,NonI_35_44_PD_GD_GCL_P,NonI_35_44_BDL_P,NonI_35_44_ADip_DipL_P,NonI_35_44_Ct_III_IV_P,NonI_35_44_Ct_I_II_P,NonI_35_44_CL_nfd_P,NonI_35_44_LoE_NS_P,NonI_35_44_Tot_P,NonI_45_54_PD_GD_GCL_P,NonI_45_54_BDL_P,NonI_45_54_ADip_DipL_P,NonI_45_54_Ct_III_IV_P,NonI_45_54_Ct_I_II_P,NonI_45_54_CL_nfd_P,NonI_45_54_LoE_NS_P,NonI_45_54_Tot_P,NonI_55_64_PD_GD_GCL_P,NonI_55_64_BDL_P,NonI_55_64_ADip_DipL_P,NonI_55_64_Ct_III_IV_P,NonI_55_64_Ct_I_II_P,NonI_55_64_CL_nfd_P,NonI_55_64_LoE_NS_P,NonI_55_64_Tot_P,NonI_65ov_PtgdDe_GdDp_GdCt_P,NonI_65ov_BDL_P,NonI_65ov_ADip_DipL_P,NonI_65ov_Ct_III_IV_P,NonI_65ov_Ct_I_II_P,NonI_65ov_CL_nfd_P,NonI_65ov_LoE_NS_P,NonI_65ov_Tot_P,NonI_Tot_PD_GD_GCL_P,NonI_Tot_BDL_P,NonI_Tot_ADip_DipL_P,NonI_Tot_Ct_III_IV_P,NonI_Tot_Ct_I_II_P,NonI_tot_CL_nfd_P,NonI_Tot_LoE_NS_P,NonI_Tot_Tot_P,IS_NS_15_19_PD_GD_GCL_P,IS_NS_15_19_BDL_P,IS_NS_15_19_ADip_DipL_P,IS_NS_15_19_Ct_III_IV_P,IS_NS_15_19_Ct_I_II_P,IS_NS_15_19_CL_nfd_P,IS_NS_15_19_LoE_NS_P,IS_NS_15_19_Tot_P,IS_NS_20_24_PD_GD_GCL_P,IS_NS_20_24_BDL_P,IS_NS_20_24_ADip_DipL_P,IS_NS_20_24_Ct_III_IV_P,IS_NS_20_24_Ct_I_II_P,IS_NS_20_24_CL_nfd_P,IS_NS_20_24_LoE_NS_P,IS_NS_20_24_Tot_P,IS_NS_25_34_PD_GD_GCL_P,IS_NS_25_34_BDL_P,IS_NS_25_34_ADip_DipL_P,IS_NS_25_34_Ct_III_IV_P,IS_NS_25_34_Ct_I_II_P,IS_NS_25_34_CL_nfd_P,IS_NS_25_34_LoE_NS_P,IS_NS_25_34_Tot_P,IS_NS_35_44_PD_GD_GCL_P,IS_NS_35_44_BDL_P,IS_NS_35_44_ADip_DipL_P,IS_NS_35_44_Ct_III_IV_P,IS_NS_35_44_Ct_I_II_P,IS_NS_35_44_CL_nfd_P,IS_NS_35_44_LoE_NS_P,IS_NS_35_44_Tot_P,IS_NS_45_54_PD_GD_GCL_P,IS_NS_45_54_BDL_P,IS_NS_45_54_ADip_DipL_P,IS_NS_45_54_Ct_III_IV_P,IS_NS_45_54_Ct_I_II_P,IS_NS_45_54_CL_nfd_P,IS_NS_45_54_LoE_NS_P,IS_NS_45_54_Tot_P,IS_NS_55_64_PD_GD_GCL_P,IS_NS_55_64_BDL_P,IS_NS_55_64_ADip_DipL_P,IS_NS_55_64_Ct_III_IV_P,IS_NS_55_64_Ct_I_II_P,IS_NS_55_64_CL_nfd_P,IS_NS_55_64_LoE_NS_P,IS_NS_55_64_Tot_P,IS_NS_65ov_PtgdDe_GdDp_GdCt_P,IS_NS_65ov_BDL_P,IS_NS_65ov_ADip_DipL_P,IS_NS_65ov_Ct_III_IV_P,IS_NS_65ov_Ct_I_II_P,IS_NS_65ov_CL_nfd_P,IS_NS_65ov_LoE_NS_P,IS_NS_65ov_Tot_P,IS_NS_Tot_PD_GD_GCL_P,IS_NS_Tot_BDL_P,IS_NS_Tot_ADip_DipL_P,IS_NS_Tot_Ct_III_IV_P,IS_NS_Tot_Ct_I_II_P,IS_NS_tot_CL_nfd_P,IS_NS_Tot_LoE_NS_P,IS_NS_Tot_Tot_P,Tot_15_19_PD_GD_GCL_P,Tot_15_19_BDL_P,Tot_15_19_ADip_DipL_P,Tot_15_19_Ct_III_IV_P,Tot_15_19_Ct_I_II_P,Tot_15_19_CL_nfd_P,Tot_15_19_LoE_NS_P,Tot_15_19_Tot_P,Tot_20_24_PD_GD_GCL_P,Tot_20_24_BDL_P,Tot_20_24_ADip_DipL_P,Tot_20_24_Ct_III_IV_P,Tot_20_24_Ct_I_II_P,Tot_20_24_CL_nfd_P,Tot_20_24_LoE_NS_P,Tot_20_24_Tot_P,Tot_25_34_PD_GD_GCL_P,Tot_25_34_BDL_P,Tot_25_34_ADip_DipL_P,Tot_25_34_Ct_III_IV_P,Tot_25_34_Ct_I_II_P,Tot_25_34_CL_nfd_P,Tot_25_34_LoE_NS_P,Tot_25_34_Tot_P,Tot_35_44_PD_GD_GCL_P,Tot_35_44_BDL_P,Tot_35_44_ADip_DipL_P,Tot_35_44_Ct_III_IV_P,Tot_35_44_Ct_I_II_P,Tot_35_44_CL_nfd_P,Tot_35_44_LoE_NS_P,Tot_35_44_Tot_P,Tot_45_54_PD_GD_GCL_P,Tot_45_54_BDL_P,Tot_45_54_ADip_DipL_P,Tot_45_54_Ct_III_IV_P,Tot_45_54_Ct_I_II_P,Tot_45_54_CL_nfd_P,Tot_45_54_LoE_NS_P,Tot_45_54_Tot_P,Tot_55_64_PD_GD_GCL_P,Tot_55_64_BDL_P,Tot_55_64_ADip_DipL_P,Tot_55_64_Ct_III_IV_P,Tot_55_64_Ct_I_II_P,Tot_55_64_CL_nfd_P,Tot_55_64_LoE_NS_P,Tot_55_64_Tot_P,Tot_65ov_PtgdDe_GdDp_GdCt_P,Tot_65ov_BDL_P,Tot_65ov_ADip_DipL_P,Tot_65ov_Ct_III_IV_P,Tot_65ov_Ct_I_II_P,Tot_65ov_CL_nfd_P,Tot_65ov_LoE_NS_P,Tot_65ov_Tot_P,Tot_Tot_PD_GD_GCL_P,Tot_Tot_BDL_P,Tot_Tot_ADip_DipL_P,Tot_Tot_Ct_III_IV_P,Tot_Tot_Ct_I_II_P,Tot_tot_CL_nfd_P,Tot_Tot_LoE_NS_P,Tot_Tot_Tot_P
IREG501,225,456,257,425,27,25,62,1481,140,303,208,403,11,40,58,1168,99,173,150,269,11,32,62,797,54,101,94,158,8,16,71,503,742,1692,952,1740,135,150,369,5778,0,0,0,0,0,0,105,109,0,0,0,0,0,0,103,104,4,0,0,0,0,0,368,371,0,0,0,7,0,0,278,285,0,0,0,3,0,0,320,329,0,0,0,3,0,0,223,231,0,0,0,0,0,0,160,165,6,3,3,17,0,0,1560,1588,0,0,3,33,42,5,178,257,7,72,43,166,43,16,165,515,234,618,222,502,60,36,523,2194,248,485,305,552,49,38,419,2093,153,326,232,481,23,51,434,1701,114,192,185,315,24,41,337,1205,60,114,104,181,4,24,256,751,811,1818,1087,2233,242,206,2316,8723
IREG502,369,958,621,1687,133,106,172,4044,342,879,702,1830,110,146,216,4237,266,554,710,1711,107,149,262,3757,206,515,718,1600,91,197,875,4206,1495,3989,3353,9434,949,721,1791,21725,0,0,0,0,0,0,354,354,0,0,0,3,0,0,378,383,0,4,0,9,0,0,900,911,0,3,6,7,0,0,952,975,5,0,6,7,0,0,914,927,0,0,0,13,0,0,837,859,0,0,0,17,0,0,1046,1066,6,12,13,56,3,8,5382,5471,0,0,21,205,162,21,466,869,29,193,131,693,226,38,474,1777,286,911,490,1955,219,83,1128,5066,374,984,665,1824,150,120,1176,5293,353,910,750,1954,126,158,1201,5450,277,579,754,1808,124,164,1154,4860,212,525,746,1640,95,207,2000,5422,1524,4107,3547,10076,1104,777,7595,28737
IREG503,400,933,586,1842,104,99,184,4155,273,632,557,1653,84,127,230,3563,195,420,496,1328,45,121,246,2849,106,314,359,815,27,89,522,2243,1390,3653,2548,8534,764,560,1504,18954,0,0,0,0,0,0,265,265,0,0,0,0,0,0,473,476,0,0,0,3,0,0,1115,1123,0,0,0,10,0,0,979,992,0,4,0,7,0,0,911,922,0,0,0,17,0,0,785,805,0,0,3,5,0,0,668,684,0,9,11,48,3,0,5193,5265,0,0,3,175,141,14,392,727,42,231,79,715,228,35,594,1929,374,1134,468,2212,191,89,1357,5831,407,948,607,1956,121,110,1204,5352,284,659,577,1732,94,135,1201,4682,199,433,512,1386,49,122,1072,3782,106,327,377,840,35,92,1247,3025,1414,3734,2627,9022,853,606,7067,25325
IREG504,68,161,81,184,5,10,19,528,52,129,56,197,5,12,17,462,60,95,94,129,7,14,25,428,15,39,37,74,7,6,36,209,304,731,362,837,48,46,146,2481,0,0,0,0,0,0,57,57,0,0,0,0,0,0,82,82,0,0,0,0,4,3,249,254,4,5,0,0,0,3,199,205,0,0,0,5,0,0,222,228,0,0,0,3,0,0,171,175,0,0,0,0,0,0,142,148,4,7,6,6,3,0,1121,1150,0,0,0,27,16,4,135,188,6,54,21,78,23,3,148,328,100,274,88,287,44,24,375,1188,76,167,92,286,28,25,314,998,62,139,77,279,13,21,290,881,65,107,104,167,18,19,236,721,15,42,44,92,8,13,219,434,328,783,422,1221,153,115,1715,4740
IREG505,40215,78205,33653,52100,3112,4378,8197,219858,28879,53978,31712,46959,2531,5852,7485,177394,19985,34560,26579,41044,2101,5596,7513,137378,16629,34144,28515,40070,2006,7359,23879,152606,140691,300779,157523,265119,23437,28157,59507,975208,0,0,4,24,9,0,3445,3486,3,35,15,64,6,3,5246,5372,23,62,28,101,10,5,14586,14815,25,108,65,118,15,3,12806,13139,28,72,76,158,14,8,10602,10956,45,73,65,160,9,20,8222,8586,53,142,121,242,10,41,10690,11298,174,498,372,864,63,88,65587,67645,33,72,829,7655,4794,695,5343,19423,2448,20853,8799,21948,5126,1396,8396,68968,32669,79651,28038,58265,4457,3038,22550,228683,40405,78647,34040,53242,3216,4463,21211,235217,29074,54329,32148,47787,2608,5919,18300,190166,20129,34833,26866,41626,2142,5672,15952,147215,16742,34423,28758,40505,2029,7430,34784,164661,141504,302805,159471,271028,24370,28611,126544,1054327
IREG506,507,1359,941,2834,146,132,219,6148,295,673,695,1888,81,120,207,3961,160,313,449,1192,42,83,163,2406,56,100,108,359,12,37,145,811,1554,4188,2994,9813,697,514,1086,20846,0,0,0,0,0,0,368,370,0,0,3,0,0,0,594,597,0,3,0,14,0,0,2121,2138,0,4,5,7,0,0,1953,1978,0,0,0,11,0,0,1431,1445,0,0,0,11,0,0,1028,1043,0,0,0,0,0,0,305,309,0,12,14,49,4,0,7799,7883,0,0,11,131,134,14,473,769,27,214,88,681,177,37,694,1922,505,1558,756,3221,238,111,2427,8818,518,1379,1000,3137,188,149,2241,8610,307,705,740,2052,99,134,1695,5739,176,342,475,1275,57,92,1239,3657,55,115,121,382,12,43,490,1211,1592,4308,3185,10891,917,574,9257,30733
IREG507,2618,7897,4988,13663,886,885,1508,32449,2705,7025,5756,13618,762,1277,1654,32793,2520,5653,6353,13202,709,1465,2176,32068,2724,6780,7909,13833,700,2071,8156,42173,12357,34672,29197,74149,6724,6625,15800,179516,0,0,0,12,3,4,1265,1282,0,9,0,12,3,0,1226,1253,0,12,16,34,3,6,3105,3173,5,19,22,60,10,5,3498,3613,8,22,20,69,0,7,3965,4094,11,18,21,87,0,5,3659,3813,3,43,45,111,3,18,5197,5423,32,118,125,390,27,47,21920,22652,6,3,115,1972,1288,164,1974,5532,148,1155,756,5078,1370,243,1732,10480,1651,6221,3435,13667,1277,579,4448,31279,2644,7978,5095,14093,921,916,5086,36746,2739,7121,5879,13976,796,1307,5727,37530,2554,5735,6471,13522,735,1493,5957,36463,2746,6863,8000,14056,716,2103,13496,47972,12490,35081,29747,76366,7109,6803,38412,206009
IREG508,42,56,25,56,4,5,8,188,32,39,27,66,0,3,8,177,18,41,34,83,0,12,7,202,15,20,41,48,0,3,21,146,152,327,159,368,25,28,60,1119,0,0,0,0,0,0,65,65,0,0,0,0,0,0,76,73,0,0,0,0,0,0,170,170,0,0,0,0,0,0,129,132,0,0,0,0,0,0,115,118,0,0,0,0,0,0,122,125,0,0,0,0,0,0,93,93,0,0,0,3,0,0,771,773,0,0,0,10,9,3,115,139,0,42,8,40,24,11,107,239,35,138,39,151,21,7,234,631,47,55,40,137,27,21,182,504,38,46,33,131,14,17,169,442,29,49,40,111,9,18,161,408,15,26,44,61,0,3,134,283,161,352,202,642,108,79,1102,2650
IREG594,44,130,68,191,10,7,309,758,33,58,47,154,7,9,289,596,40,62,67,158,7,24,193,547,28,44,48,142,4,11,142,412,219,560,323,888,74,61,1275,3397,0,0,0,0,0,0,27,27,0,0,0,0,0,0,93,99,0,0,0,3,0,0,249,253,0,0,0,0,0,0,210,209,0,0,0,0,0,0,201,203,0,0,0,5,0,0,186,186,0,0,0,0,0,0,140,138,0,0,0,7,0,0,1113,1122,0,0,0,14,11,0,102,131,0,54,18,68,23,3,239,400,76,221,79,191,22,11,673,1270,44,131,71,203,15,6,815,1293,31,58,50,162,10,14,753,1073,43,60,77,158,7,23,508,876,30,44,44,143,4,14,353,628,225,563,335,946,85,66,3446,5668
IREG597,0,11,8,35,0,4,6,69,3,8,4,20,0,0,6,39,0,10,0,7,0,3,0,19,0,0,3,0,0,0,0,9,7,37,28,101,4,8,18,206,0,0,0,0,0,0,5,5,0,0,0,0,0,0,15,15,0,0,0,0,0,0,47,47,0,0,0,0,0,0,72,72,0,0,0,0,0,0,47,47,0,0,0,0,0,0,21,21,0,0,0,0,0,0,3,8,0,0,0,0,0,0,211,218,0,0,0,0,0,0,3,3,0,4,0,8,0,0,17,32,0,14,7,26,4,6,49,97,0,13,11,39,0,4,84,145,3,8,4,15,0,0,54,92,0,10,0,7,0,3,21,48,0,0,4,0,0,0,3,15,7,39,35,100,4,7,233,428
