IREG_CODE_2021,Tot_p_Indig_M,Tot_p_Indig_F,Tot_p_Indig_P,Tot_p_NonInd_M,Tot_p_NonInd_F,Tot_p_NonInd_P,Tot_p_IndigStat_nsM,Tot_p_IndigStat_nsF,Tot_p_IndigStat_nsP,Tot_p_TotM,Tot_p_TotF,Tot_p_TotP,A_0_4_Indig_M,A_0_4_Indig_F,A_0_4_Indig_P,A_0_4_NonInd_M,A_0_4_NonInd_F,A_0_4_NonInd_P,A_0_4_IndigStat_nsM,A_0_4_IndigStat_nsF,A_0_4_IndigStat_nsP,A_0_4_TotM,A_0_4_TotF,A_0_4_TotP,A_5_14_Indig_M,A_5_14_Indig_F,A_5_14_Indig_P,A_5_14_NonInd_M,A_5_14_NonInd_F,A_5_14_NonInd_P,A_5_14_IndigStat_nsM,A_5_14_IndigStat_nsF,A_5_14_IndigStat_nsP,A_5_14_TotM,A_5_14_TotF,A_5_14_TotP,A_15_24_Indig_M,A_15_24_Indig_F,A_15_24_Indig_P,A_15_24_NonInd_M,A_15_24_NonInd_F,A_15_24_NonInd_P,A_15_24_IndigStat_nsM,A_15_24_IndigStat_nsF,A_15_24_IndigStat_nsP,A_15_24_TotM,A_15_24_TotF,A_15_24_TotP,A_25_44_Indig_M,A_25_44_Indig_F,A_25_44_Indig_P,A_25_44_NonInd_M,A_25_44_NonInd_F,A_25_44_NonInd_P,A_25_44_IndigStat_nsM,A_25_44_IndigStat_nsF,A_25_44_IndigStat_nsP,A_25_44_TotM,A_25_44_TotF,A_25_44_TotP,A_45_64_Indig_M,A_45_64_Indig_F,A_45_64_Indig_P,A_45_64_NonInd_M,A_45_64_NonInd_F,A_45_64_NonInd_P,A_45_64_IndigStat_nsM,A_45_64_IndigStat_nsF,A_45_64_IndigStat_nsP,A_45_64_TotM,A_45_64_TotF,A_45_64_TotP,A_65_over_Indig_M,A_65_over_Indig_F,A_65_over_Indig_P,A_65_ovr_NonInd_M,A_65_ovr_NonInd_F,A_65_ovr_NonInd_P,A_65ove_IndigStat_nsM,A_65ove_IndigStat_nsF,A_65ove_IndigStat_nsP,A_65_ovr_TotM,A_65_ovr_TotF,A_65_ovr_TotP,Cntd_CN_home_Indig_M,Cntd_CN_home_Indig_F,Cntd_CN_home_Indig_P,Cntd_CN_hme_NonInd_M,Cntd_CN_hme_NonInd_F,Cntd_CN_hme_NonInd_P,ctd_CN_hme_Indig_st_nsM,ctd_CN_hme_Indig_st_nsF,ctd_CN_hme_Indig_st_nsP,Cntd_CN_home_TotM,Cntd_CN_home_TotF,Cntd_CN_home_TotP,VfSme_SA2_Indig_M,VfSme_SA2_Indig_F,VfSme_SA2_Indig_P,VfSme_SA2_NonInd_M,VfSme_SA2_NonInd_F,VfSme_SA2_NonInd_P,VfSme_SA2_Indi_stat_nsM,VfSme_SA2_Indi_stat_nsF,VfSme_SA2_Indi_stat_nsP,VfSme_SA2_TotM,VfSme_SA2_TotF,VfSme_SA2_TotP,VfDif_SA2_NSW_Indig_M,VfDif_SA2_NSW_Indig_F,VfDif_SA2_NSW_Indig_P,VfDif_SA2_NSW_NonInd_M,VfDif_SA2_NSW_NonInd_F,VfDif_SA2_NSW_NonInd_P,VfDif_SA2_NSW_IndSt_nsM,VfDif_SA2_NSW_IndSt_nsF,VfDif_SA2_NSW_IndSt_nsP,VfDif_SA2_NSW_TotM,VfDif_SA2_NSW_TotF,VfDif_SA2_NSW_TotP,VfDif_SA2_Vic_Indig_M,VfDif_SA2_Vic_Indig_F,VfDif_SA2_Vic_Indig_P,VfDif_SA2_Vic_NonInd_M,VfDif_SA2_Vic_NonInd_F,VfDif_SA2_Vic_NonInd_P,VfDif_SA2_Vic_Ind_sta_nsM,VfDif_SA2_Vic_Ind_sta_nsF,VfDif_SA2_Vic_Ind_sta_nsP,VfDif_SA2_Vic_TotM,VfDif_SA2_Vic_TotF,VfDif_SA2_Vic_TotP,VfDif_SA2_Qld_Indig_M,VfDif_SA2_Qld_Indig_F,VfDif_SA2_Qld_Indig_P,VfDif_SA2_Qld_NonInd_M,VfDif_SA2_Qld_NonInd_F,VfDif_SA2_Qld_NonInd_P,VfDif_SA2_Qld_IndSt_nsM,VfDif_SA2_Qld_IndSt_nsF,VfDif_SA2_Qld_IndSt_nsP,VfDif_SA2_Qld_TotM,VfDif_SA2_Qld_TotF,VfDif_SA2_Qld_TotP,VfDif_SA2_SA_Indig_M,VfDif_SA2_SA_Indig_F,VfDif_SA2_SA_Indig_P,VfDif_SA2_SA_NonInd_M,VfDif_SA2_SA_NonInd_F,VfDif_SA2_SA_NonInd_P,VfDif_SA2_SA_IndSt_nsM,VfDif_SA2_SA_IndSt_nsF,VfDif_SA2_SA_IndSt_nsP,VfDif_SA2_SA_TotM,VfDif_SA2_SA_TotF,VfDif_SA2_SA_TotP,VfDif_SA2_WA_Indig_M,VfDif_SA2_WA_Indig_F,VfDif_SA2_WA_Indig_P,VfDif_SA2_WA_NonInd_M,VfDif_SA2_WA_NonInd_F,VfDif_SA2_WA_NonInd_P,VfDif_SA2_WA_IndSt_nsM,VfDif_SA2_WA_IndSt_nsF,VfDif_SA2_WA_IndSt_nsP,VfDif_SA2_WA_TotM,VfDif_SA2_WA_TotF,VfDif_SA2_WA_TotP,VfDif_SA2_Tas_Indig_M,VfDif_SA2_Tas_Indig_F,VfDif_SA2_Tas_Indig_P,VfDif_SA2_Tas_NonInd_M,VfDif_SA2_Tas_NonInd_F,VfDif_SA2_Tas_NonInd_P,VfDif_SA2_Tas_IndSt_nsM,VfDif_SA2_Tas_IndSt_nsF,VfDif_SA2_Tas_IndSt_nsP,VfDif_SA2_Tas_TotM,VfDif_SA2_Tas_TotF,VfDif_SA2_Tas_TotP,VfDif_SA2_NT_Indig_M,VfDif_SA2_NT_Indig_F,VfDif_SA2_NT_Indig_P,VfDif_SA2_NT_NonInd_M,VfDif_SA2_NT_NonInd_F,VfDif_SA2_NT_NonInd_P,VfDif_SA2_NT_IndSt_nsM,VfDif_SA2_NT_IndSt_nsF,VfDif_SA2_NT_IndSt_nsP,VfDif_SA2_NT_TotM,VfDif_SA2_NT_TotF,VfDif_SA2_NT_TotP,VfDif_SA2_ACT_Indig_M,VfDif_SA2_ACT_Indig_F,VfDif_SA2_ACT_Indig_P,VfDif_SA2_ACT_NonInd_M,VfDif_SA2_ACT_NonInd_F,VfDif_SA2_ACT_NonInd_P,VfDif_SA2_ACT_IndSt_nsM,VfDif_SA2_ACT_IndSt_nsF
IREG501,2369,2480,4847,4853,5187,10036,1038,1043,2081,8258,8709,16965,247,230,474,313,311,625,78,62,135,633,602,1233,584,532,1116,674,651,1318,167,157,326,1418,1344,2762,375,390,763,423,466,887,111,104,215,904,967,1873,656,727,1376,1549,1999,3553,292,371,667,2501,3096,5595,407,461,869,1387,1364,2747,303,264,568,2094,2084,4185,109,145,251,511,389,899,82,87,167,703,620,1317,2195,2310,4503,4476,4848,9328,863,939,1807,7540,8099,15639,14,19,36,30,37,66,11,12,14,54,67,119,11,8,14,271,274,543,28,28,59,312,304,615,5,0,11,480,491,976,47,53,100,535,547,1078,8,0,8,222,241,465,19,18,36,243,263,505,3,0,6,153,150,307,16,26,41,174,174,348,174,178,356,2599,2774,5372,536,574,1108,3312,3524,6839,0,0,3,60,55,116,12,12,22,74,72,143,5,0,0,35,35,72,7,9,18,46,50,97,0,0,3,20,12,33,4,5
IREG502,2983,3126,6114,24093,23729,47826,3808,3153,6960,30894,30009,60902,319,274,594,1249,1246,2499,181,208,391,1754,1734,3491,674,658,1334,2915,2733,5651,488,447,932,4081,3841,7918,496,533,1032,2430,2251,4678,398,351,757,3325,3136,6462,682,699,1377,5446,5689,11136,1076,835,1910,7204,7217,14423,593,675,1269,6953,6863,13815,1083,768,1848,8624,8303,16931,222,287,511,5098,4947,10045,580,544,1120,5899,5781,11675,2778,2935,5715,22173,22261,44431,3161,2821,5983,28107,28020,56123,13,10,27,93,82,172,8,10,20,115,98,217,7,4,12,233,209,448,36,29,65,274,242,514,0,0,4,291,279,570,41,40,82,333,320,656,4,7,11,226,175,398,54,26,79,279,208,487,3,0,3,166,135,299,36,20,56,205,155,358,248,227,472,5194,3898,9091,1888,863,2747,7332,4983,12311,0,5,3,71,50,119,6,7,18,81,56,138,5,3,9,21,17,35,3,5,4,29,25,48,0,0,0,11,10,21,4,5
IREG503,2655,2572,5221,22549,20485,43029,3879,2639,6522,29082,25690,54770,276,243,518,1467,1415,2886,176,146,321,1922,1805,3728,546,488,1024,2882,2747,5628,405,392,794,3831,3621,7449,484,447,932,2534,2209,4739,441,324,764,3458,2984,6440,722,687,1406,6504,6015,12524,1321,817,2139,8553,7527,16072,484,534,1014,6272,5408,11677,1121,649,1766,7876,6582,14464,140,180,323,2890,2680,5564,413,313,728,3442,3174,6617,2469,2367,4835,21062,19290,40353,3430,2402,5831,26960,24064,51018,26,24,44,84,56,136,27,16,46,132,96,233,7,0,4,132,60,195,65,17,91,205,82,289,0,0,0,128,82,214,86,40,124,216,124,338,0,0,3,175,66,243,118,19,139,300,90,389,12,16,27,106,52,153,57,16,70,169,81,252,299,255,550,4894,1610,6504,3734,849,4583,8920,2713,11638,0,0,6,41,18,57,21,7,28,64,27,89,6,0,3,24,15,35,13,0,14,41,18,55,0,0,0,10,3,9,0,0
IREG504,2556,2762,5319,2182,2091,4271,763,729,1494,5499,5585,11082,281,247,529,130,123,254,52,36,87,467,405,866,544,552,1101,229,207,427,105,114,216,876,873,1744,479,507,982,184,193,379,80,77,157,743,774,1514,716,808,1522,712,800,1515,226,248,478,1660,1855,3514,407,504,909,678,628,1305,226,183,412,1309,1310,2624,127,150,274,238,149,384,81,69,151,446,360,812,2412,2626,5033,2005,1915,3923,675,657,1331,5089,5195,10286,29,28,54,15,22,36,18,21,37,64,70,134,10,0,17,222,211,437,36,21,52,265,236,510,4,9,11,327,330,655,37,36,77,370,375,744,6,6,20,253,215,469,30,10,42,294,239,528,0,0,0,131,127,260,11,10,20,139,137,281,127,89,222,1342,1067,2409,318,169,486,1787,1330,3116,0,0,0,32,27,57,12,6,16,43,29,68,12,12,30,81,58,137,14,9,29,108,78,189,0,0,0,23,23,40,0,0
IREG505,19789,19196,38984,927326,960098,1887427,46077,36529,82599,993189,1015822,2009006,2256,2070,4327,59597,56178,115773,1982,1848,3827,63832,60097,123930,4494,4187,8689,123997,117213,241212,4436,4151,8583,132923,125560,258480,3829,3522,7352,115961,112042,228001,4999,4299,9298,124789,119868,244654,5511,5195,10707,268175,280834,549007,16603,11717,28323,290287,297740,588031,2927,3223,6151,224606,236328,460929,12257,7942,20198,239786,247493,487277,771,989,1756,134995,157507,292504,5809,6572,12377,141574,165068,306640,18567,18213,36782,886831,930332,1817166,30712,30245,60960,936123,978785,1914906,50,33,81,1226,1197,2424,76,72,147,1352,1299,2654,26,9,31,723,532,1252,188,58,249,937,602,1536,11,10,22,712,613,1324,121,38,155,838,660,1501,21,7,30,573,293,866,187,33,220,788,335,1119,7,5,16,293,138,429,120,18,133,421,159,577,1368,1278,2649,18372,18435,36801,3161,2997,6153,22903,22704,45607,0,5,12,168,180,347,39,26,67,210,206,422,16,9,23,133,123,255,37,15,53,179,149,333,0,0,0,79,80,158,25,13
IREG506,4206,3908,8113,22194,18236,40430,6026,3554,9576,32428,25698,58126,444,395,839,1748,1637,3381,266,203,471,2461,2232,4688,850,813,1664,3027,2876,5903,578,557,1132,4451,4243,8695,734,633,1364,1967,1687,3651,584,411,992,3278,2727,6010,1303,1145,2452,8660,7501,16164,2665,1468,4136,12633,10120,22757,729,711,1445,5876,3862,9741,1727,805,2533,8334,5382,13718,148,209,353,919,674,1587,208,107,315,1266,987,2255,3943,3622,7566,20921,17169,38086,5679,3305,8985,30543,24098,54637,14,23,38,54,33,94,12,7,24,87,63,151,21,6,29,494,299,794,189,32,218,702,340,1040,9,0,9,547,389,936,196,62,259,753,452,1202,31,12,45,739,247,987,439,60,496,1210,324,1529,5,3,9,359,191,550,152,37,191,521,233,748,551,357,907,13247,5195,18439,7889,1775,9657,21687,7322,29006,3,0,3,123,71,199,49,9,55,176,83,254,11,8,18,74,20,93,34,4,39,114,34,147,0,0,0,22,16,39,10,0
IREG507,7185,7165,14355,192198,198578,390779,15478,12952,28433,214860,218698,433560,794,710,1500,10321,9931,20246,648,585,1228,11753,11224,22981,1697,1695,3389,24986,23675,48664,1707,1683,3382,28387,27055,55444,1373,1276,2649,19551,18324,37869,1441,1270,2711,22362,20875,43233,1629,1584,3208,41149,44601,85750,3973,2958,6933,46750,49145,95893,1273,1389,2659,51848,55571,107419,4706,3472,8177,57827,60432,118256,423,515,933,44350,46474,90829,3006,2988,5992,47779,49974,97754,6637,6689,13322,176829,186737,363565,10961,10886,21846,194417,204317,398733,23,31,58,654,574,1226,30,30,62,707,634,1347,0,3,6,168,160,324,13,12,26,184,173,360,3,0,0,226,191,413,39,17,60,266,206,476,0,0,6,187,138,323,39,20,62,229,164,388,6,3,11,128,86,215,35,18,55,169,113,284,424,384,808,9404,7589,16992,1858,1143,2995,11688,9112,20800,6,5,8,70,81,154,14,7,24,89,97,185,0,4,4,36,35,73,8,4,11,41,43,87,0,0,0,5,17,25,0,3
IREG508,2145,2096,4238,930,866,1790,481,534,1017,3548,3492,7045,209,198,412,41,24,72,32,36,61,278,264,541,392,373,768,73,57,128,80,90,169,544,516,1059,366,361,729,60,94,157,58,78,140,490,530,1023,669,627,1290,302,316,618,130,177,310,1098,1119,2220,413,403,813,288,268,561,133,115,250,836,791,1624,102,126,228,158,102,259,51,42,90,305,270,575,2018,1965,3982,850,793,1648,450,498,947,3312,3258,6575,16,17,37,3,3,9,3,3,10,23,23,50,5,0,5,100,102,204,16,16,38,120,129,246,0,0,0,152,148,303,32,31,65,182,184,365,3,3,3,102,94,203,16,19,32,124,114,238,0,0,0,58,54,113,15,3,16,69,64,131,91,92,187,578,461,1039,173,108,278,838,662,1503,0,0,0,16,13,31,0,0,0,16,13,31,0,0,0,7,14,18,5,0,5,14,8,28,0,0,0,5,8,20,0,0
IREG594,819,683,1495,3052,2281,5333,778,450,1228,4639,3416,8055,36,37,69,92,91,188,25,16,42,149,153,300,36,46,82,187,166,349,24,18,40,244,230,473,88,106,188,268,237,507,62,68,126,414,410,820,336,269,603,1105,870,1979,305,163,467,1753,1309,3053,281,183,458,959,632,1593,265,134,403,1510,950,2455,46,40,84,434,281,715,94,53,150,578,373,951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IREG597,7,3,9,256,32,293,193,19,218,455,58,514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,10,22,15,9,18,30,13,42,6,0,4,145,16,156,109,11,119,262,28,284,4,0,5,90,10,97,66,7,72,156,16,172,0,0,0,6,5,10,7,0,8,14,4,18,7,3,9,251,33,285,193,20,214,455,57,511,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,66,9,75,49,6,59,121,20,134,0,0,0,39,8,52,31,3,34,72,7,82,0,0,3,102,13,118,68,7,68,173,22,192,0,0,0,34,6,40,20,4,26,53,4,64,25,3,25,1030,186,1213,857,79,933,1906,271,2175,0,0,0,25,4,29,15,0,15,35,4,42,0,0,0,24,5,27,14,0,13,39,0,47,0,0,0,3,0,6,0,0
