IREG_CODE_2021,VfDif_SA2_ACT_IndSt_nsP,VfDif_SA2_ACT_TotM,VfDif_SA2_ACT_TotF,VfDif_SA2_ACT_TotP,VfDif_SA2_OT_Indig_M,VfDif_SA2_OT_Indig_F,VfDif_SA2_OT_Indig_P,VfDif_SA2_OT_NonInd_M,VfDif_SA2_OT_NonInd_F,VfDif_SA2_OT_NonInd_P,VfDif_SA2_OT_IndSt_nsM,VfDif_SA2_OT_IndSt_nsF,VfDif_SA2_OT_IndSt_nsP,VfDif_SA2_OT_TotM,VfDif_SA2_OT_TotF,VfDif_SA2_OT_TotP,VfDif_SA2_T_DSA2_Indig_M,VfDif_SA2_T_DSA2_Indig_F,VfDif_SA2_T_DSA2_Indig_P,VfDif_SA2_T_DSA2_NonInd_M,VfDif_SA2_T_DSA2_NonInd_F,VfDif_SA2_T_DSA2_NonInd_P,VfDif_SA2_T_DSA2_IndSt_nsM,VfDif_SA2_T_DSA2_IndSt_nsF,VfDif_SA2_T_DSA2_IndSt_nsP,VfDif_SA2_T_DSA2_TotM,VfDif_SA2_T_DSA2_TotF,VfDif_SA2_T_DSA2_TotP,Vis_Tot_vis_Indig_M,Vis_Tot_vis_Indig_F,Vis_Tot_vis_Indig_P,Vis_Tot_vis_NonInd_M,Vis_Tot_vis_NonInd_F,Vis_Tot_vis_NonInd_P,Vis_Tot_vis_IndigStat_nsM,Vis_Tot_vis_IndigStat_nsF,Vis_Tot_vis_IndigStat_nsP,Vis_Tot_visitors_TotM,Vis_Tot_visitors_TotF,Vis_Tot_visitors_TotP,LuaH_Eng_onl_Indig_M,LuaH_Eng_onl_Indig_F,LuaH_Eng_onl_Indig_P,LuaH_Eng_onl_NonInd_M,LuaH_Eng_onl_NonInd_F,LuaH_Eng_onl_NonInd_P,LuaH_Eng_on_Ind_sta_nsM,LuaH_Eng_on_Ind_sta_nsF,LuaH_Eng_on_Ind_sta_nsP,LuaH_Eng_only_TotM,LuaH_Eng_only_TotF,LuaH_Eng_only_TotP,LuaH_Aus_Ind_Lang_Ind_M,LuaH_Aus_Ind_Lang_Ind_F,LuaH_Aus_Ind_Lang_Ind_P,LuaH_Aus_Ind_Lang_No_Ind_M,LuaH_Aus_Ind_Lang_No_Ind_F,LuaH_Aus_Ind_Lang_No_Ind_P,Luah_Aus_Ind_Lang_IndSt_nsM,Luah_Aus_Ind_Lang_IndSt_nsF,Luah_Aus_Ind_Lang_IndSt_nsP,Luah_Austn_Indig_Lang_TotM,Luah_Austn_Indig_Lang_TotF,Luah_Austn_Indig_Lang_TotP,LuaH_Oth_Lang_Ind_M,LuaH_Oth_Lang_Ind_F,LuaH_Oth_Lang_Ind_P,LuaH_Oth_Lang_No_Ind_M,LuaH_Oth_Lang_No_Ind_F,LuaH_Oth_Lang_No_Ind_P,Luah_Oth_Lang_IndSt_nsM,Luah_Oth_Lang_IndSt_nsF,Luah_Oth_Lang_IndSt_nsP,Luah_Oth_Lang_TotM,Luah_Oth_Lang_TotF,Luah_Oth_Lang_TotP,UAIndL_SE_Nw_Na_In_M,UAIndL_SE_Nw_Na_In_F,UAIndL_SE_Nw_Na_In_P,UAIndL_SE_Nw_Na_No_In_M,UAIndL_SE_Nw_Na_No_In_F,UAIndL_SE_Nw_Na_No_In_P,UAIndL_SE_Nw_Na_In_st_nsM,UAIndL_SE_Nw_Na_In_st_nsF,UAIndL_SE_Nw_Na_In_st_nsP,UAIndL_SE_Nw_Na_TotM,UAIndL_SE_Nw_Na_TotF,UAIndL_SE_Nw_Na_TotP,UAIndL_SE_Vw_wel_In_M,UAIndL_SE_Vw_wel_In_F,UAIndL_SE_Vw_wel_In_P,UAIndL_SE_Vw_we_No_In_M,UAIndL_SE_Vw_we_No_In_F,UAIndL_SE_Vw_we_No_In_P,UAIndL_SE_Vw_we_I_st_nsM,UAIndL_SE_Vw_we_I_st_nsF,UAIndL_SE_Vw_we_I_st_nsP,UAIndL_SE_Vw_we_TotM,UAIndL_SE_Vw_we_TotF,UAIndL_SE_Vw_we_TotP,Rel_a_Bud_Ind_M,Rel_a_Bud_Ind_F,Rel_a_Bud_Ind_P,Rel_a_Bud_No_In_M,Rel_a_Bud_No_In_F,Rel_a_Bud_No_In_P,Rel_a_Bud_In_st_nsM,Rel_a_Bud_In_st_nsF,Rel_a_Bud_In_st_nsP,Rel_a_Bud_TotM,Rel_a_Bud_TotF,Rel_a_Bud_TotP,Rel_a_Chri_Ind_M,Rel_a_Chri_Ind_F,Rel_a_Chri_Ind_P,Rel_a_Chri_No_In_M,Rel_a_Chri_No_In_F,Rel_a_Chri_No_In_P,Rel_a_Chri_In_st_nsM,Rel_a_Chri_In_st_nsF,Rel_a_Chri_In_st_nsP,Rel_a_Chri_TotM,Rel_a_Chri_TotF,Rel_a_Chri_TotP,Rel_a_Hind_Ind_M,Rel_a_Hind_Ind_F,Rel_a_Hind_Ind_P,Rel_a_Hind_No_In_M,Rel_a_Hind_No_In_F,Rel_a_Hind_No_In_P,Rel_a_Hind_In_st_nsM,Rel_a_Hind_In_st_nsF,Rel_a_Hind_In_st_nsP,Rel_a_Hind_TotM,Rel_a_Hind_TotF,Rel_a_Hind_TotP,Rel_a_Isl_Ind_M,Rel_a_Isl_Ind_F,Rel_a_Isl_Ind_P,Rel_a_Isl_No_In_M,Rel_a_Isl_No_In_F,Rel_a_Isl_No_In_P,Rel_a_Isl_In_st_nsM,Rel_a_Isl_In_st_nsF,Rel_a_Isl_In_st_nsP,Rel_a_Isl_TotM,Rel_a_Isl_TotF,Rel_a_Isl_TotP,Rel_a_Jud_Ind_M,Rel_a_Jud_Ind_F,Rel_a_Jud_Ind_P,Rel_a_Jud_No_In_M,Rel_a_Jud_No_In_F,Rel_a_Jud_No_In_P,Rel_a_Jud_In_st_nsM,Rel_a_Jud_In_st_nsF,Rel_a_Jud_In_st_nsP,Rel_a_Jud_TotM,Rel_a_Jud_TotF,Rel_a_Jud_TotP,Rel_a_Oth_Rel_Ind_M,Rel_a_Oth_Rel_Ind_F,Rel_a_Oth_Rel_Ind_P,Rel_a_Oth_Rel_No_In_M,Rel_a_Oth_Rel_No_In_F,Rel_a_Oth_Rel_No_In_P,Rel_a_Oth_Rel_In_st_nsM,Rel_a_Oth_Rel_In_st_nsF,Rel_a_Oth_Rel_In_st_nsP,Rel_a_Oth_Rel_TotM,Rel_a_Oth_Rel_TotF,Rel_a_Oth_Rel_TotP,Rel_a_Oth_Rel_ORG_Ind_M,Rel_a_Oth_Rel_ORG_Ind_F,Rel_a_Oth_Rel_ORG_Ind_P,Rel_a_Oth_Rel_ORG_No_In_M,Rel_a_Oth_Rel_ORG_No_In_F,Rel_a_Oth_Rel_ORG_No_In_P,Rel_a_Oth_Rel_ORG_In_st_nsM,Rel_a_Oth_Rel_ORG_In_st_nsF,Rel_a_Oth_Rel_ORG_In_st_nsP,Rel_a_Oth_Rel_ORG_TotM,Rel_a_Oth_Rel_ORG_TotF,Rel_a_Oth_Rel_ORG_TotP,Rel_a_Oth_Rel_Tor_Ind_M,Rel_a_Oth_Rel_Tor_Ind_F,Rel_a_Oth_Rel_Tor_Ind_P,Rel_a_Oth_Rel_Tor_No_In_M,Rel_a_Oth_Rel_Tor_No_In_F,Rel_a_Oth_Rel_Torud_No_In_P,Rel_a_Oth_Rel_Tor_In_st_nsM,Rel_a_Oth_Rel_Tor_In_st_nsF,Rel_a_Oth_Rel_Tor_In_st_nsP,Rel_a_Oth_Rel_Tor_TotM,Rel_a_Oth_Rel_Tor_TotF,Rel_a_Oth_Rel_Tor_TotP,Rel_a_SecB_OSB_NRA_Ind_M,Rel_a_SecB_OSB_NRA_Ind_F,Rel_a_SecB_OSB_NRA_Ind_P,Rel_a_SecB_OSB_NRA_No_In_M
IREG501,7,27,18,47,0,0,0,0,0,0,0,0,0,0,0,0,205,192,397,3845,4040,7885,668,724,1389,4716,4952,9666,217,216,431,3873,4076,7950,674,729,1407,4768,5014,9784,1781,1886,3668,4254,4418,8666,52,42,91,6090,6346,12431,353,422,773,6,11,20,0,0,0,364,436,793,13,11,23,530,709,1241,9,11,15,547,729,1280,17,21,30,0,0,0,0,0,0,17,21,30,329,394,723,6,11,20,0,0,0,334,407,739,4,6,10,47,134,180,0,4,4,53,141,193,1282,1511,2793,1480,1791,3269,32,24,58,2796,3319,6118,0,0,0,33,24,58,0,0,0,33,24,58,4,3,3,48,35,82,0,0,0,47,37,82,0,0,0,4,7,11,0,0,0,4,7,11,15,20,38,0,0,0,0,0,0,15,20,38,0,7,6,20,25,45,0,0,0,20,27,54,20,24,42,20,25,45,0,0,0,34,48,87,761,718,1481,3059
IREG502,6,17,15,27,0,0,0,0,0,0,0,0,0,0,0,0,267,248,516,6204,4769,10977,2068,988,3055,8545,6003,14548,280,260,540,6304,4847,11149,2079,992,3070,8666,6107,14768,2506,2780,5284,21978,21381,43358,195,165,361,24678,24325,49001,163,149,312,5,4,8,0,3,3,175,154,329,22,17,36,1831,2079,3917,14,20,34,1866,2115,3986,12,9,17,0,0,0,0,0,0,12,9,17,149,142,291,5,4,8,0,3,3,155,148,305,3,10,14,202,360,567,5,5,7,208,371,585,1118,1384,2505,10955,12334,23287,113,110,219,12191,13821,26011,0,0,0,113,95,211,0,0,0,113,96,215,6,4,5,302,322,626,3,3,7,310,327,642,0,0,0,9,16,25,0,0,0,9,16,25,26,19,43,0,0,0,0,0,0,26,19,43,3,10,12,92,113,203,0,0,0,92,124,219,31,20,53,92,113,203,0,0,0,122,134,258,1472,1476,2945,11715
IREG503,0,10,6,12,0,0,0,0,0,0,0,0,0,0,0,0,317,278,592,5510,1914,7420,4089,960,5054,9913,3150,13066,333,302,638,5589,1966,7561,4118,978,5099,10051,3246,13293,1513,1448,2957,19885,17923,37805,143,136,281,21541,19505,41042,770,899,1674,11,5,16,5,0,5,782,909,1693,18,23,44,2359,2344,4701,10,15,24,2391,2379,4772,55,46,104,0,0,0,0,0,0,53,46,102,704,839,1545,11,5,16,0,0,3,718,851,1561,3,0,9,185,298,484,0,5,5,187,308,497,899,1000,1904,8854,9158,18014,82,76,159,9835,10241,20073,0,0,0,229,188,413,0,0,0,228,191,420,0,0,0,209,140,345,0,0,0,209,143,350,0,0,0,10,10,17,0,0,0,12,10,19,89,91,183,0,3,3,0,0,0,89,93,183,0,3,5,104,123,225,0,0,0,103,123,231,90,99,186,104,128,231,0,0,0,192,220,419,1207,1139,2342,12157
IREG504,0,22,28,46,0,0,0,0,0,0,0,0,0,0,0,0,168,124,292,2411,2059,4463,456,269,726,3032,2452,5482,197,156,346,2423,2079,4498,477,288,760,3094,2520,5612,1369,1547,2917,1890,1771,3667,54,56,111,3315,3377,6696,991,1050,2040,10,4,16,0,5,6,998,1064,2059,25,17,43,243,294,540,3,0,8,276,312,586,68,59,126,0,0,0,0,0,0,68,59,122,882,959,1843,10,4,16,0,4,3,891,966,1860,3,0,3,22,51,74,0,0,0,24,51,79,1521,1716,3237,726,834,1562,25,32,49,2271,2582,4853,0,0,0,25,15,36,0,0,0,25,15,36,3,0,3,10,16,31,0,0,0,15,16,30,0,0,0,0,0,11,0,0,0,0,0,11,100,104,203,0,0,0,0,4,4,100,107,203,3,0,3,13,10,22,0,0,0,19,10,24,101,108,207,13,10,22,0,4,4,113,115,229,648,662,1304,1296
IREG505,40,106,90,196,0,0,0,42,31,73,0,4,7,40,36,82,1446,1332,2782,21093,20413,41500,3884,3198,7080,26420,24940,51361,1494,1363,2866,22314,21610,43925,3962,3264,7229,27776,26241,54017,16427,17026,33459,710637,722283,1432924,2678,2654,5331,729747,741962,1471707,802,919,1726,51,62,116,0,4,4,851,989,1843,317,254,569,204768,227181,431946,498,626,1126,205578,228063,433647,26,26,43,0,0,3,0,0,0,21,26,48,768,888,1650,46,64,108,0,4,4,810,952,1766,89,73,162,21983,29742,51719,53,94,146,22126,29913,52034,5563,6463,12022,378663,443381,822049,1546,1911,3451,385767,451754,837524,11,12,20,25275,23760,49035,35,48,81,25318,23818,49132,98,91,184,32003,30086,62094,114,105,224,32219,30288,62501,9,9,11,2574,2771,5347,11,15,25,2584,2796,5379,63,47,113,0,7,5,0,0,0,64,57,122,49,86,137,12926,13206,26128,26,36,61,12997,13330,26326,111,138,251,12924,13211,26140,26,36,66,13061,13385,26443,11624,11482,23106,425080
IREG506,10,33,22,53,0,0,0,0,0,0,0,0,0,0,0,0,629,391,1021,15614,6424,22032,8945,1985,10934,25184,8802,33988,644,415,1062,15669,6458,22129,8953,1991,10955,25272,8873,34145,2768,2598,5370,18837,15195,34034,125,106,232,21732,17903,39632,988,1001,1986,14,20,31,0,5,6,999,1018,2020,63,39,104,3094,2860,5957,19,16,34,3177,2919,6097,78,64,138,0,0,0,0,0,0,76,66,141,898,921,1819,9,13,29,0,0,3,911,941,1851,9,9,14,307,468,772,0,0,0,310,476,787,1264,1387,2647,7778,6858,14643,55,42,94,9094,8287,17386,5,0,7,364,279,640,0,0,0,371,278,649,22,3,28,463,366,831,0,0,4,486,378,860,0,0,0,22,13,31,0,0,0,22,13,31,196,171,368,0,4,3,0,0,0,199,173,373,7,7,13,105,101,202,5,0,5,116,107,222,201,175,381,109,101,210,4,0,4,316,279,595,2166,1971,4129,12467
IREG507,7,10,16,27,0,0,0,4,3,11,0,5,5,4,9,15,441,408,847,10235,8294,18530,2014,1232,3245,12684,9937,22616,468,436,905,10885,8869,19757,2040,1261,3301,13395,10573,23963,6299,6536,12834,177223,182210,359429,1255,1304,2561,184775,190044,374823,268,294,561,18,29,47,3,6,5,292,328,616,74,58,135,11979,14108,26090,100,83,184,12162,14247,26411,5,6,10,0,0,0,0,0,0,10,3,15,258,284,537,16,27,40,3,6,5,275,312,587,28,26,55,1149,2139,3295,11,19,30,1193,2187,3376,2102,2438,4540,78591,92934,171535,646,738,1382,81345,96111,177454,5,6,10,769,732,1499,0,0,3,772,740,1508,13,10,22,1114,1046,2163,16,7,24,1143,1062,2206,0,0,7,97,90,185,0,0,0,97,90,189,26,28,54,0,5,6,0,0,0,30,29,54,22,46,71,833,1177,2010,14,9,22,871,1235,2101,51,72,123,836,1175,2013,14,9,22,897,1262,2159,4346,4273,8625,102228
IREG508,0,5,13,19,0,0,0,0,0,0,0,0,0,0,0,0,102,102,203,1020,901,1920,256,186,437,1378,1186,2560,120,118,238,1032,900,1930,257,194,446,1404,1209,2609,781,834,1621,779,713,1491,10,10,22,1573,1554,3130,1026,1086,2114,4,0,3,6,0,6,1030,1090,2122,6,0,11,122,124,240,0,0,0,129,132,255,105,81,184,0,0,0,0,0,0,105,81,184,894,979,1871,4,0,3,6,0,6,901,981,1874,0,0,0,7,15,25,0,0,0,7,19,27,833,1011,1843,358,354,717,9,3,9,1199,1370,2569,0,0,0,10,5,14,0,0,0,10,5,14,0,0,0,23,12,28,0,0,0,23,12,28,0,0,0,0,0,0,0,0,0,0,0,0,45,33,84,0,0,0,0,0,0,45,33,84,4,4,10,9,9,17,0,0,0,13,11,21,49,41,90,9,9,17,0,0,0,62,44,103,571,482,1048,462
IREG594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198,173,371,1966,1708,3672,24,16,39,2185,1896,4079,8,15,21,0,0,0,0,0,0,14,15,24,3,0,3,232,228,459,0,0,4,231,228,462,0,0,3,0,0,0,0,0,0,0,0,3,6,12,18,0,0,0,0,0,0,5,12,21,0,0,0,32,16,40,0,0,0,27,16,48,54,63,115,710,714,1425,4,9,17,772,780,1550,0,0,0,17,8,23,0,0,0,17,8,23,0,0,0,33,27,57,0,0,0,33,27,57,0,0,0,6,7,15,0,0,0,10,7,14,0,0,3,0,0,0,0,0,0,0,4,5,0,4,6,16,14,33,0,0,0,15,20,40,3,5,4,16,20,34,0,0,0,17,24,40,138,116,250,1298
IREG597,0,3,4,6,0,0,0,0,0,0,0,0,0,0,0,0,31,5,36,1321,230,1554,1053,101,1154,2404,338,2739,31,5,36,1321,230,1554,1053,101,1154,2404,338,2739,6,3,11,195,28,221,3,0,3,206,29,232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,4,69,0,0,0,60,4,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,11,0,0,0,5,3,11,3,0,3,110,14,120,0,0,0,112,14,124,0,0,0,4,0,4,0,0,0,4,0,4,0,0,0,9,0,9,0,0,0,11,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,118
