IREG_CODE_2021,S_Eng_on_Sp_Eng_on,S_Eng_o_UAILE_Vw_w,S_Eng_o_UAILE_Nw_nal,S_Eng_o_UAILE_Tot,S_Eng_o_Ns,S_Eng_o_Tot,UAIL_AIL_nfd_Sp_Eng_on,UAIL_AIL_nfd_UAILE_Vw_w,UAIL_AIL_nfd_UAILE_Nw_nal,UAIL_AIL_nfd_UAILE_Tot,UAIL_AIL_nfd_Ns,UAIL_AIL_nfd_Tot,UAIL_ALDRRL_Sp_Eng_on,UAIL_ALDRRL_UAILE_Vw_w,UAIL_ALDRRL_UAILE_Nw_nal,UAIL_ALDRRL_UAILE_Tot,UAIL_ALDRRL_Ns,UAIL_ALDRRL_Tot,UAIL_Yol_Mat_Sp_Eng_on,UAIL_Yol_Mat_UAILE_Vw_w,UAIL_Yol_Mat_UAILE_Nw_nal,UAIL_Yol_Mat_UAILE_Tot,UAIL_Yol_Mat_Ns,UAIL_Yol_Mat_Tot,UAIL_CYPL_Sp_Eng_on,UAIL_CYPL_UAILE_Vw_w,UAIL_CYPL_UAILE_Nw_nal,UAIL_CYPL_UAILE_Tot,UAIL_CYPL_Ns,UAIL_CYPL_Tot,UAIL_TSIL_Sp_Eng_on,UAIL_TSIL_UAILE_Vw_w,UAIL_TSIL_UAILE_Nw_nal,UAIL_TSIL_UAILE_Tot,UAIL_TSIL_Ns,UAIL_TSIL_Tot,UAIL_NDFAL_Sp_Eng_on,UAIL_NDFAL_UAILE_Vw_w,UAIL_NDFAL_UAILE_Nw_nal,UAIL_NDFAL_UAILE_Tot,UAIL_NDFAL_Ns,UAIL_NDFAL_Tot,UAIL_Arand_Sp_Eng_on,UAIL_Arand_UAILE_Vw_w,UAIL_Arand_UAILE_Nw_nal,UAIL_Arand_UAILE_Tot,UAIL_Arand_Ns,UAIL_Arand_Tot,UAIL_WDL_Sp_Eng_on,UAIL_WDL_UAILE_Vw_w,UAIL_WDL_UAILE_Nw_nal,UAIL_WDL_UAILE_Tot,UAIL_WDL_UAILE_Ns,UAIL_WDL_Tot,UAIL_KAL_Sp_Eng_on,UAIL_KAL_UAILE_Vw_w,UAIL_KAL_UAILE_Nw_nal,UAIL_KAL_UAILE_Tot,UAIL_KAL_Ns,UAIL_KAL_Tot,UAIL_OAIL_Sp_Eng_on,UAIL_OAIL_UAILE_Vw_w,UAIL_OAIL_UAILE_Nw_nal,UAIL_OAIL_UAILE_Tot,UAIL_OAIL_Ns,UAIL_OAIL_Tot,UAIL_TAIL_Sp_Eng_on,UAIL_TAIL_UAILE_Vw_w,UAIL_TAIL_UAILE_Nw_nal,UAIL_TAIL_UAILE_Tot,UAIL_TAIL_Ns,UAIL_TAIL_Tot,Uol_Sp_Eng_on,Uol_UAILE_Vw_w,Uol_UAILE_Nw_nal,Uol_UAILE_Tot,Uol_NS,Uol_Tot,Luah_ns_Sp_Eng_on,Luah_ns_UAILE_Vw_w,Luah_ns_UAILE_Nw_nal,Luah_ns_UAILE_Tot,Luah_ns_Ns,Luah_ns_Tot,Tot_Sp_Eng_on,Tot_UAILE_Vw_w,Tot_UAILE_Nw_nal,Tot_UAILE_Tot,Tot_Ns,Tot_Tot
IREG501,3668,..,..,..,..,3668,..,50,5,51,4,55,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,21,0,23,0,23,..,0,0,0,0,0,..,39,7,44,0,44,..,334,7,342,23,358,..,278,14,291,0,291,..,723,30,755,25,773,..,20,4,19,7,23,..,121,18,135,247,381,3668,858,54,907,269,4847
IREG502,5284,..,..,..,..,5284,..,36,0,36,0,36,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,3,0,3,..,0,0,0,0,0,..,38,4,42,0,43,..,0,0,0,0,0,..,208,11,220,0,225,..,291,17,308,10,312,..,27,4,31,6,36,..,124,4,131,348,476,5284,447,26,469,358,6114
IREG503,2957,..,..,..,..,2957,..,64,5,69,0,68,..,0,0,3,0,3,..,0,0,0,0,0,..,5,4,6,0,6,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,1406,92,1495,25,1520,..,0,0,0,0,0,..,69,0,71,0,69,..,1545,104,1644,26,1674,..,36,11,44,0,44,..,160,19,179,369,549,2957,1746,125,1870,392,5221
IREG504,2917,..,..,..,..,2917,..,33,0,36,0,36,..,14,0,14,0,14,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,511,44,554,37,586,..,0,0,0,0,0,..,379,36,412,7,418,..,512,18,535,19,553,..,388,25,414,19,433,..,1843,126,1965,77,2040,..,30,7,34,7,43,..,106,25,130,187,322,2917,1976,155,2131,278,5319
IREG505,33459,..,..,..,..,33459,..,251,11,263,9,270,..,10,0,9,0,9,..,3,0,3,0,3,..,0,0,0,0,0,..,42,4,44,0,44,..,25,0,25,0,25,..,9,0,9,0,9,..,123,7,128,0,128,..,57,0,57,4,63,..,1131,27,1161,12,1175,..,1650,43,1698,25,1726,..,431,111,543,23,569,..,902,58,961,2275,3227,33459,2981,216,3198,2325,38984
IREG506,5370,..,..,..,..,5370,..,85,3,94,0,95,..,25,0,26,0,26,..,0,0,0,0,0,..,4,0,4,0,6,..,72,5,81,0,78,..,9,0,9,0,9,..,4,0,4,0,4,..,764,90,860,10,868,..,9,0,9,0,9,..,845,37,883,9,892,..,1819,138,1964,23,1986,..,82,13,93,7,104,..,303,18,316,344,660,5370,2204,170,2374,379,8113
IREG507,12834,..,..,..,..,12834,..,83,6,88,0,87,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,10,0,10,0,10,..,0,0,0,0,0,..,16,0,16,0,16,..,12,0,12,0,12,..,414,9,424,8,433,..,537,10,554,10,561,..,101,27,128,7,135,..,242,17,256,562,824,12834,879,62,937,579,14355
IREG508,1621,..,..,..,..,1621,..,33,3,34,9,49,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,226,21,248,0,248,..,3,0,3,0,3,..,22,4,23,0,23,..,283,9,291,12,300,..,1305,151,1451,39,1489,..,1871,184,2053,58,2114,..,8,0,10,4,11,..,90,144,231,262,496,1621,1968,329,2295,321,4238
IREG594,371,..,..,..,..,371,..,7,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,6,0,6,0,6,..,8,0,8,0,8,..,0,0,0,0,6,..,18,3,18,0,21,..,0,0,3,0,3,..,16,0,26,1079,1102,371,39,4,44,1079,1495
IREG597,11,..,..,..,..,11,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,11,0,0,0,0,9
