IREG_CODE_2021,Rel_a_SecB_OSB_NRA_No_In_F,Rel_a_SecB_OSB_NRA_No_In_P,Rel_a_SecB_OSB_NRA_In_st_nsM,Rel_a_SecB_OSB_NRA_In_st_nsF,Rel_a_SecB_OSB_NRA_In_st_nsP,Rel_a_SecB_OSB_NRA_TotM,Rel_a_SecB_OSB_NRA_TotF,Rel_a_SecB_OSB_NRA_TotP,Rel_a_Rel_a_ns_Ind_M,Rel_a_Rel_a_ns_Ind_F,Rel_a_Rel_a_ns_Ind_P,Rel_a_Rel_a_ns_No_In_M,Rel_a_Rel_a_ns_No_In_F,Rel_a_Rel_a_ns_No_In_P,Rel_a_Rel_a_ns_In_st_nsM,Rel_a_Rel_a_ns_In_st_nsF,Rel_a_Rel_a_ns_In_st_nsP,Rel_a_Rel_a_ns_TotM,Rel_a_Rel_a_ns_TotF,Rel_a_Rel_a_ns_TotP,APAEI_0_4_Ind_M,APAEI_0_4_Ind_F,APAEI_0_4_Ind_P,APAEI_0_4_No_Ind_M,APAEI_0_4_No_Ind_F,APAEI_0_4_No_Ind_P,APAEI_0_4_In_st_nsM,APAEI_0_4_In_st_nsF,APAEI_0_4_In_st_nsP,APAEI_0_4_TotM,APAEI_0_4_TotF,APAEI_0_4_TotP,APAEI_5_14_Ind_M,APAEI_5_14_Ind_F,APAEI_5_14_Ind_P,APAEI_5_14_No_In_M,APAEI_5_14_No_In_F,APAEI_5_14_No_In_P,APAEI_5_14_In_st_nsM,APAEI_5_14_In_st_nsF,APAEI_5_14_In_st_nsP,APAEI_5_14_TotM,APAEI_5_14_TotF,APAEI_5_14_TotP,APAEI_15_19_Ind_M,APAEI_15_19_Ind_F,APAEI_15_19_Ind_P,APAEI_15_19_No_In_M,APAEI_15_19_No_In_F,APAEI_15_19_No_In_P,APAEI_15_19_i_st_nsM,APAEI_15_19_i_st_nsF,APAEI_15_19_i_st_nsP,APAEI_15_19_TotM,APAEI_15_19_TotF,APAEI_15_19_TotP,APAEI_20_24_Ind_M,APAEI_20_24_Ind_F,APAEI_20_24_Ind_P,APAEI_20_24_No_Ind_M,APAEI_20_24_No_Ind_F,APAEI_20_24_No_Ind_P,APAEI_20_24_In_st_nsM,APAEI_20_24_In_st_nsF,APAEI_20_24_In_st_nsP,APAEI_20_24_TotM,APAEI_20_24_TotF,APAEI_20_24_TotP,APAEI_25ov_Ind_M,APAEI_25ov_Ind_F,APAEI_25ov_Ind_P,APAEI_25ov_No_Ind_M,APAEI_25ov_No_Ind_F,APAEI_25ov_No_Ind_P,APAEI_25ov_In_st_nsM,APAEI_25ov_In_st_nsF,APAEI_25ov_In_st_nsP,APAEI_25ov_TotM,APAEI_25ov_TotF,APAEI_25ov_TotP,HYSC_Y12_e_Ind_M,HYSC_Y12_e_Ind_F,HYSC_Y12_e_Ind_P,HYSC_Y12_e_No_In_M,HYSC_Y12_e_No_In_F,HYSC_Y12_e_No_In_P,HYSC_Y12_e_In_st_nsM,HYSC_Y12_e_In_st_nsF,HYSC_Y12_e_In_st_nsP,HYSC_Y12_e_TotM,HYSC_Y12_e_TotF,HYSC_Y12_e_TotP,HYSC_Y11_e_Ind_M,HYSC_Y11_e_Ind_F,HYSC_Y11_e_Ind_P,HYSC_Y11_e_No_In_M,HYSC_Y11_e_No_In_F,HYSC_Y11_e_No_In_P,HYSC_Y11_e_In_s_nsM,HYSC_Y11_e_In_s_nsF,HYSC_Y11_e_In_s_nsP,HYSC_Y11_e_TotM,HYSC_Y11_e_TotF,HYSC_Y11_e_TotP,HYSC_Y10_e_Ind_M,HYSC_Y10_e_Ind_F,HYSC_Y10_e_Ind_P,HYSC_Y10_e_No_In_M,HYSC_Y10_e_No_In_F,HYSC_Y10_e_No_In_P,HYSC_Y10_e_In_s_nsM,HYSC_Y10_e_In_s_nsF,HYSC_Y10_e_In_s_nsP,HYSC_Y10_e_TotM,HYSC_Y10_e_TotF,HYSC_Y10_e_TotP,HYSC_Y9_e_Ind_M,HYSC_Y9_e_Ind_F,HYSC_Y9_e_Ind_P,HYSC_Y9_e_No_In_M,HYSC_Y9_e_No_In_F,HYSC_Y9_e_No_In_P,HYSC_Y9_e_In_st_nsM,HYSC_Y9_e_In_st_nsF,HYSC_Y9_e_In_st_nsP,HYSC_Y9_e_TotM,HYSC_Y9_e_TotF,HYSC_Y9_e_TotP,HYSC_Y8_bel_Ind_M,HYSC_Y8_bel_Ind_F,HYSC_Y8_bel_Ind_P,HYSC_Y8_bel_No_Ind_M,HYSC_Y8_bel_No_Ind_F,HYSC_Y8_bel_No_Ind_P,HYSC_Y8_be_In_st_nsM,HYSC_Y8_be_In_st_nsF,HYSC_Y8_be_In_st_nsP,HYSC_Y8_bel_TotM,HYSC_Y8_bel_TotF,HYSC_Y8_bel_TotP,HYSC_Dng_to_sc_Ind_M,HYSC_Dng_to_sc_Ind_F,HYSC_Dng_to_sc_Ind_P,HYSC_Dng_to_sc_No_In_M,HYSC_Dng_to_sc_No_In_F,HYSC_Dng_to_sc_No_In_P,HYSC_Dng_sc_In_st_nsM,HYSC_Dng_sc_In_st_nsF,HYSC_Dng_sc_In_st_nsP,HYSC_Dng_to_sc_TotM,HYSC_Dng_to_sc_TotF,HYSC_Dng_to_sc_TotP,Tpe_ur_occ_pvte_dwg_Sh_Indi_M,Tpe_ur_occ_pvte_dwg_Sh_Indi_F,Tpe_ur_occ_pvte_dwg_Sh_Indi_P,Tpe_ur_occ_pte_dw_Sh_No_Ind_M,Tpe_ur_occ_pte_dw_Sh_No_Ind_F,Tpe_ur_occ_pte_dw_Sh_No_Ind_P,T_ur_occ_pte_dw_Sh_In_st_nsM,T_ur_occ_pte_dw_Sh_In_st_nsF,T_ur_occ_pte_dw_Sh_In_st_nsP,Tpe_ur_occ_pvte_dwg_Sh_TotM,Tpe_ur_occ_pvte_dwg_Sh_TotF,Tpe_ur_occ_pvte_dwg_Sh_TotP,T_ur_oc_p_dw_im_h_t_s_o_In_M,T_ur_oc_p_dw_im_h_t_s_o_In_F,T_ur_oc_p_dw_im_h_t_s_o_In_P,T_ur_o_pr_d_I_h_t_s_o_No_In_M,T_ur_o_pr_d_I_h_t_s_o_No_In_F,T_ur_o_pr_d_I_h_t_s_o_No_In_P,T_ur_o_p_d_I_h_t_s_o_i_s_nsM,T_ur_o_p_d_I_h_t_s_o_i_s_nsF,T_ur_o_p_d_I_h_t_s_o_i_s_nsP,T_ur_o_p_d_I_h_t_s_o_TotM,T_ur_o_p_d_I_h_t_s_o_TotF,T_ur_o_p_d_I_h_t_s_o_TotP,Ty_ur_oc_p_dw_Ot_p_dw_In_M,Ty_ur_oc_p_dw_Ot_p_dw_In_F,Ty_ur_oc_p_dw_Ot_p_dw_In_P,Ty_ur_o_pr_d_Ot_pr_d_No_In_M,Ty_ur_o_pr_d_Ot_pr_d_No_In_F,Ty_ur_o_pr_d_Ot_pr_d_No_In_P,Ty_ur_o_p_d_O_p_d_In_st_nsM,Ty_ur_o_p_d_O_p_d_In_st_nsF,Ty_ur_o_p_d_O_p_d_In_st_nsP,Ty_ur_oc_pr_dw_Ot_pr_dw_TotM,Ty_ur_oc_pr_dw_Ot_pr_dw_TotF,Ty_ur_oc_pr_dw_Ot_pr_dw_TotP,ty_ur_occ_pri_dw_Tot_Ind_M,ty_ur_occ_pri_dw_Tot_Ind_F,ty_ur_occ_pri_dw_Tot_Ind_P,ty_ur_occ_pri_dw_Tot_No_Ind_M,ty_ur_occ_pri_dw_Tot_No_Ind_F,ty_ur_occ_pri_dw_Tot_No_Ind_P,ty_ur_oc_pr_dw_Tot_In_st_nsM,ty_ur_oc_pr_dw_Tot_In_st_nsF,ty_ur_oc_pr_dw_Tot_In_st_nsP,ty_ur_occ_pri_dw_Tot_TotM,ty_ur_occ_pri_dw_Tot_TotF,ty_ur_occ_pri_dw_Tot_TotP
IREG501,3060,6114,25,18,45,3849,3801,7644,296,216,510,163,121,283,976,1000,1981,1437,1338,2776,44,46,89,81,75,153,3,0,3,122,121,246,521,486,1005,655,634,1285,12,11,23,1185,1127,2313,88,114,202,143,170,320,0,0,0,230,289,516,19,19,28,32,57,90,0,0,0,44,70,118,27,62,85,135,342,471,3,0,3,160,399,559,495,622,1115,2135,2953,5083,17,12,28,2638,3587,6223,247,326,569,461,389,849,5,6,10,718,714,1436,440,416,859,895,632,1533,13,10,23,1351,1062,2412,115,132,239,175,105,282,6,0,5,287,235,528,79,82,161,93,43,136,3,0,3,171,121,299,27,19,50,13,15,28,4,0,4,48,36,78,1765,1921,3684,3516,3849,7368,617,635,1249,5900,6406,12309,14,8,14,18,18,35,0,0,0,26,25,53,309,307,621,676,696,1372,155,176,331,1138,1187,2326,2084,2237,4320,4209,4571,8777,770,812,1582,7062,7619,14685
IREG502,9928,21647,82,68,142,13262,11472,24735,354,227,583,702,566,1269,3616,2969,6583,4673,3759,8435,67,71,139,320,337,650,0,0,3,386,409,796,617,594,1216,2860,2684,5546,33,27,54,3514,3308,6818,161,143,297,834,853,1686,8,5,10,997,1001,1998,11,29,39,169,221,387,0,0,0,180,253,431,33,68,97,406,1022,1429,0,10,6,441,1093,1536,462,587,1044,7927,9555,17482,50,62,111,8441,10203,18637,260,390,650,2713,2701,5413,16,18,33,2985,3107,6093,713,718,1424,6365,5179,11547,53,40,92,7129,5935,13060,218,190,413,1431,1090,2521,10,5,22,1656,1288,2945,157,119,278,950,713,1664,12,12,30,1119,845,1966,29,31,59,102,118,219,0,0,0,136,144,279,2254,2531,4783,19254,19631,38881,2224,2226,4450,23734,24383,48114,5,0,5,41,32,68,8,0,4,47,30,76,305,334,641,1941,2023,3960,361,386,753,2610,2744,5351,2562,2861,5426,21230,21675,42911,2594,2611,5212,26389,27155,53545
IREG503,9988,22150,77,68,146,13439,11202,24637,455,322,781,803,572,1380,3723,2481,6206,4983,3383,8363,42,60,101,375,414,791,3,0,3,424,475,893,490,441,934,2805,2687,5486,20,21,40,3312,3150,6459,110,126,233,742,679,1419,8,5,15,860,801,1665,11,16,25,200,226,423,0,0,3,213,238,453,24,42,65,542,878,1424,6,0,4,570,924,1496,394,421,810,7912,8549,16456,31,39,73,8333,9009,17337,255,294,547,2487,2135,4623,29,12,43,2771,2442,5213,643,594,1239,5544,3937,9484,38,32,75,6226,4568,10797,174,169,341,1132,813,1949,12,6,21,1320,993,2315,162,147,315,554,460,1016,9,7,14,730,621,1349,41,36,77,72,48,120,0,3,3,116,86,203,2008,2087,4094,17391,16672,34064,1797,1682,3476,21192,20438,41638,3,6,6,13,7,21,3,8,11,14,21,34,195,183,384,2161,2008,4168,469,422,889,2829,2613,5441,2205,2271,4478,19564,18685,38251,2272,2107,4375,24038,23066,47108
IREG504,1108,2402,23,24,45,1963,1787,3755,291,283,574,83,57,136,717,679,1395,1087,1014,2105,48,54,99,34,19,51,0,0,6,83,75,157,462,468,932,220,199,416,10,10,13,690,677,1362,108,91,199,32,47,80,0,0,0,143,142,282,5,4,4,13,22,34,0,0,0,15,23,41,12,16,30,58,118,177,0,0,5,72,137,204,303,386,692,965,1232,2203,18,13,32,1292,1638,2929,260,328,588,200,158,361,4,7,9,459,499,959,531,631,1161,450,277,724,12,11,21,991,916,1911,167,187,357,93,50,141,0,5,10,262,244,507,231,196,424,56,13,67,0,0,0,283,210,494,51,48,101,9,3,17,0,0,3,59,53,118,2134,2316,4450,1234,1208,2443,386,430,814,3751,3962,7712,7,4,3,19,10,28,6,7,10,23,13,37,208,248,456,449,479,924,145,136,281,796,862,1662,2341,2571,4912,1697,1696,3396,533,570,1104,4569,4837,9408
IREG505,393253,818336,1275,1008,2288,437976,405748,843729,2295,927,3219,28826,23890,52713,43020,33310,76331,74139,58127,132263,580,566,1145,17900,16557,34453,31,27,55,18503,17146,35654,4284,4023,8309,121517,114873,236388,353,335,690,126154,119231,245383,1158,1205,2357,45022,45024,90043,134,131,269,46317,46361,92675,305,414,721,24858,27425,52282,57,52,107,25220,27895,53114,427,816,1248,31702,50297,82001,86,112,193,32215,51223,83436,4535,5277,9807,465206,508334,973539,1188,1190,2374,470921,514799,985725,1679,1896,3572,71354,68963,140319,272,256,528,73303,71111,144416,4499,3718,8215,141028,137614,278643,634,626,1264,146158,141962,288119,1041,1010,2047,30471,29169,59642,184,205,392,31693,30383,62078,573,486,1060,17822,21523,39353,139,196,335,18536,22214,40749,233,110,342,5240,6696,11936,53,42,92,5522,6850,12371,14322,14913,29240,737788,764386,1502168,20630,20323,40955,772742,799619,1572365,0,9,10,80,54,132,11,5,20,92,69,159,2329,2634,4962,136567,153200,289762,7974,8295,16275,146869,164129,310999,16651,17555,34210,874430,917642,1792068,28620,28622,57238,919706,963818,1883518
IREG506,9676,22147,86,70,154,14714,11719,26430,542,361,905,687,471,1157,5882,3438,9320,7112,4270,11381,102,64,168,446,430,874,0,3,3,549,501,1049,789,757,1542,2948,2784,5729,28,26,50,3756,3566,7324,172,158,332,626,537,1155,6,3,5,803,697,1494,14,23,40,139,156,293,0,0,3,154,179,335,42,105,151,579,1030,1612,0,0,5,622,1142,1762,866,909,1771,9037,8934,17968,51,43,93,9947,9887,19837,512,484,996,2593,1512,4101,18,4,26,3117,2003,5121,936,756,1694,4413,2447,6866,24,19,43,5380,3221,8602,228,196,426,739,408,1149,7,6,16,980,613,1589,179,154,333,230,190,420,7,3,11,419,348,760,64,46,107,85,51,133,0,3,4,143,96,239,2992,3002,5994,14507,13674,28179,2158,2014,4170,19659,18691,38346,9,3,7,14,9,24,0,0,0,18,17,39,493,472,960,2723,2305,5034,766,625,1390,3980,3399,7381,3492,3475,6968,17248,15992,33239,2921,2643,5561,23660,22106,45766
IREG507,94438,196664,640,598,1243,107217,99308,206529,640,349,988,7416,6017,13433,14140,11575,25720,22200,17937,40138,180,150,329,2805,2698,5508,18,28,42,3002,2874,5877,1613,1604,3221,24304,23069,47377,189,179,370,26105,24859,50966,457,493,954,7655,7730,15384,61,58,117,8172,8283,16454,42,78,126,1518,2011,3529,8,3,9,1570,2100,3665,77,209,287,2831,7342,10170,15,35,47,2927,7582,10506,1229,1438,2668,67431,80836,148263,352,393,741,69010,82666,151678,667,769,1431,19298,20352,39656,129,140,261,20087,21261,41353,1753,1629,3379,48783,45109,93893,339,307,647,50873,47045,97914,489,444,931,10561,8847,19405,100,86,191,11149,9377,20524,269,187,457,6047,5118,11168,93,105,202,6409,5417,11829,64,23,87,660,546,1208,10,14,24,734,583,1315,5829,6079,11906,162192,170363,332559,9213,9344,18551,177233,185784,363015,0,6,3,142,94,233,23,3,26,163,100,268,433,474,908,10960,13303,24263,1165,1167,2335,12556,14949,27504,6260,6557,12819,173295,183761,357058,10404,10511,20917,189958,200833,390788
IREG508,444,907,8,4,12,1041,923,1965,689,561,1252,51,29,80,470,524,997,1212,1119,2327,58,42,100,10,10,17,0,0,0,70,50,121,354,339,697,72,51,118,0,0,3,426,394,817,54,66,124,6,14,22,0,0,0,68,78,146,4,3,10,3,8,13,0,0,0,8,11,20,12,30,37,21,39,68,0,0,0,35,72,105,291,352,640,404,528,930,5,3,3,699,876,1571,245,317,558,84,89,167,0,0,3,326,405,732,539,460,997,224,125,355,4,5,5,766,588,1354,165,129,294,39,19,59,3,0,0,207,154,360,167,125,289,27,10,36,0,0,0,192,133,322,50,50,100,7,0,11,0,0,0,61,48,112,1724,1808,3531,609,588,1198,338,408,745,2669,2802,5473,11,9,19,6,3,6,0,0,0,11,8,25,58,55,115,116,112,223,44,46,82,211,212,421,1795,1868,3664,727,700,1427,374,454,831,2894,3024,5916
IREG594,1073,2370,14,5,25,1452,1197,2652,620,502,1117,938,421,1364,752,439,1189,2311,1361,3674,6,0,6,17,17,28,0,0,0,22,17,34,18,24,48,144,140,282,0,0,0,163,164,327,3,11,8,31,31,65,0,0,0,38,44,76,3,7,7,26,33,52,0,0,0,26,33,62,6,4,10,57,103,162,0,0,0,63,106,169,39,42,75,950,991,1937,4,4,10,997,1029,2024,17,18,36,226,194,415,0,0,3,239,218,457,62,37,104,550,375,927,3,5,11,620,423,1036,20,23,42,114,72,193,5,0,12,143,100,241,17,9,28,63,33,91,0,0,0,80,36,118,4,5,5,12,9,24,0,0,0,10,14,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IREG597,20,137,3,0,3,123,21,144,0,0,0,9,0,9,191,19,214,196,23,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,17,0,0,0,15,0,17,5,0,9,138,33,169,0,0,0,143,30,174,3,0,3,33,0,34,0,0,0,38,0,38,0,0,0,63,6,66,0,0,0,59,6,61,0,0,0,9,0,11,0,0,0,13,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
