IREG_CODE_2021,ty_ur_Non_pri_dw_Ind_M,ty_ur_Non_pri_dw_Ind_F,ty_ur_Non_pri_dw_Ind_P,ty_ur_Non_pri_dw_NonInd_M,ty_ur_Non_pri_dw_NonInd_F,ty_ur_Non_pri_dw_NonInd_P,ty_ur_Non_pri_dw_IndSt_nsM,ty_ur_Non_pri_dw_IndSt_nsF,ty_ur_Non_pri_dw_IndSt_nsP,tpe_ur_Non_pvte_dwg_TotM,tpe_ur_Non_pvte_dwg_TotF,tpe_ur_Non_pvte_dwg_TotP
IREG501,86,45,131,200,229,423,89,122,212,373,400,768
IREG502,188,52,236,768,436,1201,542,195,737,1493,682,2174
IREG503,231,62,298,1350,476,1828,1144,291,1437,2723,832,3553
IREG504,46,41,86,240,139,381,139,65,204,419,250,665
IREG505,1907,628,2533,11693,12005,23703,2025,1569,3594,15623,14202,29826
IREG506,429,129,555,3556,1101,4652,2732,643,3377,6707,1872,8584
IREG507,367,118,490,3057,2583,5638,527,348,871,3945,3048,6996
IREG508,211,79,289,100,67,175,68,44,112,373,198,575
IREG594,0,0,0,0,0,0,0,0,0,0,0,0
IREG597,0,0,0,0,0,0,0,0,0,0,0,0
