IREG_CODE_2021,Emp_Worked_FT_A_15_24_y_M,Emp_Worked_FT_A_25_34_y_M,Emp_Worked_FT_A_35_44_y_M,Emp_Worked_FT_A_45_54_y_M,Emp_Worked_FT_A_55_64_y_M,Emp_Worked_FT_A_65_and_over_M,Emp_Worked_FT_Tot_M,Emp_Worked_PT_A_15_24_y_M,Emp_Worked_PT_A_25_34_y_M,Emp_Worked_PT_A_35_44_y_M,Emp_Worked_PT_A_45_54_y_M,Emp_Worked_PT_A_55_64_y_M,Emp_Worked_PT_A_65_and_over_M,Emp_Worked_PT_Tot_M,EAfW_A_15_24_y_M,EAfW_A_25_34_y_M,EAfW_A_35_44_y_M,EAfW_A_45_54_y_M,EAfW_A_55_64_y_M,EAfW_A_65_over_M,EAfW_Tot_M,Emp_Tot_Age_15_24_y_M,Emp_Tot_Age_25_34_y_M,Emp_Tot_Age_35_44_y_M,Emp_Tot_Age_45_54_y_M,Emp_Tot_Age_55_64_y_M,Emp_Tot_A_65_over_M,Emp_Tot_Tot_M,Unemp_A_15_24_y_M,Unemp_A_25_34_y_M,Unemp_A_35_44_y_M,Unemp_A_45_54_y_M,Unemp_A_55_64_y_M,Unemp_A_65_over_M,Unemp_Tot_M,Tot_LF_Ag_15_24_y_M,Tot_LF_Ag_25_34_y_M,Tot_LF_Ag_35_44_y_M,Tot_LF_Ag_45_54_y_M,Tot_LF_Ag_55_64_y_M,Tot_LF_Ag_65_and_over_M,Tot_LF_Tot_M,Not_in_LF_Age_15_24_y_M,Not_in_LF_Age_25_34_y_M,Not_in_LF_Age_35_44_y_M,Not_in_LF_Age_45_54_y_M,Not_in_LF_Age_55_64_y_M,Not_in_LF_A_65and_over_M,Not_In_LF_Tot_M,LF_stat_NS_A_15_24_y_M,LF_stat_NS_A_25_34_y_M,LF_stat_NS_A_35_44_y_M,LF_stat_NS_A_45_54_y_M,LF_stat_NS_A_55_64_y_M,LF_stat_NS_A_65and_over_M,LF_status_NS_Tot_M,Tot_Age_15_24_y_M,Tot_Age_25_34_y_M,Tot_Age_35_44_y_M,Tot_Age_45_54_y_M,Tot_Age_55_64_y_M,Tot_A_65_and_over_M,Tot_Tot_M,Emp_Worked_FT_A_15_24_y_F,Emp_Worked_FT_A_25_34_y_F,Emp_Worked_FT_A_35_44_y_F,Emp_Worked_FT_A_45_54_y_F,Emp_Worked_FT_A_55_64_y_F,Emp_Worked_FT_A_65_and_over_F,Emp_Worked_FT_Tot_F,Emp_Worked_PT_A_15_24_y_F,Emp_Worked_PT_A_25_34_y_F,Emp_Worked_PT_A_35_44_y_F,Emp_Worked_PT_A_45_54_y_F,Emp_Worked_PT_A_55_64_y_F,Emp_Worked_PT_A_65_and_over_F,Emp_Worked_PT_Tot_F,EAfW_A_15_24_y_F,EAfW_A_25_34_y_F,EAfW_A_35_44_y_F,EAfW_A_45_54_y_F,EAfW_A_55_64_y_F,EAfW_A_65_over_F,EAfW_Tot_F,Emp_Tot_Age_15_24_y_F,Emp_Tot_Age_25_34_y_F,Emp_Tot_Age_35_44_y_F,Emp_Tot_Age_45_54_y_F,Emp_Tot_Age_55_64_y_F,Emp_Tot_A_65_over_F,Emp_Tot_Tot_F,Unemp_A_15_24_y_F,Unemp_A_25_34_y_F,Unemp_A_35_44_y_F,Unemp_A_45_54_y_F,Unemp_A_55_64_y_F,Unemp_A_65_over_F,Unemp_Tot_F,Tot_LF_Ag_15_24_y_F,Tot_LF_Ag_25_34_y_F,Tot_LF_Ag_35_44_y_F,Tot_LF_Ag_45_54_y_F,Tot_LF_Ag_55_64_y_F,Tot_LF_Ag_65_and_over_F,Tot_LF_Tot_F,Not_in_LF_Age_15_24_y_F,Not_in_LF_Age_25_34_y_F,Not_in_LF_Age_35_44_y_F,Not_in_LF_Age_45_54_y_F,Not_in_LF_Age_55_64_y_F,Not_in_LF_A_65and_over_F,Not_In_LF_Tot_F,LF_stat_NS_A_15_24_y_F,LF_stat_NS_A_25_34_y_F,LF_stat_NS_A_35_44_y_F,LF_stat_NS_A_45_54_y_F,LF_stat_NS_A_55_64_y_F,LF_stat_NS_A_65and_over_F,LF_status_NS_Tot_F,Tot_Age_15_24_y_F,Tot_Age_25_34_y_F,Tot_Age_35_44_y_F,Tot_Age_45_54_y_F,Tot_Age_55_64_y_F,Tot_A_65_and_over_F,Tot_Tot_F,Emp_Worked_FT_A_15_24_y_P,Emp_Worked_FT_A_25_34_y_P,Emp_Worked_FT_A_35_44_y_P,Emp_Worked_FT_A_45_54_y_P,Emp_Worked_FT_A_55_64_y_P,Emp_Worked_FT_A_65_and_over_P,Emp_Worked_FT_Tot_P,Emp_Worked_PT_A_15_24_y_P,Emp_Worked_PT_A_25_34_y_P,Emp_Worked_PT_A_35_44_y_P,Emp_Worked_PT_A_45_54_y_P,Emp_Worked_PT_A_55_64_y_P,Emp_Worked_PT_A_65_and_over_P,Emp_Worked_PT_Tot_P,EAfW_A_15_24_y_P,EAfW_A_25_34_y_P,EAfW_A_35_44_y_P,EAfW_A_45_54_y_P,EAfW_A_55_64_y_P,EAfW_A_65_over_P,EAfW_Tot_P,Emp_Tot_Age_15_24_y_P,Emp_Tot_Age_25_34_y_P,Emp_Tot_Age_35_44_y_P,Emp_Tot_Age_45_54_y_P,Emp_Tot_Age_55_64_y_P,Emp_Tot_A_65_over_P,Emp_Tot_Tot_P,Unemp_A_15_24_y_P,Unemp_A_25_34_y_P,Unemp_A_35_44_y_P,Unemp_A_45_54_y_P,Unemp_A_55_64_y_P,Unemp_A_65_over_P,Unemp_Tot_P,Tot_LF_Ag_15_24_y_P,Tot_LF_Ag_25_34_y_P,Tot_LF_Ag_35_44_y_P,Tot_LF_Ag_45_54_y_P,Tot_LF_Ag_55_64_y_P,Tot_LF_Ag_65_and_over_P,Tot_LF_Tot_P,Not_in_LF_Age_15_24_y_P,Not_in_LF_Age_25_34_y_P,Not_in_LF_Age_35_44_y_P,Not_in_LF_Age_45_54_y_P,Not_in_LF_Age_55_64_y_P,Not_in_LF_A_65and_over_P,Not_In_LF_Tot_P,LF_stat_NS_A_15_24_y_P,LF_stat_NS_A_25_34_y_P,LF_stat_NS_A_35_44_y_P,LF_stat_NS_A_45_54_y_P,LF_stat_NS_A_55_64_y_P,LF_stat_NS_A_65and_over_P,LF_status_NS_Tot_P,Tot_Age_15_24_y_P,Tot_Age_25_34_y_P,Tot_Age_35_44_y_P,Tot_Age_45_54_y_P,Tot_Age_55_64_y_P,Tot_A_65_and_over_P,Tot_Tot_P
IREG501,46,117,100,68,40,20,396,28,27,38,15,21,11,149,6,19,16,10,11,0,62,87,163,161,95,70,28,603,49,37,24,25,11,0,150,136,203,181,122,79,27,753,195,128,105,100,78,66,670,35,25,14,14,17,6,120,375,354,301,234,173,109,1543,39,88,97,78,63,4,366,55,56,52,24,25,8,217,5,17,15,11,6,4,58,106,157,163,108,95,19,648,45,23,27,15,6,0,115,146,183,192,124,101,17,767,220,178,123,104,106,110,847,31,23,29,10,11,11,106,390,383,339,242,218,145,1717,87,205,199,142,104,24,762,84,81,89,41,47,18,369,14,35,33,18,15,5,120,186,322,322,202,168,44,1247,91,65,51,45,20,4,270,285,384,375,244,183,50,1517,418,302,227,204,182,181,1520,64,51,37,26,29,20,226,763,737,641,474,390,251,3259
IREG502,64,111,93,93,84,24,475,52,23,16,23,20,8,151,22,24,11,17,16,4,96,136,163,126,136,124,36,715,65,47,33,32,15,4,199,198,212,157,171,141,41,917,270,152,132,131,122,159,968,26,16,11,16,13,24,108,496,377,299,324,270,222,1995,54,57,83,85,57,5,344,92,64,69,75,61,9,361,22,13,18,15,12,9,83,162,134,168,169,135,24,791,52,26,20,24,13,9,136,217,157,185,192,148,33,931,295,195,128,148,159,228,1153,22,18,14,12,16,26,112,533,373,327,352,322,287,2191,117,171,178,181,144,30,820,143,86,84,93,89,22,512,42,43,27,30,31,14,181,304,290,289,308,255,64,1509,113,78,46,56,35,10,336,409,369,338,361,296,73,1850,565,351,261,275,277,387,2117,57,33,28,30,25,49,216,1032,754,629,676,594,511,4186
IREG503,83,116,78,78,53,5,424,31,30,22,20,21,3,128,19,19,13,11,16,0,76,131,164,112,109,92,18,634,40,45,37,18,10,0,153,176,212,153,132,100,18,787,279,176,145,131,99,113,943,35,18,21,11,8,16,107,484,407,310,280,207,140,1835,52,62,48,58,30,5,255,53,45,55,50,31,13,240,16,15,16,18,8,3,76,117,112,123,135,69,25,578,28,16,23,15,12,0,99,150,135,140,146,80,22,674,277,206,164,152,126,148,1064,22,21,16,18,15,13,98,447,362,327,308,216,180,1841,133,181,133,137,85,14,682,84,76,79,72,52,18,375,32,31,28,34,24,6,151,250,281,242,246,157,37,1209,73,63,54,35,22,7,249,323,345,296,279,180,37,1461,554,387,312,285,223,257,2008,56,39,31,29,24,26,207,932,769,640,589,423,323,3672
IREG504,31,78,71,60,26,12,274,22,29,28,25,7,5,118,15,17,15,13,5,0,72,66,127,112,93,44,14,464,66,56,45,22,9,0,199,132,188,158,112,55,15,662,309,167,153,130,81,100,934,38,21,36,15,10,6,129,479,376,344,261,143,127,1730,31,49,53,59,35,10,228,33,49,47,32,14,3,190,5,19,12,11,5,0,46,69,113,117,102,57,17,464,39,34,32,13,4,5,133,115,145,148,114,61,17,598,360,261,212,184,117,122,1249,38,17,26,14,13,8,120,507,426,383,315,190,150,1964,58,127,122,118,64,20,506,58,82,78,55,21,8,309,17,29,25,22,17,4,118,137,241,229,192,101,31,927,112,93,82,33,15,0,333,242,330,305,227,116,36,1262,666,426,361,313,196,218,2186,75,40,61,34,24,22,246,982,799,725,572,334,274,3690
IREG505,834,1295,997,733,470,85,4411,589,319,156,152,121,55,1396,113,206,114,104,53,16,618,1542,1827,1264,987,645,153,6424,516,298,159,115,75,16,1172,2057,2122,1431,1105,717,175,7599,1673,1133,730,582,419,544,5084,108,48,50,49,51,51,352,3829,3299,2212,1734,1190,771,13034,524,890,614,596,323,76,3014,824,544,440,338,224,47,2418,134,190,83,72,45,19,544,1476,1620,1133,1008,600,140,5980,432,231,165,126,50,3,1006,1910,1848,1300,1130,648,141,6983,1553,1181,749,688,670,780,5615,64,58,54,45,50,67,335,3522,3092,2101,1860,1368,989,12930,1358,2181,1605,1329,795,160,7432,1416,863,596,489,346,103,3814,251,402,194,179,100,34,1160,3017,3443,2404,1993,1245,298,12400,941,523,326,240,121,23,2175,3964,3969,2731,2232,1365,317,14581,3220,2313,1482,1268,1086,1323,10703,168,109,102,92,102,120,688,7352,6396,4312,3594,2554,1756,25972
IREG506,161,299,270,189,116,17,1055,87,59,41,37,21,5,257,32,65,57,39,12,3,210,275,420,373,268,154,28,1517,75,48,39,25,15,8,203,348,465,408,289,171,36,1716,358,218,171,133,114,105,1095,24,19,23,18,16,8,100,734,707,602,443,289,148,2913,108,151,142,136,64,6,617,68,100,81,44,39,11,355,33,53,41,18,16,6,160,209,301,266,202,119,29,1125,60,42,35,28,12,0,182,273,347,295,230,135,29,1307,347,273,186,173,144,168,1294,15,17,26,17,7,14,95,633,635,508,418,293,209,2697,259,450,415,324,190,26,1668,153,160,127,80,63,20,609,63,111,100,56,28,10,370,484,725,635,464,277,53,2637,141,88,71,57,28,8,387,622,817,706,516,305,60,3026,708,490,358,303,256,276,2390,37,39,50,32,21,20,194,1364,1336,1114,854,586,353,5618
IREG507,294,328,283,236,231,39,1417,202,85,60,70,59,21,497,60,73,43,33,40,9,261,561,489,386,337,331,69,2174,173,103,65,54,33,7,438,737,595,450,391,367,78,2609,597,300,243,222,243,323,1928,39,27,18,25,25,16,155,1373,913,712,637,634,423,4696,173,129,163,196,112,16,784,307,182,186,185,105,33,993,43,58,38,39,31,5,214,516,370,384,414,255,55,1993,134,67,53,49,35,5,339,652,437,442,463,288,62,2340,584,393,275,275,320,420,2268,37,20,23,24,15,36,157,1276,850,731,766,622,515,4762,466,459,454,431,345,55,2208,507,268,247,251,169,53,1495,103,133,77,75,73,20,470,1076,857,773,752,587,129,4172,314,173,118,98,68,8,779,1391,1029,888,855,656,137,4950,1184,695,514,498,564,750,4203,76,42,44,48,47,48,310,2649,1767,1448,1399,1260,933,9454
IREG508,18,61,44,40,19,4,184,25,17,25,21,11,6,99,5,15,6,8,6,3,34,51,88,73,61,36,9,323,20,20,12,11,5,0,64,63,112,86,74,37,9,380,292,248,197,166,122,77,1093,12,14,14,5,8,7,62,366,371,297,242,162,102,1540,14,35,49,34,24,0,155,29,45,32,24,9,6,147,8,16,8,7,6,3,40,47,101,86,68,35,11,343,8,15,8,10,5,0,40,51,113,93,78,36,12,388,300,218,181,149,129,111,1080,9,9,11,6,3,3,49,361,340,291,230,171,126,1518,30,95,89,69,43,5,338,53,65,56,42,17,10,246,14,28,12,15,11,3,82,97,184,159,129,67,24,664,21,34,22,20,9,0,108,115,221,177,147,77,28,770,589,463,385,317,247,186,2182,27,25,22,14,13,9,107,729,706,586,476,333,228,3057
IREG594,7,0,11,10,0,0,28,9,4,0,0,0,0,15,0,0,3,0,0,0,3,13,4,17,5,0,0,47,3,6,7,3,4,0,25,15,14,21,13,6,0,74,19,14,22,16,9,5,90,50,100,168,156,76,37,583,88,124,212,189,95,46,749,6,0,0,4,0,0,9,9,0,0,4,0,0,15,0,0,4,0,0,0,9,16,4,4,6,0,0,33,8,4,5,4,4,0,25,17,8,9,9,5,0,56,35,24,17,12,9,4,94,50,94,122,97,51,36,454,106,124,151,118,61,40,597,9,4,14,10,4,0,41,12,4,3,4,0,4,29,0,0,6,0,0,0,9,24,11,21,15,7,4,79,8,14,13,8,5,0,51,38,25,31,25,11,4,132,51,31,33,32,17,11,179,97,190,295,254,123,72,1038,188,247,356,306,156,84,1349
IREG597,0,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,6,0,0,0,0,0,0,0,0,4,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,4,0,0,11,0,0,0,0,0,0,0,0,4,5,4,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,5,0,0,9
