IREG_CODE_2021,Neg_nil_inc_Hh_with_Ind_psns,Neg_nil_inc_Other_households,Neg_nil_inc_Tot_hhlds,1_149_Hhd_with_Indig_psns,1_149_Other_households,1_149_Tot_hhlds,150_299_Hhd_with_Indig_psns,150_299_Other_households,150_299_Tot_hhlds,300_399_Hhd_with_Indig_psns,300_399_Other_households,300_399_Tot_hhlds,400_499_Hhd_with_Indig_psns,400_499_Other_households,400_499_Tot_hhlds,500_649_Hhd_with_Indig_psns,500_649_Other_households,500_649_Tot_hhlds,650_799_Hhd_with_Indig_psns,650_799_Other_households,650_799_Tot_hhlds,800_999_Hh_with_Indig_psn,800_999_Other_households,800_999_Tot_hhlds,1000_1249_Hh_with_Indig_psn,1000_1249_Other_households,1000_1249_Tot_hhlds,1250_1499_Hh_with_Indig_psn,1250_1499_Other_households,1250_1499_Tot_hhlds,1500_1749_Hh_with_Indig_psn,1500_1749_Other_households,1500_1749_Tot_hhlds,1750_1999_Hh_with_Indig_psn,1750_1999_Other_households,1750_1999_Tot_hhlds,2000_more_Hh_with_Indig_psn,2000_more_Other_households,2000_more_Tot_hhlds,Part_inc_st_Hh_with_Indig_psn,Partial_inc_stated_Other_hhds,Partial_inc_stated_Tot_hhlds,All_inc_ns_Hh_with_Ind_psns,All_income_ns_Other_household,All_inc_NS_Tot_hhlds,Tot_Household_with_Indig_psns,Tot_Other_households,Tot_Tot_hhlds
IREG501,17,53,70,37,20,56,160,31,197,159,77,242,143,132,278,111,114,224,78,149,226,98,226,321,119,339,459,104,363,469,91,379,468,71,355,426,114,866,981,181,424,601,92,65,157,1575,3593,5175
IREG502,47,372,418,40,145,184,181,461,641,254,822,1073,218,2087,2307,235,1661,1889,171,1337,1504,187,1819,2007,199,2061,2260,128,1618,1747,118,1296,1415,75,1076,1147,122,2374,2495,248,1731,1977,86,445,531,2309,19305,21595
IREG503,28,237,263,34,110,141,141,298,430,174,452,622,175,1139,1315,162,923,1085,83,817,905,122,1143,1265,125,1623,1750,101,1477,1575,85,1526,1609,69,1302,1368,149,3602,3748,175,1412,1589,91,377,462,1714,16438,18127
IREG504,16,24,40,48,7,55,208,19,225,199,27,226,166,38,204,150,53,198,84,59,141,80,85,165,73,153,223,49,196,243,33,179,215,30,183,217,50,370,417,144,163,307,94,56,148,1424,1612,3024
IREG505,321,11543,11863,199,5163,5359,1001,14416,15418,1098,24700,25789,1327,54643,55966,1375,53002,54379,1278,48308,49586,1472,64064,65540,1704,79160,80866,1314,65872,67187,1028,57650,58678,861,49330,50195,2052,128679,130730,1617,53987,55598,362,9363,9726,17009,719880,736880
IREG506,51,98,145,28,30,63,171,83,254,224,107,332,162,203,363,124,237,361,114,298,412,137,561,693,189,978,1161,168,1161,1328,172,1193,1363,176,1341,1516,545,5203,5748,258,1195,1453,92,201,292,2611,12889,15484
IREG507,112,2630,2738,80,1280,1364,369,3729,4096,465,7080,7546,664,18610,19272,685,15473,16156,552,12575,13127,556,15067,15623,609,16277,16885,365,12045,12414,321,9950,10271,212,7824,8037,408,16740,17149,643,13819,14462,189,3233,3422,6230,156332,162562
IREG508,10,5,15,22,0,22,193,5,199,201,6,205,148,24,175,110,15,127,45,27,71,45,46,93,42,82,127,33,86,121,17,102,120,23,87,108,24,195,224,106,66,171,46,18,66,1065,764,1844
IREG594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IREG597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
