IREG_CODE_2021,PreSch_Indig_M,PreSch_Indig_F,PreSch_Indig_P,PreSch_NonInd_M,PreSch_NonInd_F,PreSch_NonInd_P,PreSch_Indig_st_nsM,PreSch_Indig_st_nsF,PreSch_Indig_st_nsP,PreSch_TotM,PreSch_TotF,PreSch_TotP,Prim_Indig_M,Prim_Indig_F,Prim_Indig_P,Prim_NonInd_M,Prim_NonInd_F,Prim_NonInd_P,Prim_Indig_st_nsM,Prim_Indig_st_nsF,Prim_Indig_st_nsP,Prim_TotM,Prim_TotF,Prim_TotP,Sec_Indig_M,Sec_Indig_F,Sec_Indig_P,Sec_NonInd_M,Sec_NonInd_F,Sec_NonInd_P,Sec_Indig_st_nsM,Sec_Indig_st_nsF,Sec_Indig_st_nsP,Sec_TotM,Sec_TotF,Sec_TotP,TVE_TAFE_ptp_FT_15_24_Ind_M,TVE_TAFE_ptp_FT_15_24_Ind_F,TVE_TAFE_ptp_FT_15_24_Ind_P,TVE_TAFE_ptp_FT_15_24_NoInd_M,TVE_TAFE_ptp_FT_15_24_NoInd_F,TVE_TAFE_ptp_FT_15_24_NoInd_P,TVE_TAFE_ptp_FT_15_24_In_ns_M,TVE_TAFE_ptp_FT_15_24_In_ns_F,TVE_TAFE_ptp_FT_15_24_In_ns_P,TVE_TAFE_ptp_FT_15_24_Tot_M,TVE_TAFE_ptp_FT_15_24_Tot_F,TVE_TAFE_ptp_FT_15_24_Tot_P,TVE_TAFE_ptp_FT_25_ov_Ind_M,TVE_TAFE_ptp_FT_25_ov_Ind_F,TVE_TAFE_ptp_FT_25_ov_Ind_P,TVE_TAFE_ptp_FT_25_ov_NoInd_M,TVE_TAFE_ptp_FT_25_ov_NoInd_F,TVE_TAFE_ptp_FT_25_ov_NoInd_P,TVE_TAFE_ptp_FT_25_ov_In_ns_M,TVE_TAFE_ptp_FT_25_ov_In_ns_F,TVE_TAFE_ptp_FT_25_ov_In_ns_P,TVE_TAFE_ptp_FT_25_ov_Tot_M,TVE_TAFE_ptp_FT_25_ov_Tot_F,TVE_TAFE_ptp_FT_25_ov_Tot_P,TVE_TAFE_ptp_PT_15_24_Ind_M,TVE_TAFE_ptp_PT_15_24_Ind_F,TVE_TAFE_ptp_PT_15_24_Ind_P,TVE_TAFE_ptp_PT_15_24_NoInd_M,TVE_TAFE_ptp_PT_15_24_NoInd_F,TVE_TAFE_ptp_PT_15_24_NoInd_P,TVE_TAFE_ptp_PT_15_24_In_ns_M,TVE_TAFE_ptp_PT_15_24_In_ns_F,TVE_TAFE_ptp_PT_15_24_In_ns_P,TVE_TAFE_ptp_PT_15_24_Tot_M,TVE_TAFE_ptp_PT_15_24_Tot_F,TVE_TAFE_ptp_PT_15_24_Tot_P,TVE_TAFE_ptp_PT_25_ov_Ind_M,TVE_TAFE_ptp_PT_25_ov_Ind_F,TVE_TAFE_ptp_PT_25_ov_Ind_P,TVE_TAFE_ptp_PT_25_ov_NoInd_M,TVE_TAFE_ptp_PT_25_ov_NoInd_F,TVE_TAFE_ptp_PT_25_ov_NoInd_P,TVE_TAFE_ptp_PT_25_ov_In_ns_M,TVE_TAFE_ptp_PT_25_ov_In_ns_F,TVE_TAFE_ptp_PT_25_ov_In_ns_P,TVE_TAFE_ptp_PT_25_ov_Tot_M,TVE_TAFE_ptp_PT_25_ov_Tot_F,TVE_TAFE_ptp_PT_25_ov_Tot_P,TVE_TAFE_ptp_FT_PT_Ind_M,TVE_TAFE_ptp_FT_PT_Ind_F,TVE_TAFE_ptp_FT_PT_Ind_P,TVE_TAFE_ptp_FT_PT_NoInd_M,TVE_TAFE_ptp_FT_PT_NoInd_F,TVE_TAFE_ptp_FT_PT_NoInd_P,TVE_TAFE_ptp_FT_PT_In_ns_M,TVE_TAFE_ptp_FT_PT_In_ns_F,TVE_TAFE_ptp_FT_PT_In_ns_P,TVE_TAFE_ptp_FT_PT_Tot_M,TVE_TAFE_ptp_FT_PT_Tot_F,TVE_TAFE_ptp_FT_PT_Tot_P,TVE_TAFE_ptp_TVETAFE_Ind_M,TVE_TAFE_ptp_TVETAFE_Ind_F,TVE_TAFE_ptp_TVETAFE_Ind_P,TVE_TAFE_ptp_TVETAFE_NoInd_M,TVE_TAFE_ptp_TVETAFE_NoInd_F,TVE_TAFE_ptp_TVETAFE_NoInd_P,TVE_TAFE_ptp_TVETAFE_In_ns_M,TVE_TAFE_ptp_TVETAFE_In_ns_F,TVE_TAFE_ptp_TVETAFE_In_ns_P,TVE_TAFE_ptp_TVETAFE_Tot_M,TVE_TAFE_ptp_TVETAFE_Tot_F,TVE_TAFE_ptp_TVETAFE_Tot_P,Uni_he_FT_15_24_Ind_M,Uni_he_FT_15_24_Ind_F,Uni_he_FT_15_24_Ind_P,Uni_he_FT_15_24_NoInd_M,Uni_he_FT_15_24_NoInd_F,Uni_he_FT_15_24_NoInd_P,Uni_he_FT_15_24_In_ns_M,Uni_he_FT_15_24_In_ns_F,Uni_he_FT_15_24_In_ns_P,Uni_he_FT_15_24_Tot_M,Uni_he_FT_15_24_Tot_F,Uni_he_FT_15_24_Tot_P,Uni_he_FT_25_ov_Ind_M,Uni_he_FT_25_ov_Ind_F,Uni_he_FT_25_ov_Ind_P,Uni_he_FT_25_ov_NoInd_M,Uni_he_FT_25_ov_NoInd_F,Uni_he_FT_25_ov_NoInd_P,Uni_he_FT_25_ov_In_ns_M,Uni_he_FT_25_ov_In_ns_F,Uni_he_FT_25_ov_In_ns_P,Uni_he_FT_25_ov_Tot_M,Uni_he_FT_25_ov_Tot_F,Uni_he_FT_25_ov_Tot_P,Uni_he_PT_15_24_Ind_M,Uni_he_PT_15_24_Ind_F,Uni_he_PT_15_24_Ind_P,Uni_he_PT_15_24_NoInd_M,Uni_he_PT_15_24_NoInd_F,Uni_he_PT_15_24_NoInd_P,Uni_he_PT_15_24_In_ns_M,Uni_he_PT_15_24_In_ns_F,Uni_he_PT_15_24_In_ns_P,Uni_he_PT_15_24_Tot_M,Uni_he_PT_15_24_Tot_F,Uni_he_PT_15_24_Tot_P,Uni_he_PT_25_ov_Ind_M,Uni_he_PT_25_ov_Ind_F,Uni_he_PT_25_ov_Ind_P,Uni_he_PT_25_ov_NoInd_M,Uni_he_PT_25_ov_NoInd_F,Uni_he_PT_25_ov_NoInd_P,Uni_he_PT_25_ov_In_ns_M,Uni_he_PT_25_ov_In_ns_F,Uni_he_PT_25_ov_In_ns_P,Uni_he_PT_25_ov_Tot_M,Uni_he_PT_25_ov_Tot_F,Uni_he_PT_25_ov_Tot_P,Uni_he_FTPT_ss_ns_Ind_M,Uni_he_FTPT_ss_ns_Ind_F,Uni_he_FTPT_ss_ns_Ind_P,Uni_he_FTPT_ss_ns_NoInd_M,Uni_he_FTPT_ss_ns_NoInd_F,Uni_he_FTPT_ss_ns_NoInd_P,Uni_he_FTPT_ss_ns_In_ns_M,Uni_he_FTPT_ss_ns_In_ns_F,Uni_he_FTPT_ss_ns_In_ns_P,Uni_he_FTPT_ss_ns_Tot_M,Uni_he_FTPT_ss_ns_Tot_F,Uni_he_FTPT_ss_ns_Tot_P,Uni_he_Tot_Uni_he_Ind_M,Uni_he_Tot_Uni_he_Ind_F,Uni_he_Tot_Uni_he_Ind_P,Uni_he_Tot_Uni_he_NoInd_M,Uni_he_Tot_Uni_he_NoInd_F,Uni_he_Tot_Uni_he_NoInd_P,Uni_he_Tot_Uni_he_In_ns_M,Uni_he_Tot_Uni_he_In_ns_F,Uni_he_Tot_Uni_he_In_ns_P,Uni_he_Tot_Uni_he_Tot_M,Uni_he_Tot_Uni_he_Tot_F,Uni_he_Tot_Uni_he_Tot_P,Ter_Tot_Ter_Ind_M,Ter_Tot_Ter_Ind_F,Ter_Tot_Ter_Ind_P,Ter_Tot_Ter_NonInd_M,Ter_Tot_Ter_NonInd_F,Ter_Tot_Ter_NonInd_P,Ter_Tot_Ter_IndSt_ns_M,Ter_Tot_Ter_IndSt_ns_F,Ter_Tot_Ter_IndSt_ns_P,Ter_Tot_Ter_Tot_M,Ter_Tot_Ter_Tot_F,Ter_Tot_Ter_Tot_P,OEI_Ind_M,OEI_Ind_F,OEI_Ind_P,OEI_NonInd_M,OEI_NonInd_F,OEI_NonInd_P,OEI_IndSt_nsM,OEI_IndSt_nsF
IREG501,54,45,110,84,80,161,3,0,3,141,128,271,374,332,708,466,448,914,10,6,19,853,785,1636,204,232,437,306,310,616,6,9,12,514,556,1063,8,10,19,7,10,16,0,0,0,12,23,30,0,0,0,13,7,26,0,0,0,13,16,26,15,4,14,24,26,49,0,0,0,35,35,65,11,26,37,48,115,167,3,0,3,63,144,201,0,0,0,0,0,0,0,0,0,0,0,0,31,48,73,92,165,260,3,0,3,127,211,334,4,18,22,17,21,37,0,0,0,24,35,63,4,13,18,14,45,61,0,0,0,20,57,77,0,0,0,0,24,23,0,0,0,0,23,24,5,17,20,38,132,173,0,0,0,47,146,194,0,0,0,0,0,0,0,0,0,0,0,0,19,41,58,70,219,293,0,0,0,83,263,355,45,90,137,164,388,552,3,0,3,211,479,689,11,18,25,26,46,73,0,0
IREG502,79,77,157,386,394,781,6,0,7,478,470,949,425,411,833,1925,1808,3732,23,13,37,2370,2235,4601,297,288,591,1485,1449,2930,10,15,26,1794,1755,3548,7,13,17,67,105,177,0,0,0,74,113,191,9,15,21,40,81,113,0,0,0,47,91,137,17,14,36,177,132,306,0,0,0,192,147,340,9,15,27,180,408,589,0,0,0,190,428,612,0,0,0,0,0,3,0,0,0,0,5,8,44,58,104,464,725,1187,0,0,0,507,784,1289,3,9,12,35,94,131,0,0,0,39,103,143,0,11,11,29,124,152,0,0,0,36,136,170,0,8,8,24,51,76,0,0,0,24,55,82,10,18,23,112,307,421,0,5,5,117,325,444,0,0,0,3,0,3,0,0,0,3,0,4,16,43,55,212,571,783,0,0,0,223,626,841,53,102,158,676,1302,1974,0,6,6,723,1406,2133,34,28,57,118,176,291,6,0
IREG503,54,61,118,404,431,837,3,0,4,467,494,958,328,303,628,1992,1888,3879,14,15,26,2330,2202,4535,242,243,486,1323,1296,2619,14,11,26,1579,1551,3125,6,3,15,65,55,122,0,0,0,70,63,138,4,3,10,48,35,79,0,0,0,50,39,91,15,8,19,184,126,304,0,0,0,201,134,331,8,16,21,196,377,573,3,0,3,206,394,598,0,0,0,4,7,7,0,0,0,4,7,7,38,30,68,494,596,1093,0,3,6,533,634,1163,0,0,3,76,102,176,0,0,0,76,102,176,3,7,10,85,94,178,0,0,0,91,100,187,0,0,5,15,38,55,0,0,0,21,37,55,3,7,12,136,254,386,0,0,0,137,260,398,0,0,0,6,0,8,0,0,0,6,0,8,8,18,23,317,490,805,0,0,0,321,506,829,47,49,92,810,1093,1899,0,4,9,855,1148,1997,11,16,31,143,175,315,0,0
IREG504,51,51,99,36,26,62,0,0,0,85,70,160,370,364,732,173,142,309,6,7,13,544,515,1061,172,176,352,69,85,152,0,0,4,245,268,507,17,14,34,4,0,4,0,0,0,17,14,35,4,0,3,4,9,4,0,0,0,3,7,10,3,8,7,8,12,16,0,0,0,16,17,30,6,9,12,22,39,60,0,0,0,27,40,68,0,0,0,0,0,0,0,0,0,0,0,0,26,26,57,38,49,89,0,0,0,65,77,144,0,3,3,3,14,15,0,0,0,3,14,16,0,4,4,12,15,22,0,0,0,12,17,26,0,0,0,4,8,10,0,0,0,4,8,10,3,3,8,23,54,72,0,0,5,22,56,85,0,0,0,0,0,0,0,0,0,0,0,0,0,12,13,35,85,120,0,0,5,45,95,136,27,41,67,74,136,214,0,0,5,107,172,284,3,4,8,13,13,29,0,0
IREG505,599,549,1139,17836,16331,34159,34,41,72,18464,16914,35375,2934,2765,5697,83941,79911,163856,236,215,452,87110,82902,170012,2160,2090,4248,67475,64037,131511,220,217,433,69846,66340,136191,108,107,207,4597,4282,8881,15,11,29,4720,4397,9116,51,111,153,3786,6276,10063,7,9,20,3845,6391,10240,143,108,253,5714,3282,9002,17,10,28,5877,3400,9280,102,169,269,6593,11281,17875,17,25,41,6712,11477,18186,5,5,5,83,84,166,8,5,10,96,88,179,400,488,890,20776,25202,45980,66,60,126,21243,25753,47001,186,355,542,21829,27681,49511,48,41,90,22065,28082,50146,115,183,295,8734,11342,20077,11,15,31,8857,11544,20399,43,79,119,3637,4501,8134,7,11,14,3683,4592,8274,105,242,350,8495,13879,22376,15,21,37,8621,14147,22768,0,0,0,100,119,214,4,0,4,99,118,215,448,866,1310,42798,57522,100319,78,90,171,43329,58477,101804,848,1360,2209,63699,82839,146541,146,150,294,64695,84350,149046,212,259,474,8056,11057,19107,32,29
IREG506,115,82,197,442,433,874,0,5,4,560,520,1071,573,541,1121,2211,2070,4281,19,21,39,2810,2634,5443,344,335,681,1210,1103,2309,9,9,15,1557,1448,3012,8,5,19,51,33,85,0,0,0,62,37,97,0,9,17,54,68,123,0,0,0,58,78,135,21,16,39,136,95,228,0,0,0,159,106,268,19,38,60,242,415,654,0,0,0,262,451,715,0,0,0,5,0,5,0,0,0,6,0,6,57,80,133,489,603,1089,0,0,0,541,680,1229,0,9,6,21,58,72,3,0,3,20,60,85,6,11,19,36,95,132,0,0,0,37,113,148,0,0,4,16,32,47,0,0,0,16,37,51,5,25,33,185,321,508,0,0,0,189,350,532,0,0,0,0,0,0,0,0,0,0,0,0,10,44,56,254,508,762,3,0,0,267,552,816,70,125,189,736,1109,1845,7,3,7,809,1236,2041,16,29,44,127,217,348,0,0
IREG507,226,172,399,3054,3006,6061,15,29,42,3297,3205,6499,1062,1063,2128,16447,15569,32011,140,119,259,17651,16750,34403,849,898,1746,13079,12937,26012,99,108,206,14023,13941,27962,32,51,78,635,611,1248,8,0,7,674,665,1336,15,36,52,286,798,1083,0,4,5,308,843,1148,61,57,120,1472,806,2279,10,3,13,1539,870,2412,28,66,92,1058,2484,3540,6,9,13,1091,2552,3642,0,0,5,28,12,41,0,0,0,30,18,45,140,209,347,3474,4714,8194,29,16,47,3643,4941,8585,12,39,47,696,1466,2167,4,3,7,713,1510,2224,13,30,42,341,1014,1357,0,3,3,351,1054,1402,0,10,10,181,400,582,0,6,6,181,417,599,9,48,63,741,2041,2780,0,9,9,754,2100,2853,0,0,0,6,14,16,0,0,0,6,14,16,30,131,163,1966,4939,6901,3,19,22,2004,5087,7089,174,339,509,5450,9667,15113,29,40,72,5651,10045,15690,66,70,138,1085,1683,2764,7,12
IREG508,60,40,99,10,10,19,0,0,0,72,53,124,294,253,544,56,38,99,0,0,0,346,292,642,124,160,285,17,18,38,0,0,0,141,177,321,0,3,9,0,0,5,0,0,0,4,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,4,3,0,0,0,5,9,10,6,6,16,5,10,20,0,0,0,13,22,34,0,0,0,0,0,0,0,0,0,0,0,0,12,14,15,12,25,30,0,0,0,20,34,51,0,0,4,0,0,0,0,0,0,0,4,7,0,0,3,3,3,10,0,0,0,3,8,13,0,0,0,0,3,5,0,0,0,0,3,7,0,4,4,9,21,25,0,0,0,9,25,31,0,0,0,0,0,0,0,0,0,0,0,0,3,11,18,16,35,46,0,0,0,13,47,59,9,24,33,24,54,81,0,0,0,33,75,109,0,5,7,6,3,10,0,0
IREG594,9,0,9,17,18,36,0,0,0,22,18,41,15,22,41,106,94,201,0,0,0,121,114,243,5,11,16,42,52,91,0,0,0,51,55,109,0,4,4,10,8,12,0,0,0,13,11,16,0,0,0,7,19,28,0,0,0,9,18,33,0,0,0,12,6,18,0,0,0,11,6,15,0,0,0,7,23,36,0,0,0,7,25,34,0,0,0,0,0,0,0,0,0,0,0,0,5,7,11,40,52,91,0,0,0,44,59,99,0,4,4,14,22,37,0,0,0,14,25,42,0,0,0,10,17,31,0,0,0,13,17,31,0,0,0,0,3,9,0,0,0,0,3,9,3,3,3,19,29,44,0,0,0,15,25,46,0,0,0,3,0,3,0,0,0,3,0,3,0,3,7,46,65,116,0,0,0,52,68,122,6,13,15,85,122,206,0,0,0,96,130,224,0,0,0,22,34,57,0,0
IREG597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,8,0,0,0,9,0,8,0,0,0,13,0,17,0,0,0,13,0,17,0,0,0,0,0,3,0,0
