IREG_CODE_2021,Co_LTHC_1ms_LTHC_twoc_In_ns_P,Co_LTHC_1ms_LTHC_twoc_Tot_M,Co_LTHC_1ms_LTHC_twoc_Tot_F,Co_LTHC_1ms_LTHC_twoc_Tot_P,Co_LTHC_1ms_LTHC_3oMc_Ind_M,Co_LTHC_1ms_LTHC_3oMc_Ind_F,Co_LTHC_1ms_LTHC_3oMc_Ind_P,Co_LTHC_1ms_LTHC_3oMc_NoInd_M,Co_LTHC_1ms_LTHC_3oMc_NoInd_F,Co_LTHC_1ms_LTHC_3oMc_NoInd_P,Co_LTHC_1ms_LTHC_3oMc_In_ns_M,Co_LTHC_1ms_LTHC_3oMc_In_ns_F,Co_LTHC_1ms_LTHC_3oMc_In_ns_P,Co_LTHC_1ms_LTHC_3oMc_Tot_M,Co_LTHC_1ms_LTHC_3oMc_Tot_F,Co_LTHC_1ms_LTHC_3oMc_Tot_P,Co_LTHC_1ms_LTHC_Tot_Ind_M,Co_LTHC_1ms_LTHC_Tot_Ind_F,Co_LTHC_1ms_LTHC_Tot_Ind_P,Co_LTHC_1ms_LTHC_Tot_NoInd_M,Co_LTHC_1ms_LTHC_Tot_NoInd_F,Co_LTHC_1ms_LTHC_Tot_NoInd_P,Co_LTHC_1ms_LTHC_Tot_In_ns_M,Co_LTHC_1ms_LTHC_Tot_In_ns_F,Co_LTHC_1ms_LTHC_Tot_In_ns_P,Co_LTHC_1ms_LTHC_Tot_Tot_M,Co_LTHC_1ms_LTHC_Tot_Tot_F,Co_LTHC_1ms_LTHC_Tot_Tot_P,Co_LTHC_Ns_Ind_M,Co_LTHC_Ns_Ind_F,Co_LTHC_Ns_Ind_P,Co_LTHC_Ns_NoInd_M,Co_LTHC_Ns_NoInd_F,Co_LTHC_Ns_NoInd_P,Co_LTHC_Ns_In_ns_M,Co_LTHC_Ns_In_ns_F,Co_LTHC_Ns_In_ns_P,Co_LTHC_Ns_Tot_M,Co_LTHC_Ns_Tot_F,Co_LTHC_Ns_Tot_P,Tot_p_Ind_M,Tot_p_Ind_F,Tot_p_Ind_P,Tot_p_NoInd_M,Tot_p_NoInd_F,Tot_p_NoInd_P,Tot_p_In_Tot_p_M,Tot_p_In_Tot_p_F,Tot_p_In_Tot_p_P,Tot_p_Tot_M,Tot_p_Tot_F,Tot_p_Tot_P
IREG501,3,193,292,484,30,70,97,62,59,119,0,0,0,94,126,220,379,573,947,861,1049,1916,6,8,16,1247,1627,2873,275,175,454,224,191,416,977,1000,1978,1474,1370,2842,2369,2480,4847,4853,5187,10036,1038,1043,2081,8258,8709,16965
IREG502,30,1609,1937,3544,109,172,284,847,953,1801,13,10,21,968,1140,2107,766,989,1757,7161,7797,14958,71,78,151,8003,8867,16872,400,296,690,1087,1020,2110,3608,2961,6566,5093,4276,9373,2983,3126,6114,24093,23729,47826,3808,3153,6960,30894,30009,60902
IREG503,21,1087,1397,2482,64,117,177,506,572,1079,9,14,22,580,702,1281,532,652,1186,5448,5699,11150,55,55,107,6032,6402,12434,406,261,672,977,773,1753,3728,2490,6219,5106,3529,8633,2655,2572,5221,22549,20485,43029,3879,2639,6522,29082,25690,54770
IREG504,0,148,181,332,15,54,70,27,21,51,0,6,6,46,79,124,339,482,822,450,457,902,6,9,17,791,951,1740,380,384,767,80,63,149,708,676,1388,1173,1124,2297,2556,2762,5319,2182,2091,4271,763,729,1494,5499,5585,11082
IREG505,611,43725,59482,103206,463,824,1287,20091,26186,46276,148,226,371,20702,27238,47936,4920,6220,11136,226722,273951,500676,1092,1367,2460,232730,281536,514269,2803,1401,4207,36346,34210,70556,43106,33440,76553,82254,69056,151311,19789,19196,38984,927326,960098,1887427,46077,36529,82599,993189,1015822,2009006
IREG506,8,649,743,1392,60,89,148,174,167,340,3,0,6,232,259,498,790,937,1724,3676,3451,7128,35,22,55,4495,4411,8908,416,253,669,875,634,1507,5883,3438,9326,7180,4325,11502,4206,3908,8113,22194,18236,40430,6026,3554,9576,32428,25698,58126
IREG507,276,13263,16829,30091,219,362,577,6788,8153,14940,70,102,174,7076,8614,15690,1944,2387,4330,59429,69324,128752,478,576,1054,61852,72283,134134,790,543,1334,9073,7890,16957,14220,11604,25819,24077,20033,44114,7185,7165,14355,192198,198578,390779,15478,12952,28433,214860,218698,433560
IREG508,0,94,120,217,14,40,55,18,17,32,0,0,0,38,55,92,268,385,652,209,217,431,6,0,4,484,607,1089,311,167,479,40,34,69,472,525,994,820,726,1545,2145,2096,4238,930,866,1790,481,534,1017,3548,3492,7045
IREG594,0,152,163,318,12,5,18,64,61,125,0,3,5,79,67,147,81,76,152,676,629,1306,11,12,19,768,713,1482,610,492,1106,915,384,1303,753,436,1191,2281,1315,3591,819,683,1495,3052,2281,5333,778,450,1228,4639,3416,8055
IREG597,0,3,0,3,0,0,0,7,0,7,0,0,0,7,0,7,3,0,3,35,4,39,0,0,0,43,4,43,0,0,0,5,0,8,191,19,214,204,20,226,7,3,9,256,32,293,193,19,218,455,58,514
