IREG_CODE_2021,Negative_Nil_income_M,Negative_Nil_income_F,Negative_Nil_income_P,1_149_M,1_149_F,1_149_P,150_299_M,150_299_F,150_299_P,300_399_M,300_399_F,300_399_P,400_499_M,400_499_F,400_499_P,500_649_M,500_649_F,500_649_P,650_799_M,650_799_F,650_799_P,800_999_M,800_999_F,800_999_P,1000_1249_M,1000_1249_F,1000_1249_P,1250_1499_M,1250_1499_F,1250_1499_P,1500_1749_M,1500_1749_F,1500_1749_P,1750_1999_M,1750_1999_F,1750_1999_P,2000_or_more_M,2000_or_more_F,2000_or_more_P,Personal_income_nsM,Personal_income_nsF,Personal_income_nsP,Tot_M,Tot_F,Tot_P
IREG501,156,150,309,41,68,107,198,202,402,234,306,545,87,137,228,79,131,210,70,83,153,67,91,163,93,91,181,64,89,152,83,91,172,61,44,98,106,96,202,205,128,333,1543,1717,3259
IREG502,238,233,476,65,73,129,242,218,464,246,280,527,163,276,437,111,247,351,86,168,250,103,164,266,101,128,232,63,81,145,84,70,153,49,34,84,166,69,238,278,146,426,1995,2191,4186
IREG503,173,179,350,52,72,125,295,281,581,239,263,497,127,184,312,91,205,303,40,101,141,64,97,158,74,93,159,55,56,108,64,50,112,64,29,92,178,51,227,324,180,501,1835,1841,3672
IREG504,195,171,368,58,68,127,464,432,891,278,333,611,108,210,318,104,167,272,47,74,120,71,86,153,56,79,135,47,47,96,34,42,77,25,14,39,50,29,77,195,198,393,1730,1964,3690
IREG505,1498,1600,3096,459,585,1040,1013,1078,2096,973,1265,2236,629,1167,1794,650,1204,1858,503,949,1454,683,851,1537,896,963,1852,703,727,1425,679,618,1293,537,376,915,1837,828,2660,1987,725,2713,13034,12930,25972
IREG506,353,392,746,58,84,143,455,412,868,196,316,512,93,188,279,68,166,233,61,113,179,63,135,197,115,139,251,98,151,242,132,114,245,150,94,241,771,248,1014,308,162,471,2913,2697,5618
IREG507,616,629,1237,165,232,398,422,449,868,455,538,988,342,553,888,321,562,882,222,375,596,254,353,606,361,302,664,221,161,388,172,131,300,179,86,263,489,158,648,479,239,716,4696,4762,9454
IREG508,115,93,210,28,49,73,483,430,916,236,276,511,129,184,316,51,117,160,34,56,96,49,46,92,31,43,75,32,39,73,28,26,54,10,16,29,29,23,48,285,128,411,1540,1518,3057
IREG594,27,19,46,23,24,45,215,161,373,121,100,215,50,52,102,19,30,50,15,19,35,3,10,15,6,0,10,0,7,6,9,3,14,0,0,3,12,0,19,238,176,416,749,597,1349
IREG597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,3,0,3,0,0,0,7,3,9
