IREG_CODE_2021,NsQ_Cer_III_IV_IndSt_nsP,NsQ_Cer_III_IV_TotM,NsQ_Cer_III_IV_TotF,NsQ_Cer_III_IV_TotP,NsQ_Cer_I_II_Ind_M,NsQ_Cer_I_II_Ind_F,NsQ_Cer_I_II_Ind_P,NsQ_Cer_I_II_No_In_M,NsQ_Cer_I_II_No_In_F,NsQ_Cer_I_II_No_In_P,NsQ_Cer_I_II_Ind_s_nsM,NsQ_Cer_I_II_Ind_s_nsF,NsQ_Cer_I_II_Ind_s_nsP,NsQ_Cer_I_II_TotM,NsQ_Cer_I_II_TotF,NsQ_Cer_I_II_TotP,Mig_Sme_add_1_yr_ago_Indig_M,Mig_Sme_add_1_yr_ago_Indig_F,Mig_Sme_add_1_yr_ago_Indig_P,Mig_Sme_add_1_yr_ago_No_Ind_M,Mig_Sme_add_1_yr_ago_No_Ind_F,Mig_Sme_add_1_yr_ago_No_Ind_P,Mig_sa_ad_1_yr_ag_IndSt_nsM,Mig_sa_ad_1_yr_ag_IndSt_nsF,Mig_sa_ad_1_yr_ag_IndSt_nsP,Mig_Sme_add_1_yr_ago_TotM,Mig_Sme_add_1_yr_ago_TotF,Mig_Sme_add_1_yr_ago_TotP,Mig_Diff_add_1_yr_ago_Indig_M,Mig_Diff_add_1_yr_ago_Indig_F,Mig_Diff_add_1_yr_ago_Indig_P,Mig_Diff_ad_1_yr_ago_No_Ind_M,Mig_Diff_ad_1_yr_ago_No_Ind_F,Mig_Diff_ad_1_yr_ago_No_Ind_P,Mig_Dif_ad_1_yr_ag_In_st_nsM,Mig_Dif_ad_1_yr_ag_In_st_nsF,Mig_Dif_ad_1_yr_ag_In_st_nsP,Mig_Diff_add_1_yr_ago_TotM,Mig_Diff_add_1_yr_ago_TotF,Mig_Diff_add_1_yr_ago_TotP,Mig_Sme_add_5_ago_Indig_M,Mig_Sme_add_5_ago_Indig_F,Mig_Sme_add_5_ago_Indig_P,Mig_Sme_ad_5_ago_No_Ind_M,Mig_Sme_ad_5_ago_No_Ind_F,Mig_Sme_ad_5_ago_No_Ind_P,Mig_sa_ad_5_ag_In_st_nsM,Mig_sa_ad_5_ag_In_st_nsF,Mig_sa_ad_5_ag_In_st_nsP,Mig_Sme_add_5_ago_TotM,Mig_Sme_add_5_ago_TotF,Mig_Sme_add_5_ago_TotP,Mig_Diff_add_5_ago_Ind_M,Mig_Diff_add_5_ago_Ind_F,Mig_Diff_add_5_ago_Ind_P,Mig_Diff_ad_5_ag_No_Ind_M,Mig_Diff_ad_5_ag_No_Ind_F,Mig_Diff_ad_5_ag_No_Ind_P,Mi_Dif_ad_5_ag_In_st_nsM,Mi_Dif_ad_5_ag_In_st_nsF,Mi_Dif_ad_5_ag_In_st_nsP,Mig_Diff_add_5_ago_TotM,Mig_Diff_add_5_ago_TotF,Mig_Diff_add_5_ago_TotP
IREG501,17,1519,709,2233,30,77,112,55,80,135,0,0,0,81,157,242,1794,1946,3742,3650,3660,7306,45,40,87,5483,5655,11137,334,372,709,1058,1404,2461,9,9,14,1399,1775,3176,1188,1290,2476,1994,1912,3903,29,21,49,3206,3225,6429,718,818,1530,2439,2870,5306,17,20,33,3174,3700,6876
IREG502,56,6747,3332,10076,48,104,155,381,569,949,0,0,3,426,682,1104,2215,2432,4646,19920,19519,39443,175,168,342,22306,22120,44425,426,490,915,3510,3619,7131,26,24,51,3966,4139,8102,1297,1410,2706,13867,13294,27153,133,112,250,15292,14818,30110,1048,1224,2271,8434,8752,17188,44,59,106,9530,10034,19565
IREG503,48,6351,2667,9022,31,48,79,307,462,764,0,5,3,340,512,853,1875,1959,3830,17658,16159,33818,145,127,272,19681,18242,37921,447,445,892,4227,3781,8006,17,20,36,4689,4248,8933,1300,1301,2601,11277,10006,21286,93,90,186,12670,11400,24071,787,879,1670,9286,8684,17972,42,41,85,10119,9606,19725
IREG504,6,820,402,1221,37,58,98,20,27,48,0,0,3,62,91,153,2112,2323,4437,1538,1421,2953,34,33,70,3680,3772,7453,258,306,561,564,615,1177,13,18,30,830,932,1762,1464,1665,3127,821,712,1536,22,22,41,2307,2395,4706,637,719,1353,1155,1217,2371,23,21,46,1818,1957,3769
IREG505,864,176404,94620,271028,362,511,867,9733,13702,23437,16,46,63,10106,14259,24370,14112,14453,28565,776957,804887,1581845,2909,2980,5891,793975,822323,1616296,3339,3669,7011,128616,135698,264307,413,405,819,132370,139768,272137,7505,7553,15061,503898,521137,1025032,2086,2126,4209,513489,530820,1044310,7966,8780,16739,350134,370869,721002,942,975,1913,359040,380620,739658
IREG506,49,8113,2778,10891,87,132,217,282,410,697,5,0,4,374,542,917,3079,2908,5984,16110,12802,28912,119,103,217,19309,15807,35111,801,787,1589,5488,4952,10441,26,32,59,6314,5768,12086,1718,1598,3320,7237,5076,12313,66,55,119,9026,6733,15753,1745,1728,3469,12762,11275,24043,68,61,128,14573,13067,27638
IREG507,390,49406,26957,76366,146,210,354,2538,4188,6724,12,15,27,2694,4413,7109,5271,5502,10774,159329,164429,323756,1168,1199,2367,165767,171136,336903,1265,1301,2570,27212,29391,56602,161,159,321,28632,30852,59487,3035,3020,6051,108507,109776,218283,890,883,1775,112426,113682,226107,2800,3133,5937,68753,75160,143913,354,376,729,71905,78669,150576
IREG508,3,434,209,642,27,58,84,6,18,25,0,0,0,32,79,108,1712,1802,3514,612,541,1156,14,7,20,2337,2353,4691,185,191,368,271,294,571,0,0,0,462,481,943,1279,1308,2584,336,248,586,10,6,13,1623,1561,3185,407,473,880,512,565,1080,0,0,5,928,1048,1970
IREG594,7,662,286,946,6,6,15,33,45,74,0,0,0,39,49,85,90,65,159,543,370,912,15,4,16,650,443,1089,104,124,228,1625,1531,3156,12,7,24,1743,1662,3403,50,41,91,305,192,499,12,0,11,365,234,595,121,127,248,1770,1627,3393,12,12,22,1901,1766,3664
IREG597,0,100,3,100,0,0,0,0,3,4,0,0,0,3,3,4,8,3,7,196,26,225,3,0,3,200,24,229,5,0,5,56,10,66,0,0,0,55,10,71,8,3,9,117,10,130,6,0,6,123,16,139,0,0,0,136,24,158,0,0,0,137,24,163
