IREG_CODE_2021,Psn_15_y_over_Indig_M,Psn_15_y_over_Indig_F,Psn_15_y_over_Indig_P,Psn_15_y_over_NonInd_M,Psn_15_y_over_NonInd_F,Psn_15_y_over_NonInd_P,Psn_15_y_over_Ind_s_nsM,Psn_15_y_over_Ind_s_nsF,Psn_15_y_over_Ind_s_nsP,Psn_15_y_over_TotM,Psn_15_y_over_TotF,Psn_15_y_over_TotP,In_LF_Emp_Indig_M,In_LF_Emp_Indig_F,In_LF_Emp_Indig_P,In_LF_Emp_NonInd_M,In_LF_Emp_NonInd_F,In_LF_Emp_NonInd_P,In_LF_Emp_IndSt_nsM,In_LF_Emp_IndSt_nsF,In_LF_Emp_IndSt_nsP,In_LF_Employd_TotM,In_LF_Employd_TotF,In_LF_Employd_TotP,In_LF_unemp_Ind_M,In_LF_unemp_Ind_F,In_LF_unemp_Ind_P,In_LF_unemp_No_Ind_M,In_LF_unemp_No_Ind_F,In_LF_unemp_No_Ind_P,In_LF_un_IndSt_nsM,In_LF_un_IndSt_nsF,In_LF_un_IndSt_nsP,In_LF_Unemp_TotM,In_LF_Unemp_TotF,In_LF_Unemp_TotP,In_LF_To_LF_Ind_M,In_LF_To_LF_Ind_F,In_LF_To_LF_Ind_P,In_LF_To_la_fo_No_In_M,In_LF_To_la_fo_No_In_F,In_LF_To_la_fo_No_In_P,In_LF_To_l_fo_In_st_nsM,In_LF_To_l_fo_In_st_nsF,In_LF_To_l_fo_In_st_nsP,In_LF_To_LF_TotM,In_LF_To_LF_TotF,In_LF_To_LF_TotP,N_the_LF_Indig_M,N_the_LF_Indig_F,N_the_LF_Indig_P,N_the_LF_No_Indig_M,N_the_LF_No_Indig_F,N_the_LF_No_Indig_P,N_the_LF_Indig_st_nsM,N_the_LF_Indig_st_nsF,N_the_LF_Indig_st_nsP,N_the_LF_TotM,N_the_LF_TotF,N_the_LF_TotP,LF_st_ns_Indig_M,LF_st_ns_Indig_F,LF_st_ns_Indig_P,LF_st_ns_NonInd_M,LF_st_ns_NonInd_F,LF_st_ns_NonInd_P,LF_st_ns_Indig_st_nsM,LF_st_ns_Indig_st_nsF,LF_st_ns_Indig_st_nsP,LF_st_ns_TotM,LF_st_ns_TotF,LF_st_ns_TotP,Pcent_Unemploy_Indig_M,Pcent_Unemploy_Indig_F,Pcent_Unemploy_Indig_P,Pcent_Unemploy_NonInd_M,Pcent_Unemploy_NonInd_F,Pcent_Unemploy_NonInd_P,Pcent_Unem_IndSt_nsM,Pcent_Unemp_IndSt_nsF,Pcent_Unemp_IndSt_nsP,Pcent_Unemploy_TotM,Pcent_Unemploy_TotF,Pcent_Unemploy_TotP,Pcent_LF_part_Indig_M,Pcent_LF_part_Indig_F,Pcent_LF_part_Indig_P,Pcent_LF_part_No_Indig_M,Pcent_LF_part_No_Indig_F,Pcent_LF_part_No_Indig_P,Pcent_LF_part_IndSt_nsM,Pcent_LF_part_IndSt_nsF,Pcent_LF_part_IndSt_nsP,Pcent_LF_part_TotM,Pcent_LF_part_TotF,Pcent_LF_part_TotP,Pcent_Emp_to_pop_Ind_M,Pcent_Emp_to_pop_Ind_F,Pcent_Emp_to_pop_Ind_P,Pcent_Emp_t_pop_NonInd_M,Pcent_Emp_t_pop_NonInd_F,Pcent_Emp_t_pop_NonInd_P,Pcent_Emp_t_pop_IndSt_nsM,Pcent_Emp_t_pop_IndSt_nsF,Pcent_Emp_t_pop_IndSt_nsP,Pcent_Emp_to_pop_TotM,Pcent_Emp_to_pop_TotF,Pcent_Emp_to_pop_TotP,IndSec_Gov_Ind_M,IndSec_Gov_Ind_F,IndSec_Gov_Ind_P,IndSec_Gov_No_Ind_M,IndSec_Gov_No_Ind_F,IndSec_Gov_No_Ind_P,IndSec_Gov_IndSt_nsM,IndSec_Gov_IndSt_nsF,IndSec_Gov_IndSt_nsP,IndSec_Gov_TotM,IndSec_Gov_TotF,IndSec_Gov_TotP,IndSec_Priv_Ind_M,IndSec_Priv_Ind_F,IndSec_Priv_Ind_P,IndSec_Priv_NonInd_M,IndSec_Priv_NonInd_F,IndSec_Priv_NonInd_P,IndSec_Priv_IndSt_nsM,IndSec_Priv_IndSt_nsF,IndSec_Priv_IndSt_nsP,IndSec_Priv_TotM,IndSec_Priv_TotF,IndSec_Priv_TotP,Self_employed_Ind_M,Self_employed_Ind_F,Self_employed_Ind_P,Self_employed_NonInd_M,Self_employed_NonInd_F,Self_employed_NonInd_P,Self_employed_Ind_status_nsM,Self_employed_Ind_status_nsF,Self_employed_Ind_status_nsP,Self_employed_TotM,Self_employed_TotF,Self_employed_TotP,HnsQ_PgDL_Ind_M,HnsQ_PgDL_Ind_F,HnsQ_PgDL_Ind_P,HnsQ_PgDL_No_Ind_M,HnsQ_PgDL_No_Ind_F,HnsQ_PgDL_No_Ind_P,HnsQ_PgDL_IndSt_nsM,HnsQ_PgDL_IndSt_nsF,HnsQ_PgDL_IndSt_nsP,HnsQ_PgDL_TotM,HnsQ_PgDL_TotF,HnsQ_PgDL_TotP,HnsQ_GD_GCL_Ind_M,HnsQ_GD_GCL_Ind_F,HnsQ_GD_GCL_Ind_P,HnsQ_GD_GCL_No_In_M,HnsQ_GD_GCL_No_In_F,HnsQ_GD_GCL_No_In_P,HnsQ_GD_GCL_In_st_nsM,HnsQ_GD_GCL_In_st_nsF,HnsQ_GD_GCL_In_st_nsP,HnsQ_GD_GCL_TotM,HnsQ_GD_GCL_TotF,HnsQ_GD_GCL_TotP,HnsQ_BDL_Ind_M,HnsQ_BDL_Ind_F,HnsQ_BDL_Ind_P,HnsQ_BDL_No_Ind_M,HnsQ_BDL_No_Ind_F,HnsQ_BDL_No_Ind_P,HnsQ_BDL_IndSt_nsM,HnsQ_BDL_IndSt_nsF,HnsQ_BDL_IndSt_nsP,HnsQ_BDL_TotM,HnsQ_BDL_TotF,HnsQ_BDL_TotP,HnsQ_AD_DL_Ind_M,HnsQ_AD_DL_Ind_F,HnsQ_AD_DL_Ind_P,HnsQ_AD_DL_No_In_M,HnsQ_AD_DL_No_In_F,HnsQ_AD_DL_No_In_P,HnsQ_AD_DL_In_st_nsM,HnsQ_AD_DL_In_st_nsF,HnsQ_AD_DL_In_st_nsP,HnsQ_AD_DL_TotM,HnsQ_AD_DL_TotF,HnsQ_AD_DL_TotP,HnsQ_Cer_III_IV_Ind_M,HnsQ_Cer_III_IV_Ind_F,HnsQ_Cer_III_IV_Ind_P,HnsQ_Cer_III_IV_No_Ind_M,HnsQ_Cer_III_IV_No_Ind_F,HnsQ_Cer_III_IV_No_Ind_P,HnsQ_Cer_III_IV_IndSt_nsM,HnsQ_Cer_III_IV_IndSt_nsF
IREG501,1543,1717,3259,3867,4221,8091,797,827,1619,6206,6768,12973,603,648,1247,3111,3489,6596,29,17,45,3739,4149,7893,150,115,270,68,63,131,5,3,6,225,178,401,753,767,1517,3177,3551,6727,29,20,49,3962,4332,8292,670,847,1520,619,630,1254,10,15,23,1300,1492,2797,120,106,226,64,41,109,751,797,1548,939,946,1884,20,15.5,17.7,2.2,1.7,1.9,6.9,10.5,8.3,5.6,4.2,4.9,48.8,44.4,46.5,82.3,84,83.2,3.7,2.3,3,63.9,64,63.9,39.1,37.5,38.3,80.4,82.6,81.6,3.4,2.1,2.7,60.3,61.3,60.8,103,198,301,542,974,1518,0,3,4,647,1174,1825,477,427,903,2514,2469,4980,21,15,32,3012,2905,5919,17,0,20,182,155,334,0,0,0,195,160,353,0,21,23,147,292,435,0,0,0,151,313,459,11,24,37,84,227,312,0,0,4,92,253,346,25,95,124,586,1110,1692,3,0,3,609,1204,1818,45,95,138,397,556,952,0,0,3,437,650,1087,285,191,479,1226,514,1740,9,3
IREG502,1995,2191,4186,19927,19752,39671,3138,2499,5634,25055,24441,49493,715,791,1509,13232,12055,25286,72,55,122,14015,12906,26924,199,136,336,587,441,1027,13,0,11,799,585,1381,917,931,1850,13820,12494,26316,79,63,137,14817,13488,28304,968,1153,2117,5824,7017,12840,65,85,154,6858,8254,15116,108,112,216,285,233,515,2995,2350,5346,3382,2692,6077,21.9,14.9,18.4,4.2,3.5,3.9,13.8,3.4,9.4,5.4,4.3,4.9,45.9,42.6,44.2,69.4,63.3,66.3,2.5,2.4,2.5,59.1,55.2,57.2,35.9,36.2,36,66.4,61,63.7,2.2,2.3,2.2,55.9,52.8,54.4,107,204,312,1518,2759,4279,4,4,13,1627,2971,4600,579,567,1144,11559,9189,20747,63,49,108,12200,9802,21998,16,14,33,913,607,1522,12,0,12,943,623,1564,0,8,10,344,446,795,3,0,4,350,452,805,3,15,19,172,531,702,0,0,0,173,547,726,27,77,106,1314,2673,3989,0,13,12,1347,2759,4107,54,126,178,1338,2018,3353,3,10,13,1395,2152,3547,324,266,593,6384,3051,9434,39,16
IREG503,1835,1841,3672,18199,16321,34512,3300,2106,5406,23327,20264,43595,634,578,1209,13966,10988,24948,66,48,119,14663,11614,26277,153,99,249,415,314,730,9,0,12,580,408,995,787,674,1461,14381,11298,25680,76,53,128,15249,12025,27267,943,1064,2008,3550,4813,8364,58,70,123,4544,5950,10495,107,98,207,268,206,472,3168,1988,5153,3537,2293,5827,19.8,14.2,17.2,2.9,2.8,2.8,10.4,5.8,8.5,3.8,3.4,3.6,43,36.7,39.8,79,69.2,74.4,2.3,2.5,2.4,65.4,59.3,62.6,34.4,31.5,32.9,76.7,67.3,72.3,2.1,2.3,2.2,62.9,57.3,60.3,81,142,221,1027,2090,3110,0,5,10,1109,2232,3338,527,433,961,12748,8760,21510,58,40,96,13337,9232,22570,8,3,15,541,370,910,8,0,7,551,375,929,3,3,9,429,435,866,0,0,0,439,436,874,0,9,14,148,383,525,0,0,0,150,389,538,21,51,70,1408,2244,3653,3,3,9,1429,2306,3734,20,50,74,1034,1514,2548,8,6,11,1062,1569,2627,259,178,434,6066,2474,8534,33,17
IREG504,1730,1964,3690,1815,1764,3583,608,579,1192,4161,4307,8466,464,464,927,1518,1497,3018,29,13,39,2013,1972,3987,199,133,333,26,16,44,0,0,0,227,153,374,662,598,1262,1550,1512,3064,29,15,38,2236,2126,4361,934,1249,2186,247,231,480,13,21,36,1202,1505,2707,129,120,246,26,17,42,571,538,1110,726,678,1398,30.2,22.1,26.3,1.7,1.1,1.4,0,7.7,2.6,10.1,7.1,8.6,38.3,30.5,34.1,85,85.8,85.4,4.3,2.2,3.3,53.7,49.4,51.5,26.7,23.8,25.1,83.6,84.9,84.2,4.3,2.1,3.2,48.3,45.9,47.1,84,89,172,275,403,678,3,7,4,359,498,857,343,348,689,1226,1080,2305,23,4,30,1589,1433,3019,3,0,5,57,37,94,0,0,0,65,37,96,5,0,10,76,115,189,0,0,0,81,117,194,6,5,12,35,79,112,0,0,0,39,90,129,14,29,41,245,490,731,6,5,7,258,524,783,16,40,62,144,217,362,4,0,6,167,257,422,216,163,376,596,242,837,10,0
IREG505,13034,12930,25972,743733,786704,1530438,39658,30529,70191,796435,830169,1626601,6424,5980,12400,519986,481144,1001126,1234,926,2161,527643,488048,1015691,1172,1006,2175,27632,25724,53360,100,78,175,28902,26807,55710,7599,6983,14581,547616,506873,1054485,1333,1002,2339,556553,514853,1071405,5084,5615,10703,188499,271166,459663,1228,1675,2906,194817,278457,473277,352,335,688,7619,8669,16284,37090,27850,64944,45069,36853,81921,15.4,14.4,14.9,5,5.1,5.1,7.3,7.6,7.4,5.2,5.2,5.2,58.3,54,56.1,73.6,64.4,68.9,3.4,3.3,3.3,69.9,62,65.9,49.3,46.2,47.8,69.9,61.2,65.4,3.1,3,3.1,66.3,58.8,62.4,835,1523,2357,56289,93371,149665,79,140,215,57206,95033,152234,5463,4337,9799,457655,383333,840986,1062,718,1789,464182,388389,852573,189,169,354,33053,24205,57256,88,50,142,33330,24427,57754,145,220,360,50081,49152,99233,60,48,108,50288,49414,99707,93,180,276,14229,27231,41457,20,45,65,14338,27458,41800,547,987,1533,131350,169432,300779,208,283,498,132107,170700,302805,557,1012,1570,70128,87390,157523,174,201,372,70859,88606,159471,2745,2294,5043,173049,92073,265119,613,254
IREG506,2913,2697,5618,17424,13721,31145,5181,2797,7976,25520,19220,44740,1517,1125,2637,15587,10953,26538,85,65,146,17187,12144,29325,203,182,387,279,258,534,5,4,9,486,447,927,1716,1307,3026,15864,11209,27080,89,63,154,17669,12585,30258,1095,1294,2390,1375,2377,3751,25,19,46,2496,3690,6189,100,95,194,186,139,325,5070,2711,7778,5353,2945,8294,11.8,14.1,12.8,1.7,2.3,2,4.5,4.6,4.6,2.7,3.5,3.1,59,48.5,53.9,91,81.7,86.9,1.7,2.3,1.9,69.2,65.5,67.6,52,41.6,47,89.5,79.8,85.2,1.6,2.2,1.8,67.3,63.2,65.6,86,195,279,1150,2446,3593,9,6,15,1241,2656,3891,1395,894,2286,14286,8415,22697,75,46,117,15756,9348,25104,8,18,19,258,337,596,0,0,3,264,355,620,7,13,14,439,497,937,5,0,0,447,504,956,5,14,23,188,429,616,0,0,0,194,437,636,28,82,109,1523,2672,4188,5,3,12,1551,2758,4308,49,129,179,1405,1588,2994,4,6,14,1457,1728,3185,669,355,1024,7415,2402,9813,34,18
IREG507,4696,4762,9454,156891,164977,321871,13126,10686,23811,174718,180420,355138,2174,1993,4172,97444,89764,187212,502,375,882,100131,92133,192264,438,339,779,4746,4115,8857,26,28,58,5205,4485,9690,2609,2340,4950,102191,93873,196069,535,405,938,105335,96622,201956,1928,2268,4203,52671,68802,121477,523,682,1205,55128,71755,126884,155,157,310,2027,2292,4325,12071,9600,21673,14255,12051,26305,16.7,14.6,15.7,4.6,4.4,4.5,5.1,6.9,5.9,4.9,4.6,4.8,55.6,49.1,52.3,65.1,56.9,60.9,4.1,3.8,3.9,60.3,53.6,56.9,46.3,41.9,44.1,62.1,54.4,58.2,3.9,3.5,3.7,57.3,51.1,54.1,228,436,663,7991,16064,24051,22,51,67,8233,16543,24780,1884,1510,3394,88266,72714,160975,443,294,741,90589,74519,165110,82,76,154,7983,5568,13554,38,22,63,8102,5665,13768,21,35,51,3073,3523,6599,5,15,16,3098,3569,6666,11,40,53,1610,4147,5758,6,7,13,1625,4197,5820,80,220,300,12389,22280,34672,33,79,118,12500,22582,35081,151,272,426,11468,17727,29197,52,71,125,11672,18075,29747,982,848,1824,48152,26001,74149,283,111
IREG508,1540,1518,3057,810,780,1592,373,414,788,2726,2710,5441,323,343,664,663,659,1325,10,5,11,992,1005,1995,64,40,108,7,12,15,0,0,0,71,53,123,380,388,770,673,670,1339,10,5,11,1063,1061,2120,1093,1080,2182,127,102,228,0,3,3,1226,1190,2413,62,49,107,16,8,22,359,403,770,438,463,898,16.2,11.3,13.7,1,1.6,1.3,0,0,0,6.5,5.2,5.8,24.8,25.6,25.2,82.5,85.8,84.1,1.9,1.2,1.5,38.9,39.1,39,20.8,22.7,21.7,81.7,84.4,83,1.9,1.2,1.5,36.4,37.1,36.7,67,93,157,180,230,407,0,0,0,244,322,572,237,236,474,478,422,897,4,0,10,720,664,1380,3,0,0,29,18,51,0,0,0,35,16,53,0,4,10,29,58,87,0,0,0,34,65,94,4,3,5,19,37,61,0,0,0,25,43,69,3,24,26,93,232,327,0,0,0,102,257,352,10,34,38,74,91,159,0,0,0,84,118,202,157,117,269,279,93,368,4,0
IREG594,749,597,1349,2772,2019,4792,731,417,1145,4247,3030,7285,47,33,79,844,681,1526,8,0,8,899,715,1614,25,25,51,201,136,339,0,4,3,227,160,392,74,56,132,1040,820,1859,7,6,17,1125,875,2000,90,94,179,886,870,1758,14,10,24,990,967,1955,583,454,1038,843,337,1180,708,405,1111,2132,1193,3326,38.2,39.6,38.8,19.1,16.7,18.1,11.1,75,30.8,20.3,18.4,19.5,10.2,8.9,9.6,37.6,40.5,38.8,1.2,1,1.1,26.5,28.8,27.5,6.3,5.4,5.9,30.4,33.7,31.8,1.1,0.2,0.8,21.1,23.5,22.1,6,5,6,43,91,134,0,0,0,46,95,142,38,25,63,792,586,1377,8,0,8,839,610,1447,0,6,7,52,27,81,0,0,0,52,30,87,0,3,0,60,87,145,0,0,0,64,90,148,0,0,0,29,50,74,0,0,0,29,49,77,4,3,9,223,333,560,0,0,0,227,340,563,5,4,11,142,182,323,0,0,0,143,190,335,34,15,54,616,268,888,4,3
IREG597,7,3,9,256,38,294,193,19,218,455,61,516,6,3,11,242,27,267,3,0,3,246,29,277,0,0,0,3,0,3,0,0,0,3,0,3,6,3,11,241,27,269,3,0,3,252,29,277,0,0,0,12,9,19,0,0,0,12,9,18,0,0,0,3,0,3,191,19,214,195,19,220,0,0,0,1.2,0,1.1,0,0,0,1.2,0,1.1,87.5,100,90,94.1,80,92.4,1,0,0.9,54.6,50.8,54.2,87.5,100,90,93,80,91.4,1,0,0.9,53.9,50.8,53.6,0,0,0,4,0,4,0,0,0,4,0,4,6,3,11,237,27,264,3,0,3,244,29,273,0,0,0,4,0,4,0,0,0,4,0,4,0,0,0,5,0,3,0,0,0,5,0,3,0,0,0,3,0,3,0,0,0,3,0,3,0,0,0,31,9,37,0,0,0,36,9,39,0,0,3,22,5,28,0,0,0,24,7,35,5,0,5,96,3,101,0,0
