IREG_CODE_2021,M_Y12_equivalent_Indigenous,M_Y12_equivalent_Non_Indig,M_Y12_equiv_IndigStat_ns,M_Y12_equivalent_Tot,M_Y11_equivalent_Indigenous,M_Y11_equiv_Non_Indig,M_Y11_equiv_IndigStat_ns,M_Y11_equivalent_Tot,M_Y10_equivalent_Indigenous,M_Y10_equiv_Non_Indig,M_Y10_equiv_IndigStat_ns,M_Y10_equivalent_Tot,M_Y9_equivalent_Indigenous,M_Y9_equiv_Non_Indig,M_Y9_equiv_IndigStat_ns,M_Y9_equivalent_Tot,M_Y8_below_Indigenous,M_Y8_below_Non_Indig,M_Y8_below_IndigStat_ns,M_Y8_below_Tot,M_Did_not_go_to_school_Indig,M_Did_not_go_to_sch_Non_Indig,M_Di_no_go_to_sch_IndSt_ns,M_Did_not_go_to_school_Tot,M_Highest_yr_school_ns_Indig,M_Highest_yr_sch_ns_Non_Indig,M_Highe_yr_sch_ns_IndSt_ns,M_Highest_yr_school_ns_Tot,M_Tot_Indigenous,M_Tot_Non_Indigenous,M_Tot_IndigStat_ns,M_Tot_Tot,F_Y12_equivalent_Indigenous,F_Y12_equivalent_Non_Indig,F_Y12_equiv_IndigStat_ns,F_Y12_equivalent_Tot,F_Y11_equivalent_Indigenous,F_Y11_equiv_Non_Indig,F_Y11_equiv_IndigStat_ns,F_Y11_equivalent_Tot,F_Y10_equivalent_Indigenous,F_Y10_equiv_Non_Indig,F_Y10_equiv_IndigStat_ns,F_Y10_equivalent_Tot,F_Y9_equivalent_Indigenous,F_Y9_equiv_Non_Indig,F_Y9_equiv_IndigStat_ns,F_Y9_equivalent_Tot,F_Y8_below_Indigenous,F_Y8_below_Non_Indig,F_Y8_below_IndigStat_ns,F_Y8_below_Tot,F_Did_not_go_to_school_Indig,F_Did_not_go_to_sch_Non_Indig,F_Di_no_go_to_sch_IndSt_ns,F_Did_not_go_to_school_Tot,F_Highest_yr_school_ns_Indig,F_Highest_yr_sch_ns_Non_Indig,F_Highe_yr_sch_ns_IndSt_ns,F_Highest_yr_school_ns_Tot,F_Tot_Indigenous,F_Tot_Non_Indigenous,F_Tot_IndigStat_ns,F_Tot_Tot,P_Y12_equivalent_Indigenous,P_Y12_equivalent_Non_Indig,P_Y12_equiv_IndigStat_ns,P_Y12_equivalent_Tot,P_Y11_equivalent_Indigenous,P_Y11_equiv_Non_Indig,P_Y11_equiv_IndigStat_ns,P_Y11_equivalent_Tot,P_Y10_equivalent_Indigenous,P_Y10_equiv_Non_Indig,P_Y10_equiv_IndigStat_ns,P_Y10_equivalent_Tot,P_Y9_equivalent_Indigenous,P_Y9_equiv_Non_Indig,P_Y9_equiv_IndigStat_ns,P_Y9_equivalent_Tot,P_Y8_below_Indigenous,P_Y8_below_Non_Indig,P_Y8_below_IndigStat_ns,P_Y8_below_Tot,P_Did_not_go_to_school_Indig,P_Did_not_go_to_sch_Non_Indig,P_Di_no_go_to_sch_IndSt_ns,P_Did_not_go_to_school_Tot,P_Highest_yr_school_ns_Indig,P_Highest_yr_sch_ns_Non_Indig,P_Highe_yr_sch_ns_IndSt_ns,P_Highest_yr_school_ns_Tot,P_Tot_Indigenous,P_Tot_Non_Indigenous,P_Tot_IndigStat_ns,P_Tot_Tot
IREG501,488,2128,10,2626,230,422,5,659,424,850,13,1289,91,140,6,235,72,85,3,153,27,13,4,48,138,95,752,984,1464,3737,793,5998,612,2938,12,3554,298,350,5,655,393,587,13,994,106,76,0,179,73,42,0,113,19,15,0,36,120,79,797,997,1628,4081,823,6534,1102,5060,23,6183,528,773,11,1316,818,1438,21,2281,198,218,5,416,140,124,3,268,50,28,4,78,258,176,1554,1985,3096,7813,1616,12526
IREG502,447,7881,46,8378,231,2513,12,2757,666,6172,49,6889,181,1217,10,1412,152,929,12,1103,29,102,0,136,141,426,2995,3566,1854,19249,3136,24239,573,9500,62,10135,366,2514,14,2895,667,4959,39,5660,161,900,7,1070,110,687,12,807,31,118,0,144,158,391,2355,2904,2074,19062,2489,23620,1022,17377,108,18509,594,5031,28,5656,1337,11124,89,12557,344,2118,19,2477,269,1617,30,1910,59,219,0,279,303,820,5354,6475,3929,38305,5626,47856
IREG503,385,7864,31,8286,237,2338,23,2604,610,5342,38,5995,146,968,11,1131,159,535,9,702,41,72,0,116,150,472,3179,3802,1732,17598,3290,22628,412,8509,37,8961,270,1971,12,2256,567,3748,34,4350,130,661,6,803,148,444,7,597,36,48,3,86,161,362,1996,2528,1730,15752,2099,19581,798,16380,67,17246,511,4309,37,4857,1177,9093,71,10343,285,1633,19,1932,307,981,14,1301,77,120,3,203,315,835,5178,6325,3467,33352,5394,42207
IREG504,301,971,18,1287,243,187,4,437,503,443,12,962,156,86,0,239,216,52,0,278,51,9,0,59,167,45,570,787,1645,1792,608,4047,380,1231,13,1628,314,154,12,478,615,263,11,882,172,39,5,219,186,9,0,202,48,3,0,53,166,25,538,732,1892,1724,577,4193,675,2203,32,2911,564,341,13,911,1122,703,21,1843,330,129,10,463,412,63,0,475,101,17,3,118,337,63,1116,1517,3533,3522,1188,8240
IREG505,4475,462662,1166,468311,1420,61686,249,63356,4165,130436,597,135198,784,21652,154,22585,547,16694,129,17373,230,5223,53,5500,464,12448,37197,50110,12084,710800,39549,762426,5199,505796,1173,512172,1642,59409,230,61278,3419,127558,593,131576,758,20980,180,21917,463,20469,199,21127,110,6685,42,6839,422,14231,27996,42649,12017,755125,30414,797555,9674,968455,2345,980479,3067,121096,481,124637,7589,257989,1190,266768,1537,42627,335,44500,1002,37162,330,38497,337,11907,92,12340,887,26679,65190,92754,24097,1465927,69965,1559984
IREG506,850,8987,51,9890,470,2447,18,2940,891,4243,24,5146,198,597,10,802,168,214,7,391,64,85,0,143,124,312,5072,5506,2766,16884,5174,24821,895,8897,46,9833,451,1395,4,1848,695,2282,19,2990,168,283,3,456,150,167,3,321,46,51,3,96,148,176,2717,3043,2548,13250,2789,18595,1742,17888,94,19726,922,3846,26,4789,1585,6521,38,8144,366,881,9,1254,319,381,11,710,107,133,4,239,271,487,7791,8553,5314,30128,7970,43418
IREG507,1203,66966,345,68510,562,17677,114,18354,1631,46843,326,48795,372,8870,95,9331,257,5824,93,6170,64,658,10,737,227,4006,12096,16332,4313,150840,13078,168233,1413,80338,391,82140,679,18643,126,19444,1490,43069,294,44851,331,7159,82,7564,170,4916,105,5194,23,545,14,580,254,4048,9634,13933,4353,158717,10638,173705,2618,147306,736,150658,1240,36316,242,37800,3115,89914,616,93649,701,16023,172,16894,428,10743,198,11364,87,1206,24,1313,475,8054,21728,30255,8664,309559,23717,341943
IREG508,289,404,5,693,231,79,0,310,517,224,4,738,151,37,3,197,162,27,0,188,50,7,0,61,80,31,359,471,1484,805,373,2660,343,528,3,871,309,88,0,394,429,123,5,558,124,19,0,139,117,10,0,130,50,0,0,48,77,15,403,497,1448,776,414,2636,630,930,3,1565,542,166,3,712,947,348,5,1298,282,56,0,338,278,36,0,312,100,11,0,112,154,38,770,962,2926,1574,788,5293
IREG594,39,952,5,994,17,216,0,231,62,546,3,617,20,109,5,137,13,56,0,78,4,12,0,10,592,855,711,2158,747,2752,731,4222,42,984,4,1030,22,184,0,205,37,370,5,410,18,71,0,90,9,33,0,36,5,9,0,14,455,350,407,1212,592,1997,417,3007,75,1937,6,2024,31,399,3,438,105,913,11,1024,40,176,12,225,27,87,0,117,5,24,0,30,1048,1207,1115,3375,1338,4747,1145,7225
IREG597,5,138,0,139,3,33,0,38,0,63,0,59,0,9,0,13,0,0,0,0,0,3,0,3,0,8,191,197,7,256,193,453,0,33,0,30,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,20,3,38,19,61,9,167,0,173,3,34,0,38,0,66,0,61,0,11,0,16,0,0,0,0,0,3,0,3,0,8,214,226,9,289,218,515
