IREG_CODE_2021,One_f_h_N_pe_UR_One_ATSIF,One_f_h_N_pe_UR_Two_ATSIF,One_f_h_N_pe_UR_Three_ATSIF,One_f_h_N_pe_UR_Four_ATSIF,One_f_h_N_pe_UR_Five_ATSIF,One_f_h_N_pe_UR_Six_m_ATSIF,One_f_h_Tot_ATSIF,Two_f_h_N_pe_UR_One_ATSIF,Two_f_h_N_pe_UR_Two_ATSIF,Two_f_h_N_pe_UR_Three_ATSIF,Two_f_h_N_pe_UR_Four_ATSIF,Two_f_h_N_pe_UR_Five_ATSIF,Two_f_h_N_pe_UR_Six_m_ATSIF,Two_f_h_Tot_ATSIF,Thr_m_f_h_N_pe_UR_One_ATSIF,Thr_m_f_h_N_pe_UR_Two_ATSIF,Thr_m_f_h_N_pe_UR_Three_ATSIF,Thr_m_f_h_N_pe_UR_Four_ATSIF,Thr_m_f_h_N_pe_UR_Five_ATSIF,Thr_m_f_h_N_pe_UR_Six_m_ATSIF,Thr_m_f_h_Tot_ATSIF,Tot_N_pe_UR_One_ATSIF,Tot_N_pe_UR_Two_ATSIF,Tot_N_pe_UR_Three_ATSIF,Tot_N_pe_UR_Four_ATSIF,Tot_N_pe_UR_Five_ATSIF,Tot_N_pe_UR_Six_m_ATSIF,Tot_Tot_ATSIF,One_f_h_N_pe_UR_One_Oth_f,One_f_h_N_pe_UR_Two_Oth_f,One_f_h_N_pe_UR_Three_Oth_f,One_f_h_N_pe_UR_Four_Oth_f,One_f_h_N_pe_UR_Five_Oth_f,One_f_h_N_pe_UR_Six_m_Oth_f,One_f_h_Tot_Oth_f,Two_f_h_N_pe_UR_One_Oth_f,Two_f_h_N_pe_UR_Two_Oth_f,Two_f_h_N_pe_UR_Three_Oth_f,Two_f_h_N_pe_UR_Four_Oth_f,Two_f_h_N_pe_UR_Five_Oth_f,Two_f_h_N_pe_UR_Six_m_Oth_f,Two_f_h_Tot_Oth_f,Thr_m_f_h_N_pe_UR_One_Oth_f,Thr_m_f_h_N_pe_UR_Two_Oth_f,Thr_m_f_h_N_pe_UR_Three_Oth_f,Thr_m_f_h_N_pe_UR_Four_Oth_f,Thr_m_f_h_N_pe_UR_Five_Oth_f,Thr_m_f_h_N_pe_UR_Six_m_Oth_f,Thr_m_f_h_Tot_Oth_f,Tot_N_pe_UR_One_Oth_f,Tot_N_pe_UR_Two_Oth_f,Tot_N_pe_UR_Three_Oth_f,Tot_N_pe_UR_Four_Oth_f,Tot_N_pe_UR_Five_Oth_f,Tot_N_pe_UR_Six_m_Oth_f,Tot_Tot_Oth_f
IREG501,..,336,274,259,163,103,1129,..,..,..,36,36,88,151,..,..,..,..,..,41,41,..,336,274,289,196,235,1323,..,1080,467,570,214,62,2396,..,..,..,16,17,38,71,..,..,..,..,..,0,0,..,1080,467,584,233,103,2465
IREG502,..,557,377,336,187,155,1613,..,..,..,35,31,117,183,..,..,..,..,..,32,32,..,557,377,371,222,303,1829,..,6858,2435,2185,914,312,12698,..,..,..,135,114,167,423,..,..,..,..,..,12,12,..,6858,2435,2327,1026,488,13130
IREG503,..,399,294,223,162,138,1213,..,..,..,34,58,117,208,..,..,..,..,..,39,39,..,399,294,254,223,294,1464,..,5096,2228,2158,938,361,10783,..,..,..,102,75,150,326,..,..,..,..,..,5,5,..,5096,2228,2260,1018,516,11113
IREG504,..,259,244,196,127,143,966,..,..,..,33,46,226,313,..,..,..,..,..,97,97,..,259,244,223,179,464,1369,..,490,201,155,73,15,936,..,..,..,8,9,20,40,..,..,..,..,..,3,3,..,490,201,164,90,41,980
IREG505,..,3845,3115,2735,1488,1058,12253,..,..,..,250,233,538,1017,..,..,..,..,..,82,82,..,3845,3115,2984,1721,1674,13349,..,217339,113393,115435,42057,14312,502533,..,..,..,5927,6505,9874,22304,..,..,..,..,..,1127,1127,..,217339,113393,121364,48557,25315,525970
IREG506,..,576,426,424,265,194,1873,..,..,..,40,45,167,250,..,..,..,..,..,70,70,..,576,426,459,305,426,2191,..,3555,1918,2293,1024,301,9092,..,..,..,53,64,106,213,..,..,..,..,..,6,6,..,3555,1918,2338,1087,416,9316
IREG507,..,1551,1159,962,575,429,4680,..,..,..,92,92,204,385,..,..,..,..,..,19,19,..,1551,1159,1051,666,655,5083,..,56913,19887,19072,8011,2804,106692,..,..,..,1144,1102,1571,3816,..,..,..,..,..,148,148,..,56913,19887,20216,9113,4528,110651
IREG508,..,224,157,128,101,99,713,..,..,..,33,54,153,242,..,..,..,..,..,76,76,..,224,157,163,162,321,1032,..,233,61,53,17,4,371,..,..,..,10,0,6,11,..,..,..,..,..,0,0,..,233,61,62,17,13,385
IREG594,..,0,0,0,0,0,0,..,..,..,0,0,0,0,..,..,..,..,..,0,0,..,0,0,0,0,0,0,..,0,0,0,0,0,0,..,..,..,0,0,0,0,..,..,..,..,..,0,0,..,0,0,0,0,0,0
IREG597,..,0,0,0,0,0,0,..,..,..,0,0,0,0,..,..,..,..,..,0,0,..,0,0,0,0,0,0,..,0,0,0,0,0,0,..,..,..,0,0,0,0,..,..,..,..,..,0,0,..,0,0,0,0,0,0
