IREG_CODE_2021,OEI_IndSt_nsP,OEI_TotM,OEI_TotF,OEI_TotP,T_EI_ns_Ind_M,T_EI_ns_Ind_F,T_EI_ns_Ind_P,T_EI_ns_NonInd_M,T_EI_ns_NonInd_F,T_EI_ns_NonInd_P,T_EI_ns_IndSt_nsM,T_EI_ns_IndSt_nsF,T_EI_ns_IndSt_nsP,T_EI_ns_TotM,T_EI_ns_TotF,T_EI_ns_TotP,Tot_Indig_M,Tot_Indig_F,Tot_Indig_P,Tot_NonInd_M,Tot_NonInd_F,Tot_NonInd_P,Tot_IndigStat_nsM,Tot_IndigStat_nsF,Tot_IndigStat_nsP,Tot_TotM,Tot_TotF,Tot_TotP
IREG501,0,32,58,97,215,160,380,90,61,153,942,969,1912,1248,1191,2441,908,883,1790,1128,1334,2461,962,984,1946,2998,3198,6197
IREG502,0,152,201,349,288,189,477,383,288,669,3522,2861,6377,4196,3335,7528,1176,1095,2271,4970,5412,10382,3566,2896,6457,9709,9402,19112
IREG503,0,155,192,346,310,158,465,371,286,658,3632,2429,6059,4314,2871,7190,994,835,1823,5036,5170,10203,3665,2457,6125,9698,8456,18155
IREG504,0,16,19,38,221,204,422,32,21,53,680,667,1350,930,895,1828,851,838,1686,391,424,812,692,680,1368,1930,1945,3870
IREG505,57,8296,11341,19640,2026,741,2765,12182,10674,22855,42060,32502,74560,56270,43916,100186,8775,7762,16544,253185,264846,518031,42717,33154,75872,304682,305761,610445
IREG506,0,148,246,396,323,181,508,302,214,514,5744,3345,9092,6371,3738,10118,1439,1298,2736,5027,5143,10174,5787,3384,9164,12257,9827,22081
IREG507,15,1157,1763,2918,493,271,762,3902,3013,6911,13852,11338,25185,18247,14621,32864,2869,2810,5677,43013,45864,88881,14141,11642,25781,60018,60315,120337
IREG508,0,10,8,16,235,102,339,30,23,47,450,505,958,718,628,1347,727,581,1310,144,146,289,459,505,964,1324,1238,2562
IREG594,0,23,34,55,603,481,1082,892,362,1248,734,422,1159,2227,1260,3489,637,521,1157,1163,677,1838,736,422,1163,2535,1623,4160
IREG597,0,0,0,3,0,0,0,0,0,6,191,19,214,193,20,219,0,0,0,16,9,28,191,19,214,209,28,237
