IREG_CODE_2021,Age_14_IndSt_nsP,Age_14_TotM,Age_14_TotF,Age_14_TotP,Age_10_14_Indig_M,Age_10_14_Indig_F,Age_10_14_Indig_P,Age_10_14_NonInd_M,Age_10_14_NonInd_F,Age_10_14_NonInd_P,Age_10_14_Indig_st_nsM,Age_10_14_Indig_st_nsF,Age_10_14_Indig_st_nsP,Age_10_14_TotM,Age_10_14_TotF,Age_10_14_TotP,Age_15_Indig_M,Age_15_Indig_F,Age_15_Indig_P,Age_15_NonInd_M,Age_15_NonInd_F,Age_15_NonInd_P,Age_15_Indig_st_nsM,Age_15_Indig_st_nsF,Age_15_Indig_st_nsP,Age_15_TotM,Age_15_TotF,Age_15_TotP,Age_16_Indig_M,Age_16_Indig_F,Age_16_Indig_P,Age_16_NonInd_M,Age_16_NonInd_F,Age_16_NonInd_P,Age_16_IndigStat_nsM,Age_16_IndigStat_nsF,Age_16_IndigStat_nsP,Age_16_TotM,Age_16_TotF,Age_16_TotP,Age_17_Indig_M,Age_17_Indig_F,Age_17_Indig_P,Age_17_NonInd_M,Age_17_NonInd_F,Age_17_NonInd_P,Age_17_IndigStat_nsM,Age_17_IndigStat_nsF,Age_17_IndigStat_nsP,Age_17_TotM,Age_17_TotF,Age_17_TotP,Age_18_Indig_M,Age_18_Indig_F,Age_18_Indig_P,Age_18_NonInd_M,Age_18_NonInd_F,Age_18_NonInd_P,Age_18_IndigStat_nsM,Age_18_IndigStat_nsF,Age_18_IndigStat_nsP,Age_18_TotM,Age_18_TotF,Age_18_TotP,Age_19_Indig_M,Age_19_Indig_F,Age_19_Indig_P,Age_19_NonInd_M,Age_19_NonInd_F,Age_19_NonInd_P,Age_19_IndigStat_nsM,Age_19_IndigStat_nsF,Age_19_IndigStat_nsP,Age_19_TotM,Age_19_TotF,Age_19_TotP,Age_15_19_Indig_M,Age_15_19_Indig_F,Age_15_19_Indig_P,Age_15_19_NonInd_M,Age_15_19_NonInd_F,Age_15_19_NonInd_P,Age_15_19_IndSt_nsM,Age_15_19_IndSt_nsF,Age_15_19_IndSt_nsP,Age_15_19_TotM,Age_15_19_TotF,Age_15_19_TotP,Age_20_Indig_M,Age_20_Indig_F,Age_20_Indig_P,Age_20_NonInd_M,Age_20_NonInd_F,Age_20_NonInd_P,Age_20_Ind_status_nsM,Age_20_Ind_status_nsF,Age_20_Ind_status_nsP,Age_20_TotM,Age_20_TotF,Age_20_TotP,Age_21_Indig_M,Age_21_Indig_F,Age_21_Indig_P,Age_21_NonInd_M,Age_21_NonInd_F,Age_21_NonInd_P,Age_21_Ind_status_nsM,Age_21_Ind_status_nsF,Age_21_Ind_status_nsP,Age_21_TotM,Age_21_TotF,Age_21_TotP,Age_22_Indig_M,Age_22_Indig_F,Age_22_Indig_P,Age_22_NonInd_M,Age_22_NonInd_F,Age_22_NonInd_P,Age_22_Indig_st_nsM,Age_22_Indig_st_nsF,Age_22_Indig_st_nsP,Age_22_TotM,Age_22_TotF,Age_22_TotP,Age_23_Indig_M,Age_23_Indig_F,Age_23_Indig_P,Age_23_NonInd_M,Age_23_NonInd_F,Age_23_NonInd_P,Age_23_Indig_st_nsM,Age_23_Indig_st_nsF,Age_23_Indig_st_nsP,Age_23_TotM,Age_23_TotF,Age_23_TotP,Age_24_Indig_M,Age_24_Indig_F,Age_24_Indig_P,Age_24_NonInd_M,Age_24_NonInd_F,Age_24_NonInd_P,Age_24_Indig_st_nsM,Age_24_Indig_st_nsF,Age_24_Indig_st_nsP,Age_24_TotM,Age_24_TotF,Age_24_TotP,Age_20_24_Indig_M,Age_20_24_Indig_F,Age_20_24_Indig_P,Age_20_24_NonInd_M,Age_20_24_NonInd_F,Age_20_24_NonInd_P,Age_20_24_Indig_st_nsM,Age_20_24_Indig_st_nsF,Age_20_24_Indig_st_nsP,Age_20_24_TotM,Age_20_24_TotF,Age_20_24_TotP,Age_25_29_Indig_M,Age_25_29_Indig_F,Age_25_29_Indig_P,Age_25_29_NonInd_M,Age_25_29_NonInd_F,Age_25_29_NonInd_P,Age_25_29_Indig_st_nsM,Age_25_29_Indig_st_nsF,Age_25_29_Indig_st_nsP,Age_25_29_TotM,Age_25_29_TotF,Age_25_29_TotP,Age_30_34_Indig_M,Age_30_34_Indig_F,Age_30_34_Indig_P,Age_30_34_NonInd_M,Age_30_34_NonInd_F,Age_30_34_NonInd_P,Age_30_34_Indig_st_nsM,Age_30_34_Indig_st_nsF,Age_30_34_Indig_st_nsP,Age_30_34_TotM,Age_30_34_TotF,Age_30_34_TotP,Age_35_39_Indig_M,Age_35_39_Indig_F,Age_35_39_Indig_P,Age_35_39_NonInd_M,Age_35_39_NonInd_F,Age_35_39_NonInd_P,Age_35_39_Indig_st_nsM,Age_35_39_Indig_st_nsF,Age_35_39_Indig_st_nsP,Age_35_39_TotM,Age_35_39_TotF,Age_35_39_TotP,Age_40_44_Indig_M,Age_40_44_Indig_F,Age_40_44_Indig_P,Age_40_44_NonInd_M
IREG501,27,128,129,265,288,286,573,327,286,618,73,84,159,692,656,1349,44,53,93,38,47,89,10,11,18,96,106,204,45,24,69,60,56,117,18,13,28,119,91,211,25,45,66,51,48,93,10,8,20,89,98,188,32,46,86,31,41,65,8,8,21,73,94,167,40,45,85,29,46,74,14,14,27,83,103,185,192,215,403,208,230,438,53,54,110,457,503,955,32,40,72,33,26,65,11,11,17,72,79,149,53,28,83,40,34,75,8,6,14,106,73,172,33,48,74,44,42,85,14,4,20,86,93,182,32,36,67,35,52,93,6,15,25,72,107,180,26,30,56,60,78,133,16,14,29,103,118,225,186,178,359,211,242,450,55,49,104,452,464,917,159,192,351,320,455,779,69,92,158,548,737,1290,196,192,385,432,567,999,92,124,217,718,883,1600,153,171,327,436,557,991,79,87,162,661,815,1474,149,172,316,368
IREG502,84,385,375,764,338,341,678,1503,1398,2902,227,208,437,2072,1951,4020,76,64,136,287,268,555,45,39,82,400,369,775,63,57,116,256,261,519,39,38,76,351,354,707,49,48,94,285,245,535,39,34,83,375,332,705,50,69,123,235,220,454,45,28,78,337,320,654,53,42,92,231,187,421,32,25,56,311,254,566,284,276,568,1294,1181,2478,199,170,371,1782,1631,3410,48,46,99,220,185,408,23,39,62,292,269,561,46,50,97,251,199,453,41,40,76,339,292,625,44,54,90,217,203,420,50,26,78,304,282,587,38,59,98,211,221,431,41,39,83,290,321,612,41,42,80,236,259,489,53,42,91,329,338,667,207,254,468,1135,1066,2204,204,179,386,1548,1506,3053,212,194,406,1323,1268,2592,277,189,459,1809,1649,3465,167,177,348,1344,1465,2810,257,202,458,1772,1846,3612,158,170,324,1434,1453,2892,283,243,524,1875,1866,3745,138,157,300,1349
IREG503,77,370,347,717,285,249,542,1340,1323,2664,215,192,403,1846,1765,3611,57,66,122,250,239,492,38,27,64,344,328,676,45,53,104,228,194,421,23,27,50,300,277,581,45,53,97,255,214,468,17,31,44,319,293,615,46,36,86,223,174,398,31,25,59,303,238,541,53,49,97,226,207,433,33,28,62,303,283,585,252,256,509,1185,1024,2206,140,140,282,1576,1420,2998,34,37,76,240,177,415,39,28,72,314,242,556,42,48,92,249,203,454,43,34,81,337,285,623,50,39,87,293,244,541,73,34,106,425,317,741,54,37,92,283,281,568,69,45,112,404,360,768,42,26,72,281,281,563,69,47,119,400,358,752,231,190,423,1349,1186,2534,302,189,487,1881,1563,3440,220,207,426,1676,1487,3162,384,222,604,2281,1908,4187,190,153,346,1643,1620,3271,342,199,538,2173,1971,4150,154,171,325,1694,1557,3250,306,222,531,2163,1951,4110,155,155,311,1491
IREG504,16,65,69,131,270,284,549,93,97,195,49,56,101,410,434,849,76,55,130,5,18,23,12,4,15,90,74,164,63,52,113,12,18,30,5,9,18,79,81,162,56,49,108,16,16,23,3,0,13,81,65,145,53,45,92,12,17,32,7,7,13,68,63,136,35,43,82,15,26,42,8,14,17,60,78,138,278,246,526,70,85,149,32,32,66,379,369,743,49,58,109,15,13,28,14,7,22,80,80,160,41,56,97,14,21,35,6,8,14,66,87,150,34,46,80,23,21,43,8,9,12,64,76,143,47,55,98,29,21,55,4,13,22,79,91,166,28,42,65,40,27,63,10,13,24,77,74,152,200,256,458,117,109,228,46,44,92,365,413,779,189,205,399,184,227,408,58,53,112,434,482,916,184,218,397,203,237,439,63,89,150,446,548,992,186,202,391,172,188,357,70,62,128,421,449,875,159,184,339,153
IREG505,814,13198,12310,25512,2203,2132,4336,61809,58079,119888,2173,1992,4165,66182,62201,128392,444,388,834,11797,11148,22948,419,385,809,12661,11931,24591,424,401,821,11377,10635,22010,368,327,697,12168,11359,23532,347,370,714,11260,10439,21699,339,319,658,11942,11124,23065,383,342,724,10787,10657,21445,376,384,762,11544,11385,22928,356,342,696,10996,10657,21654,457,410,867,11803,11411,23215,1946,1839,3784,56219,53538,109756,1958,1831,3787,60128,57207,117331,366,341,714,11705,11252,22960,503,422,927,12578,12015,24593,379,346,724,11876,11715,23589,566,439,1001,12826,12491,25315,407,340,744,12072,11807,23875,614,503,1117,13095,12651,25737,378,321,695,11999,11706,23703,647,555,1201,13021,12578,25601,351,338,693,12091,12031,24124,708,557,1262,13148,12926,26073,1880,1686,3572,59740,58503,118248,3038,2469,5508,64662,62660,127324,1749,1677,3423,63289,64636,127929,4032,3282,7311,69069,69593,138663,1552,1415,2968,68961,74745,143712,4508,3167,7677,75025,79332,154352,1221,1159,2382,72244,75318,147557,4290,3030,7322,77759,79503,157263,987,944,1928,63679
IREG506,90,354,332,681,406,401,805,1295,1246,2543,250,243,491,1949,1889,3837,69,77,148,200,194,399,52,32,89,325,305,633,73,63,137,213,167,379,33,32,62,317,258,574,89,64,156,193,138,333,39,28,70,321,234,554,69,71,144,168,123,289,46,32,82,284,231,511,90,72,161,149,139,287,57,28,82,296,232,530,391,346,740,930,758,1687,223,157,380,1541,1263,2805,71,59,130,178,126,299,55,30,85,301,221,517,67,57,125,154,151,308,44,55,93,269,257,525,77,68,139,190,180,369,67,48,117,333,290,628,74,42,120,238,231,470,99,62,158,410,335,752,53,61,115,273,234,511,91,61,154,425,360,781,345,288,627,1033,930,1965,361,255,608,1736,1466,3205,329,325,659,1783,1693,3478,625,389,1014,2738,2407,5146,376,311,685,2357,2230,4590,714,428,1141,3446,2964,6418,322,291,617,2466,2113,4575,724,381,1106,3511,2787,6298,274,217,498,2055
IREG507,390,3010,2895,5900,841,913,1752,12873,12189,25063,926,887,1815,14640,13989,28627,195,200,394,2414,2406,4822,146,170,313,2756,2779,5531,183,177,364,2344,2239,4581,152,124,278,2682,2539,5223,150,150,296,2336,2207,4538,145,143,286,2630,2495,5125,139,124,257,2054,1878,3928,138,113,248,2327,2112,4437,124,112,238,1802,1625,3432,153,132,284,2082,1870,3954,791,766,1561,10945,10350,21293,736,685,1422,12473,11800,24272,118,104,219,1784,1557,3344,131,113,238,2029,1774,3802,105,104,213,1736,1609,3339,126,105,235,1971,1817,3787,122,97,216,1692,1571,3265,140,129,270,1954,1798,3753,112,98,211,1674,1599,3276,164,115,281,1957,1812,3766,124,102,233,1714,1642,3356,148,127,273,1983,1873,3856,586,506,1092,8600,7977,16579,704,587,1297,9894,9074,18965,500,439,935,9085,9403,18493,870,673,1546,10454,10519,20975,415,410,828,10142,11038,21183,949,738,1688,11513,12191,23702,378,361,743,10934,12262,23199,1047,777,1828,12367,13407,25768,335,369,704,10982
IREG508,8,45,50,96,170,188,360,34,26,58,36,34,70,237,250,486,43,43,82,8,7,9,4,9,13,46,59,107,41,31,77,0,4,3,14,8,20,53,47,98,41,39,76,0,6,5,9,5,12,49,49,96,28,34,70,5,0,8,3,0,5,39,39,82,34,35,73,3,8,9,3,3,8,41,54,94,187,189,376,16,24,37,33,32,65,231,247,473,28,44,78,0,9,11,0,5,4,34,60,91,33,25,64,7,5,18,0,10,11,47,45,90,52,40,91,8,12,19,9,0,8,67,58,123,35,28,60,10,18,26,15,14,25,58,53,111,37,29,67,16,27,45,5,14,19,62,70,134,185,171,354,48,67,117,28,44,73,259,287,550,171,167,336,85,103,190,32,47,84,288,314,609,202,173,372,96,98,191,35,57,92,329,329,658,154,155,307,69,75,139,28,38,65,252,262,515,138,135,271,51
IREG594,0,21,20,41,18,14,30,83,76,159,13,7,25,116,101,212,4,5,5,10,6,23,4,7,3,17,20,38,8,6,12,9,15,29,0,5,8,11,25,42,4,10,19,14,19,32,5,4,9,20,28,52,9,16,21,18,24,45,3,5,6,22,44,71,11,10,14,23,15,41,8,0,7,36,30,65,28,42,68,74,91,166,18,13,31,118,147,261,18,18,39,33,28,59,7,12,21,65,63,123,6,11,18,37,27,60,8,7,13,48,40,88,14,12,22,34,21,55,14,8,19,66,38,103,11,5,12,49,34,77,12,3,13,62,41,102,12,16,28,47,44,86,6,17,29,63,84,141,61,61,119,194,145,344,43,51,93,295,256,562,59,59,115,248,244,497,77,59,137,385,358,744,61,66,127,291,226,518,80,43,123,433,339,773,87,72,155,286,210,500,74,37,109,449,315,769,121,79,202,277
IREG597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,5,4,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,3,0,5,7,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,4,4,3,6,0,0,0,0,3,3,0,4,5,0,3,4,0,0,0,4,0,9,0,0,0,9,0,7,0,0,0,0,0,3,0,0,3,9,3,10,0,0,0,9,5,15,13,5,15,25,11,31,0,0,0,26,8,32,22,3,21,49,7,54,0,0,0,28,5,32,22,0,22,48,5,54,4,0,5,44,4,45,40,3,39,85,10,92,0,0,0,46
