IREG_CODE_2021,Ind_15_19_PD_GD_GCL_M,Ind_15_19_BDL_M,Ind_15_19_ADip_DipL_M,Ind_15_19_Ct_III_IV_M,Ind_15_19_Ct_I_II_M,Ind_15_19_CL_nfd_M,Ind_15_19_LoE_NS_M,Ind_15_19_Tot_M,Ind_20_24_PD_GD_GCL_M,Ind_20_24_BDL_M,Ind_20_24_ADip_DipL_M,Ind_20_24_Ct_III_IV_M,Ind_20_24_Ct_I_II_M,Ind_20_24_CL_nfd_M,Ind_20_24_LoE_NS_M,Ind_20_24_Tot_M,Ind_25_34_PD_GD_GCL_M,Ind_25_34_BDL_M,Ind_25_34_ADip_DipL_M,Ind_25_34_Ct_III_IV_M,Ind_25_34_Ct_I_II_M,Ind_25_34_CL_nfd_M,Ind_25_34_LoE_NS_M,Ind_25_34_Tot_M,Ind_35_44_PD_GD_GCL_M,Ind_35_44_BDL_M,Ind_35_44_ADip_DipL_M,Ind_35_44_Ct_III_IV_M,Ind_35_44_Ct_I_II_M,Ind_35_44_CL_nfd_M,Ind_35_44_LoE_NS_M,Ind_35_44_Tot_M,Ind_45_54_PD_GD_GCL_M,Ind_45_54_BDL_M,Ind_45_54_ADip_DipL_M,Ind_45_54_Ct_III_IV_M,Ind_45_54_Ct_I_II_M,Ind_45_54_CL_nfd_M,Ind_45_54_LoE_NS_M,Ind_45_54_Tot_M,Ind_55_64_PD_GD_GCL_M,Ind_55_64_BDL_M,Ind_55_64_ADip_DipL_M,Ind_55_64_Ct_III_IV_M,Ind_55_64_Ct_I_II_M,Ind_55_64_CL_nfd_M,Ind_55_64_LoE_NS_M,Ind_55_64_Tot_M,Ind_65ov_PtgdDe_GdDp_GdCt_M,Ind_65ov_BDL_M,Ind_65ov_ADip_DipL_M,Ind_65ov_Ct_III_IV_M,Ind_65ov_Ct_I_II_M,Ind_65ov_CL_nfd_M,Ind_65ov_LoE_NS_M,Ind_65ov_Tot_M,Ind_Tot_PD_GD_GCL_M,Ind_Tot_BDL_M,Ind_Tot_ADip_DipL_M,Ind_Tot_Ct_III_IV_M,Ind_Tot_Ct_I_II_M,Ind_tot_CL_nfd_M,Ind_Tot_LoE_NS_M,Ind_Tot_Tot_M,NonI_15_19_PD_GD_GCL_M,NonI_15_19_BDL_M,NonI_15_19_ADip_DipL_M,NonI_15_19_Ct_III_IV_M,NonI_15_19_Ct_I_II_M,NonI_15_19_CL_nfd_M,NonI_15_19_LoE_NS_M,NonI_15_19_Tot_M,NonI_20_24_PD_GD_GCL_M,NonI_20_24_BDL_M,NonI_20_24_ADip_DipL_M,NonI_20_24_Ct_III_IV_M,NonI_20_24_Ct_I_II_M,NonI_20_24_CL_nfd_M,NonI_20_24_LoE_NS_M,NonI_20_24_Tot_M,NonI_25_34_PD_GD_GCL_M,NonI_25_34_BDL_M,NonI_25_34_ADip_DipL_M,NonI_25_34_Ct_III_IV_M,NonI_25_34_Ct_I_II_M,NonI_25_34_CL_nfd_M,NonI_25_34_LoE_NS_M,NonI_25_34_Tot_M,NonI_35_44_PD_GD_GCL_M,NonI_35_44_BDL_M,NonI_35_44_ADip_DipL_M,NonI_35_44_Ct_III_IV_M,NonI_35_44_Ct_I_II_M,NonI_35_44_CL_nfd_M,NonI_35_44_LoE_NS_M,NonI_35_44_Tot_M,NonI_45_54_PD_GD_GCL_M,NonI_45_54_BDL_M,NonI_45_54_ADip_DipL_M,NonI_45_54_Ct_III_IV_M,NonI_45_54_Ct_I_II_M,NonI_45_54_CL_nfd_M,NonI_45_54_LoE_NS_M,NonI_45_54_Tot_M,NonI_55_64_PD_GD_GCL_M,NonI_55_64_BDL_M,NonI_55_64_ADip_DipL_M,NonI_55_64_Ct_III_IV_M,NonI_55_64_Ct_I_II_M,NonI_55_64_CL_nfd_M,NonI_55_64_LoE_NS_M,NonI_55_64_Tot_M,NonI_65ov_PtgdDe_GdDp_GdCt_M,NonI_65ov_BDL_M,NonI_65ov_ADip_DipL_M,NonI_65ov_Ct_III_IV_M,NonI_65ov_Ct_I_II_M,NonI_65ov_CL_nfd_M,NonI_65ov_LoE_NS_M,NonI_65ov_Tot_M,NonI_Tot_PD_GD_GCL_M,NonI_Tot_BDL_M,NonI_Tot_ADip_DipL_M,NonI_Tot_Ct_III_IV_M,NonI_Tot_Ct_I_II_M,NonI_tot_CL_nfd_M,NonI_Tot_LoE_NS_M,NonI_Tot_Tot_M,IS_NS_15_19_PD_GD_GCL_M,IS_NS_15_19_BDL_M,IS_NS_15_19_ADip_DipL_M,IS_NS_15_19_Ct_III_IV_M,IS_NS_15_19_Ct_I_II_M,IS_NS_15_19_CL_nfd_M,IS_NS_15_19_LoE_NS_M,IS_NS_15_19_Tot_M,IS_NS_20_24_PD_GD_GCL_M,IS_NS_20_24_BDL_M,IS_NS_20_24_ADip_DipL_M,IS_NS_20_24_Ct_III_IV_M,IS_NS_20_24_Ct_I_II_M,IS_NS_20_24_CL_nfd_M,IS_NS_20_24_LoE_NS_M,IS_NS_20_24_Tot_M,IS_NS_25_34_PD_GD_GCL_M,IS_NS_25_34_BDL_M,IS_NS_25_34_ADip_DipL_M,IS_NS_25_34_Ct_III_IV_M,IS_NS_25_34_Ct_I_II_M,IS_NS_25_34_CL_nfd_M,IS_NS_25_34_LoE_NS_M,IS_NS_25_34_Tot_M,IS_NS_35_44_PD_GD_GCL_M,IS_NS_35_44_BDL_M,IS_NS_35_44_ADip_DipL_M,IS_NS_35_44_Ct_III_IV_M,IS_NS_35_44_Ct_I_II_M,IS_NS_35_44_CL_nfd_M,IS_NS_35_44_LoE_NS_M,IS_NS_35_44_Tot_M,IS_NS_45_54_PD_GD_GCL_M,IS_NS_45_54_BDL_M,IS_NS_45_54_ADip_DipL_M,IS_NS_45_54_Ct_III_IV_M,IS_NS_45_54_Ct_I_II_M,IS_NS_45_54_CL_nfd_M,IS_NS_45_54_LoE_NS_M,IS_NS_45_54_Tot_M,IS_NS_55_64_PD_GD_GCL_M,IS_NS_55_64_BDL_M,IS_NS_55_64_ADip_DipL_M,IS_NS_55_64_Ct_III_IV_M,IS_NS_55_64_Ct_I_II_M,IS_NS_55_64_CL_nfd_M,IS_NS_55_64_LoE_NS_M,IS_NS_55_64_Tot_M,IS_NS_65ov_PtgdDe_GdDp_GdCt_M,IS_NS_65ov_BDL_M,IS_NS_65ov_ADip_DipL_M,IS_NS_65ov_Ct_III_IV_M,IS_NS_65ov_Ct_I_II_M,IS_NS_65ov_CL_nfd_M,IS_NS_65ov_LoE_NS_M,IS_NS_65ov_Tot_M,IS_NS_Tot_PD_GD_GCL_M,IS_NS_Tot_BDL_M,IS_NS_Tot_ADip_DipL_M,IS_NS_Tot_Ct_III_IV_M,IS_NS_Tot_Ct_I_II_M,IS_NS_tot_CL_nfd_M,IS_NS_Tot_LoE_NS_M,IS_NS_Tot_Tot_M,Tot_15_19_PD_GD_GCL_M,Tot_15_19_BDL_M,Tot_15_19_ADip_DipL_M,Tot_15_19_Ct_III_IV_M,Tot_15_19_Ct_I_II_M,Tot_15_19_CL_nfd_M,Tot_15_19_LoE_NS_M,Tot_15_19_Tot_M
IREG501,0,0,0,4,5,0,34,40,0,0,0,28,5,9,21,67,5,10,3,86,6,4,38,157,8,3,15,75,6,6,41,147,3,3,7,53,0,0,32,101,3,0,6,27,3,3,30,72,0,4,9,19,0,0,9,42,20,25,45,285,30,22,201,624,0,0,4,8,11,3,5,30,3,20,13,63,12,3,9,133,64,184,69,233,8,11,34,606,62,160,111,299,3,7,26,669,54,106,92,289,9,20,30,592,27,67,59,205,8,17,26,403,17,48,46,129,3,11,43,296,225,586,397,1226,55,72,177,2729,0,0,0,0,0,0,55,55,0,0,0,0,0,0,54,55,0,0,0,0,0,0,151,158,0,0,0,0,0,0,128,131,0,0,0,3,0,0,167,176,0,0,0,3,0,0,122,124,0,0,0,0,0,0,77,77,0,3,0,9,0,0,759,778,0,0,4,12,16,3,86,117
IREG502,0,0,0,11,13,0,35,56,0,0,0,31,12,0,17,59,0,3,0,89,12,6,44,161,0,10,11,63,3,0,19,110,3,5,13,57,8,6,40,136,5,3,15,47,4,0,26,99,0,0,7,17,0,0,37,67,3,27,54,324,48,17,219,693,0,0,6,93,63,3,29,185,6,44,25,368,86,6,32,569,70,270,159,1174,68,25,84,1857,125,302,248,1078,47,51,91,1933,130,288,272,1193,30,54,108,2070,108,204,308,1202,45,57,122,2045,85,207,324,1275,40,95,336,2370,517,1314,1338,6384,381,290,800,11025,0,0,0,0,0,0,191,191,0,0,0,0,0,0,201,201,0,0,0,9,0,0,525,528,0,0,4,6,0,0,525,535,0,0,3,6,0,0,542,549,0,0,0,14,0,0,485,500,0,0,0,16,0,0,540,556,3,0,3,39,0,8,3006,3062,0,0,4,105,73,3,252,437
IREG503,0,0,0,6,3,3,23,40,0,5,0,24,6,0,28,75,0,3,3,80,10,7,29,134,0,0,8,51,0,6,25,91,0,4,0,42,0,0,25,85,0,5,4,25,0,0,16,57,0,0,0,14,0,0,27,44,10,21,20,259,31,15,175,535,0,0,0,74,49,3,39,166,15,76,24,403,101,13,44,679,153,410,163,1413,72,25,89,2326,162,345,250,1294,32,35,110,2228,118,263,222,1187,35,45,115,1983,78,172,204,1016,12,45,107,1629,48,138,167,680,11,36,215,1297,580,1408,1034,6066,307,210,714,10309,0,0,0,0,0,0,132,132,0,0,0,0,0,0,291,293,0,0,0,4,0,0,708,717,0,0,0,3,0,0,587,592,0,0,0,4,0,0,590,597,0,0,0,8,0,0,492,502,0,0,4,4,0,0,393,398,0,3,8,33,0,0,3189,3236,0,0,0,79,51,4,195,339
IREG504,0,0,0,3,9,0,41,52,0,0,0,12,5,0,24,42,0,3,0,62,13,11,44,132,0,0,7,62,14,6,48,138,0,0,6,43,6,0,30,86,0,3,0,17,0,5,23,55,0,0,3,13,0,3,13,39,9,14,16,216,37,32,224,552,0,0,0,6,3,0,3,16,0,18,9,33,5,0,5,71,27,83,41,120,3,0,13,294,19,54,41,129,0,4,9,254,20,37,17,143,4,4,12,232,34,33,28,95,4,5,15,218,8,19,15,61,0,6,17,130,106,245,144,596,20,23,85,1217,0,0,0,0,0,0,32,32,0,0,0,0,0,0,40,45,0,0,0,0,0,0,113,121,0,0,0,0,0,0,101,101,0,0,0,5,0,0,120,128,0,0,0,0,0,0,90,98,0,0,0,0,0,0,80,80,0,6,4,10,0,4,580,597,0,0,0,13,12,0,75,96
IREG505,0,0,3,137,89,6,119,352,4,48,38,362,111,15,71,640,45,178,125,894,99,40,117,1495,61,120,132,577,29,29,99,1046,66,105,127,380,16,19,97,813,41,63,83,265,10,26,107,588,25,40,53,133,6,10,84,348,239,547,557,2745,362,143,689,5289,13,31,341,3466,2309,270,870,7293,988,8667,3731,11214,2497,573,1571,29234,12963,32170,11996,34914,1955,1267,3854,99120,17688,33116,15306,33011,1120,1642,4096,105974,13469,24095,13881,30178,766,1866,3634,87902,9851,16353,11238,28462,555,1730,3110,71309,9333,16918,13634,31804,529,2577,8550,83351,64310,131350,70128,173049,9733,9919,25691,484178,0,0,5,20,3,0,1765,1791,0,14,4,43,3,0,2882,2959,8,27,15,57,5,5,8305,8422,11,44,37,83,3,0,7775,7957,8,35,32,101,8,4,6586,6773,13,35,26,120,0,9,4953,5156,31,65,53,181,0,8,5071,5403,84,208,174,613,16,27,37342,38471,13,33,345,3626,2401,276,2754,9441
IREG506,0,0,0,16,16,0,28,61,0,0,0,62,19,0,16,96,0,5,9,236,24,6,37,318,5,7,17,191,15,4,31,266,3,3,13,105,6,3,27,163,0,8,10,54,9,4,25,112,0,0,3,11,0,0,16,38,13,28,49,669,87,19,180,1051,0,0,0,53,50,6,33,152,4,55,18,366,64,16,39,561,183,495,250,2070,64,32,118,3213,210,500,477,2143,55,62,114,3564,131,286,347,1483,28,52,110,2438,85,145,242,976,16,34,82,1586,24,39,61,313,4,16,69,529,632,1523,1405,7415,282,224,567,12040,0,0,0,0,0,0,215,215,0,0,0,0,0,0,350,351,0,0,0,13,0,0,1318,1335,0,0,0,4,0,0,1312,1325,0,0,0,5,0,0,972,980,0,0,0,7,0,0,706,714,0,0,0,0,0,0,202,206,5,5,4,34,5,0,5077,5126,0,0,0,75,70,10,277,429
IREG507,0,0,0,44,46,3,55,154,0,0,6,130,39,7,22,204,3,12,16,264,27,9,51,392,6,17,33,188,9,10,41,303,4,20,37,152,14,12,38,269,4,26,40,138,4,9,58,275,11,13,15,63,3,3,46,160,28,80,151,982,146,54,315,1756,0,0,39,812,617,48,305,1820,28,357,249,2616,603,81,243,4181,463,1894,1108,7953,461,192,674,12745,854,2440,1851,8333,267,295,729,14770,988,2461,2231,8554,198,394,822,15649,983,2202,2419,8923,189,478,919,16114,1369,3023,3581,10955,201,877,3064,23065,4682,12389,11468,48152,2538,2376,6743,88344,0,0,0,8,0,0,641,656,0,0,0,14,3,0,663,676,0,5,6,22,0,0,1752,1783,5,6,8,40,5,3,2052,2107,5,8,4,41,0,3,2349,2417,3,0,9,62,0,3,2077,2154,3,17,19,94,3,9,2635,2776,13,33,52,283,12,21,12170,12578,0,0,37,863,662,52,1006,2626
IREG508,0,0,0,3,3,3,26,37,0,0,0,15,5,0,14,36,0,3,0,36,4,5,26,74,0,0,0,43,8,5,27,90,0,0,4,34,5,3,23,65,0,0,0,12,0,0,15,32,0,0,3,4,0,0,9,21,4,3,10,157,27,15,135,349,0,0,0,4,0,0,6,3,0,7,3,13,5,0,4,32,11,35,16,59,0,0,5,129,8,21,15,42,0,0,0,86,12,12,9,52,0,5,0,96,8,11,16,66,0,0,8,105,6,7,16,45,0,0,9,86,52,93,74,279,6,13,36,538,0,0,0,0,0,0,33,33,0,0,0,0,0,0,28,28,0,0,0,0,0,0,69,69,0,0,0,0,0,0,54,57,0,0,0,0,0,0,56,56,0,0,0,0,0,0,73,75,0,0,0,0,0,0,48,48,0,0,0,4,0,0,359,364,0,0,0,4,6,3,58,71
IREG594,0,0,0,0,0,0,17,17,0,0,0,7,3,0,31,39,0,4,0,5,3,0,99,111,0,0,0,14,0,0,172,186,0,0,0,10,0,4,155,165,0,0,0,4,0,0,79,88,0,0,0,4,0,0,37,43,0,4,5,34,6,3,598,650,0,0,0,9,4,0,12,24,0,11,10,34,7,4,60,121,23,74,37,119,3,4,155,416,17,53,30,123,9,3,215,445,16,28,20,106,6,4,219,398,18,24,21,108,0,9,147,330,11,27,25,112,0,6,91,281,82,223,142,616,33,26,891,2011,0,0,0,0,0,0,9,9,0,0,0,0,0,0,45,45,0,0,0,0,0,0,153,155,0,0,0,0,0,0,149,150,0,0,0,0,0,0,146,141,0,0,0,0,0,0,116,116,0,0,0,0,0,0,88,91,0,0,0,4,0,0,706,719,0,0,0,9,4,0,45,54
IREG597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,7,0,0,0,9,0,9,5,26,0,6,6,42,0,11,8,35,0,4,7,66,3,10,3,20,0,0,6,40,0,6,0,7,0,3,0,21,0,0,0,0,0,0,0,4,7,31,22,96,0,8,15,177,0,0,0,0,0,0,3,3,0,0,0,0,0,0,13,13,0,0,0,0,0,0,43,43,0,0,0,0,0,0,71,71,0,0,0,0,0,0,46,46,0,0,0,0,0,0,20,20,0,0,0,0,0,0,4,7,0,0,0,0,0,0,191,193,0,0,0,0,0,0,7,7
