IREG_CODE_2021,Tot_20_24_PD_GD_GCL_M,Tot_20_24_BDL_M,Tot_20_24_ADip_DipL_M,Tot_20_24_Ct_III_IV_M,Tot_20_24_Ct_I_II_M,Tot_20_24_CL_nfd_M,Tot_20_24_LoE_NS_M,Tot_20_24_Tot_M,Tot_25_34_PD_GD_GCL_M,Tot_25_34_BDL_M,Tot_25_34_ADip_DipL_M,Tot_25_34_Ct_III_IV_M,Tot_25_34_Ct_I_II_M,Tot_25_34_CL_nfd_M,Tot_25_34_LoE_NS_M,Tot_25_34_Tot_M,Tot_35_44_PD_GD_GCL_M,Tot_35_44_BDL_M,Tot_35_44_ADip_DipL_M,Tot_35_44_Ct_III_IV_M,Tot_35_44_Ct_I_II_M,Tot_35_44_CL_nfd_M,Tot_35_44_LoE_NS_M,Tot_35_44_Tot_M,Tot_45_54_PD_GD_GCL_M,Tot_45_54_BDL_M,Tot_45_54_ADip_DipL_M,Tot_45_54_Ct_III_IV_M,Tot_45_54_Ct_I_II_M,Tot_45_54_CL_nfd_M,Tot_45_54_LoE_NS_M,Tot_45_54_Tot_M,Tot_55_64_PD_GD_GCL_M,Tot_55_64_BDL_M,Tot_55_64_ADip_DipL_M,Tot_55_64_Ct_III_IV_M,Tot_55_64_Ct_I_II_M,Tot_55_64_CL_nfd_M,Tot_55_64_LoE_NS_M,Tot_55_64_Tot_M,Tot_65ov_PtgdDe_GdDp_GdCt_M,Tot_65ov_BDL_M,Tot_65ov_ADip_DipL_M,Tot_65ov_Ct_III_IV_M,Tot_65ov_Ct_I_II_M,Tot_65ov_CL_nfd_M,Tot_65ov_LoE_NS_M,Tot_65ov_Tot_M,Tot_Tot_PD_GD_GCL_M,Tot_Tot_BDL_M,Tot_Tot_ADip_DipL_M,Tot_Tot_Ct_III_IV_M,Tot_Tot_Ct_I_II_M,Tot_tot_CL_nfd_M,Tot_Tot_LoE_NS_M,Tot_Tot_Tot_M,Ind_15_19_PD_GD_GCL_F,Ind_15_19_BDL_F,Ind_15_19_ADip_DipL_F,Ind_15_19_Ct_III_IV_F,Ind_15_19_Ct_I_II_F,Ind_15_19_CL_nfd_F,Ind_15_19_LoE_NS_F,Ind_15_19_Tot_F,Ind_20_24_PD_GD_GCL_F,Ind_20_24_BDL_F,Ind_20_24_ADip_DipL_F,Ind_20_24_Ct_III_IV_F,Ind_20_24_Ct_I_II_F,Ind_20_24_CL_nfd_F,Ind_20_24_LoE_NS_F,Ind_20_24_Tot_F,Ind_25_34_PD_GD_GCL_F,Ind_25_34_BDL_F,Ind_25_34_ADip_DipL_F,Ind_25_34_Ct_III_IV_F,Ind_25_34_Ct_I_II_F,Ind_25_34_CL_nfd_F,Ind_25_34_LoE_NS_F,Ind_25_34_Tot_F,Ind_35_44_PD_GD_GCL_F,Ind_35_44_BDL_F,Ind_35_44_ADip_DipL_F,Ind_35_44_Ct_III_IV_F,Ind_35_44_Ct_I_II_F,Ind_35_44_CL_nfd_F,Ind_35_44_LoE_NS_F,Ind_35_44_Tot_F,Ind_45_54_PD_GD_GCL_F,Ind_45_54_BDL_F,Ind_45_54_ADip_DipL_F,Ind_45_54_Ct_III_IV_F,Ind_45_54_Ct_I_II_F,Ind_45_54_CL_nfd_F,Ind_45_54_LoE_NS_F,Ind_45_54_Tot_F,Ind_55_64_PD_GD_GCL_F,Ind_55_64_BDL_F,Ind_55_64_ADip_DipL_F,Ind_55_64_Ct_III_IV_F,Ind_55_64_Ct_I_II_F,Ind_55_64_CL_nfd_F,Ind_55_64_LoE_NS_F,Ind_55_64_Tot_F,Ind_65ov_PtgdDe_GdDp_GdCt_F,Ind_65ov_BDL_F,Ind_65ov_ADip_DipL_F,Ind_65ov_Ct_III_IV_F,Ind_65ov_Ct_I_II_F,Ind_65ov_CL_nfd_F,Ind_65ov_LoE_NS_F,Ind_65ov_Tot_F,Ind_Tot_PD_GD_GCL_F,Ind_Tot_BDL_F,Ind_Tot_ADip_DipL_F,Ind_Tot_Ct_III_IV_F,Ind_Tot_Ct_I_II_F,Ind_tot_CL_nfd_F,Ind_Tot_LoE_NS_F,Ind_Tot_Tot_F,NonI_15_19_PD_GD_GCL_F,NonI_15_19_BDL_F,NonI_15_19_ADip_DipL_F,NonI_15_19_Ct_III_IV_F,NonI_15_19_Ct_I_II_F,NonI_15_19_CL_nfd_F,NonI_15_19_LoE_NS_F,NonI_15_19_Tot_F,NonI_20_24_PD_GD_GCL_F,NonI_20_24_BDL_F,NonI_20_24_ADip_DipL_F,NonI_20_24_Ct_III_IV_F,NonI_20_24_Ct_I_II_F,NonI_20_24_CL_nfd_F,NonI_20_24_LoE_NS_F,NonI_20_24_Tot_F,NonI_25_34_PD_GD_GCL_F,NonI_25_34_BDL_F,NonI_25_34_ADip_DipL_F,NonI_25_34_Ct_III_IV_F,NonI_25_34_Ct_I_II_F,NonI_25_34_CL_nfd_F,NonI_25_34_LoE_NS_F,NonI_25_34_Tot_F,NonI_35_44_PD_GD_GCL_F,NonI_35_44_BDL_F,NonI_35_44_ADip_DipL_F,NonI_35_44_Ct_III_IV_F,NonI_35_44_Ct_I_II_F,NonI_35_44_CL_nfd_F,NonI_35_44_LoE_NS_F,NonI_35_44_Tot_F,NonI_45_54_PD_GD_GCL_F,NonI_45_54_BDL_F,NonI_45_54_ADip_DipL_F,NonI_45_54_Ct_III_IV_F,NonI_45_54_Ct_I_II_F,NonI_45_54_CL_nfd_F,NonI_45_54_LoE_NS_F,NonI_45_54_Tot_F,NonI_55_64_PD_GD_GCL_F,NonI_55_64_BDL_F,NonI_55_64_ADip_DipL_F,NonI_55_64_Ct_III_IV_F,NonI_55_64_Ct_I_II_F,NonI_55_64_CL_nfd_F,NonI_55_64_LoE_NS_F,NonI_55_64_Tot_F,NonI_65ov_PtgdDe_GdDp_GdCt_F,NonI_65ov_BDL_F,NonI_65ov_ADip_DipL_F,NonI_65ov_Ct_III_IV_F,NonI_65ov_Ct_I_II_F,NonI_65ov_CL_nfd_F,NonI_65ov_LoE_NS_F,NonI_65ov_Tot_F,NonI_Tot_PD_GD_GCL_F,NonI_Tot_BDL_F,NonI_Tot_ADip_DipL_F,NonI_Tot_Ct_III_IV_F,NonI_Tot_Ct_I_II_F,NonI_tot_CL_nfd_F,NonI_Tot_LoE_NS_F,NonI_Tot_Tot_F,IS_NS_15_19_PD_GD_GCL_F,IS_NS_15_19_BDL_F,IS_NS_15_19_ADip_DipL_F,IS_NS_15_19_Ct_III_IV_F,IS_NS_15_19_Ct_I_II_F,IS_NS_15_19_CL_nfd_F,IS_NS_15_19_LoE_NS_F,IS_NS_15_19_Tot_F,IS_NS_20_24_PD_GD_GCL_F,IS_NS_20_24_BDL_F,IS_NS_20_24_ADip_DipL_F,IS_NS_20_24_Ct_III_IV_F,IS_NS_20_24_Ct_I_II_F,IS_NS_20_24_CL_nfd_F,IS_NS_20_24_LoE_NS_F,IS_NS_20_24_Tot_F
IREG501,3,22,17,96,19,10,85,256,72,198,72,316,17,18,227,920,63,160,129,371,3,16,195,944,53,113,99,349,6,17,230,874,36,69,65,230,10,17,174,604,20,50,47,144,3,7,135,415,241,609,437,1519,81,90,1140,4133,0,0,0,9,10,0,19,41,0,0,0,23,12,3,14,60,10,18,21,71,28,5,42,196,11,25,34,50,17,9,35,182,8,20,18,24,10,4,26,104,11,17,25,19,6,10,30,107,8,10,7,3,0,3,20,42,48,95,95,191,77,35,184,733,0,0,0,16,12,5,14,47,5,51,26,47,10,0,10,153,149,401,126,116,16,10,48,869,168,292,146,134,26,15,34,810,91,201,117,113,4,24,27,573,70,105,94,61,6,18,32,396,35,51,50,30,0,7,26,206,520,1110,556,514,80,77,195,3050,0,0,0,0,0,0,52,51,0,0,0,0,0,0,49,49
IREG502,6,49,25,400,96,13,245,832,70,279,162,1274,79,31,656,2547,121,308,261,1149,55,48,634,2572,133,293,287,1254,35,56,691,2755,105,209,318,1262,54,61,634,2647,87,208,337,1309,42,103,911,2986,531,1347,1395,6747,426,314,4025,14778,0,0,0,10,23,0,24,58,0,3,7,37,22,6,21,91,9,6,29,57,26,5,26,157,0,17,19,65,10,6,34,161,0,16,23,57,14,8,30,153,9,18,27,42,12,9,32,147,3,12,19,3,0,0,45,83,20,77,126,266,104,34,213,845,0,0,12,91,64,9,25,208,22,144,97,256,113,18,33,676,207,626,300,623,113,45,68,1988,248,653,373,610,88,60,81,2117,211,593,431,636,79,95,112,2160,160,346,409,503,60,95,143,1718,123,305,397,325,57,104,535,1840,974,2673,2018,3051,569,434,986,10705,0,0,0,0,0,0,165,165,0,0,0,0,0,0,176,179
IREG503,20,79,24,429,111,20,365,1043,154,415,168,1497,77,33,831,3183,161,345,263,1355,35,42,715,2916,123,271,235,1239,32,41,726,2669,77,179,208,1051,15,49,611,2199,48,145,171,695,12,36,627,1737,586,1429,1062,6351,340,228,4073,14077,0,0,0,12,8,3,33,53,0,0,0,17,10,5,20,54,0,12,8,49,5,3,33,118,0,3,17,50,12,7,19,112,5,14,17,25,4,8,29,111,3,7,9,17,3,0,29,66,0,10,5,8,0,3,34,61,11,51,50,178,48,31,195,567,0,0,3,85,76,11,26,198,22,154,59,271,102,15,24,645,223,710,293,656,100,55,89,2132,239,589,338,549,71,65,76,1924,155,369,335,467,55,85,118,1581,115,245,297,317,30,75,137,1215,62,173,191,136,24,53,311,949,814,2244,1514,2474,462,346,789,8648,0,0,0,0,0,0,140,140,0,0,0,0,0,0,181,185
IREG504,0,18,8,41,7,5,72,157,27,88,39,186,20,14,174,545,23,58,41,195,13,10,157,499,21,35,27,187,5,3,164,449,35,37,32,115,7,9,124,360,8,23,18,74,4,12,119,251,119,258,167,820,62,57,890,2363,0,0,0,8,5,0,30,47,0,0,7,17,6,3,28,60,0,3,4,46,17,8,38,119,0,5,5,37,15,7,45,119,3,12,16,36,7,5,31,107,3,11,4,13,4,5,22,61,0,5,6,3,0,5,27,40,10,29,40,163,58,39,224,559,0,0,0,14,4,0,0,16,5,35,7,20,7,0,0,68,75,181,42,62,9,7,22,385,52,102,45,55,4,11,14,271,35,91,38,56,0,8,3,229,26,64,61,34,0,4,13,213,11,19,27,11,4,0,11,78,198,490,217,242,27,26,63,1260,0,0,0,0,0,0,27,27,0,0,0,0,0,0,42,42
IREG505,996,8731,3770,11614,2610,588,4528,32834,13019,32372,12139,35867,2058,1305,12275,109032,17764,33275,15474,33671,1149,1672,11973,114978,13550,24233,14042,30663,791,1885,10319,95481,9910,16446,11350,28846,569,1765,8171,77055,9387,17016,13739,32118,536,2598,13705,89106,64628,132107,70859,176404,10106,10090,63732,527934,0,0,10,129,78,8,83,315,15,89,84,394,134,25,67,799,86,285,294,813,155,51,140,1825,104,210,196,445,65,47,112,1174,97,176,225,301,49,36,117,1008,61,134,140,165,21,31,112,656,40,90,63,61,9,23,128,416,403,987,1012,2294,511,220,761,6191,23,42,472,3896,2309,403,832,7977,1441,12024,4938,9922,2377,778,1439,32922,19555,46958,15589,21543,2235,1681,3859,111430,22527,45091,18340,19088,1991,2740,4100,113878,15406,29879,17833,16777,1764,3987,3848,89497,10134,18202,15336,12577,1546,3864,4407,66071,7289,17230,14887,8268,1477,4783,15325,69250,76381,169432,87390,92073,13702,18243,33811,491030,0,0,0,9,3,0,1674,1693,4,15,5,20,5,5,2362,2409
IREG506,9,55,18,429,82,16,402,1009,182,498,263,2315,86,44,1479,4859,213,508,493,2333,72,77,1457,5148,134,290,363,1593,34,54,1114,3577,89,150,255,1044,27,41,815,2412,27,41,68,327,0,16,286,774,644,1551,1457,8113,374,251,5826,18221,0,0,0,6,20,5,31,62,0,3,4,48,29,6,15,102,3,23,31,120,35,9,33,247,4,14,34,102,22,8,35,221,11,23,33,52,19,12,31,172,6,18,18,24,9,3,21,100,5,9,8,5,0,3,25,58,27,82,129,355,132,38,191,952,0,0,9,54,50,3,14,124,22,153,56,203,70,17,33,557,322,1037,463,787,121,63,114,2901,298,858,468,692,95,68,106,2589,171,388,344,404,52,72,94,1525,84,174,206,209,24,48,78,820,29,57,43,45,9,23,77,280,926,2672,1588,2402,410,292,518,8810,0,0,0,0,0,0,152,152,0,0,3,0,0,0,244,247
IREG507,28,358,250,2759,648,93,927,5066,467,1910,1133,8237,493,203,2475,14917,869,2458,1892,8567,275,309,2824,17187,995,2486,2277,8752,210,410,3209,18342,991,2227,2467,9123,196,486,3054,18543,1378,3055,3616,11113,204,891,5742,25999,4726,12500,11672,49406,2694,2445,19228,102671,0,0,4,47,39,9,53,154,3,11,19,116,42,11,33,238,13,29,51,217,53,10,47,422,19,48,47,187,21,18,41,381,13,54,71,144,20,9,63,376,21,42,52,97,15,13,62,309,8,32,33,43,5,10,90,219,78,220,272,848,210,87,381,2093,4,5,78,1064,585,106,296,2124,114,778,483,2200,678,140,214,4606,1175,4275,2245,5197,726,360,572,14553,1761,5460,3144,5328,616,590,779,17677,1722,4559,3518,5061,563,885,839,17144,1542,3449,3932,4276,516,987,1256,15956,1357,3753,4329,2874,502,1191,5099,19114,7675,22280,17727,26001,4188,4247,9057,91169,0,0,0,4,0,0,622,630,0,9,0,5,0,0,562,574
IREG508,0,7,3,28,9,0,50,94,11,40,16,89,6,6,102,275,8,21,14,87,8,12,84,230,12,12,10,88,5,10,81,215,10,11,14,85,0,0,95,212,6,6,25,47,0,0,65,157,54,102,84,434,32,28,530,1260,0,0,0,0,6,0,28,32,0,0,6,8,11,0,18,39,0,3,6,40,11,4,22,87,6,0,9,30,18,13,22,98,6,6,3,22,9,10,24,78,0,8,4,9,8,6,12,46,0,4,0,4,0,0,13,27,12,24,34,117,58,36,135,406,0,0,0,3,0,0,4,11,0,37,0,5,12,0,0,58,25,94,17,23,3,0,7,166,31,39,14,18,4,0,5,103,23,22,17,15,0,3,5,86,13,30,18,18,0,9,3,97,9,14,23,7,0,4,7,60,97,232,91,93,18,16,28,571,0,0,0,0,0,0,32,32,0,0,0,0,0,0,46,44
IREG594,0,12,10,43,11,4,135,204,23,81,37,131,8,4,402,676,17,53,33,132,10,3,529,786,17,28,21,113,6,7,525,712,16,24,25,114,0,9,343,533,11,27,28,115,0,7,218,411,89,227,143,662,39,26,2194,3376,0,0,0,0,0,0,20,23,0,0,3,6,0,0,32,36,0,0,0,4,0,0,96,105,0,4,0,0,0,0,120,133,0,0,0,3,0,0,98,102,0,0,3,0,0,0,51,56,0,0,0,0,0,0,36,38,3,3,4,15,6,0,460,495,0,0,0,3,4,0,20,34,0,40,7,24,12,0,26,108,53,141,45,57,16,0,74,384,27,70,43,66,4,8,95,317,16,32,28,43,4,5,75,200,21,34,45,46,4,19,47,213,16,13,20,25,0,8,49,132,134,333,182,268,45,38,392,1385,0,0,0,0,0,0,13,13,0,0,0,0,0,0,48,48
IREG597,0,4,0,7,0,0,10,18,0,9,5,27,0,6,40,82,0,10,6,39,0,4,74,135,3,10,3,15,0,0,47,83,0,6,0,7,0,3,20,47,0,0,3,0,0,0,3,7,7,36,24,100,3,8,210,378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,4,4,3,0,0,0,10,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9,5,3,3,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5
