IREG_CODE_2021,Ow_o_Dw_s_S_Hou_HATSIP,Ow_o_Dw_s_SDRTHT_HATSIP,Ow_o_Dw_s_Fl_Ap_HATSIP,Ow_o_Dw_s_Oth_d_Car_HATSIP,Ow_o_Dw_s_Oth_d_Cab_h_HATSIP,Ow_o_Dw_s_Oth_d_IHTSO_HATSIP,Ow_o_Dw_s_Oth_d_HFASO_HATSIP,Ow_o_Dw_s_Oth_d_Tot_HATSIP,Ow_o_Dw_s_Ns_HATSIP,Ow_o_Tot_HATSIP,Ow_wm_Dw_s_S_Hou_HATSIP,Ow_wm_Dw_s_SDRTHT_HATSIP,Ow_wm_Dw_s_Fl_Ap_HATSIP,Ow_wm_Dw_s_Oth_d_Car_HATSIP,Ow_wm_Dw_s_Oth_d_Cab_h_HATSIP,Ow_wm_Dw_s_Oth_d_IHTSO_HATSIP,Ow_wm_Dw_s_Oth_d_HFASO_HATSIP,Ow_wm_Dw_s_Oth_d_Tot_HATSIP,Ow_wm_Dw_s_Ns_HATSIP,Ow_wm_Tot_HATSIP,R_RAg_Dw_s_S_Hou_HATSIP,R_RAg_Dw_s_SDRTHT_HATSIP,R_RAg_Dw_s_Fl_Ap_HATSIP,R_RAg_Dw_s_Oth_d_Car_HATSIP,R_RAg_Dw_s_Oth_d_Cab_h_HATSIP,R_RAg_Dw_s_Oth_d_IHTSO_HATSIP,R_RAg_Dw_s_Oth_d_HFASO_HATSIP,R_RAg_Dw_s_Oth_d_Tot_HATSIP,R_RAg_Dw_s_Ns_HATSIP,R_RAg_Tot_HATSIP,R_STHA_Dw_s_S_Hou_HATSIP,R_STHA_Dw_s_SDRTHT_HATSIP,R_STHA_Dw_s_Fl_Ap_HATSIP,R_STHA_Dw_s_Ot_d_Car_HATSIP,R_STHA_Dw_s_Ot_d_Cab_h_HATSIP,R_STHA_Dw_s_Ot_d_IHTSO_HATSIP,R_STHA_Dw_s_Ot_d_HFASO_HATSIP,R_STHA_Dw_s_Ot_d_Tot_HATSIP,R_STHA_Dw_s_Ns_HATSIP,R_STHA_Tot_HATSIP,R_Pnsh_Dw_s_S_Hou_HATSIP,R_Pnsh_Dw_s_SDRTHT_HATSIP,R_Pnsh_Dw_s_Fl_Ap_HATSIP,R_Pnsh_Dw_s_Ot_d_Car_HATSIP,R_Pnsh_Dw_s_Ot_d_Cab_h_HATSIP,R_Pnsh_Dw_s_Ot_d_IHTSO_HATSIP,R_Pnsh_Dw_s_Ot_d_HFASO_HATSIP,R_Pnsh_Dw_s_Oth_d_Tot_HATSIP,R_Pnsh_Dw_s_Ns_HATSIP,R_Pnsh_Tot_HATSIP,R_CHP_Dw_s_S_Hou_HATSIP,R_CHP_Dw_s_SDRTHT_HATSIP,R_CHP_Dw_s_Fl_Ap_HATSIP,R_CHP_Dw_s_Oth_d_Car_HATSIP,R_CHP_Dw_s_Oth_d_Cab_h_HATSIP,R_CHP_Dw_s_Oth_d_IHTSO_HATSIP,R_CHP_Dw_s_Oth_d_HFASO_HATSIP,R_CHP_Dw_s_Oth_d_Tot_HATSIP,R_CHP_Dw_s_Ns_HATSIP,R_CHP_Tot_HATSIP,R_othLT_Dw_s_S_Hou_HATSIP,R_othLT_Dw_s_SDRTHT_HATSIP,R_othLT_Dw_s_Fl_Ap_HATSIP,R_othLT_Dw_s_O_d_Car_HATSIP,R_othLT_Dw_s_O_d_Cab_h_HATSIP,R_othLT_Dw_s_O_d_IHTSO_HATSIP,R_othLT_Dw_s_O_d_HFASO_HATSIP,R_othLT_Dw_s_O_d_Tot_HATSIP,R_othLT_Dw_s_Ns_HATSIP,R_othLT_Tot_HATSIP,R_LTns_Dw_s_S_Hou_HATSIP,R_LTns_Dw_s_SDRTHT_HATSIP,R_LTns_Dw_s_Fl_Ap_HATSIP,R_LTns_Dw_s_Ot_d_Car_HATSIP,R_LTns_Dw_s_Ot_d_Cab_h_HATSIP,R_LTns_Dw_s_Ot_d_IHTSO_HATSIP,R_LTns_Dw_s_Ot_d_HFASO_HATSIP,R_LTns_Dw_s_Ot_d_Tot_HATSIP,R_LTns_Dw_s_Ns_HATSIP,R_LTns_Tot_HATSIP,R_Tot_Dw_s_S_Hou_HATSIP,R_Tot_Dw_s_SDRTHT_HATSIP,R_Tot_Dw_s_Fl_Ap_HATSIP,R_Tot_Dw_s_Oth_d_Car_HATSIP,R_Tot_Dw_s_Oth_d_Cab_h_HATSIP,R_Tot_Dw_s_Oth_d_IHTSO_HATSIP,R_Tot_Dw_s_Oth_d_HFASO_HATSIP,R_Tot_Dw_s_Oth_d_Tot_HATSIP,R_Tot_Dw_s_Ns_HATSIP,R_Tot_Tot_HATSIP,Oth_TT_Dw_s_S_Hou_HATSIP,Oth_TT_Dw_s_SDRTHT_HATSIP,Oth_TT_Dw_s_Fl_Ap_HATSIP,Oth_TT_Dw_s_Ot_d_Car_HATSIP,Oth_TT_Dw_s_Ot_d_Cab_h_HATSIP,Oth_TT_Dw_s_Ot_d_IHTSO_HATSIP,Oth_TT_Dw_s_Ot_d_HFASO_HATSIP,Oth_TT_Dw_s_Ot_d_Tot_HATSIP,Oth_TT_Dw_s_Ns_HATSIP,Oth_TT_Tot_HATSIP,TT_ns_Dw_s_S_Hou_HATSIP,TT_ns_Dw_s_SDRTHT_HATSIP,TT_ns_Dw_s_Fl_Ap_HATSIP,TT_ns_Dw_s_Oth_d_Car_HATSIP,TT_ns_Dw_s_Oth_d_Cab_h_HATSIP,TT_ns_Dw_s_Oth_d_IHTSO_HATSIP,TT_ns_Dw_s_Oth_d_HFASO_HATSIP,TT_ns_Dw_s_Oth_d_Tot_HATSIP,TT_ns_Dw_s_Ns_HATSIP,TT_ns_Tot_HATSIP,Tot_Dw_s_S_Hou_HATSIP,Tot_Dw_s_SDRTHT_HATSIP,Tot_Dw_s_Fl_Ap_HATSIP,Tot_Dw_s_Oth_d_Car_HATSIP,Tot_Dw_s_Oth_d_Cab_h_HATSIP,Tot_Dw_s_Oth_d_IHTSO_HATSIP,Tot_Dw_s_Oth_d_HFASO_HATSIP,Tot_Dw_s_Oth_d_Tot_HATSIP,Tot_Dw_s_Ns_HATSIP,Tot_Tot_HATSIP,Ow_o_Dw_s_S_Hou_Oth_h,Ow_o_Dw_s_SDRTHT_Oth_h,Ow_o_Dw_s_Fl_Ap_Oth_h,Ow_o_Dw_s_Oth_d_Car_Oth_h,Ow_o_Dw_s_Oth_d_Cab_h_Oth_h,Ow_o_Dw_s_Oth_d_IHTSO_Oth_h,Ow_o_Dw_s_Oth_d_HFASO_Oth_h,Ow_o_Dw_s_Oth_d_Tot_Oth_h,Ow_o_Dw_s_Ns_Oth_h,Ow_o_Tot_Oth_h,Ow_wm_Dw_s_S_Hou_Oth_h,Ow_wm_Dw_s_SDRTHT_Oth_h,Ow_wm_Dw_s_Fl_Ap_Oth_h,Ow_wm_Dw_s_Oth_d_Car_Oth_h,Ow_wm_Dw_s_Oth_d_Cab_h_Oth_h,Ow_wm_Dw_s_Oth_d_IHTSO_Oth_h,Ow_wm_Dw_s_Oth_d_HFASO_Oth_h,Ow_wm_Dw_s_Oth_d_Tot_Oth_h,Ow_wm_Dw_s_Ns_Oth_h,Ow_wm_Tot_Oth_h,R_RAg_Dw_s_S_Hou_Oth_h,R_RAg_Dw_s_SDRTHT_Oth_h,R_RAg_Dw_s_Fl_Ap_Oth_h,R_RAg_Dw_s_Oth_d_Car_Oth_h,R_RAg_Dw_s_Oth_d_Cab_h_Oth_h,R_RAg_Dw_s_Oth_d_IHTSO_Oth_h,R_RAg_Dw_s_Oth_d_HFASO_Oth_h,R_RAg_Dw_s_Oth_d_Tot_Oth_h,R_RAg_Dw_s_Ns_Oth_h,R_RAg_Tot_Oth_h,R_STHA_Dw_s_S_Hou_Oth_h,R_STHA_Dw_s_SDRTHT_Oth_h,R_STHA_Dw_s_Fl_Ap_Oth_h,R_STHA_Dw_s_Ot_d_Car_Oth_h,R_STHA_Dw_s_Ot_d_Cab_h_Oth_h,R_STHA_Dw_s_Ot_d_IHTSO_Oth_h,R_STHA_Dw_s_Ot_d_HFASO_Oth_h,R_STHA_Dw_s_Ot_d_Tot_Oth_h,R_STHA_Dw_s_Ns_Oth_h,R_STHA_Tot_Oth_h,R_Pnsh_Dw_s_S_Hou_Oth_h,R_Pnsh_Dw_s_SDRTHT_Oth_h,R_Pnsh_Dw_s_Fl_Ap_Oth_h,R_Pnsh_Dw_s_Ot_d_Car_Oth_h,R_Pnsh_Dw_s_Ot_d_Cab_h_Oth_h,R_Pnsh_Dw_s_Ot_d_IHTSO_Oth_h,R_Pnsh_Dw_s_Ot_d_HFASO_Oth_h,R_Pnsh_Dw_s_Oth_d_Tot_Oth_h,R_Pnsh_Dw_s_Ns_Oth_h,R_Pnsh_Tot_Oth_h,R_CHP_Dw_s_S_Hou_Oth_h,R_CHP_Dw_s_SDRTHT_Oth_h,R_CHP_Dw_s_Fl_Ap_Oth_h,R_CHP_Dw_s_Oth_d_Car_Oth_h,R_CHP_Dw_s_Oth_d_Cab_h_Oth_h,R_CHP_Dw_s_Oth_d_IHTSO_Oth_h,R_CHP_Dw_s_Oth_d_HFASO_Oth_h,R_CHP_Dw_s_Oth_d_Tot_Oth_h,R_CHP_Dw_s_Ns_Oth_h,R_CHP_Tot_Oth_h,R_othLT_Dw_s_S_Hou_Oth_h,R_othLT_Dw_s_SDRTHT_Oth_h,R_othLT_Dw_s_Fl_Ap_Oth_h,R_othLT_Dw_s_O_d_Car_Oth_h,R_othLT_Dw_s_O_d_Cab_h_Oth_h,R_othLT_Dw_s_O_d_IHTSO_Oth_h,R_othLT_Dw_s_O_d_HFASO_Oth_h,R_othLT_Dw_s_O_d_Tot_Oth_h,R_othLT_Dw_s_Ns_Oth_h,R_othLT_Tot_Oth_h,R_LTns_Dw_s_S_Hou_Oth_h,R_LTns_Dw_s_SDRTHT_Oth_h,R_LTns_Dw_s_Fl_Ap_Oth_h,R_LTns_Dw_s_Ot_d_Car_Oth_h,R_LTns_Dw_s_Ot_d_Cab_h_Oth_h,R_LTns_Dw_s_Ot_d_IHTSO_Oth_h,R_LTns_Dw_s_Ot_d_HFASO_Oth_h,R_LTns_Dw_s_Ot_d_Tot_Oth_h,R_LTns_Dw_s_Ns_Oth_h,R_LTns_Tot_Oth_h
IREG501,110,4,0,0,0,0,0,5,3,120,223,11,4,0,0,0,0,0,0,230,93,33,4,0,0,0,0,0,0,136,481,137,8,0,0,0,0,3,7,633,56,8,3,0,0,0,0,0,3,67,149,20,0,0,0,0,0,0,5,180,48,8,0,4,0,0,0,4,0,56,10,3,0,0,0,0,0,0,0,11,833,212,16,3,3,3,0,10,9,1080,32,0,0,4,0,0,0,4,5,42,66,22,0,0,0,8,0,8,9,100,1267,248,21,11,3,11,4,23,24,1582,457,37,5,120,0,9,9,134,18,655,1017,57,8,17,0,3,3,27,3,1116,419,169,52,8,0,0,0,13,5,670,217,84,0,0,0,0,0,0,0,306,225,38,15,3,0,4,0,10,10,297,9,11,0,0,0,0,0,0,3,23,224,35,4,31,0,4,0,36,17,320,3,0,0,0,0,0,0,0,0,3
IREG502,296,10,0,16,0,0,0,18,6,329,501,9,0,0,0,0,0,0,3,514,304,68,15,0,0,0,0,0,0,376,310,107,29,6,0,0,0,6,6,453,202,19,4,3,0,0,0,3,0,230,95,25,5,0,0,0,0,0,0,121,61,15,0,3,0,0,0,8,0,78,9,0,0,0,0,0,0,0,0,14,979,232,45,8,0,0,0,14,8,1277,50,9,0,3,0,0,0,3,0,64,79,18,3,0,0,0,0,0,3,115,1906,276,53,26,5,5,0,34,25,2294,6379,405,28,242,37,12,10,313,70,7188,5740,213,21,28,5,7,8,43,21,6037,1478,457,109,0,0,0,0,3,4,2053,307,185,45,0,0,0,0,0,0,534,1377,210,18,3,0,9,4,20,19,1645,61,57,35,3,0,0,0,3,0,149,425,75,12,44,15,0,5,64,14,588,21,14,4,0,0,0,0,5,0,35
IREG503,138,4,0,4,3,0,0,4,3,152,346,13,0,0,0,0,0,0,0,360,178,40,3,0,0,0,0,0,0,220,373,78,4,0,0,0,0,0,3,462,123,4,4,0,0,0,4,4,0,136,128,7,3,0,0,0,0,0,6,142,55,5,0,0,3,0,0,7,5,69,17,0,0,0,0,0,0,0,0,19,877,136,15,0,6,0,5,11,11,1049,49,0,0,0,0,0,0,0,6,52,83,16,0,0,0,0,0,0,5,108,1486,175,18,10,8,3,5,22,22,1719,3859,201,36,80,36,5,3,131,41,4267,5515,265,11,0,5,0,7,11,8,5822,1610,758,100,0,4,0,0,7,7,2475,326,237,22,0,0,0,0,0,0,589,1118,165,18,4,3,0,7,16,9,1326,18,72,35,0,0,0,0,0,0,125,488,124,15,31,57,0,3,96,15,728,18,25,3,0,0,0,0,3,0,45
IREG504,61,5,0,9,0,0,0,5,5,73,57,4,0,0,0,0,0,0,5,65,33,4,3,0,0,0,0,0,0,36,518,65,33,0,0,0,0,0,3,628,40,4,0,0,0,0,3,3,0,53,345,21,10,0,0,0,0,0,5,382,45,4,0,5,0,0,0,5,0,58,9,0,0,0,0,0,0,0,0,11,999,107,42,8,0,0,3,10,8,1169,36,0,0,0,0,3,0,3,3,45,43,7,0,0,0,0,0,3,10,66,1198,124,50,17,0,3,5,27,20,1424,176,10,9,83,0,7,10,108,8,302,200,22,3,8,0,0,9,16,10,251,81,36,36,0,0,0,0,0,5,160,94,36,11,0,0,0,0,0,3,138,119,17,3,10,0,0,9,17,8,171,7,0,0,0,0,0,0,0,0,9,172,30,15,38,0,0,3,46,12,283,3,0,0,0,0,0,0,0,0,3
IREG505,1659,124,36,4,11,0,5,21,3,1838,5478,311,110,0,0,0,0,0,3,5912,3159,699,460,0,0,0,0,0,8,4327,1412,670,151,0,0,0,0,0,3,2243,1220,215,107,0,0,0,5,7,0,1551,141,103,25,0,0,0,0,0,4,269,178,37,20,8,5,0,0,22,0,251,36,8,5,0,6,0,0,3,0,55,6141,1739,769,9,10,0,5,32,11,8690,117,29,4,0,0,0,0,0,0,150,266,93,40,4,0,4,0,6,6,409,13664,2300,961,25,22,3,10,59,26,17009,173291,22815,8096,450,661,42,130,1282,161,205640,267259,27271,10555,26,13,9,60,113,165,305361,63143,26632,25528,4,4,0,88,92,130,115530,5356,7631,2613,0,0,0,0,4,15,15613,31002,9837,6023,28,15,6,60,107,77,47041,891,1730,904,0,0,0,0,4,6,3541,3583,1134,746,153,132,4,22,311,37,5808,523,332,168,0,4,0,0,5,0,1034
IREG506,130,9,3,8,0,0,3,15,0,159,227,20,5,0,0,0,3,3,0,245,216,71,33,0,0,0,0,0,3,324,414,143,4,0,0,0,0,0,3,564,49,17,0,0,0,0,0,0,0,67,230,21,3,0,0,0,0,0,0,253,657,86,33,4,0,0,0,5,0,784,7,0,0,0,0,0,0,0,0,9,1572,347,75,0,0,0,0,3,7,2000,79,20,3,5,0,6,0,8,7,118,53,21,6,0,0,0,0,0,3,83,2067,409,84,18,0,5,3,30,20,2610,835,81,23,147,11,7,5,175,28,1140,2309,206,19,37,5,4,11,57,7,2592,1462,450,369,4,0,0,5,13,5,2300,653,117,70,0,0,0,0,0,5,840,360,73,29,7,5,0,6,22,10,492,92,7,38,0,0,0,0,0,0,138,3377,460,204,46,16,5,8,63,27,4138,16,10,3,0,0,0,0,0,0,27
IREG507,899,27,4,13,11,0,0,19,0,954,2012,34,4,4,0,0,0,7,3,2057,986,110,28,0,0,0,0,0,3,1129,646,191,11,0,0,0,0,0,0,848,617,32,4,0,0,0,0,0,0,662,86,25,4,0,0,0,0,0,0,124,96,9,0,6,0,0,0,6,0,119,20,0,0,0,0,0,0,0,0,21,2459,370,48,12,0,0,5,13,8,2902,87,10,0,4,0,0,0,4,0,97,186,27,0,3,0,0,0,7,5,225,5642,473,54,33,12,3,0,51,15,6238,53999,2703,468,537,395,52,43,1020,139,58330,53054,1419,266,38,19,28,20,105,91,54928,12723,2450,656,9,13,9,15,41,20,15889,2016,1614,119,0,0,0,0,4,12,3759,9891,994,178,20,23,7,11,66,31,11155,576,755,192,0,3,0,9,9,15,1541,1821,281,41,168,124,15,14,318,55,2515,174,75,17,0,0,0,0,0,0,269
IREG508,36,0,0,0,0,0,0,0,4,43,51,0,0,0,0,0,0,0,0,51,25,4,0,0,0,0,0,0,0,29,463,19,0,0,0,0,0,0,0,488,20,0,0,0,0,0,0,0,0,20,335,6,0,0,0,0,5,3,4,354,27,5,0,0,0,0,0,0,0,29,7,0,0,0,0,0,0,0,0,9,872,37,0,0,0,0,5,3,9,921,14,0,0,0,0,3,0,3,0,20,22,3,0,0,0,0,0,0,3,29,998,48,0,6,0,5,7,18,12,1074,100,0,0,25,0,0,3,28,7,130,69,0,0,4,0,0,0,4,0,79,36,26,0,0,0,0,0,0,0,59,96,11,0,0,0,0,0,0,3,113,44,0,0,0,0,0,0,0,5,53,3,0,0,0,0,0,0,0,0,3,129,31,4,0,0,0,0,0,8,177,0,0,0,0,0,0,0,0,0,0
IREG594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IREG597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
