IREG_CODE_2021,Age_40_44_NonInd_F,Age_40_44_NonInd_P,Age_40_44_Indig_st_nsM,Age_40_44_Indig_st_nsF,Age_40_44_Indig_st_nsP,Age_40_44_TotM,Age_40_44_TotF,Age_40_44_TotP,Age_45_49_Indig_M,Age_45_49_Indig_F,Age_45_49_Indig_P,Age_45_49_NonInd_M,Age_45_49_NonInd_F,Age_45_49_NonInd_P,Age_45_49_Indig_st_nsM,Age_45_49_Indig_st_nsF,Age_45_49_Indig_st_nsP,Age_45_49_TotM,Age_45_49_TotF,Age_45_49_TotP,Age_50_54_Indig_M,Age_50_54_Indig_F,Age_50_54_Indig_P,Age_50_54_NonInd_M,Age_50_54_NonInd_F,Age_50_54_NonInd_P,Age_50_54_Indig_st_nsM,Age_50_54_Indig_st_nsF,Age_50_54_Indig_st_nsP,Age_50_54_TotM,Age_50_54_TotF,Age_50_54_TotP,Age_55_59_Indig_M,Age_55_59_Indig_F,Age_55_59_Indig_P,Age_55_59_NonInd_M,Age_55_59_NonInd_F,Age_55_59_NonInd_P,Age_55_59_Indig_st_nsM,Age_55_59_Indig_st_nsF,Age_55_59_Indig_st_nsP,Age_55_59_TotM,Age_55_59_TotF,Age_55_59_TotP,Age_60_64_Indig_M,Age_60_64_Indig_F,Age_60_64_Indig_P,Age_60_64_NonInd_M,Age_60_64_NonInd_F,Age_60_64_NonInd_P,Age_60_64_Indig_st_nsM,Age_60_64_Indig_st_nsF,Age_60_64_Indig_st_nsP,Age_60_64_TotM,Age_60_64_TotF,Age_60_64_TotP,Age_65over_Indig_M,Age_65over_Indig_F,Age_65over_Indig_P,Age_65over_NonInd_M,Age_65over_NonInd_F,Age_65over_NonInd_P,Age_65over_Indig_st_nsM,Age_65over_Indig_st_nsF,Age_65over_Indig_st_nsP,Age_65_over_TotM,Age_65_over_TotF,Age_65_over_TotP,Tot_Indig_M,Tot_Indig_F,Tot_Indig_P,Tot_NonInd_M,Tot_NonInd_F,Tot_NonInd_P,Tot_Indig_st_nsM,Tot_Indig_st_nsF,Tot_Indig_st_nsP,Tot_TotM,Tot_TotF,Tot_TotP
IREG501,422,792,62,64,126,572,658,1233,107,106,220,377,391,769,95,82,175,580,580,1158,128,133,260,406,369,776,86,79,158,615,579,1196,92,108,200,326,318,650,70,61,134,494,492,989,85,111,196,273,278,551,57,45,100,412,435,845,109,145,251,511,389,899,82,87,167,703,620,1317,2369,2480,4847,4853,5187,10036,1038,1043,2081,8258,8709,16965
IREG502,1493,2843,259,204,463,1752,1856,3605,158,164,325,1564,1622,3187,277,190,464,2001,1973,3977,160,188,350,1734,1757,3491,287,201,489,2180,2147,4331,140,169,310,1775,1751,3523,262,198,464,2179,2117,4298,134,151,285,1883,1735,3619,254,176,432,2271,2066,4334,222,287,511,5098,4947,10045,580,544,1120,5899,5781,11675,2983,3126,6114,24093,23729,47826,3808,3153,6960,30894,30009,60902
IREG503,1352,2843,291,184,474,1938,1692,3631,153,158,307,1552,1389,2937,279,157,437,1982,1697,3679,133,158,284,1652,1417,3072,328,177,502,2110,1757,3864,123,116,235,1606,1374,2984,268,162,431,1994,1650,3649,83,102,187,1462,1222,2687,245,148,393,1798,1478,3274,140,180,323,2890,2680,5564,413,313,728,3442,3174,6617,2655,2572,5221,22549,20485,43029,3879,2639,6522,29082,25690,54770
IREG504,148,306,39,46,86,355,379,729,129,169,297,142,155,296,51,54,105,328,382,706,133,145,278,199,151,348,74,50,126,405,342,753,74,115,191,177,161,341,49,45,92,300,323,625,69,72,142,163,155,316,50,36,80,284,262,541,127,150,274,238,149,384,81,69,151,446,360,812,2556,2762,5319,2182,2091,4271,763,729,1494,5499,5585,11082
IREG505,66130,129809,3777,2236,6013,68441,69311,137751,962,938,1902,60913,63569,124485,3494,2232,5729,65372,66745,132112,776,916,1691,59940,62164,122107,3420,2085,5504,64137,65167,129304,691,769,1461,54652,57588,112240,2967,1925,4890,58309,60281,118594,499,592,1099,49094,53003,102102,2372,1699,4071,51970,55299,107262,771,989,1756,134995,157507,292504,5809,6572,12377,141574,165068,306640,19789,19196,38984,927326,960098,1887427,46077,36529,82599,993189,1015822,2009006
IREG506,1466,3520,603,279,879,2934,1962,4897,240,216,454,1824,1272,3094,533,232,764,2595,1717,4312,199,205,401,1566,1097,2660,462,239,702,2226,1539,3764,162,174,337,1448,845,2295,434,186,619,2044,1208,3255,127,121,245,1046,650,1694,298,143,441,1469,914,2384,148,209,353,919,674,1587,208,107,315,1266,987,2255,4206,3908,8113,22194,18236,40430,6026,3554,9576,32428,25698,58126
IREG507,11893,22880,1101,771,1874,12419,13033,25453,339,360,701,11959,12780,24735,1206,869,2076,13497,14008,27506,300,404,700,12789,13702,26484,1274,868,2139,14356,14968,29324,346,368,716,13377,14178,27554,1187,912,2097,14916,15457,30370,287,264,541,13727,14918,28644,1039,820,1862,15056,15999,31051,423,515,933,44350,46474,90829,3006,2988,5992,47779,49974,97754,7185,7165,14355,192198,198578,390779,15478,12952,28433,214860,218698,433560
IREG508,46,100,31,34,65,223,210,443,139,122,257,65,60,125,31,28,58,233,207,443,108,118,222,69,58,126,26,32,61,199,211,410,88,102,183,90,76,167,38,30,70,218,207,421,77,72,150,73,71,143,38,24,57,186,166,348,102,126,228,158,102,259,51,42,90,305,270,575,2145,2096,4238,930,866,1790,481,534,1017,3548,3492,7045
IREG594,192,467,76,30,107,476,298,770,99,67,165,260,139,400,83,36,116,433,244,680,87,51,145,249,150,392,71,27,92,404,228,631,43,30,69,227,164,387,60,35,94,330,226,552,47,32,80,231,177,407,59,38,101,339,250,588,46,40,84,434,281,715,94,53,150,578,373,951,819,683,1495,3052,2281,5333,778,450,1228,4639,3416,8055
IREG597,0,44,33,0,36,79,0,82,0,0,0,30,0,35,22,0,23,51,3,57,4,0,4,28,0,30,24,0,18,48,3,54,0,0,0,15,0,15,11,0,11,26,0,26,0,0,0,18,5,22,11,0,14,27,3,34,0,0,0,6,5,10,7,0,8,14,4,18,7,3,9,256,32,293,193,19,218,455,58,514
