IREG_CODE_2021,Neg_Nil_inc_Hh_with_Ind_psns,Neg_Nil_inc_Other_households,Neg_Nil_income_Tot_hhlds,1_149_Hhd_with_Indig_psns,1_149_Other_households,1_149_Tot_hhlds,150_299_Hhd_with_Indig_psns,150_299_Other_households,150_299_Tot_hhlds,300_399_Hhd_with_Indig_psns,300_399_Other_households,300_399_Tot_hhlds,400_499_Hhd_with_Indig_psns,400_499_Other_households,400_499_Tot_hhlds,500_649_Hhd_with_Indig_psns,500_649_Other_households,500_649_Tot_hhlds,650_799_Hhd_with_Indig_psns,650_799_Other_households,650_799_Tot_hhlds,800_999_Hh_with_Indig_psn,800_999_Other_households,800_999_Tot_hhlds,1000_1249_Hh_with_Indig_psn,1000_1249_Other_households,1000_1249_Tot_hhlds,1250_1499_Hh_with_Indig_psn,1250_1499_Other_households,1250_1499_Tot_hhlds,1500_1749_Hh_with_Indig_psn,1500_1749_Other_households,1500_1749_Tot_hhlds,1750_1999_Hh_with_Indig_psn,1750_1999_Other_households,1750_1999_Tot_hhlds,2000_2499_Hh_with_Indig_psn,2000_2499_Other_households,2000_2499_Tot_hhlds,2500_2999_Hh_with_Indig_psn,2500_2999_Other_households,2500_2999_Tot_hhlds,3000_3499_Hh_with_Indig_psn,3000_3499_Other_households,3000_3499_Tot_hhlds,3500_more_Hh_with_Indig_psn,3500_more_stated_Other_hhds,3500_more_stated_Tot_hhlds,Part_inc_st_Hh_with_Indig_psn,Partial_inc_stated_Other_hhds,Partial_inc_stated_Tot_hhlds,All_inc_ns_Hh_with_Ind_psns,All_income_ns_Other_household,All_inc_NS_Tot_hhlds,Tot_Household_with_Indig_psns,Tot_Other_households,Tot_Tot_hhlds
IREG501,17,53,70,21,16,38,59,23,86,116,55,168,86,89,169,74,69,144,92,101,199,86,112,196,100,187,287,95,175,263,70,166,234,60,188,244,141,456,596,82,319,402,67,343,413,151,757,909,181,424,601,92,65,157,1582,3590,5175
IREG502,47,372,418,18,122,147,83,302,379,125,522,648,148,1333,1479,109,916,1030,153,1327,1483,177,1229,1405,146,1280,1424,151,1286,1434,136,983,1120,119,977,1089,189,2058,2250,115,1271,1381,96,1095,1194,161,2055,2213,248,1731,1977,86,445,531,2294,19305,21602
IREG503,28,237,263,14,97,111,64,177,244,73,299,372,104,815,918,70,500,578,131,666,800,101,721,819,130,853,974,99,907,1001,103,848,949,65,894,960,132,2119,2251,80,1184,1262,85,1337,1421,169,2984,3151,175,1412,1589,91,377,462,1719,16421,18145
IREG504,16,24,40,18,10,25,71,6,83,76,25,97,102,29,133,78,37,117,106,37,142,127,42,170,129,75,209,115,96,218,56,119,175,46,117,169,94,224,318,53,147,204,25,155,184,56,245,303,144,163,307,94,56,148,1424,1611,3030
IREG505,321,11543,11863,125,4289,4416,365,8172,8533,473,14515,14987,711,34751,35462,742,26634,27376,925,35180,36104,892,37338,38234,1147,45449,46594,1152,47351,48508,934,39562,40492,809,38447,39262,1857,81818,83680,1220,52380,53599,959,49220,50183,2395,129874,132265,1617,53987,55598,362,9363,9726,17009,719872,736882
IREG506,51,98,145,12,28,39,57,57,113,80,85,165,103,132,228,75,119,196,125,164,292,122,208,331,133,345,485,118,442,565,101,554,650,123,673,796,262,1769,2032,153,928,1085,204,1411,1613,527,4485,5011,258,1195,1453,92,201,292,2610,12885,15497
IREG507,112,2630,2738,47,1154,1203,132,2208,2343,173,4065,4236,346,11437,11781,345,8047,8392,403,11892,12298,436,10685,11122,505,11513,12014,460,10860,11315,354,7815,8172,306,7872,8173,590,15500,16086,371,9712,10086,300,8228,8529,528,15674,16203,643,13819,14462,189,3233,3422,6238,156328,162567
IREG508,10,5,15,9,4,16,77,3,76,56,6,58,127,23,145,46,13,62,116,12,130,95,25,120,79,53,138,67,65,135,46,73,120,55,58,116,56,122,179,22,54,74,34,64,95,30,100,128,106,66,171,46,18,66,1074,762,1836
IREG594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IREG597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
