LGA_CODE_2021,M_Agr_fstry_fsh_15_19,M_Agr_fstry_fsh_20_24,M_Agr_fstry_fsh_25_34,M_Agr_fstry_fsh_35_44,M_Agr_fstry_fsh_45_54,M_Agr_fstry_fsh_55_64,M_Agr_fstry_fsh_65_74,M_Agr_fstry_fsh_75_84,M_Agr_fstry_fsh_85_yr_over,M_Agr_fstry_fsh_Tot,M_Min_15_19_yr,M_Min_20_24_yr,M_Min_25_34_yr,M_Min_35_44_yr,M_Min_45_54_yr,M_Min_55_64_yr,M_Min_65_74_yr,M_Min_75_84_yr,M_Min_85_yr_over,M_Min_Tot,M_Manf_15_19_yr,M_Manf_20_24_yr,M_Manf_25_34_yr,M_Manf_35_44_yr,M_Manf_45_54_yr,M_Manf_55_64_yr,M_Manf_65_74_yr,M_Manf_75_84_yr,M_Manf_85_yr_over,M_Manf_Tot,M_Elec_gas_wtr_wst_sv_15_19,M_Elec_gas_wtr_wst_sv_20_24,M_Elec_gas_wtr_wst_sv_25_34,M_Elec_gas_wtr_wst_sv_35_44,M_Elec_gas_wtr_wst_sv_45_54,M_Elec_gas_wtr_wst_sv_55_64,M_Elec_gas_wtr_wst_sv_65_74,M_Elec_gas_wtr_wst_sv_75_84,M_Elec_gas_wtr_wst_sv_85_over,M_Elec_gas_wtr_wst_sv_Tot,M_Con_15_19_yr,M_Con_20_24_yr,M_Con_25_34_yr,M_Con_35_44_yr,M_Con_45_54_yr,M_Con_55_64_yr,M_Con_65_74_yr,M_Con_75_84_yr,M_Con_85_yr_over,M_Con_Tot,M_Whl_trd_15_19_yr,M_Whl_trd_20_24_yr,M_Whl_trd_25_34_yr,M_Whl_trd_35_44_yr,M_Whl_trd_45_54_yr,M_Whl_trd_55_64_yr,M_Whl_trd_65_74_yr,M_Whl_trd_75_84_yr,M_Whl_trd_85_yr_over,M_Whl_trd_Tot,M_Re_trd_15_19_yr,M_Re_trd_20_24_yr,M_Re_trd_25_34_yr,M_Re_trd_35_44_yr,M_Re_trd_45_54_yr,M_Re_trd_55_64_yr,M_Re_trd_65_74_yr,M_Re_trd_75_84_yr,M_Re_trd_85_yr_over,M_Re_trd_Tot,M_Acc_food_svc_15_19,M_Acc_food_svc_20_24,M_Acc_food_svc_25_34,M_Acc_food_svc_35_44,M_Acc_food_svc_45_54,M_Acc_food_svc_55_64,M_Acc_food_svc_65_74,M_Acc_food_svc_75_84,M_Acc_food_svc_85_yr_over,M_Acc_food_svc_Tot,M_Trp_pos_wh_15_19,M_Trp_pos_wh_20_24,M_Trp_pos_wh_25_34,M_Trp_pos_wh_35_44,M_Trp_pos_wh_45_54,M_Trp_pos_wh_55_64,M_Trp_pos_wh_65_74,M_Trp_pos_wh_75_84,M_Trp_pos_wh_85_yr_over,M_Trp_pos_wh_Tot,M_In_med_tcom_15_19,M_In_med_tcom_20_24,M_In_med_tcom_25_34,M_In_med_tcom_35_44,M_In_med_tcom_45_54,M_In_med_tcom_55_64,M_In_med_tcom_65_74,M_In_med_tcom_75_84,M_In_med_tcom_85_yr_over,M_In_med_tcom_Tot,M_Fin_in_svc_15_19,M_Fin_in_svc_20_24,M_Fin_in_svc_25_34,M_Fin_in_svc_35_44,M_Fin_in_svc_45_54,M_Fin_in_svc_55_64,M_Fin_in_svc_65_74,M_Fin_in_svc_75_84,M_Fin_in_svc_85_yr_over,M_Fin_in_svc_Tot,M_Rnt_hrg_rea_est_serv_15_19,M_Rnt_hrg_rea_est_serv_20_24,M_Rnt_hrg_rea_est_serv_25_34,M_Rnt_hrg_rea_est_serv_35_44,M_Rnt_hrg_rea_est_serv_45_54,M_Rnt_hrg_rea_est_serv_55_64,M_Rnt_hrg_rea_est_serv_65_74,M_Rnt_hrg_rea_est_serv_75_84,M_Rnt_hrg_rea_est_serv_85_ov,M_Rnt_hrg_rea_est_serv_Tot,M_Prof_sc_tech_serv_15_19,M_Prof_sc_tech_serv_20_24,M_Prof_sc_tech_serv_25_34,M_Prof_sc_tech_serv_35_44,M_Prof_sc_tech_serv_45_54,M_Prof_sc_tech_serv_55_64,M_Prof_sc_tech_serv_65_74,M_Prof_sc_tech_serv_75_84,M_Prof_sc_tech_serv_85_over,M_Prof_sc_tech_serv_Tot,M_Adm_sup_serv_15_19,M_Adm_sup_serv_20_24,M_Adm_sup_serv_25_34,M_Adm_sup_serv_35_44,M_Adm_sup_serv_45_54,M_Adm_sup_serv_55_64,M_Adm_sup_serv_65_74,M_Adm_sup_serv_75_84,M_Adm_sup_serv_85_over,M_Adm_sup_serv_Tot,M_PubAd_saf_15_19,M_PubAd_saf_20_24,M_PubAd_saf_25_34,M_PubAd_saf_35_44,M_PubAd_saf_45_54,M_PubAd_saf_55_64,M_PubAd_saf_65_74,M_PubAd_saf_75_84,M_PubAd_saf_85_over,M_PubAd_saf_Tot,M_Ed_trng_15_19,M_Ed_trng_20_24,M_Ed_trng_25_34,M_Ed_trng_35_44,M_Ed_trng_45_54,M_Ed_trng_55_64,M_Ed_trng_65_74,M_Ed_trng_75_84,M_Ed_trng_85_over,M_Ed_trng_Tot,M_Hlth_cre_socia_assist_15_19,M_Hlth_cre_socia_assist_20_24,M_Hlth_cre_socia_assist_25_34,M_Hlth_cre_socia_assist_35_44,M_Hlth_cre_socia_assist_45_54,M_Hlth_cre_socia_assist_55_64,M_Hlth_cre_socia_assist_65_74,M_Hlth_cre_socia_assist_75_84,M_Hlth_cre_socia_assist_85_ov,M_Hlth_cre_socia_assist_Tot,M_Arts_rec_svc_15_19,M_Arts_rec_svc_20_24,M_Arts_rec_svc_25_34,M_Arts_rec_svc_35_44,M_Arts_rec_svc_45_54,M_Arts_rec_svc_55_64,M_Arts_rec_svc_65_74,M_Arts_rec_svc_75_84,M_Arts_rec_svc_85_yr_over,M_Arts_rec_svc_Tot,M_Oth_svc_15_19_yr,M_Oth_svc_20_24_yr,M_Oth_svc_25_34_yr,M_Oth_svc_35_44_yr,M_Oth_svc_45_54_yr,M_Oth_svc_55_64_yr,M_Oth_svc_65_74_yr,M_Oth_svc_75_84_yr,M_Oth_svc_85_yr_over,M_Oth_svc_Tot,M_Inad_desc_Ns_15_19,M_Inad_desc_Ns_20_24,M_Inad_desc_Ns_25_34,M_Inad_desc_Ns_35_44,M_Inad_desc_Ns_45_54,M_Inad_desc_Ns_55_64,M_Inad_desc_Ns_65_74,M_Inad_desc_Ns_75_84,M_Inad_desc_Ns_85_yr_over,M_Inad_desc_Ns_Tot
LGA50080,31,49,121,127,138,180,105,40,15,810,0,8,63,63,63,37,9,0,0,251,47,72,160,113,132,108,29,8,0,664,0,9,22,40,43,37,3,0,0,169,94,129,297,261,277,233,65,10,0,1366,9,24,55,54,92,58,23,0,0,308,153,98,145,121,125,121,49,0,0,821,202,73,88,74,50,27,25,3,0,549,4,16,44,80,145,164,50,7,0,520,3,5,13,12,16,9,8,0,0,55,0,9,7,20,33,21,8,0,0,92,0,0,22,17,18,23,14,3,0,102,11,19,42,63,52,71,34,5,0,281,9,13,33,41,47,57,20,0,0,217,6,16,78,127,174,169,37,4,0,620,12,18,70,87,105,112,37,6,0,456,4,27,95,123,136,168,49,4,0,614,6,3,19,11,17,17,7,3,0,94,34,44,76,64,65,78,35,5,0,386,36,32,61,62,76,56,23,14,6,359
LGA50210,16,17,45,47,32,32,30,10,0,234,19,76,416,577,377,207,30,0,0,1701,69,195,453,652,443,332,65,9,0,2217,5,11,72,130,92,74,14,0,0,395,138,310,884,879,558,429,113,7,0,3316,24,68,253,302,225,151,23,3,0,1051,209,295,476,368,220,145,47,11,0,1765,383,160,209,175,69,38,12,3,0,1044,34,126,470,657,408,401,99,4,0,2205,8,10,45,68,44,19,5,0,0,208,0,10,58,129,57,35,3,0,0,297,0,15,64,64,49,42,28,7,0,267,8,83,297,487,246,150,48,11,0,1331,30,50,138,148,125,105,29,5,0,630,9,60,255,361,307,246,57,10,0,1298,14,41,169,185,153,151,56,4,0,779,16,90,241,381,267,182,46,10,0,1225,25,35,45,57,46,40,12,4,0,242,52,100,235,244,195,132,38,4,0,1005,77,142,419,403,312,178,45,12,3,1583
LGA50250,0,10,12,3,4,15,11,3,0,62,9,110,778,917,794,488,64,5,0,3161,0,9,10,19,24,13,4,0,0,76,0,0,8,3,9,16,0,0,0,40,11,49,245,258,260,198,29,0,0,1053,0,5,21,37,17,15,3,0,0,103,17,12,5,5,6,3,7,0,0,51,9,15,66,47,47,58,5,0,0,252,0,6,26,30,45,43,4,0,0,151,0,0,0,10,3,7,0,0,0,12,0,0,0,4,0,0,0,0,0,9,4,0,12,3,19,10,0,0,0,49,0,8,34,47,41,25,5,0,0,154,4,14,37,33,31,26,4,0,0,148,4,6,23,17,22,21,3,0,0,109,0,5,14,7,7,10,3,0,0,41,0,0,13,7,7,12,3,0,0,42,0,0,0,6,4,0,0,0,0,11,9,13,24,18,15,19,0,0,0,93,8,9,40,40,45,33,7,0,0,184
LGA50280,20,15,77,59,104,66,56,16,3,419,0,9,56,131,86,51,12,6,0,343,13,25,80,118,103,79,27,3,0,448,0,0,0,11,16,17,0,0,0,51,38,49,123,199,151,110,37,3,0,714,5,5,9,13,20,16,9,0,0,81,46,30,33,31,60,49,15,0,0,259,73,23,89,85,53,38,24,3,0,387,0,9,16,12,16,34,20,3,0,112,0,0,5,4,11,4,0,0,0,25,0,0,5,9,6,7,10,3,0,37,0,0,10,9,14,10,5,0,0,43,0,0,22,38,41,38,20,0,0,163,4,5,25,35,49,34,10,0,0,160,0,0,13,30,32,51,4,0,0,145,0,0,24,45,48,45,14,0,0,184,3,6,19,26,45,27,11,0,0,137,5,8,8,10,17,10,6,0,0,63,13,9,26,31,24,20,3,0,0,128,8,8,29,38,41,39,14,4,0,181
LGA50350,0,0,7,4,6,3,3,0,0,22,0,14,83,86,61,37,4,0,0,283,12,24,44,58,71,63,11,0,0,277,3,0,5,11,12,13,0,0,0,44,34,47,142,140,124,79,16,0,0,586,4,8,31,44,29,19,5,0,0,139,40,60,70,37,38,28,13,0,0,283,49,29,42,24,21,22,0,0,0,185,4,11,38,44,62,55,24,0,0,247,0,3,5,17,12,9,5,0,0,47,0,8,24,23,24,14,0,0,0,94,0,3,9,11,12,11,0,0,0,54,4,15,95,100,72,49,21,5,0,354,4,7,19,23,21,20,5,0,0,103,5,9,50,78,78,64,7,4,0,294,3,20,37,47,49,44,15,0,0,211,0,16,58,50,53,50,13,0,0,239,9,18,27,24,13,12,8,0,0,102,8,20,34,26,28,17,7,0,0,131,6,10,38,65,51,40,13,0,0,231
LGA50420,0,10,18,17,8,10,10,4,0,73,5,55,339,422,272,144,36,3,0,1274,26,78,236,256,281,203,64,7,0,1150,5,8,68,69,57,44,9,0,0,256,55,180,625,596,390,322,83,12,0,2264,12,37,126,138,118,100,44,0,0,577,191,247,346,238,180,163,61,7,0,1438,240,226,310,221,135,107,27,0,0,1269,25,94,292,289,256,237,78,7,0,1280,4,20,51,66,62,36,8,0,0,263,4,18,110,155,100,33,16,9,0,446,3,18,66,49,42,39,22,5,0,241,6,105,547,604,345,195,72,10,0,1890,10,41,168,124,111,80,26,5,0,566,9,67,274,317,300,268,59,3,0,1299,15,58,217,211,184,170,44,3,0,901,3,82,321,258,187,180,57,7,0,1090,45,69,108,74,52,37,14,0,0,401,19,61,157,141,140,117,54,7,0,695,32,95,309,241,177,154,49,10,0,1065
LGA50490,6,4,8,7,10,10,5,0,0,46,4,68,358,324,230,144,28,4,0,1157,23,61,194,169,150,123,32,6,0,761,0,3,38,26,39,26,4,0,0,135,38,105,452,341,217,166,30,5,0,1362,13,41,136,87,82,86,18,6,0,458,84,171,250,142,91,70,23,0,0,840,132,153,289,157,74,55,13,0,0,879,9,76,294,247,241,209,59,6,0,1147,3,12,48,39,15,12,3,0,0,143,0,12,66,52,43,14,13,0,0,206,3,13,36,44,37,26,10,0,0,170,9,69,320,299,153,90,19,5,0,964,6,38,135,84,61,65,13,5,0,405,7,45,161,145,135,103,31,6,0,627,9,15,111,86,95,69,17,0,0,410,5,56,187,132,94,74,30,4,0,580,14,32,89,62,38,36,21,5,0,301,17,49,113,106,74,62,28,3,0,445,19,76,229,167,116,84,24,3,7,715
LGA50560,6,5,18,22,30,27,21,3,0,140,0,0,4,0,12,0,8,0,0,22,0,0,0,3,0,3,0,0,0,11,0,0,0,0,0,0,0,0,0,3,0,0,3,9,3,10,3,0,0,31,0,0,0,0,0,0,4,0,0,9,0,0,0,0,0,0,0,0,0,10,0,4,0,0,0,0,0,0,0,7,0,3,0,0,7,4,5,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,6,0,0,0,0,7,10,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,9,0,0,0,3,4,4,5,0,0,18
LGA50630,0,0,6,0,11,8,10,9,0,44,4,12,59,102,111,79,8,0,0,376,4,5,13,14,15,10,0,0,0,55,0,0,0,0,0,0,0,0,0,3,0,3,19,8,14,13,0,0,0,69,0,0,3,3,3,6,0,0,0,16,0,0,0,3,0,4,0,0,0,13,0,0,4,5,3,0,0,0,0,14,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,3,3,5,0,0,0,11,0,0,5,3,5,3,0,0,0,17,0,0,4,7,3,3,0,0,0,20,0,0,3,3,4,4,0,0,0,14,0,0,0,0,0,0,4,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,10,0,0,0,23,0,0,4,0,3,0,4,4,0,12
LGA50770,9,19,21,46,50,51,30,20,0,247,0,3,0,13,9,9,0,0,0,30,0,0,0,3,0,5,0,0,0,14,0,0,0,3,0,3,0,0,0,3,0,4,3,3,5,6,0,0,0,24,0,0,0,0,0,5,0,0,0,7,7,0,0,0,3,0,0,0,0,9,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,9,5,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,3,0,0,0,12,0,0,0,0,0,0,0,0,0,3,0,0,3,0,9,9,0,0,0,16,0,0,0,0,0,3,3,0,0,11,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,11,0,0,4,0,4,3,4,0,0,18
