LGA_CODE_2021,P55_64_C_Own_chld_childr,P55_64_C_Oth_ch_chiln,P55_64_Ca_Ow_ch_ch_oth_ch_ch,P55_64_yr_C_for_Tot,P55_64_D_not_prov_ch_care,P55_64_U_ch_care_ns,P55_64_OS_vis,P55_64_yr_Tot,P65_74_C_Own_chld_childr,P65_74_C_Oth_ch_chiln,P65_74_Ca_Ow_ch_ch_oth_ch_ch,P65_74_yr_C_for_Tot,P65_74_D_not_prov_ch_care,P65_74_U_ch_care_ns,P65_74_OS_vis,P65_74_yr_Tot,P75_84_C_Own_chld_childr,P75_84_C_Oth_ch_chiln,P75_84_Ca_Ow_ch_ch_oth_ch_ch,P75_84_yr_C_for_Tot,P75_84_D_not_prov_ch_care,P75_84_U_ch_care_ns,P75_84_OS_vis,P75_84_yr_Tot,P85ovr_C_Own_chld_childr,P85ovr_C_Oth_ch_chiln,P85ov_Ca_Ow_ch_ch_oth_ch_ch,P85ovr_C_for_Tot,P85ovr_D_not_prov_ch_care,P85ovr_U_ch_care_ns,P85ovr_OS_vis,P85ovr_Tot,PTot_C_Own_chld_childrn,PTot_C_Oth_ch_chiln,PTot_Ca_Ow_ch_ch_oth_ch_ch,PTot_C_for_Tot,PTot_D_not_prov_ch_care,PTot_U_ch_care_ns,PTot_OS_vis,PTot_Tot
LGA50080,200,630,16,851,4160,280,11,5293,31,517,6,547,3788,252,8,4596,8,87,0,96,2489,195,3,2786,0,9,0,9,1017,121,4,1142,5556,2122,335,8011,21041,2190,52,31301
LGA50210,386,1423,23,1828,6797,395,48,9069,93,1188,13,1295,5313,266,60,6932,21,191,0,213,2837,225,21,3295,3,15,0,17,852,161,0,1023,17964,5040,795,23801,42842,3584,176,70401
LGA50250,48,108,0,163,1479,658,18,2311,11,62,3,71,745,213,8,1041,0,4,5,9,179,46,0,241,0,0,0,0,14,3,0,18,2206,425,157,2780,6971,3924,102,13780
LGA50280,103,252,3,359,1715,173,5,2255,24,279,4,307,1417,124,4,1846,5,35,0,42,649,48,0,741,0,0,0,0,253,31,0,284,2959,834,197,3988,7976,1084,100,13143
LGA50350,97,263,5,359,1471,84,6,1927,6,265,3,275,1183,61,12,1532,5,63,0,68,694,57,0,820,0,6,0,9,326,20,0,353,2528,933,123,3583,8537,620,26,12766
LGA50420,364,919,11,1292,6009,259,27,7586,102,1209,4,1313,4889,218,21,6451,15,286,0,298,3276,215,12,3803,0,18,0,22,1439,176,0,1634,10779,3670,351,14799,39598,2446,111,56959
LGA50490,225,521,8,756,3407,259,37,4455,52,494,3,553,2484,176,18,3232,14,100,0,115,1535,144,8,1804,0,3,0,5,743,125,0,868,6136,1950,189,8272,24277,2517,159,35218
LGA50560,3,22,0,29,219,31,0,282,0,28,0,29,269,36,0,334,0,0,0,0,138,26,0,164,0,0,0,0,47,5,0,50,167,79,17,257,968,177,4,1416
LGA50630,17,27,0,44,259,24,0,324,6,19,0,15,166,8,0,199,0,4,0,4,63,11,0,83,0,0,0,0,14,3,0,20,394,76,20,493,1017,119,5,1632
LGA50770,3,27,0,33,230,30,0,291,0,31,0,33,189,21,0,237,0,4,0,4,128,25,0,163,0,0,0,0,26,4,0,32,267,90,20,374,892,151,0,1423
LGA50840,36,76,4,113,717,59,0,889,5,83,0,88,734,55,0,880,4,9,0,14,362,29,0,403,0,0,0,0,97,9,0,105,748,257,29,1033,2951,330,9,4318
LGA50910,3,11,0,17,98,15,0,126,0,18,0,20,97,5,0,121,0,3,0,3,78,3,0,86,0,0,0,0,41,3,0,41,126,47,4,179,497,66,0,748
LGA50980,88,283,0,376,2783,564,6,3727,15,280,0,298,2937,396,16,3644,7,56,0,59,880,174,0,1116,0,0,0,0,97,32,0,138,3107,1164,216,4482,13074,3207,178,20940
LGA51080,3,19,0,24,138,21,0,177,0,8,0,8,83,7,0,98,0,5,0,5,39,10,0,55,0,0,0,0,14,0,0,14,156,41,9,204,489,96,0,790
LGA51120,4,15,0,15,94,24,0,137,0,12,0,14,97,23,0,136,0,0,0,0,50,14,0,64,0,0,0,0,15,9,0,23,139,43,6,187,458,143,0,788
LGA51190,144,680,12,831,3227,249,10,4318,33,573,3,606,2814,218,4,3640,18,95,0,106,1814,138,0,2065,0,9,0,13,788,160,0,957,4650,2089,270,7008,17671,2305,47,27037
LGA51260,195,724,7,924,4018,334,10,5282,35,842,6,882,4135,313,5,5336,3,128,0,132,2487,221,4,2847,0,6,0,8,924,105,0,1036,6539,2366,338,9246,21038,2040,63,32384
LGA51310,315,385,10,702,2731,69,9,3518,26,747,0,777,1664,87,13,2540,15,195,0,208,1320,89,11,1626,3,14,0,18,856,84,4,959,5422,1760,237,7424,14691,632,66,22801
LGA51330,530,1363,25,1911,7565,315,78,9868,140,1827,8,1975,5711,204,69,7963,23,369,0,386,3613,216,25,4240,4,21,0,27,1405,131,12,1579,16068,5135,470,21677,51747,3251,323,76995
LGA51400,86,340,0,424,1647,82,4,2156,13,212,3,232,1233,77,0,1538,7,31,0,36,586,39,0,659,0,0,0,0,115,15,0,132,3283,971,191,4438,8385,596,9,13431
LGA51470,0,12,0,15,78,9,0,97,0,3,0,3,82,8,0,93,0,0,0,0,31,17,0,47,0,0,0,0,4,0,0,4,61,23,0,87,336,82,5,510
LGA51540,22,112,3,133,1072,143,4,1347,10,115,0,128,1297,145,0,1571,4,15,0,23,507,63,0,593,0,0,0,3,80,17,0,98,858,362,68,1293,4695,977,109,7078
LGA51610,12,41,0,50,177,23,0,250,0,10,0,18,156,16,0,189,0,3,0,3,58,3,0,66,0,0,0,0,7,0,0,9,224,75,13,315,756,150,0,1213
LGA51680,30,139,0,167,694,67,0,931,5,87,0,100,478,49,0,625,0,12,0,16,254,30,0,298,0,0,0,0,60,14,0,74,859,351,47,1260,2984,346,8,4605
