LGA_CODE_2021,M_Part_a_r_mar_0_14,M_Part_a_r_mar_15_24,M_Part_a_r_mar_25_34,M_Part_a_r_mar_35_44,M_Part_a_r_mar_45_54,M_Part_a_r_mar_55_64,M_Part_a_r_mar_65_74,M_Part_a_r_mar_75_84,M_Part_a_r_mar_85ov,M_Part_a_r_mar_Tot,M_Part_de_f_mar_0_14,M_Part_de_f_mar_15_24,M_Part_de_f_mar_25_34,M_Part_de_f_mar_35_44,M_Part_de_f_mar_45_54,M_Part_de_f_mar_55_64,M_Part_de_f_mar_65_74,M_Part_de_f_mar_75_84,M_Part_de_f_mar_85ov,M_Part_de_f_mar_Tot,M_LPar_0_14_yr,M_LPar_15_24_yr,M_LPar_25_34_yr,M_LPar_35_44_yr,M_LPar_45_54_yr,M_LPar_55_64_yr,M_LPar_65_74_yr,M_LPar_75_84_yr,M_LPar_85_yr_over,M_LPar_Tot,M_Child_u_15_0_14_yr,M_Child_u_15_15_24_yr,M_Child_u_15_25_34_yr,M_Child_u_15_35_44_yr,M_Child_u_15_45_54_yr,M_Child_u_15_55_64_yr,M_Child_u_15_65_74_yr,M_Child_u_15_75_84_yr,M_Child_u_15_85_yr_over,M_Child_u_15_Tot,M_Dep_stu15_24_0_14,M_Dep_stu15_24_15_24,M_Dep_stu15_24_25_34,M_Dep_stu15_24_35_44,M_Dep_stu15_24_45_54,M_Dep_stu15_24_55_64,M_Dep_stu15_24_65_74,M_Dep_stu15_24_75_84,M_Dep_stu15_24_85_over,M_Dep_stu15_24_Tot,M_Non_dep_child_0_14,M_Non_dep_child_15_24,M_Non_dep_child_25_34,M_Non_dep_child_35_44,M_Non_dep_child_45_54,M_Non_dep_child_55_64,M_Non_dep_child_65_74,M_Non_dep_child_75_84,M_Non_dep_child_85_over,M_Non_dep_child_Tot,M_Oth_rel_ind_0_14,M_Oth_rel_ind_15_24,M_Oth_rel_ind_25_34,M_Oth_rel_ind_35_44,M_Oth_rel_ind_45_54,M_Oth_rel_ind_55_64,M_Oth_rel_ind_65_74,M_Oth_rel_ind_75_84,M_Oth_rel_ind_85ov,M_Oth_rel_ind_Tot,M_Unrel_ind_liv_fam_hh_0_14,M_Unre_ind_liv_fam_hh_15_24,M_Unre_ind_liv_fam_hh_25_34,M_Unre_ind_liv_fam_hh_35_44,M_Unre_ind_liv_fam_hh_45_54,M_Unre_ind_liv_fam_hh_55_64,M_Unre_ind_liv_fam_hh_65_74,M_Unre_ind_liv_fam_hh_75_84,M_Unrel_ind_liv_fam_hh_85ov,M_Unrel_ind_liv_fam_hh_Tot,M_Group_hh_mem_0_14,M_Group_hh_mem_15_24,M_Group_hh_mem_25_34,M_Group_hh_mem_35_44,M_Group_hh_mem_45_54,M_Group_hh_mem_55_64,M_Group_hh_mem_65_74,M_Group_hh_mem_75_84,M_Group_hh_mem_85ov,M_Group_hh_mem_Tot,M_LPer_0_14_yr,M_LPer_15_24_yr,M_LPer_25_34_yr,M_LPer_35_44_yr,M_LPer_45_54_yr,M_LPer_55_64_yr,M_LPer_65_74_yr,M_LPer_75_84_yr,M_LPer_85_yr_over,M_LPer_Tot,M_Vis_from_within_Aus_0_14,M_Vis_from_within_Aus_15_24,M_Vis_from_within_Aus_25_34,M_Vis_from_within_Aus_35_44,M_Vis_from_within_Aus_45_54,M_Vis_from_within_Aus_55_64,M_Vis_from_within_Aus_65_74,M_Vis_from_within_Aus_75_84,M_Vis_from_within_Aus_85ov,M_Vis_from_within_Aus_Tot,M_OS_vis_0_14_yr,M_OS_vis_15_24_yr,M_OS_vis_25_34_yr,M_OS_vis_35_44_yr,M_OS_vis_45_54_yr,M_OS_vis_55_64_yr,M_OS_vis_65_74_yr,M_OS_vis_75_84_yr,M_OS_vis_85_yr_over,M_Overseas_v_Total,M_Tot_0_14_yr,M_Tot_15_24_yr,M_Tot_25_34_yr,M_Tot_35_44_yr,M_Tot_45_54_yr,M_Tot_55_64_yr,M_Tot_65_74_yr,M_Tot_75_84_yr,M_Tot_85_yr_over,M_Tot_Tot,F_Part_r_mar_0_14,F_Part_r_mar_15_24,F_Part_r_mar_25_34,F_Part_r_mar_35_44,F_Part_r_mar_45_54,F_Part_r_mar_55_64,F_Part_r_mar_65_74,F_Part_r_mar_75_84,F_Part_r_mar_85ov,F_Part_r_mar_Tot,F_Part_de_f_mar_0_14,F_Part_de_f_mar_15_24,F_Part_de_f_mar_25_34,F_Part_de_f_mar_35_44,F_Part_de_f_mar_45_54,F_Part_de_f_mar_55_64,F_Part_de_f_mar_65_74,F_Part_de_f_mar_75_84,F_Part_de_f_mar_85ov,F_Part_de_f_mar_Tot,F_LPar_0_14_yr,F_LPar_15_24_yr,F_LPar_25_34_yr,F_LPar_35_44_yr,F_LPar_45_54_yr,F_LPar_55_64_yr,F_LPar_65_74_yr,F_LPar_75_84_yr,F_LPar_85_yr_over,F_LPar_Tot,F_Child_u_15_0_14_yr,F_Child_u_15_15_24_yr,F_Child_u_15_25_34_yr,F_Child_u_15_35_44_yr,F_Child_u_15_45_54_yr,F_Child_u_15_55_64_yr,F_Child_u_15_65_74_yr,F_Child_u_15_75_84_yr,F_Child_u_15_85_yr_over,F_Child_u_15_Tot,F_Dep_stu15_24_0_14,F_Dep_stu15_24_15_24,F_Dep_stu15_24_25_34,F_Dep_stu15_24_35_44,F_Dep_stu15_24_45_54,F_Dep_stu15_24_55_64,F_Dep_stu15_24_65_74,F_Dep_stu15_24_75_84,F_Dep_stu15_24_85_over,F_Dep_stu15_24_Tot,F_Non_dep_child_0_14,F_Non_dep_child_15_24,F_Non_dep_child_25_34,F_Non_dep_child_35_44,F_Non_dep_child_45_54,F_Non_dep_child_55_64,F_Non_dep_child_65_74,F_Non_dep_child_75_84,F_Non_dep_child_85_over,F_Non_dep_child_Tot,F_Oth_rel_ind_0_14,F_Oth_rel_ind_15_24,F_Oth_rel_ind_25_34,F_Oth_rel_ind_35_44,F_Oth_rel_ind_45_54,F_Oth_rel_ind_55_64,F_Oth_rel_ind_65_74,F_Oth_rel_ind_75_84,F_Oth_rel_ind_85ov,F_Oth_rel_ind_Tot
LGA50080,..,35,546,923,1159,1338,1330,828,251,6404,..,183,435,319,293,253,171,35,4,1698,..,4,19,81,117,70,27,16,10,349,3233,..,..,..,..,..,..,..,..,3233,..,657,..,..,..,..,..,..,..,657,..,701,295,107,76,38,3,0,0,1226,..,102,61,24,18,39,47,14,11,322,..,54,62,25,26,19,7,0,0,197,..,90,98,38,49,50,29,17,0,370,..,88,183,152,246,401,372,221,121,1783,71,69,51,60,59,54,39,13,10,420,0,0,0,0,0,0,0,4,0,12,3304,1975,1756,1734,2048,2249,2037,1150,411,16663,..,65,712,1107,1325,1395,1284,624,119,6643,..,254,476,346,310,275,89,38,4,1793,..,33,189,348,351,151,66,56,40,1232,3083,..,..,..,..,..,..,..,..,3083,..,677,..,..,..,..,..,..,..,677,..,401,148,39,37,32,8,0,0,668,..,79,25,6,33,55,62,50,19,333
LGA50210,..,74,2065,4651,3006,2599,2119,1029,201,15750,..,378,1439,796,594,371,148,38,14,3784,..,10,80,201,239,160,67,35,18,813,10707,..,..,..,..,..,..,..,..,10707,..,1994,..,..,..,..,..,..,..,1994,..,1736,983,333,199,76,7,0,0,3337,..,304,320,124,86,121,94,52,25,1129,..,162,207,116,63,34,22,11,0,608,..,143,329,159,148,159,90,28,6,1055,..,127,573,563,629,596,517,275,92,3372,126,115,135,99,89,56,39,19,9,686,0,5,4,6,0,14,26,3,0,65,10841,5054,6141,7056,5053,4182,3137,1489,363,43311,..,155,3221,4911,2984,2495,1929,703,87,16493,..,606,1552,856,577,340,129,22,0,4082,..,130,715,964,787,469,243,128,70,3503,10186,..,..,..,..,..,..,..,..,10186,..,2151,..,..,..,..,..,..,..,2151,..,1237,555,127,91,68,15,0,0,2091,..,250,172,73,103,205,275,119,51,1251
LGA50250,..,3,118,235,148,113,26,8,0,654,..,29,116,98,40,38,7,0,0,320,..,0,3,13,13,6,3,0,0,36,614,..,..,..,..,..,..,..,..,614,..,49,..,..,..,..,..,..,..,49,..,51,9,0,4,0,0,0,0,65,..,14,3,0,3,3,0,0,0,29,..,3,6,0,0,0,0,0,0,10,..,10,4,10,10,8,3,0,0,45,..,19,45,61,55,48,26,12,0,262,5,0,12,24,11,13,31,6,0,110,0,0,4,0,0,0,0,0,0,8,623,184,320,443,280,232,97,33,5,2209,..,7,176,240,143,85,22,9,0,680,..,46,131,82,38,32,12,0,0,338,..,0,20,23,16,5,8,5,0,75,580,..,..,..,..,..,..,..,..,580,..,43,..,..,..,..,..,..,..,43,..,34,5,6,4,0,0,0,0,43,..,13,4,6,5,9,3,0,0,43
LGA50280,..,3,158,513,552,502,499,230,46,2507,..,23,207,231,181,138,60,10,0,857,..,0,3,32,57,17,3,9,6,134,1559,..,..,..,..,..,..,..,..,1559,..,240,..,..,..,..,..,..,..,240,..,212,59,26,18,7,5,0,0,324,..,26,13,12,10,8,11,3,0,84,..,22,36,17,6,3,8,0,0,95,..,45,135,37,37,39,16,6,0,308,..,24,58,89,126,162,145,54,37,694,29,22,21,21,20,25,15,3,0,164,0,0,5,0,0,0,3,0,0,11,1594,619,690,979,1000,909,772,321,93,6965,..,8,239,709,571,530,464,160,24,2696,..,44,264,269,191,127,37,8,0,936,..,0,30,163,157,66,28,10,14,460,1461,..,..,..,..,..,..,..,..,1461,..,243,..,..,..,..,..,..,..,243,..,110,38,28,8,10,4,0,0,197,..,13,6,5,3,18,22,19,11,93
LGA50350,..,5,229,562,516,474,409,211,56,2458,..,50,303,179,137,95,43,12,0,821,..,0,12,23,41,29,13,12,5,129,1386,..,..,..,..,..,..,..,..,1386,..,311,..,..,..,..,..,..,..,311,..,266,170,63,43,21,3,0,0,563,..,58,33,14,12,17,15,12,8,168,..,20,29,16,12,7,0,0,0,84,..,50,92,38,35,27,27,8,0,283,..,21,93,125,146,183,153,70,32,814,15,20,24,16,17,14,9,5,0,122,0,0,0,0,0,0,3,0,0,10,1404,793,984,1032,964,869,674,324,109,7151,..,12,337,644,500,502,360,162,24,2546,..,79,338,208,134,79,44,12,0,889,..,9,75,147,179,80,50,28,21,589,1240,..,..,..,..,..,..,..,..,1240,..,311,..,..,..,..,..,..,..,311,..,175,95,31,25,3,3,0,0,339,..,40,26,15,22,28,45,21,25,203
LGA50420,..,27,1346,2656,2197,2036,1829,1100,271,11454,..,203,1361,831,477,309,163,47,7,3403,..,10,13,104,189,112,68,29,31,555,5465,..,..,..,..,..,..,..,..,5465,..,1469,..,..,..,..,..,..,..,1469,..,966,708,239,191,102,16,0,0,2232,..,200,221,78,64,72,43,44,17,733,..,113,205,68,38,35,16,5,0,477,..,375,673,238,183,150,90,39,9,1753,..,135,636,694,602,702,639,362,125,3902,71,97,124,84,75,55,32,16,4,564,0,5,7,4,0,5,3,0,0,34,5537,3597,5297,4994,4025,3581,2897,1645,466,32039,..,74,1935,2844,2241,1983,1748,780,124,11733,..,346,1511,743,465,271,117,37,4,3495,..,38,228,522,670,372,185,127,110,2260,5053,..,..,..,..,..,..,..,..,5053,..,1447,..,..,..,..,..,..,..,1447,..,665,461,150,74,71,23,0,0,1452,..,196,137,57,49,144,152,108,80,933
LGA50490,..,27,932,1579,1182,973,766,444,133,6027,..,203,834,409,265,200,90,26,5,2034,..,8,28,68,104,81,39,13,20,368,3182,..,..,..,..,..,..,..,..,3182,..,725,..,..,..,..,..,..,..,725,..,538,400,127,111,74,14,0,0,1253,..,194,194,61,54,57,47,18,9,632,..,105,193,62,36,21,10,4,0,432,..,335,669,229,132,128,49,19,0,1557,..,150,586,456,398,510,381,191,85,2751,49,74,81,55,35,30,24,5,5,346,0,5,5,4,3,10,9,7,0,32,3231,2354,3914,3043,2322,2078,1422,730,251,19336,..,65,1371,1666,1130,899,712,308,59,6211,..,337,931,372,241,170,58,13,6,2126,..,32,178,323,359,203,107,81,68,1348,3084,..,..,..,..,..,..,..,..,3084,..,713,..,..,..,..,..,..,..,713,..,367,210,55,39,50,7,0,0,727,..,164,147,32,41,104,106,47,34,675
LGA50560,..,0,14,30,54,67,77,43,13,297,..,0,10,14,11,15,19,5,0,78,..,0,0,5,0,4,6,0,0,11,81,..,..,..,..,..,..,..,..,81,..,10,..,..,..,..,..,..,..,10,..,21,12,3,5,0,0,0,0,50,..,3,6,7,0,8,0,0,0,14,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,4,3,0,0,14,..,0,7,4,7,28,34,22,9,116,0,6,0,6,3,0,7,3,0,22,0,0,0,0,0,0,0,0,0,0,88,43,54,63,90,124,154,78,23,703,..,0,20,44,52,78,82,34,5,319,..,3,21,10,17,21,15,0,0,81,..,0,4,9,5,0,4,0,4,36,98,..,..,..,..,..,..,..,..,98,..,13,..,..,..,..,..,..,..,13,..,12,5,5,5,3,0,0,0,22,..,6,0,0,0,4,0,0,0,10
LGA50630,..,0,13,54,63,59,54,29,8,274,..,0,26,14,17,13,5,0,0,80,..,0,4,5,8,9,0,0,0,16,178,..,..,..,..,..,..,..,..,178,..,14,..,..,..,..,..,..,..,14,..,15,13,7,0,3,0,0,0,35,..,5,3,0,0,4,0,3,0,19,..,0,0,0,0,0,0,0,0,3,..,0,0,0,4,0,4,0,0,8,..,3,11,7,18,20,20,5,0,79,4,5,0,4,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,185,49,64,82,104,105,89,39,9,730,..,0,29,59,51,58,48,26,5,282,..,10,28,15,14,17,5,0,0,89,..,0,14,11,10,4,4,0,0,42,154,..,..,..,..,..,..,..,..,154,..,16,..,..,..,..,..,..,..,16,..,17,8,0,3,0,0,0,0,24,..,0,0,0,3,0,0,0,0,14
LGA50770,..,0,15,55,63,78,68,43,12,328,..,11,21,16,11,20,0,7,0,81,..,0,5,3,3,0,0,0,0,14,161,..,..,..,..,..,..,..,..,161,..,13,..,..,..,..,..,..,..,13,..,21,6,0,5,5,0,0,0,38,..,0,0,0,0,0,0,0,0,4,..,0,0,0,0,0,0,0,0,0,..,0,0,0,3,0,3,0,0,14,..,5,5,12,16,20,27,15,0,103,4,5,0,0,0,0,4,0,0,18,0,0,0,0,0,0,0,0,0,0,158,54,49,85,102,129,108,69,14,767,..,0,27,64,59,69,71,29,0,333,..,19,15,14,15,10,3,3,0,87,..,0,6,21,8,3,0,5,4,46,159,..,..,..,..,..,..,..,..,159,..,20,..,..,..,..,..,..,..,20,..,12,0,0,0,4,0,0,0,14,..,3,0,0,0,4,3,6,0,10
