LGA_CODE_2021,P_55_64_Ud_wk_L_5_hrs,P_55_64_Ud_wk_5_14_hrs,P_55_64_Ud_wk_15_29_hrs,P_55_64_Ud_wk_30h_more,P_55_64_no_Ud_wk,P_55_64_Ud_wk_ns,P_55_64_OS_vis,P_55_64_yr_Tot,P_65_74_Ud_wk_L_5_hrs,P_65_74_Ud_wk_5_14_hrs,P_65_74_Ud_wk_15_29_hrs,P_65_74_Ud_wk_30h_more,P_65_74_no_Ud_wk,P_65_74_Ud_wk_ns,P_65_74_OS_vis,P_65_74_yr_Tot,P_75_84_Ud_wk_L_5_hrs,P_75_84_Ud_wk_5_14_hrs,P_75_84_Ud_wk_15_29_hrs,P_75_84_Ud_wk_30h_more,P_75_84_no_Ud_wk,P_75_84_Ud_wk_ns,P_75_84_OS_vis,P_75_84_yr_Tot,P_85ov_Ud_wk_L_5_h,P_85ov_Ud_wk_5_14_h,P_85ov_Ud_wk_15_29_h,P_85ov_Ud_wk_30h_more,P_85ov_no_Ud_wk,P_85ov_Ud_wk_ns,P_85ov_OS_vis,P_85_yr_over_Tot,P_Tot_Ud_wk_L_5_hrs,P_Tot_Ud_wk_5_14_hrs,P_Tot_Ud_wk_15_29_hrs,P_Tot_Ud_wk_30h_more,P_Tot_no_Ud_wk,P_Tot_Ud_wk_ns,P_Tot_OS_vis,P_Total_Tot
LGA50080,927,1886,872,454,858,280,11,5293,557,1232,823,728,979,266,8,4596,337,580,407,414,859,180,3,2786,152,157,96,104,508,122,4,1142,6084,8978,4201,3209,6567,2217,52,31301
LGA50210,1567,2778,1209,837,2229,408,48,9069,830,1663,1111,957,2018,293,60,6932,363,637,455,409,1162,249,21,3295,122,129,68,54,486,172,0,1023,13944,18692,8046,6916,18920,3705,176,70401
LGA50250,295,410,152,81,692,657,18,2311,144,237,90,70,279,223,8,1041,29,50,24,17,65,54,0,241,5,0,0,0,3,3,0,18,1903,2509,907,619,3785,3954,102,13780
LGA50280,407,786,402,224,258,174,5,2255,215,524,391,280,306,114,4,1846,77,150,137,125,201,52,0,741,37,40,25,18,126,33,0,284,2589,3901,1903,1418,2149,1098,100,13143
LGA50350,364,644,268,141,414,88,6,1927,171,439,231,165,438,63,12,1532,88,169,106,98,302,61,0,820,35,52,37,21,182,20,0,353,2725,3930,1556,1020,2882,626,26,12766
LGA50420,1417,2429,1017,607,1806,280,27,7586,818,1683,1016,765,1915,221,21,6451,475,780,492,413,1388,247,12,3803,214,208,106,88,823,188,0,1634,12381,16270,6206,4345,15054,2587,111,56959
LGA50490,829,1232,476,345,1243,285,37,4455,413,799,456,321,1034,186,18,3232,220,339,203,160,730,144,8,1804,97,129,51,42,424,129,0,868,7302,8827,3135,2411,10791,2598,159,35218
LGA50560,43,66,44,37,57,31,0,282,34,80,45,63,76,37,0,334,19,26,25,26,42,23,0,164,7,9,8,0,20,6,0,50,208,347,191,188,290,186,4,1416
LGA50630,66,93,37,24,87,19,0,324,20,53,31,44,42,11,0,199,18,8,13,19,11,11,0,83,0,3,4,0,5,3,0,20,320,478,194,182,342,118,5,1632
LGA50770,55,74,52,33,45,27,0,291,31,60,47,36,48,17,0,237,13,25,18,31,51,23,0,163,4,5,4,0,15,8,0,32,234,359,212,195,262,156,0,1423
